result,sampleDotCode,unitName,sampleTime,resultName,deviceName
0.54,ST010534,mg/L,2025-05-05 08:00:00,硫化物,延炼100万吨/年催化裂化装置
0.66,ST010534,<p>mg/L</p>,2025-05-05 08:00:00,氨氮,延炼100万吨/年催化裂化装置
1.17,ST010534,mg/L,2025-05-05 08:00:00,石油类,延炼100万吨/年催化裂化装置
9.00,ST010534,,2025-05-05 08:00:00,pH,延炼100万吨/年催化裂化装置
94,ST010534,<p>mg/L</p>,2025-05-05 08:00:00,COD,延炼100万吨/年催化裂化装置
0.56,ST010534,mg/L,2025-05-12 08:00:00,硫化物,延炼100万吨/年催化裂化装置
0.42,ST010534,<p>mg/L</p>,2025-05-12 08:00:00,氨氮,延炼100万吨/年催化裂化装置
2.76,ST010534,mg/L,2025-05-12 08:00:00,石油类,延炼100万吨/年催化裂化装置
8.60,ST010534,,2025-05-12 08:00:00,pH,延炼100万吨/年催化裂化装置
75,ST010534,<p>mg/L</p>,2025-05-12 08:00:00,COD,延炼100万吨/年催化裂化装置
2.16,ST010534,mg/L,2025-05-19 08:00:00,石油类,延炼100万吨/年催化裂化装置
97,ST010534,<p>mg/L</p>,2025-05-19 08:00:00,COD,延炼100万吨/年催化裂化装置
8.80,ST010534,,2025-05-19 08:00:00,pH,延炼100万吨/年催化裂化装置
0.53,ST010534,<p>mg/L</p>,2025-05-19 08:00:00,氨氮,延炼100万吨/年催化裂化装置
0.44,ST010534,mg/L,2025-05-19 08:00:00,硫化物,延炼100万吨/年催化裂化装置
8.60,ST010534,,2025-05-26 08:00:00,pH,延炼100万吨/年催化裂化装置
7.00,ST010534,mg/L,2025-05-26 08:00:00,石油类,延炼100万吨/年催化裂化装置
0.54,ST010534,<p>mg/L</p>,2025-05-26 08:00:00,氨氮,延炼100万吨/年催化裂化装置
0.48,ST010534,mg/L,2025-05-26 08:00:00,硫化物,延炼100万吨/年催化裂化装置
89,ST010534,<p>mg/L</p>,2025-05-26 08:00:00,COD,延炼100万吨/年催化裂化装置
6.23,ST010534,mg/L,2025-06-02 08:00:00,石油类,延炼100万吨/年催化裂化装置
8.80,ST010534,,2025-06-02 08:00:00,pH,延炼100万吨/年催化裂化装置
0.41,ST010534,<p>mg/L</p>,2025-06-02 08:00:00,氨氮,延炼100万吨/年催化裂化装置
93,ST010534,<p>mg/L</p>,2025-06-02 08:00:00,COD,延炼100万吨/年催化裂化装置
0.45,ST010534,mg/L,2025-06-02 08:00:00,硫化物,延炼100万吨/年催化裂化装置
0.70,ST010534,mg/L,2025-06-09 08:00:00,石油类,延炼100万吨/年催化裂化装置
54,ST010534,<p>mg/L</p>,2025-06-09 08:00:00,COD,延炼100万吨/年催化裂化装置
8.80,ST010534,,2025-06-09 08:00:00,pH,延炼100万吨/年催化裂化装置
0.73,ST010534,<p>mg/L</p>,2025-06-09 08:00:00,氨氮,延炼100万吨/年催化裂化装置
0.81,ST010534,mg/L,2025-06-09 08:00:00,硫化物,延炼100万吨/年催化裂化装置
0.99,ST010534,<p>mg/L</p>,2025-06-16 08:00:00,氨氮,延炼100万吨/年催化裂化装置
12.32,ST010534,mg/L,2025-06-16 08:00:00,石油类,延炼100万吨/年催化裂化装置
8.80,ST010534,,2025-06-16 08:00:00,pH,延炼100万吨/年催化裂化装置
0.27,ST010534,mg/L,2025-06-16 08:00:00,硫化物,延炼100万吨/年催化裂化装置
93,ST010534,<p>mg/L</p>,2025-06-16 08:00:00,COD,延炼100万吨/年催化裂化装置
8.80,ST010534,,2025-06-23 08:00:00,pH,延炼100万吨/年催化裂化装置
0.73,ST010534,<p>mg/L</p>,2025-06-23 08:00:00,氨氮,延炼100万吨/年催化裂化装置
0.42,ST010534,mg/L,2025-06-23 08:00:00,硫化物,延炼100万吨/年催化裂化装置
99,ST010534,<p>mg/L</p>,2025-06-23 08:00:00,COD,延炼100万吨/年催化裂化装置
6.32,ST010534,mg/L,2025-06-23 08:00:00,石油类,延炼100万吨/年催化裂化装置
0.63,ST010534,mg/L,2025-06-30 08:00:00,硫化物,延炼100万吨/年催化裂化装置
8.90,ST010534,,2025-06-30 08:00:00,pH,延炼100万吨/年催化裂化装置
0.35,ST010534,<p>mg/L</p>,2025-06-30 08:00:00,氨氮,延炼100万吨/年催化裂化装置
3.45,ST010534,mg/L,2025-06-30 08:00:00,石油类,延炼100万吨/年催化裂化装置
97,ST010534,<p>mg/L</p>,2025-06-30 08:00:00,COD,延炼100万吨/年催化裂化装置
8.80,ST010534,,2025-07-07 08:00:00,pH,延炼100万吨/年催化裂化装置
75,ST010534,<p>mg/L</p>,2025-07-07 08:00:00,COD,延炼100万吨/年催化裂化装置
0.58,ST010534,mg/L,2025-07-07 08:00:00,硫化物,延炼100万吨/年催化裂化装置
0.83,ST010534,<p>mg/L</p>,2025-07-07 08:00:00,氨氮,延炼100万吨/年催化裂化装置
4.97,ST010534,mg/L,2025-07-07 08:00:00,石油类,延炼100万吨/年催化裂化装置
4.56,ST010534,mg/L,2025-07-14 08:00:00,石油类,延炼100万吨/年催化裂化装置
9.00,ST010534,,2025-07-14 08:00:00,pH,延炼100万吨/年催化裂化装置
0.44,ST010534,mg/L,2025-07-14 08:00:00,硫化物,延炼100万吨/年催化裂化装置
0.64,ST010534,<p>mg/L</p>,2025-07-14 08:00:00,氨氮,延炼100万吨/年催化裂化装置
96,ST010534,<p>mg/L</p>,2025-07-14 08:00:00,COD,延炼100万吨/年催化裂化装置
9.00,ST010534,,2025-07-21 08:00:00,pH,延炼100万吨/年催化裂化装置
6.25,ST010534,mg/L,2025-07-21 08:00:00,石油类,延炼100万吨/年催化裂化装置
0.80,ST010534,<p>mg/L</p>,2025-07-21 08:00:00,氨氮,延炼100万吨/年催化裂化装置
0.40,ST010534,mg/L,2025-07-21 08:00:00,硫化物,延炼100万吨/年催化裂化装置
31,ST010534,<p>mg/L</p>,2025-07-21 08:00:00,COD,延炼100万吨/年催化裂化装置
2.01,ST010534,mg/L,2025-07-28 08:00:00,石油类,延炼100万吨/年催化裂化装置
9.00,ST010534,,2025-07-28 08:00:00,pH,延炼100万吨/年催化裂化装置
363,ST010534,<p>mg/L</p>,2025-07-28 08:00:00,COD,延炼100万吨/年催化裂化装置
0.50,ST010534,<p>mg/L</p>,2025-07-28 08:00:00,氨氮,延炼100万吨/年催化裂化装置
0.29,ST010534,mg/L,2025-07-28 08:00:00,硫化物,延炼100万吨/年催化裂化装置
0.32,ST010534,mg/L,2025-08-04 08:00:00,硫化物,延炼100万吨/年催化裂化装置
0.57,ST010534,<p>mg/L</p>,2025-08-04 08:00:00,氨氮,延炼100万吨/年催化裂化装置
7.56,ST010534,mg/L,2025-08-04 08:00:00,石油类,延炼100万吨/年催化裂化装置
9.00,ST010534,,2025-08-04 08:00:00,pH,延炼100万吨/年催化裂化装置
79,ST010534,<p>mg/L</p>,2025-08-04 08:00:00,COD,延炼100万吨/年催化裂化装置
9.10,ST010534,,2025-08-11 08:00:00,pH,延炼100万吨/年催化裂化装置
92,ST010534,<p>mg/L</p>,2025-08-11 08:00:00,COD,延炼100万吨/年催化裂化装置
0.63,ST010534,mg/L,2025-08-11 08:00:00,硫化物,延炼100万吨/年催化裂化装置
0.54,ST010534,<p>mg/L</p>,2025-08-11 08:00:00,氨氮,延炼100万吨/年催化裂化装置
7.69,ST010534,mg/L,2025-08-11 08:00:00,石油类,延炼100万吨/年催化裂化装置
8.80,ST010534,,2025-08-18 08:00:00,pH,延炼100万吨/年催化裂化装置
26.16,ST010534,mg/L,2025-08-18 08:00:00,石油类,延炼100万吨/年催化裂化装置
0.90,ST010534,<p>mg/L</p>,2025-08-18 08:00:00,氨氮,延炼100万吨/年催化裂化装置
0.44,ST010534,mg/L,2025-08-18 08:00:00,硫化物,延炼100万吨/年催化裂化装置
192,ST010534,<p>mg/L</p>,2025-08-18 08:00:00,COD,延炼100万吨/年催化裂化装置
4.50,ST010534,mg/L,2025-08-25 08:00:00,石油类,延炼100万吨/年催化裂化装置
2.65,ST010534,<p>mg/L</p>,2025-08-25 08:00:00,氨氮,延炼100万吨/年催化裂化装置
0.81,ST010534,mg/L,2025-08-25 08:00:00,硫化物,延炼100万吨/年催化裂化装置
86,ST010534,<p>mg/L</p>,2025-08-25 08:00:00,COD,延炼100万吨/年催化裂化装置
8.80,ST010534,,2025-08-25 08:00:00,pH,延炼100万吨/年催化裂化装置
0.47,ST010534,<p>mg/L</p>,2025-09-01 08:00:00,氨氮,延炼100万吨/年催化裂化装置
2.01,ST010534,mg/L,2025-09-01 08:00:00,石油类,延炼100万吨/年催化裂化装置
9.00,ST010534,,2025-09-01 08:00:00,pH,延炼100万吨/年催化裂化装置
94,ST010534,<p>mg/L</p>,2025-09-01 08:00:00,COD,延炼100万吨/年催化裂化装置
0.47,ST010534,mg/L,2025-09-01 08:00:00,硫化物,延炼100万吨/年催化裂化装置
0.73,ST010534,mg/L,2025-09-08 08:00:00,硫化物,延炼100万吨/年催化裂化装置
1.53,ST010534,<p>mg/L</p>,2025-09-08 08:00:00,氨氮,延炼100万吨/年催化裂化装置
9.00,ST010534,,2025-09-08 08:00:00,pH,延炼100万吨/年催化裂化装置
0.94,ST010534,mg/L,2025-09-08 08:00:00,石油类,延炼100万吨/年催化裂化装置
97,ST010534,<p>mg/L</p>,2025-09-08 08:00:00,COD,延炼100万吨/年催化裂化装置
0.72,ST010534,<p>mg/L</p>,2025-09-15 08:00:00,氨氮,延炼100万吨/年催化裂化装置
8.80,ST010534,,2025-09-15 08:00:00,pH,延炼100万吨/年催化裂化装置
10.32,ST010534,mg/L,2025-09-15 08:00:00,石油类,延炼100万吨/年催化裂化装置
139,ST010534,<p>mg/L</p>,2025-09-15 08:00:00,COD,延炼100万吨/年催化裂化装置
0.73,ST010534,mg/L,2025-09-15 08:00:00,硫化物,延炼100万吨/年催化裂化装置
118,ST010534,<p>mg/L</p>,2025-09-22 08:00:00,COD,延炼100万吨/年催化裂化装置
9.00,ST010534,,2025-09-22 08:00:00,pH,延炼100万吨/年催化裂化装置
2.30,ST010534,mg/L,2025-09-22 08:00:00,石油类,延炼100万吨/年催化裂化装置
0.79,ST010534,<p>mg/L</p>,2025-09-22 08:00:00,氨氮,延炼100万吨/年催化裂化装置
0.63,ST010534,mg/L,2025-09-22 08:00:00,硫化物,延炼100万吨/年催化裂化装置
9.00,ST010534,,2025-09-29 08:00:00,pH,延炼100万吨/年催化裂化装置
1.55,ST010534,mg/L,2025-09-29 08:00:00,石油类,延炼100万吨/年催化裂化装置
0.50,ST010534,mg/L,2025-09-29 08:00:00,硫化物,延炼100万吨/年催化裂化装置
0.78,ST010534,<p>mg/L</p>,2025-09-29 08:00:00,氨氮,延炼100万吨/年催化裂化装置
44,ST010534,<p>mg/L</p>,2025-09-29 08:00:00,COD,延炼100万吨/年催化裂化装置
77,ST010534,<p>mg/L</p>,2025-10-06 08:00:00,COD,延炼100万吨/年催化裂化装置
1.28,ST010534,mg/L,2025-10-06 08:00:00,石油类,延炼100万吨/年催化裂化装置
8.90,ST010534,,2025-10-06 08:00:00,pH,延炼100万吨/年催化裂化装置
