result,sampleDotCode,unitName,sampleTime,resultName,deviceName
892.0,ST010215,<p>kg/m<sup>3</sup></p>,2025-05-06 08:00:00,密度(20℃),延炼100万吨/年催化裂化装置
3.54,ST010215,质量分数 %,2025-05-06 08:00:00,残炭,延炼100万吨/年催化裂化装置
894.4,ST010215,<p>kg/m<sup>3</sup></p>,2025-05-13 08:00:00,密度(20℃),延炼100万吨/年催化裂化装置
3.42,ST010215,质量分数 %,2025-05-13 08:00:00,残炭,延炼100万吨/年催化裂化装置
891.4,ST010215,<p>kg/m<sup>3</sup></p>,2025-05-20 08:00:00,密度(20℃),延炼100万吨/年催化裂化装置
3.38,ST010215,质量分数 %,2025-05-20 08:00:00,残炭,延炼100万吨/年催化裂化装置
/,ST010215,%,2025-05-27 08:00:00,120℃的回收百分数,延炼100万吨/年催化裂化装置
/,ST010215,%,2025-05-27 08:00:00,150℃的回收百分数,延炼100万吨/年催化裂化装置
/,ST010215,%,2025-05-27 08:00:00,160℃的回收百分数,延炼100万吨/年催化裂化装置
/,ST010215,%,2025-05-27 08:00:00,180℃的回收百分数,延炼100万吨/年催化裂化装置
/,ST010215,%,2025-05-27 08:00:00,200℃的回收百分数,延炼100万吨/年催化裂化装置
/,ST010215,%,2025-05-27 08:00:00,220℃的回收百分数,延炼100万吨/年催化裂化装置
/,ST010215,%,2025-05-27 08:00:00,240℃的回收百分数,延炼100万吨/年催化裂化装置
/,ST010215,%,2025-05-27 08:00:00,260℃的回收百分数,延炼100万吨/年催化裂化装置
/,ST010215,%,2025-05-27 08:00:00,280℃的回收百分数,延炼100万吨/年催化裂化装置
2.5,ST010215,%,2025-05-27 08:00:00,300℃的回收百分数,延炼100万吨/年催化裂化装置
8.0,ST010215,%,2025-05-27 08:00:00,350℃的回收百分数,延炼100万吨/年催化裂化装置
284,ST010215,℃,2025-05-27 08:00:00,初馏点校正值(TIBP),延炼100万吨/年催化裂化装置
3.39,ST010215,质量分数 %,2025-05-27 08:00:00,残炭,延炼100万吨/年催化裂化装置
痕迹,ST010215,质量分数 %,2025-05-27 08:00:00,水分,延炼100万吨/年催化裂化装置
893.3,ST010215,<p>kg/m<sup>3</sup></p>,2025-05-27 08:00:00,密度(20℃),延炼100万吨/年催化裂化装置
7.2,ST010215,mg(NaCl)/L,2025-05-27 08:00:00,盐含量,延炼100万吨/年催化裂化装置
/,ST010215,%,2025-05-27 08:00:00,100℃的回收百分数,延炼100万吨/年催化裂化装置
894.0,ST010215,<p>kg/m<sup>3</sup></p>,2025-06-03 08:00:00,密度(20℃),延炼100万吨/年催化裂化装置
3.44,ST010215,质量分数 %,2025-06-03 08:00:00,残炭,延炼100万吨/年催化裂化装置
896.0,ST010215,<p>kg/m<sup>3</sup></p>,2025-06-10 08:00:00,密度(20℃),延炼100万吨/年催化裂化装置
3.32,ST010215,质量分数 %,2025-06-10 08:00:00,残炭,延炼100万吨/年催化裂化装置
894.7,ST010215,<p>kg/m<sup>3</sup></p>,2025-06-17 08:00:00,密度(20℃),延炼100万吨/年催化裂化装置
3.39,ST010215,质量分数 %,2025-06-17 08:00:00,残炭,延炼100万吨/年催化裂化装置
/,ST010215,%,2025-06-24 08:00:00,200℃的回收百分数,延炼100万吨/年催化裂化装置
/,ST010215,%,2025-06-24 08:00:00,220℃的回收百分数,延炼100万吨/年催化裂化装置
/,ST010215,%,2025-06-24 08:00:00,240℃的回收百分数,延炼100万吨/年催化裂化装置
/,ST010215,%,2025-06-24 08:00:00,260℃的回收百分数,延炼100万吨/年催化裂化装置
/,ST010215,%,2025-06-24 08:00:00,280℃的回收百分数,延炼100万吨/年催化裂化装置
2.0,ST010215,%,2025-06-24 08:00:00,300℃的回收百分数,延炼100万吨/年催化裂化装置
