result,sampleDotCode,unitName,sampleTime,resultName,deviceName
203.4,ST010237,℃,2025-05-01 08:00:00,初馏点温度,延炼100万吨/年催化裂化装置
231.2,ST010237,℃,2025-05-01 08:00:00,10%回收温度,延炼100万吨/年催化裂化装置
280.5,ST010237,℃,2025-05-01 08:00:00,50%回收温度,延炼100万吨/年催化裂化装置
343.5,ST010237,℃,2025-05-01 08:00:00,90%回收温度,延炼100万吨/年催化裂化装置
356.7,ST010237,℃,2025-05-01 08:00:00,95%回收温度,延炼100万吨/年催化裂化装置
84.5,ST010237,℃,2025-05-01 08:00:00,闪点(闭口),延炼100万吨/年催化裂化装置
-2,ST010237,℃,2025-05-01 08:00:00,凝点,延炼100万吨/年催化裂化装置
894.2,ST010237,<p>kg/m<sup>3</sup></p>,2025-05-01 08:00:00,密度(20℃),延炼100万吨/年催化裂化装置
202.5,ST010237,℃,2025-05-02 08:00:00,初馏点温度,延炼100万吨/年催化裂化装置
229.7,ST010237,℃,2025-05-02 08:00:00,10%回收温度,延炼100万吨/年催化裂化装置
274.0,ST010237,℃,2025-05-02 08:00:00,50%回收温度,延炼100万吨/年催化裂化装置
337.7,ST010237,℃,2025-05-02 08:00:00,90%回收温度,延炼100万吨/年催化裂化装置
351.3,ST010237,℃,2025-05-02 08:00:00,95%回收温度,延炼100万吨/年催化裂化装置
202.4,ST010237,℃,2025-05-03 08:00:00,初馏点温度,延炼100万吨/年催化裂化装置
229.5,ST010237,℃,2025-05-03 08:00:00,10%回收温度,延炼100万吨/年催化裂化装置
272.9,ST010237,℃,2025-05-03 08:00:00,50%回收温度,延炼100万吨/年催化裂化装置
337.3,ST010237,℃,2025-05-03 08:00:00,90%回收温度,延炼100万吨/年催化裂化装置
351.5,ST010237,℃,2025-05-03 08:00:00,95%回收温度,延炼100万吨/年催化裂化装置
204.6,ST010237,℃,2025-05-04 08:00:00,初馏点温度,延炼100万吨/年催化裂化装置
232.9,ST010237,℃,2025-05-04 08:00:00,10%回收温度,延炼100万吨/年催化裂化装置
278.1,ST010237,℃,2025-05-04 08:00:00,50%回收温度,延炼100万吨/年催化裂化装置
339.0,ST010237,℃,2025-05-04 08:00:00,90%回收温度,延炼100万吨/年催化裂化装置
352.2,ST010237,℃,2025-05-04 08:00:00,95%回收温度,延炼100万吨/年催化裂化装置
203.8,ST010237,℃,2025-05-05 08:00:00,初馏点温度,延炼100万吨/年催化裂化装置
231.3,ST010237,℃,2025-05-05 08:00:00,10%回收温度,延炼100万吨/年催化裂化装置
275.6,ST010237,℃,2025-05-05 08:00:00,50%回收温度,延炼100万吨/年催化裂化装置
337.3,ST010237,℃,2025-05-05 08:00:00,90%回收温度,延炼100万吨/年催化裂化装置
350.0,ST010237,℃,2025-05-05 08:00:00,95%回收温度,延炼100万吨/年催化裂化装置
203.5,ST010237,℃,2025-05-06 08:00:00,初馏点温度,延炼100万吨/年催化裂化装置
231.4,ST010237,℃,2025-05-06 08:00:00,10%回收温度,延炼100万吨/年催化裂化装置
274.3,ST010237,℃,2025-05-06 08:00:00,50%回收温度,延炼100万吨/年催化裂化装置
324.9,ST010237,℃,2025-05-06 08:00:00,90%回收温度,延炼100万吨/年催化裂化装置
348.1,ST010237,℃,2025-05-06 08:00:00,95%回收温度,延炼100万吨/年催化裂化装置
205.1,ST010237,℃,2025-05-07 08:00:00,初馏点温度,延炼100万吨/年催化裂化装置
232.9,ST010237,℃,2025-05-07 08:00:00,10%回收温度,延炼100万吨/年催化裂化装置
279.8,ST010237,℃,2025-05-07 08:00:00,50%回收温度,延炼100万吨/年催化裂化装置
340.3,ST010237,℃,2025-05-07 08:00:00,90%回收温度,延炼100万吨/年催化裂化装置
352.8,ST010237,℃,2025-05-07 08:00:00,95%回收温度,延炼100万吨/年催化裂化装置
201.7,ST010237,℃,2025-05-08 08:00:00,初馏点温度,延炼100万吨/年催化裂化装置
229.2,ST010237,℃,2025-05-08 08:00:00,10%回收温度,延炼100万吨/年催化裂化装置
274.2,ST010237,℃,2025-05-08 08:00:00,50%回收温度,延炼100万吨/年催化裂化装置
337.0,ST010237,℃,2025-05-08 08:00:00,90%回收温度,延炼100万吨/年催化裂化装置
349.7,ST010237,℃,2025-05-08 08:00:00,95%回收温度,延炼100万吨/年催化裂化装置
80.5,ST010237,℃,2025-05-08 08:00:00,闪点(闭口),延炼100万吨/年催化裂化装置
-5,ST010237,℃,2025-05-08 08:00:00,凝点,延炼100万吨/年催化裂化装置
202.9,ST010237,℃,2025-05-09 08:00:00,初馏点温度,延炼100万吨/年催化裂化装置
230.5,ST010237,℃,2025-05-09 08:00:00,10%回收温度,延炼100万吨/年催化裂化装置
277.0,ST010237,℃,2025-05-09 08:00:00,50%回收温度,延炼100万吨/年催化裂化装置
339.8,ST010237,℃,2025-05-09 08:00:00,90%回收温度,延炼100万吨/年催化裂化装置
353.3,ST010237,℃,2025-05-09 08:00:00,95%回收温度,延炼100万吨/年催化裂化装置
204.8,ST010237,℃,2025-05-10 08:00:00,初馏点温度,延炼100万吨/年催化裂化装置
232.2,ST010237,℃,2025-05-10 08:00:00,10%回收温度,延炼100万吨/年催化裂化装置
279.4,ST010237,℃,2025-05-10 08:00:00,50%回收温度,延炼100万吨/年催化裂化装置
343.3,ST010237,℃,2025-05-10 08:00:00,90%回收温度,延炼100万吨/年催化裂化装置
356.7,ST010237,℃,2025-05-10 08:00:00,95%回收温度,延炼100万吨/年催化裂化装置
203.4,ST010237,℃,2025-05-11 08:00:00,初馏点温度,延炼100万吨/年催化裂化装置
230.7,ST010237,℃,2025-05-11 08:00:00,10%回收温度,延炼100万吨/年催化裂化装置
276.8,ST010237,℃,2025-05-11 08:00:00,50%回收温度,延炼100万吨/年催化裂化装置
343.1,ST010237,℃,2025-05-11 08:00:00,90%回收温度,延炼100万吨/年催化裂化装置
357.8,ST010237,℃,2025-05-11 08:00:00,95%回收温度,延炼100万吨/年催化裂化装置
203.9,ST010237,℃,2025-05-12 08:00:00,初馏点温度,延炼100万吨/年催化裂化装置
231.2,ST010237,℃,2025-05-12 08:00:00,10%回收温度,延炼100万吨/年催化裂化装置
285.5,ST010237,℃,2025-05-12 08:00:00,50%回收温度,延炼100万吨/年催化裂化装置
349.2,ST010237,℃,2025-05-12 08:00:00,90%回收温度,延炼100万吨/年催化裂化装置
363.7,ST010237,℃,2025-05-12 08:00:00,95%回收温度,延炼100万吨/年催化裂化装置
200.9,ST010237,℃,2025-05-13 08:00:00,初馏点温度,延炼100万吨/年催化裂化装置
228.9,ST010237,℃,2025-05-13 08:00:00,10%回收温度,延炼100万吨/年催化裂化装置
277.9,ST010237,℃,2025-05-13 08:00:00,50%回收温度,延炼100万吨/年催化裂化装置
348.8,ST010237,℃,2025-05-13 08:00:00,90%回收温度,延炼100万吨/年催化裂化装置
363.8,ST010237,℃,2025-05-13 08:00:00,95%回收温度,延炼100万吨/年催化裂化装置
198.6,ST010237,℃,2025-05-14 08:00:00,初馏点温度,延炼100万吨/年催化裂化装置
225.1,ST010237,℃,2025-05-14 08:00:00,10%回收温度,延炼100万吨/年催化裂化装置
275.3,ST010237,℃,2025-05-14 08:00:00,50%回收温度,延炼100万吨/年催化裂化装置
347.3,ST010237,℃,2025-05-14 08:00:00,90%回收温度,延炼100万吨/年催化裂化装置
361.9,ST010237,℃,2025-05-14 08:00:00,95%回收温度,延炼100万吨/年催化裂化装置
84.5,ST010237,℃,2025-05-15 08:00:00,闪点(闭口),延炼100万吨/年催化裂化装置
-4,ST010237,℃,2025-05-15 08:00:00,凝点,延炼100万吨/年催化裂化装置
203.1,ST010237,℃,2025-05-15 08:00:00,初馏点温度,延炼100万吨/年催化裂化装置
230.8,ST010237,℃,2025-05-15 08:00:00,10%回收温度,延炼100万吨/年催化裂化装置
278.7,ST010237,℃,2025-05-15 08:00:00,50%回收温度,延炼100万吨/年催化裂化装置
343.2,ST010237,℃,2025-05-15 08:00:00,90%回收温度,延炼100万吨/年催化裂化装置
357.6,ST010237,℃,2025-05-15 08:00:00,95%回收温度,延炼100万吨/年催化裂化装置
203.3,ST010237,℃,2025-05-16 08:00:00,初馏点温度,延炼100万吨/年催化裂化装置
230.9,ST010237,℃,2025-05-16 08:00:00,10%回收温度,延炼100万吨/年催化裂化装置
281.6,ST010237,℃,2025-05-16 08:00:00,50%回收温度,延炼100万吨/年催化裂化装置
348.7,ST010237,℃,2025-05-16 08:00:00,90%回收温度,延炼100万吨/年催化裂化装置
361.8,ST010237,℃,2025-05-16 08:00:00,95%回收温度,延炼100万吨/年催化裂化装置
200.9,ST010237,℃,2025-05-17 08:00:00,初馏点温度,延炼100万吨/年催化裂化装置
228.9,ST010237,℃,2025-05-17 08:00:00,10%回收温度,延炼100万吨/年催化裂化装置
275.8,ST010237,℃,2025-05-17 08:00:00,50%回收温度,延炼100万吨/年催化裂化装置
344.1,ST010237,℃,2025-05-17 08:00:00,90%回收温度,延炼100万吨/年催化裂化装置
359.3,ST010237,℃,2025-05-17 08:00:00,95%回收温度,延炼100万吨/年催化裂化装置
203.7,ST010237,℃,2025-05-18 08:00:00,初馏点温度,延炼100万吨/年催化裂化装置
231.6,ST010237,℃,2025-05-18 08:00:00,10%回收温度,延炼100万吨/年催化裂化装置
283.5,ST010237,℃,2025-05-18 08:00:00,50%回收温度,延炼100万吨/年催化裂化装置
345.9,ST010237,℃,2025-05-18 08:00:00,90%回收温度,延炼100万吨/年催化裂化装置
358.8,ST010237,℃,2025-05-18 08:00:00,95%回收温度,延炼100万吨/年催化裂化装置
203.9,ST010237,℃,2025-05-19 08:00:00,初馏点温度,延炼100万吨/年催化裂化装置
231.4,ST010237,℃,2025-05-19 08:00:00,10%回收温度,延炼100万吨/年催化裂化装置
281.2,ST010237,℃,2025-05-19 08:00:00,50%回收温度,延炼100万吨/年催化裂化装置
347.5,ST010237,℃,2025-05-19 08:00:00,90%回收温度,延炼100万吨/年催化裂化装置
360.6,ST010237,℃,2025-05-19 08:00:00,95%回收温度,延炼100万吨/年催化裂化装置
203.4,ST010237,℃,2025-05-20 08:00:00,初馏点温度,延炼100万吨/年催化裂化装置
230.7,ST010237,℃,2025-05-20 08:00:00,10%回收温度,延炼100万吨/年催化裂化装置
277.3,ST010237,℃,2025-05-20 08:00:00,50%回收温度,延炼100万吨/年催化裂化装置
343.6,ST010237,℃,2025-05-20 08:00:00,90%回收温度,延炼100万吨/年催化裂化装置
358.7,ST010237,℃,2025-05-20 08:00:00,95%回收温度,延炼100万吨/年催化裂化装置
205.0,ST010237,℃,2025-05-21 08:00:00,初馏点温度,延炼100万吨/年催化裂化装置
232.3,ST010237,℃,2025-05-21 08:00:00,10%回收温度,延炼100万吨/年催化裂化装置
282.5,ST010237,℃,2025-05-21 08:00:00,50%回收温度,延炼100万吨/年催化裂化装置
348.1,ST010237,℃,2025-05-21 08:00:00,90%回收温度,延炼100万吨/年催化裂化装置
361.2,ST010237,℃,2025-05-21 08:00:00,95%回收温度,延炼100万吨/年催化裂化装置
83.0,ST010237,℃,2025-05-22 08:00:00,闪点(闭口),延炼100万吨/年催化裂化装置
-5,ST010237,℃,2025-05-22 08:00:00,凝点,延炼100万吨/年催化裂化装置
203.4,ST010237,℃,2025-05-22 08:00:00,初馏点温度,延炼100万吨/年催化裂化装置
231.0,ST010237,℃,2025-05-22 08:00:00,10%回收温度,延炼100万吨/年催化裂化装置
282.2,ST010237,℃,2025-05-22 08:00:00,50%回收温度,延炼100万吨/年催化裂化装置
350.1,ST010237,℃,2025-05-22 08:00:00,90%回收温度,延炼100万吨/年催化裂化装置
364.7,ST010237,℃,2025-05-22 08:00:00,95%回收温度,延炼100万吨/年催化裂化装置
202.4,ST010237,℃,2025-05-23 08:00:00,初馏点温度,延炼100万吨/年催化裂化装置
228.9,ST010237,℃,2025-05-23 08:00:00,10%回收温度,延炼100万吨/年催化裂化装置
271.6,ST010237,℃,2025-05-23 08:00:00,50%回收温度,延炼100万吨/年催化裂化装置
338.8,ST010237,℃,2025-05-23 08:00:00,90%回收温度,延炼100万吨/年催化裂化装置
354.4,ST010237,℃,2025-05-23 08:00:00,95%回收温度,延炼100万吨/年催化裂化装置
203.4,ST010237,℃,2025-05-24 08:00:00,初馏点温度,延炼100万吨/年催化裂化装置
