result,sampleDotCode,sampleTime,resultName,deviceName,unitName
62,ST010217,2025-05-01 08:00:00,裂化活性指数,延炼100万吨/年催化裂化装置,
100.2,ST010217,2025-05-01 08:00:00,催化剂表面积(SBET),延炼100万吨/年催化裂化装置,<p>m<sup>2</sup>/g</p>
0.0,ST010217,2025-05-01 08:00:00,∅（0～5μm）,延炼100万吨/年催化裂化装置,体积分数 %
21.5,ST010217,2025-05-01 08:00:00,∅（≤45.8μm）,延炼100万吨/年催化裂化装置,体积分数 %
50.5,ST010217,2025-05-01 08:00:00,∅（45.8～110μm）,延炼100万吨/年催化裂化装置,体积分数 %
27.9,ST010217,2025-05-01 08:00:00,∅（＞110μm）,延炼100万吨/年催化裂化装置,体积分数 %
3.5,ST010217,2025-05-01 08:00:00,∅（0～20μm）,延炼100万吨/年催化裂化装置,体积分数 %
0.06,ST010217,2025-05-01 08:00:00,含碳量,延炼100万吨/年催化裂化装置,质量分数 %
62,ST010217,2025-05-05 08:00:00,裂化活性指数,延炼100万吨/年催化裂化装置,
102.9,ST010217,2025-05-05 08:00:00,催化剂表面积(SBET),延炼100万吨/年催化裂化装置,<p>m<sup>2</sup>/g</p>
0.0,ST010217,2025-05-05 08:00:00,∅（0～5μm）,延炼100万吨/年催化裂化装置,体积分数 %
27.4,ST010217,2025-05-05 08:00:00,∅（≤45.8μm）,延炼100万吨/年催化裂化装置,体积分数 %
52.7,ST010217,2025-05-05 08:00:00,∅（45.8～110μm）,延炼100万吨/年催化裂化装置,体积分数 %
20.0,ST010217,2025-05-05 08:00:00,∅（＞110μm）,延炼100万吨/年催化裂化装置,体积分数 %
4.0,ST010217,2025-05-05 08:00:00,∅（0～20μm）,延炼100万吨/年催化裂化装置,体积分数 %
0.08,ST010217,2025-05-05 08:00:00,含碳量,延炼100万吨/年催化裂化装置,质量分数 %
63,ST010217,2025-05-08 08:00:00,裂化活性指数,延炼100万吨/年催化裂化装置,
102.3,ST010217,2025-05-08 08:00:00,催化剂表面积(SBET),延炼100万吨/年催化裂化装置,<p>m<sup>2</sup>/g</p>
0.3,ST010217,2025-05-08 08:00:00,∅（0～5μm）,延炼100万吨/年催化裂化装置,体积分数 %
20.5,ST010217,2025-05-08 08:00:00,∅（≤45.8μm）,延炼100万吨/年催化裂化装置,体积分数 %
54.9,ST010217,2025-05-08 08:00:00,∅（45.8～110μm）,延炼100万吨/年催化裂化装置,体积分数 %
24.6,ST010217,2025-05-08 08:00:00,∅（＞110μm）,延炼100万吨/年催化裂化装置,体积分数 %
3.5,ST010217,2025-05-08 08:00:00,∅（0～20μm）,延炼100万吨/年催化裂化装置,体积分数 %
0.08,ST010217,2025-05-08 08:00:00,含碳量,延炼100万吨/年催化裂化装置,质量分数 %
63,ST010217,2025-05-12 08:00:00,裂化活性指数,延炼100万吨/年催化裂化装置,
100.1,ST010217,2025-05-12 08:00:00,催化剂表面积(SBET),延炼100万吨/年催化裂化装置,<p>m<sup>2</sup>/g</p>
0.3,ST010217,2025-05-12 08:00:00,∅（0～5μm）,延炼100万吨/年催化裂化装置,体积分数 %
23.6,ST010217,2025-05-12 08:00:00,∅（≤45.8μm）,延炼100万吨/年催化裂化装置,体积分数 %
55.2,ST010217,2025-05-12 08:00:00,∅（45.8～110μm）,延炼100万吨/年催化裂化装置,体积分数 %
21.3,ST010217,2025-05-12 08:00:00,∅（＞110μm）,延炼100万吨/年催化裂化装置,体积分数 %
3.1,ST010217,2025-05-12 08:00:00,∅（0～20μm）,延炼100万吨/年催化裂化装置,体积分数 %
0.08,ST010217,2025-05-12 08:00:00,含碳量,延炼100万吨/年催化裂化装置,质量分数 %
63,ST010217,2025-05-15 08:00:00,裂化活性指数,延炼100万吨/年催化裂化装置,
99.3,ST010217,2025-05-15 08:00:00,催化剂表面积(SBET),延炼100万吨/年催化裂化装置,<p>m<sup>2</sup>/g</p>
0.2,ST010217,2025-05-15 08:00:00,∅（0～5μm）,延炼100万吨/年催化裂化装置,体积分数 %
28.1,ST010217,2025-05-15 08:00:00,∅（≤45.8μm）,延炼100万吨/年催化裂化装置,体积分数 %
53.9,ST010217,2025-05-15 08:00:00,∅（45.8～110μm）,延炼100万吨/年催化裂化装置,体积分数 %
17.9,ST010217,2025-05-15 08:00:00,∅（＞110μm）,延炼100万吨/年催化裂化装置,体积分数 %
4.2,ST010217,2025-05-15 08:00:00,∅（0～20μm）,延炼100万吨/年催化裂化装置,体积分数 %
0.06,ST010217,2025-05-15 08:00:00,含碳量,延炼100万吨/年催化裂化装置,质量分数 %
61,ST010217,2025-05-19 08:00:00,裂化活性指数,延炼100万吨/年催化裂化装置,
96.1,ST010217,2025-05-19 08:00:00,催化剂表面积(SBET),延炼100万吨/年催化裂化装置,<p>m<sup>2</sup>/g</p>
0.1,ST010217,2025-05-19 08:00:00,∅（0～5μm）,延炼100万吨/年催化裂化装置,体积分数 %
