result,sampleDotCode,unitName,sampleTime,resultName,deviceName
7.5,ST010216,mL,2025-05-13 08:00:00,t350温度下观察到的回收体积,延炼100万吨/年催化裂化装置
985.4,ST010216,<p>kg/m<sup>3</sup></p>,2025-05-13 08:00:00,密度(20℃),延炼100万吨/年催化裂化装置
1.0,ST010216,mL,2025-05-13 08:00:00,t300温度下观察到的回收体积,延炼100万吨/年催化裂化装置
/,ST010216,mL,2025-05-13 08:00:00,t200温度下观察到的回收体积,延炼100万吨/年催化裂化装置
/,ST010216,mL,2025-05-13 08:00:00,t180温度下观察到的回收体积,延炼100万吨/年催化裂化装置
/,ST010216,mL,2025-05-13 08:00:00,t100温度下观察到的回收体积,延炼100万吨/年催化裂化装置
/,ST010216,℃,2025-05-13 08:00:00,40%回收校正值(T40%),延炼100万吨/年催化裂化装置
/,ST010216,℃,2025-05-13 08:00:00,10%回收校正值(T10%),延炼100万吨/年催化裂化装置
247,ST010216,℃,2025-05-13 08:00:00,初馏点校正值(TIBP),延炼100万吨/年催化裂化装置
/,ST010216,℃,2025-05-13 08:00:00,5%回收校正值(5%),延炼100万吨/年催化裂化装置
/,ST010216,℃,2025-05-13 08:00:00,20%回收校正值(T20%),延炼100万吨/年催化裂化装置
/,ST010216,℃,2025-05-13 08:00:00,30%回收校正值(T30%),延炼100万吨/年催化裂化装置
/,ST010216,℃,2025-05-13 08:00:00,50%回收校正值(T50%),延炼100万吨/年催化裂化装置
976.1,ST010216,<p>kg/m<sup>3</sup></p>,2025-06-10 08:00:00,密度(20℃),延炼100万吨/年催化裂化装置
6.5,ST010216,mL,2025-06-10 08:00:00,t350温度下观察到的回收体积,延炼100万吨/年催化裂化装置
1.5,ST010216,mL,2025-06-10 08:00:00,t300温度下观察到的回收体积,延炼100万吨/年催化裂化装置
/,ST010216,mL,2025-06-10 08:00:00,t200温度下观察到的回收体积,延炼100万吨/年催化裂化装置
/,ST010216,mL,2025-06-10 08:00:00,t180温度下观察到的回收体积,延炼100万吨/年催化裂化装置
/,ST010216,mL,2025-06-10 08:00:00,t100温度下观察到的回收体积,延炼100万吨/年催化裂化装置
/,ST010216,℃,2025-06-10 08:00:00,40%回收校正值(T40%),延炼100万吨/年催化裂化装置
/,ST010216,℃,2025-06-10 08:00:00,10%回收校正值(T10%),延炼100万吨/年催化裂化装置
241,ST010216,℃,2025-06-10 08:00:00,初馏点校正值(TIBP),延炼100万吨/年催化裂化装置
/,ST010216,℃,2025-06-10 08:00:00,5%回收校正值(5%),延炼100万吨/年催化裂化装置
/,ST010216,℃,2025-06-10 08:00:00,20%回收校正值(T20%),延炼100万吨/年催化裂化装置
/,ST010216,℃,2025-06-10 08:00:00,30%回收校正值(T30%),延炼100万吨/年催化裂化装置
/,ST010216,℃,2025-06-10 08:00:00,50%回收校正值(T50%),延炼100万吨/年催化裂化装置
978.8,ST010216,<p>kg/m<sup>3</sup></p>,2025-07-08 08:00:00,密度(20℃),延炼100万吨/年催化裂化装置
7.5,ST010216,mL,2025-07-08 08:00:00,t350温度下观察到的回收体积,延炼100万吨/年催化裂化装置
1.5,ST010216,mL,2025-07-08 08:00:00,t300温度下观察到的回收体积,延炼100万吨/年催化裂化装置
/,ST010216,mL,2025-07-08 08:00:00,t200温度下观察到的回收体积,延炼100万吨/年催化裂化装置
/,ST010216,mL,2025-07-08 08:00:00,t180温度下观察到的回收体积,延炼100万吨/年催化裂化装置
/,ST010216,mL,2025-07-08 08:00:00,t100温度下观察到的回收体积,延炼100万吨/年催化裂化装置
/,ST010216,℃,2025-07-08 08:00:00,40%回收校正值(T40%),延炼100万吨/年催化裂化装置
/,ST010216,℃,2025-07-08 08:00:00,10%回收校正值(T10%),延炼100万吨/年催化裂化装置
244,ST010216,℃,2025-07-08 08:00:00,初馏点校正值(TIBP),延炼100万吨/年催化裂化装置
/,ST010216,℃,2025-07-08 08:00:00,5%回收校正值(5%),延炼100万吨/年催化裂化装置
/,ST010216,℃,2025-07-08 08:00:00,20%回收校正值(T20%),延炼100万吨/年催化裂化装置
/,ST010216,℃,2025-07-08 08:00:00,30%回收校正值(T30%),延炼100万吨/年催化裂化装置
/,ST010216,℃,2025-07-08 08:00:00,50%回收校正值(T50%),延炼100万吨/年催化裂化装置
970.4,ST010216,<p>kg/m<sup>3</sup></p>,2025-08-12 08:00:00,密度(20℃),延炼100万吨/年催化裂化装置
7.5,ST010216,mL,2025-08-12 08:00:00,t350温度下观察到的回收体积,延炼100万吨/年催化裂化装置
1.5,ST010216,mL,2025-08-12 08:00:00,t300温度下观察到的回收体积,延炼100万吨/年催化裂化装置
/,ST010216,mL,2025-08-12 08:00:00,t200温度下观察到的回收体积,延炼100万吨/年催化裂化装置
/,ST010216,mL,2025-08-12 08:00:00,t180温度下观察到的回收体积,延炼100万吨/年催化裂化装置
/,ST010216,mL,2025-08-12 08:00:00,t100温度下观察到的回收体积,延炼100万吨/年催化裂化装置
/,ST010216,℃,2025-08-12 08:00:00,40%回收校正值(T40%),延炼100万吨/年催化裂化装置
/,ST010216,℃,2025-08-12 08:00:00,10%回收校正值(T10%),延炼100万吨/年催化裂化装置
246,ST010216,℃,2025-08-12 08:00:00,初馏点校正值(TIBP),延炼100万吨/年催化裂化装置
/,ST010216,℃,2025-08-12 08:00:00,5%回收校正值(5%),延炼100万吨/年催化裂化装置
