result,sampleDotCode,unitName,sampleTime,resultName,deviceName
1.93,ST010223,%（v/v) ,2025-05-01 08:00:00,二氧化碳,延炼100万吨/年催化裂化装置
12600.0,ST010223,<p>mg/kg</p>,2025-05-01 08:00:00,硫化氢,延炼100万吨/年催化裂化装置
11.17,ST010223,%（v/v) ,2025-05-01 08:00:00,氮气,延炼100万吨/年催化裂化装置
0.94,ST010223,%（v/v) ,2025-05-01 08:00:00,一氧化碳,延炼100万吨/年催化裂化装置
10.34,ST010223,%（v/v) ,2025-05-01 08:00:00,氢气,延炼100万吨/年催化裂化装置
14.00,ST010223,%（v/v) ,2025-05-01 08:00:00,甲烷,延炼100万吨/年催化裂化装置
13.96,ST010223,%（v/v) ,2025-05-01 08:00:00,乙烷,延炼100万吨/年催化裂化装置
10.12,ST010223,%（v/v) ,2025-05-01 08:00:00,乙烯,延炼100万吨/年催化裂化装置
5.23,ST010223,%（v/v) ,2025-05-01 08:00:00,丙烷,延炼100万吨/年催化裂化装置
24.79,ST010223,%（v/v) ,2025-05-01 08:00:00,丙烯,延炼100万吨/年催化裂化装置
0.55,ST010223,%（v/v) ,2025-05-01 08:00:00,碳五,延炼100万吨/年催化裂化装置
6.46,ST010223,%（v/v) ,2025-05-01 08:00:00,C4合计,延炼100万吨/年催化裂化装置
0.77,ST010223,%（v/v) ,2025-05-01 08:00:00,异丁烯,延炼100万吨/年催化裂化装置
0.67,ST010223,%（v/v) ,2025-05-01 08:00:00,正丁烯,延炼100万吨/年催化裂化装置
0.85,ST010223,%（v/v) ,2025-05-01 08:00:00,反丁烯,延炼100万吨/年催化裂化装置
0.60,ST010223,%（v/v) ,2025-05-01 08:00:00,顺丁烯,延炼100万吨/年催化裂化装置
0.61,ST010223,%（v/v) ,2025-05-01 08:00:00,正丁烷,延炼100万吨/年催化裂化装置
2.95,ST010223,%（v/v) ,2025-05-01 08:00:00,异丁烷,延炼100万吨/年催化裂化装置
0.52,ST010223,%（v/v) ,2025-05-01 08:00:00,氧气,延炼100万吨/年催化裂化装置
1.26,ST010223,%（v/v) ,2025-06-01 08:00:00,二氧化碳,延炼100万吨/年催化裂化装置
13000.0,ST010223,<p>mg/kg</p>,2025-06-01 08:00:00,硫化氢,延炼100万吨/年催化裂化装置
10.13,ST010223,%（v/v) ,2025-06-01 08:00:00,氮气,延炼100万吨/年催化裂化装置
0.79,ST010223,%（v/v) ,2025-06-01 08:00:00,一氧化碳,延炼100万吨/年催化裂化装置
7.76,ST010223,%（v/v) ,2025-06-01 08:00:00,氢气,延炼100万吨/年催化裂化装置
10.63,ST010223,%（v/v) ,2025-06-01 08:00:00,甲烷,延炼100万吨/年催化裂化装置
9.56,ST010223,%（v/v) ,2025-06-01 08:00:00,乙烷,延炼100万吨/年催化裂化装置
7.94,ST010223,%（v/v) ,2025-06-01 08:00:00,乙烯,延炼100万吨/年催化裂化装置
6.20,ST010223,%（v/v) ,2025-06-01 08:00:00,丙烷,延炼100万吨/年催化裂化装置
38.75,ST010223,%（v/v) ,2025-06-01 08:00:00,丙烯,延炼100万吨/年催化裂化装置
0.38,ST010223,%（v/v) ,2025-06-01 08:00:00,碳五,延炼100万吨/年催化裂化装置
