result,sampleDotCode,unitName,sampleTime,resultName,deviceName
2.33,ST010221,%（v/v) ,2025-05-01 08:00:00,二氧化碳,延炼100万吨/年催化裂化装置
1.76,ST010221,%（v/v) ,2025-05-01 08:00:00,氧气,延炼100万吨/年催化裂化装置
22.64,ST010221,%（v/v) ,2025-05-01 08:00:00,氮气,延炼100万吨/年催化裂化装置
1.71,ST010221,%（v/v) ,2025-05-01 08:00:00,一氧化碳,延炼100万吨/年催化裂化装置
20.30,ST010221,%（v/v) ,2025-05-01 08:00:00,氢气,延炼100万吨/年催化裂化装置
24.37,ST010221,%（v/v) ,2025-05-01 08:00:00,甲烷,延炼100万吨/年催化裂化装置
11.65,ST010221,%（v/v) ,2025-05-01 08:00:00,乙烷,延炼100万吨/年催化裂化装置
12.65,ST010221,%（v/v) ,2025-05-01 08:00:00,乙烯,延炼100万吨/年催化裂化装置
0.43,ST010221,%（v/v) ,2025-05-01 08:00:00,丙烷,延炼100万吨/年催化裂化装置
1.41,ST010221,%（v/v) ,2025-05-01 08:00:00,丙烯,延炼100万吨/年催化裂化装置
0.00,ST010221,%（v/v) ,2025-05-01 08:00:00,碳五,延炼100万吨/年催化裂化装置
0.76,ST010221,%（v/v) ,2025-05-01 08:00:00,C4合计,延炼100万吨/年催化裂化装置
0.08,ST010221,%（v/v) ,2025-05-01 08:00:00,异丁烯,延炼100万吨/年催化裂化装置
0.08,ST010221,%（v/v) ,2025-05-01 08:00:00,正丁烯,延炼100万吨/年催化裂化装置
0.15,ST010221,%（v/v) ,2025-05-01 08:00:00,反丁烯,延炼100万吨/年催化裂化装置
0.10,ST010221,%（v/v) ,2025-05-01 08:00:00,顺丁烯,延炼100万吨/年催化裂化装置
0.12,ST010221,%（v/v) ,2025-05-01 08:00:00,正丁烷,延炼100万吨/年催化裂化装置
0.23,ST010221,%（v/v) ,2025-05-01 08:00:00,异丁烷,延炼100万吨/年催化裂化装置
3000.0,ST010221,<p>mg/kg</p>,2025-05-01 08:00:00,硫化氢,延炼100万吨/年催化裂化装置
3500.0,ST010221,<p>mg/kg</p>,2025-05-08 08:00:00,硫化氢,延炼100万吨/年催化裂化装置
2.74,ST010221,%（v/v) ,2025-05-08 08:00:00,二氧化碳,延炼100万吨/年催化裂化装置
0.59,ST010221,%（v/v) ,2025-05-08 08:00:00,氧气,延炼100万吨/年催化裂化装置
21.47,ST010221,%（v/v) ,2025-05-08 08:00:00,氮气,延炼100万吨/年催化裂化装置
1.88,ST010221,%（v/v) ,2025-05-08 08:00:00,一氧化碳,延炼100万吨/年催化裂化装置
20.00,ST010221,%（v/v) ,2025-05-08 08:00:00,氢气,延炼100万吨/年催化裂化装置
25.30,ST010221,%（v/v) ,2025-05-08 08:00:00,甲烷,延炼100万吨/年催化裂化装置
12.00,ST010221,%（v/v) ,2025-05-08 08:00:00,乙烷,延炼100万吨/年催化裂化装置
12.95,ST010221,%（v/v) ,2025-05-08 08:00:00,乙烯,延炼100万吨/年催化裂化装置
0.46,ST010221,%（v/v) ,2025-05-08 08:00:00,丙烷,延炼100万吨/年催化裂化装置
1.66,ST010221,%（v/v) ,2025-05-08 08:00:00,丙烯,延炼100万吨/年催化裂化装置
0.00,ST010221,%（v/v) ,2025-05-08 08:00:00,碳五,延炼100万吨/年催化裂化装置
0.96,ST010221,%（v/v) ,2025-05-08 08:00:00,C4合计,延炼100万吨/年催化裂化装置
0.10,ST010221,%（v/v) ,2025-05-08 08:00:00,异丁烯,延炼100万吨/年催化裂化装置
0.09,ST010221,%（v/v) ,2025-05-08 08:00:00,正丁烯,延炼100万吨/年催化裂化装置
0.19,ST010221,%（v/v) ,2025-05-08 08:00:00,反丁烯,延炼100万吨/年催化裂化装置
0.14,ST010221,%（v/v) ,2025-05-08 08:00:00,顺丁烯,延炼100万吨/年催化裂化装置
0.15,ST010221,%（v/v) ,2025-05-08 08:00:00,正丁烷,延炼100万吨/年催化裂化装置
0.30,ST010221,%（v/v) ,2025-05-08 08:00:00,异丁烷,延炼100万吨/年催化裂化装置
2.46,ST010221,%（v/v) ,2025-05-15 08:00:00,二氧化碳,延炼100万吨/年催化裂化装置
