result,sampleDotCode,unitName,sampleTime,resultName,deviceName
1.15,ST010218,质量分数 %,2025-05-05 08:00:00,含碳量,延炼100万吨/年催化裂化装置
1.18,ST010218,质量分数 %,2025-05-12 08:00:00,含碳量,延炼100万吨/年催化裂化装置
1.12,ST010218,质量分数 %,2025-05-19 08:00:00,含碳量,延炼100万吨/年催化裂化装置
1.18,ST010218,质量分数 %,2025-05-26 08:00:00,含碳量,延炼100万吨/年催化裂化装置
1.14,ST010218,质量分数 %,2025-06-02 08:00:00,含碳量,延炼100万吨/年催化裂化装置
1.14,ST010218,质量分数 %,2025-06-09 08:00:00,含碳量,延炼100万吨/年催化裂化装置
1.12,ST010218,质量分数 %,2025-06-16 08:00:00,含碳量,延炼100万吨/年催化裂化装置
1.16,ST010218,质量分数 %,2025-06-23 08:00:00,含碳量,延炼100万吨/年催化裂化装置
1.18,ST010218,质量分数 %,2025-06-30 08:00:00,含碳量,延炼100万吨/年催化裂化装置
1.13,ST010218,质量分数 %,2025-07-07 08:00:00,含碳量,延炼100万吨/年催化裂化装置
1.13,ST010218,质量分数 %,2025-07-14 08:00:00,含碳量,延炼100万吨/年催化裂化装置
1.11,ST010218,质量分数 %,2025-07-21 08:00:00,含碳量,延炼100万吨/年催化裂化装置
1.12,ST010218,质量分数 %,2025-07-28 08:00:00,含碳量,延炼100万吨/年催化裂化装置
1.16,ST010218,质量分数 %,2025-08-04 08:00:00,含碳量,延炼100万吨/年催化裂化装置
1.12,ST010218,质量分数 %,2025-08-11 08:00:00,含碳量,延炼100万吨/年催化裂化装置
1.10,ST010218,质量分数 %,2025-08-18 08:00:00,含碳量,延炼100万吨/年催化裂化装置
1.11,ST010218,质量分数 %,2025-08-25 08:00:00,含碳量,延炼100万吨/年催化裂化装置
1.15,ST010218,质量分数 %,2025-09-01 08:00:00,含碳量,延炼100万吨/年催化裂化装置
1.16,ST010218,质量分数 %,2025-09-08 08:00:00,含碳量,延炼100万吨/年催化裂化装置
1.14,ST010218,质量分数 %,2025-09-15 08:00:00,含碳量,延炼100万吨/年催化裂化装置
1.11,ST010218,质量分数 %,2025-09-22 08:00:00,含碳量,延炼100万吨/年催化裂化装置
1.15,ST010218,质量分数 %,2025-09-29 08:00:00,含碳量,延炼100万吨/年催化裂化装置
1.14,ST010218,质量分数 %,2025-10-06 08:00:00,含碳量,延炼100万吨/年催化裂化装置
1.16,ST010218,质量分数 %,2025-10-13 08:00:00,含碳量,延炼100万吨/年催化裂化装置
1.14,ST010218,质量分数 %,2025-10-20 08:00:00,含碳量,延炼100万吨/年催化裂化装置
1.13,ST010218,质量分数 %,2025-10-27 08:00:00,含碳量,延炼100万吨/年催化裂化装置
1.16,ST010218,质量分数 %,2025-11-03 08:00:00,含碳量,延炼100万吨/年催化裂化装置
1.16,ST010218,质量分数 %,2025-11-10 08:00:00,含碳量,延炼100万吨/年催化裂化装置
1.15,ST010218,质量分数 %,2025-11-17 08:00:00,含碳量,延炼100万吨/年催化裂化装置
1.11,ST010218,质量分数 %,2025-11-24 08:00:00,含碳量,延炼100万吨/年催化裂化装置
1.15,ST010218,质量分数 %,2025-12-01 08:00:00,含碳量,延炼100万吨/年催化裂化装置
1.12,ST010218,质量分数 %,2025-12-08 08:00:00,含碳量,延炼100万吨/年催化裂化装置
1.14,ST010218,质量分数 %,2025-12-15 08:00:00,含碳量,延炼100万吨/年催化裂化装置
1.14,ST010218,质量分数 %,2025-12-22 08:00:00,含碳量,延炼100万吨/年催化裂化装置
1.11,ST010218,质量分数 %,2025-12-29 08:00:00,含碳量,延炼100万吨/年催化裂化装置
1.15,ST010218,质量分数 %,2026-01-05 08:00:00,含碳量,延炼100万吨/年催化裂化装置
1.16,ST010218,质量分数 %,2026-01-12 08:00:00,含碳量,延炼100万吨/年催化裂化装置
1.14,ST010218,质量分数 %,2026-01-19 08:00:00,含碳量,延炼100万吨/年催化裂化装置
1.16,ST010218,质量分数 %,2026-01-26 08:00:00,含碳量,延炼100万吨/年催化裂化装置
1.16,ST010218,质量分数 %,2026-02-02 08:00:00,含碳量,延炼100万吨/年催化裂化装置
1.16,ST010218,质量分数 %,2026-02-09 08:00:00,含碳量,延炼100万吨/年催化裂化装置
1.15,ST010218,质量分数 %,2026-02-16 08:00:00,含碳量,延炼100万吨/年催化裂化装置
1.16,ST010218,质量分数 %,2026-02-23 08:00:00,含碳量,延炼100万吨/年催化裂化装置
1.12,ST010218,质量分数 %,2026-03-02 08:00:00,含碳量,延炼100万吨/年催化裂化装置
1.15,ST010218,质量分数 %,2026-03-09 08:00:00,含碳量,延炼100万吨/年催化裂化装置
1.13,ST010218,质量分数 %,2026-03-16 08:00:00,含碳量,延炼100万吨/年催化裂化装置
1.14,ST010218,质量分数 %,2026-03-23 08:00:00,含碳量,延炼100万吨/年催化裂化装置
1.16,ST010218,质量分数 %,2026-03-30 08:00:00,含碳量,延炼100万吨/年催化裂化装置
1.16,ST010218,质量分数 %,2026-04-06 08:00:00,含碳量,延炼100万吨/年催化裂化装置
1.15,ST010218,质量分数 %,2026-04-13 08:00:00,含碳量,延炼100万吨/年催化裂化装置
1.16,ST010218,质量分数 %,2026-04-20 08:00:00,含碳量,延炼100万吨/年催化裂化装置
