result,sampleDotCode,unitName,sampleTime,resultName,deviceName
1070.4,ST010238,<p>kg/m<sup>3</sup></p>,2025-05-01 08:00:00,密度(20℃),延炼100万吨/年催化裂化装置
3.2,ST010238,g/L,2025-05-01 08:00:00,固含量,延炼100万吨/年催化裂化装置
1072.1,ST010238,<p>kg/m<sup>3</sup></p>,2025-05-02 08:04:00,密度(20℃),延炼100万吨/年催化裂化装置
4.4,ST010238,g/L,2025-05-02 08:04:00,固含量,延炼100万吨/年催化裂化装置
1071.8,ST010238,<p>kg/m<sup>3</sup></p>,2025-05-05 08:00:00,密度(20℃),延炼100万吨/年催化裂化装置
4.4,ST010238,g/L,2025-05-05 08:00:00,固含量,延炼100万吨/年催化裂化装置
1072.3,ST010238,<p>kg/m<sup>3</sup></p>,2025-05-08 08:00:00,密度(20℃),延炼100万吨/年催化裂化装置
4.6,ST010238,g/L,2025-05-08 08:00:00,固含量,延炼100万吨/年催化裂化装置
1070.4,ST010238,<p>kg/m<sup>3</sup></p>,2025-05-12 08:00:00,密度(20℃),延炼100万吨/年催化裂化装置
4.4,ST010238,g/L,2025-05-12 08:00:00,固含量,延炼100万吨/年催化裂化装置
4.1,ST010238,g/L,2025-05-15 08:00:00,固含量,延炼100万吨/年催化裂化装置
1071.6,ST010238,<p>kg/m<sup>3</sup></p>,2025-05-15 08:00:00,密度(20℃),延炼100万吨/年催化裂化装置
4.8,ST010238,g/L,2025-05-19 08:00:00,固含量,延炼100万吨/年催化裂化装置
1074.4,ST010238,<p>kg/m<sup>3</sup></p>,2025-05-19 08:00:00,密度(20℃),延炼100万吨/年催化裂化装置
1073.7,ST010238,<p>kg/m<sup>3</sup></p>,2025-05-22 08:00:00,密度(20℃),延炼100万吨/年催化裂化装置
4.4,ST010238,g/L,2025-05-22 08:00:00,固含量,延炼100万吨/年催化裂化装置
1072.8,ST010238,<p>kg/m<sup>3</sup></p>,2025-05-26 08:00:00,密度(20℃),延炼100万吨/年催化裂化装置
4.4,ST010238,g/L,2025-05-26 08:00:00,固含量,延炼100万吨/年催化裂化装置
4.4,ST010238,g/L,2025-05-29 08:00:00,固含量,延炼100万吨/年催化裂化装置
1071.4,ST010238,<p>kg/m<sup>3</sup></p>,2025-05-29 08:00:00,密度(20℃),延炼100万吨/年催化裂化装置
1069.0,ST010238,<p>kg/m<sup>3</sup></p>,2025-06-02 08:03:00,密度(20℃),延炼100万吨/年催化裂化装置
3.9,ST010238,g/L,2025-06-02 08:03:00,固含量,延炼100万吨/年催化裂化装置
1070.4,ST010238,<p>kg/m<sup>3</sup></p>,2025-06-05 08:00:00,密度(20℃),延炼100万吨/年催化裂化装置
3.2,ST010238,g/L,2025-06-05 08:00:00,固含量,延炼100万吨/年催化裂化装置
1071.4,ST010238,<p>kg/m<sup>3</sup></p>,2025-06-09 08:00:00,密度(20℃),延炼100万吨/年催化裂化装置
3.4,ST010238,g/L,2025-06-09 08:00:00,固含量,延炼100万吨/年催化裂化装置
1070.8,ST010238,<p>kg/m<sup>3</sup></p>,2025-06-12 08:00:00,密度(20℃),延炼100万吨/年催化裂化装置
3.2,ST010238,g/L,2025-06-12 08:00:00,固含量,延炼100万吨/年催化裂化装置
1069.8,ST010238,<p>kg/m<sup>3</sup></p>,2025-06-16 08:00:00,密度(20℃),延炼100万吨/年催化裂化装置
3.2,ST010238,g/L,2025-06-16 08:00:00,固含量,延炼100万吨/年催化裂化装置
1071.1,ST010238,<p>kg/m<sup>3</sup></p>,2025-06-19 08:00:00,密度(20℃),延炼100万吨/年催化裂化装置
4.8,ST010238,g/L,2025-06-19 08:00:00,固含量,延炼100万吨/年催化裂化装置
1070.4,ST010238,<p>kg/m<sup>3</sup></p>,2025-06-23 08:00:00,密度(20℃),延炼100万吨/年催化裂化装置
4.4,ST010238,g/L,2025-06-23 08:00:00,固含量,延炼100万吨/年催化裂化装置
1071.2,ST010238,<p>kg/m<sup>3</sup></p>,2025-06-26 08:00:00,密度(20℃),延炼100万吨/年催化裂化装置
3.4,ST010238,g/L,2025-06-26 08:00:00,固含量,延炼100万吨/年催化裂化装置
1072.1,ST010238,<p>kg/m<sup>3</sup></p>,2025-06-30 08:00:00,密度(20℃),延炼100万吨/年催化裂化装置
4.4,ST010238,g/L,2025-06-30 08:00:00,固含量,延炼100万吨/年催化裂化装置
1070.7,ST010238,<p>kg/m<sup>3</sup></p>,2025-07-03 08:00:00,密度(20℃),延炼100万吨/年催化裂化装置
3.4,ST010238,g/L,2025-07-03 08:00:00,固含量,延炼100万吨/年催化裂化装置
1071.6,ST010238,<p>kg/m<sup>3</sup></p>,2025-07-07 08:00:00,密度(20℃),延炼100万吨/年催化裂化装置
4.8,ST010238,g/L,2025-07-07 08:00:00,固含量,延炼100万吨/年催化裂化装置
1070.4,ST010238,<p>kg/m<sup>3</sup></p>,2025-07-10 08:00:00,密度(20℃),延炼100万吨/年催化裂化装置
4.4,ST010238,g/L,2025-07-10 08:00:00,固含量,延炼100万吨/年催化裂化装置
1071.0,ST010238,<p>kg/m<sup>3</sup></p>,2025-07-14 08:00:00,密度(20℃),延炼100万吨/年催化裂化装置
3.4,ST010238,g/L,2025-07-14 08:00:00,固含量,延炼100万吨/年催化裂化装置
1070.6,ST010238,<p>kg/m<sup>3</sup></p>,2025-07-17 08:00:00,密度(20℃),延炼100万吨/年催化裂化装置
4.4,ST010238,g/L,2025-07-17 08:00:00,固含量,延炼100万吨/年催化裂化装置
1071.2,ST010238,<p>kg/m<sup>3</sup></p>,2025-07-21 08:00:00,密度(20℃),延炼100万吨/年催化裂化装置
3.4,ST010238,g/L,2025-07-21 08:00:00,固含量,延炼100万吨/年催化裂化装置
1071.5,ST010238,<p>kg/m<sup>3</sup></p>,2025-07-24 08:00:00,密度(20℃),延炼100万吨/年催化裂化装置
4.4,ST010238,g/L,2025-07-24 08:00:00,固含量,延炼100万吨/年催化裂化装置
1070.8,ST010238,<p>kg/m<sup>3</sup></p>,2025-07-28 08:00:00,密度(20℃),延炼100万吨/年催化裂化装置
4.4,ST010238,g/L,2025-07-28 08:00:00,固含量,延炼100万吨/年催化裂化装置
1066.7,ST010238,<p>kg/m<sup>3</sup></p>,2025-07-31 08:00:00,密度(20℃),延炼100万吨/年催化裂化装置
4.8,ST010238,g/L,2025-07-31 08:00:00,固含量,延炼100万吨/年催化裂化装置
