result,sampleDotCode,unitName,sampleTime,resultName,deviceName
25.6,ST010220,<p>mg/m<sup>3</sup></p>,2025-05-01 08:00:00,硫化氢,延炼100万吨/年催化裂化装置
0.00,ST010220,"<p>%(v/v)</p>
",2025-05-01 08:00:00,乙烷+乙烯,延炼100万吨/年催化裂化装置
9.24,ST010220,<p>%(v/v)</p>,2025-05-01 08:00:00,丙烷,延炼100万吨/年催化裂化装置
36.76,ST010220,<p>%(v/v)</p>,2025-05-01 08:00:00,丙烯,延炼100万吨/年催化裂化装置
19.45,ST010220,<p>%(v/v)</p>,2025-05-01 08:00:00,异丁烷,延炼100万吨/年催化裂化装置
5.44,ST010220,<p>%(v/v)</p>,2025-05-01 08:00:00,正丁烷,延炼100万吨/年催化裂化装置
13.01,ST010220,<p>%(v/v)</p>,2025-05-01 08:00:00,正丁烯+异丁烯,延炼100万吨/年催化裂化装置
9.21,ST010220,<p>%(v/v)</p>,2025-05-01 08:00:00,反丁烯,延炼100万吨/年催化裂化装置
6.89,ST010220,<p>%(v/v)</p>,2025-05-01 08:00:00,顺丁烯,延炼100万吨/年催化裂化装置
0.00,ST010220,<p>%(v/v)</p>,2025-05-01 08:00:00,碳五,延炼100万吨/年催化裂化装置
0.00,ST010220,"<p>%(v/v)</p>
",2025-05-02 08:00:00,乙烷+乙烯,延炼100万吨/年催化裂化装置
6.81,ST010220,<p>%(v/v)</p>,2025-05-02 08:00:00,丙烷,延炼100万吨/年催化裂化装置
26.07,ST010220,<p>%(v/v)</p>,2025-05-02 08:00:00,丙烯,延炼100万吨/年催化裂化装置
20.49,ST010220,<p>%(v/v)</p>,2025-05-02 08:00:00,异丁烷,延炼100万吨/年催化裂化装置
7.29,ST010220,<p>%(v/v)</p>,2025-05-02 08:00:00,正丁烷,延炼100万吨/年催化裂化装置
15.92,ST010220,<p>%(v/v)</p>,2025-05-02 08:00:00,正丁烯+异丁烯,延炼100万吨/年催化裂化装置
13.15,ST010220,<p>%(v/v)</p>,2025-05-02 08:00:00,反丁烯,延炼100万吨/年催化裂化装置
10.27,ST010220,<p>%(v/v)</p>,2025-05-02 08:00:00,顺丁烯,延炼100万吨/年催化裂化装置
0.00,ST010220,<p>%(v/v)</p>,2025-05-02 08:00:00,碳五,延炼100万吨/年催化裂化装置
0.00,ST010220,"<p>%(v/v)</p>
",2025-05-03 08:00:00,乙烷+乙烯,延炼100万吨/年催化裂化装置
9.76,ST010220,<p>%(v/v)</p>,2025-05-03 08:00:00,丙烷,延炼100万吨/年催化裂化装置
38.76,ST010220,<p>%(v/v)</p>,2025-05-03 08:00:00,丙烯,延炼100万吨/年催化裂化装置
19.31,ST010220,<p>%(v/v)</p>,2025-05-03 08:00:00,异丁烷,延炼100万吨/年催化裂化装置
5.15,ST010220,<p>%(v/v)</p>,2025-05-03 08:00:00,正丁烷,延炼100万吨/年催化裂化装置
12.18,ST010220,<p>%(v/v)</p>,2025-05-03 08:00:00,正丁烯+异丁烯,延炼100万吨/年催化裂化装置
8.49,ST010220,<p>%(v/v)</p>,2025-05-03 08:00:00,反丁烯,延炼100万吨/年催化裂化装置
6.35,ST010220,<p>%(v/v)</p>,2025-05-03 08:00:00,顺丁烯,延炼100万吨/年催化裂化装置
0.00,ST010220,<p>%(v/v)</p>,2025-05-03 08:00:00,碳五,延炼100万吨/年催化裂化装置
0.00,ST010220,"<p>%(v/v)</p>
",2025-05-04 08:00:00,乙烷+乙烯,延炼100万吨/年催化裂化装置
10.02,ST010220,<p>%(v/v)</p>,2025-05-04 08:00:00,丙烷,延炼100万吨/年催化裂化装置
40.68,ST010220,<p>%(v/v)</p>,2025-05-04 08:00:00,丙烯,延炼100万吨/年催化裂化装置
19.67,ST010220,<p>%(v/v)</p>,2025-05-04 08:00:00,异丁烷,延炼100万吨/年催化裂化装置
4.61,ST010220,<p>%(v/v)</p>,2025-05-04 08:00:00,正丁烷,延炼100万吨/年催化裂化装置
12.04,ST010220,<p>%(v/v)</p>,2025-05-04 08:00:00,正丁烯+异丁烯,延炼100万吨/年催化裂化装置
7.53,ST010220,<p>%(v/v)</p>,2025-05-04 08:00:00,反丁烯,延炼100万吨/年催化裂化装置
5.45,ST010220,<p>%(v/v)</p>,2025-05-04 08:00:00,顺丁烯,延炼100万吨/年催化裂化装置
0.00,ST010220,<p>%(v/v)</p>,2025-05-04 08:00:00,碳五,延炼100万吨/年催化裂化装置
0.00,ST010220,"<p>%(v/v)</p>
",2025-05-05 08:00:00,乙烷+乙烯,延炼100万吨/年催化裂化装置
10.17,ST010220,<p>%(v/v)</p>,2025-05-05 08:00:00,丙烷,延炼100万吨/年催化裂化装置
34.12,ST010220,<p>%(v/v)</p>,2025-05-05 08:00:00,丙烯,延炼100万吨/年催化裂化装置
19.17,ST010220,<p>%(v/v)</p>,2025-05-05 08:00:00,异丁烷,延炼100万吨/年催化裂化装置
5.70,ST010220,<p>%(v/v)</p>,2025-05-05 08:00:00,正丁烷,延炼100万吨/年催化裂化装置
13.25,ST010220,<p>%(v/v)</p>,2025-05-05 08:00:00,正丁烯+异丁烯,延炼100万吨/年催化裂化装置
10.02,ST010220,<p>%(v/v)</p>,2025-05-05 08:00:00,反丁烯,延炼100万吨/年催化裂化装置
7.57,ST010220,<p>%(v/v)</p>,2025-05-05 08:00:00,顺丁烯,延炼100万吨/年催化裂化装置
0.00,ST010220,<p>%(v/v)</p>,2025-05-05 08:00:00,碳五,延炼100万吨/年催化裂化装置
0.00,ST010220,"<p>%(v/v)</p>
",2025-05-06 08:00:00,乙烷+乙烯,延炼100万吨/年催化裂化装置
7.66,ST010220,<p>%(v/v)</p>,2025-05-06 08:00:00,丙烷,延炼100万吨/年催化裂化装置
29.61,ST010220,<p>%(v/v)</p>,2025-05-06 08:00:00,丙烯,延炼100万吨/年催化裂化装置
20.71,ST010220,<p>%(v/v)</p>,2025-05-06 08:00:00,异丁烷,延炼100万吨/年催化裂化装置
6.67,ST010220,<p>%(v/v)</p>,2025-05-06 08:00:00,正丁烷,延炼100万吨/年催化裂化装置
14.87,ST010220,<p>%(v/v)</p>,2025-05-06 08:00:00,正丁烯+异丁烯,延炼100万吨/年催化裂化装置
11.57,ST010220,<p>%(v/v)</p>,2025-05-06 08:00:00,反丁烯,延炼100万吨/年催化裂化装置
8.91,ST010220,<p>%(v/v)</p>,2025-05-06 08:00:00,顺丁烯,延炼100万吨/年催化裂化装置
0.00,ST010220,<p>%(v/v)</p>,2025-05-06 08:00:00,碳五,延炼100万吨/年催化裂化装置
0.00,ST010220,"<p>%(v/v)</p>
",2025-05-07 08:00:00,乙烷+乙烯,延炼100万吨/年催化裂化装置
8.88,ST010220,<p>%(v/v)</p>,2025-05-07 08:00:00,丙烷,延炼100万吨/年催化裂化装置
35.77,ST010220,<p>%(v/v)</p>,2025-05-07 08:00:00,丙烯,延炼100万吨/年催化裂化装置
19.20,ST010220,<p>%(v/v)</p>,2025-05-07 08:00:00,异丁烷,延炼100万吨/年催化裂化装置
5.89,ST010220,<p>%(v/v)</p>,2025-05-07 08:00:00,正丁烷,延炼100万吨/年催化裂化装置
12.51,ST010220,<p>%(v/v)</p>,2025-05-07 08:00:00,正丁烯+异丁烯,延炼100万吨/年催化裂化装置
9.34,ST010220,<p>%(v/v)</p>,2025-05-07 08:00:00,反丁烯,延炼100万吨/年催化裂化装置
7.07,ST010220,<p>%(v/v)</p>,2025-05-07 08:00:00,顺丁烯,延炼100万吨/年催化裂化装置
1.34,ST010220,<p>%(v/v)</p>,2025-05-07 08:00:00,碳五,延炼100万吨/年催化裂化装置
24.3,ST010220,<p>mg/m<sup>3</sup></p>,2025-05-08 08:00:00,硫化氢,延炼100万吨/年催化裂化装置
0.00,ST010220,"<p>%(v/v)</p>
",2025-05-08 08:00:00,乙烷+乙烯,延炼100万吨/年催化裂化装置
8.93,ST010220,<p>%(v/v)</p>,2025-05-08 08:00:00,丙烷,延炼100万吨/年催化裂化装置
35.38,ST010220,<p>%(v/v)</p>,2025-05-08 08:00:00,丙烯,延炼100万吨/年催化裂化装置
19.46,ST010220,<p>%(v/v)</p>,2025-05-08 08:00:00,异丁烷,延炼100万吨/年催化裂化装置
5.88,ST010220,<p>%(v/v)</p>,2025-05-08 08:00:00,正丁烷,延炼100万吨/年催化裂化装置
12.82,ST010220,<p>%(v/v)</p>,2025-05-08 08:00:00,正丁烯+异丁烯,延炼100万吨/年催化裂化装置
10.04,ST010220,<p>%(v/v)</p>,2025-05-08 08:00:00,反丁烯,延炼100万吨/年催化裂化装置
7.49,ST010220,<p>%(v/v)</p>,2025-05-08 08:00:00,顺丁烯,延炼100万吨/年催化裂化装置
