result,sampleDotCode,unitName,sampleTime,resultName,deviceName
156,ST010219,<p>mg/m<sup>3</sup></p>,2025-05-06 12:00:00,烟尘,延炼100万吨/年催化裂化装置
158,ST010219,<p>mg/m<sup>3</sup></p>,2025-05-13 12:00:00,烟尘,延炼100万吨/年催化裂化装置
174,ST010219,<p>mg/m<sup>3</sup></p>,2025-05-15 08:00:00,烟尘,延炼100万吨/年催化裂化装置
154,ST010219,<p>mg/m<sup>3</sup></p>,2025-05-20 12:00:00,烟尘,延炼100万吨/年催化裂化装置
159,ST010219,<p>mg/m<sup>3</sup></p>,2025-05-27 12:00:00,烟尘,延炼100万吨/年催化裂化装置
162,ST010219,<p>mg/m<sup>3</sup></p>,2025-06-01 08:00:00,烟尘,延炼100万吨/年催化裂化装置
162,ST010219,<p>mg/m<sup>3</sup></p>,2025-06-03 13:00:00,烟尘,延炼100万吨/年催化裂化装置
158,ST010219,<p>mg/m<sup>3</sup></p>,2025-06-10 12:00:00,烟尘,延炼100万吨/年催化裂化装置
175,ST010219,<p>mg/m<sup>3</sup></p>,2025-06-15 08:00:00,烟尘,延炼100万吨/年催化裂化装置
156,ST010219,<p>mg/m<sup>3</sup></p>,2025-06-17 12:00:00,烟尘,延炼100万吨/年催化裂化装置
152,ST010219,<p>mg/m<sup>3</sup></p>,2025-06-24 13:00:00,烟尘,延炼100万吨/年催化裂化装置
155,ST010219,<p>mg/m<sup>3</sup></p>,2025-07-01 08:00:00,烟尘,延炼100万吨/年催化裂化装置
153,ST010219,<p>mg/m<sup>3</sup></p>,2025-07-08 12:00:00,烟尘,延炼100万吨/年催化裂化装置
172,ST010219,<p>mg/m<sup>3</sup></p>,2025-07-15 08:00:00,烟尘,延炼100万吨/年催化裂化装置
151,ST010219,<p>mg/m<sup>3</sup></p>,2025-07-15 12:00:00,烟尘,延炼100万吨/年催化裂化装置
152,ST010219,<p>mg/m<sup>3</sup></p>,2025-07-22 12:00:00,烟尘,延炼100万吨/年催化裂化装置
150,ST010219,<p>mg/m<sup>3</sup></p>,2025-07-29 12:00:00,烟尘,延炼100万吨/年催化裂化装置
160,ST010219,<p>mg/m<sup>3</sup></p>,2025-08-05 15:00:00,烟尘,延炼100万吨/年催化裂化装置
158,ST010219,<p>mg/m<sup>3</sup></p>,2025-08-12 12:00:00,烟尘,延炼100万吨/年催化裂化装置
176,ST010219,<p>mg/m<sup>3</sup></p>,2025-08-15 08:00:00,烟尘,延炼100万吨/年催化裂化装置
155,ST010219,<p>mg/m<sup>3</sup></p>,2025-08-19 12:00:00,烟尘,延炼100万吨/年催化裂化装置
160,ST010219,<p>mg/m<sup>3</sup></p>,2025-08-26 13:00:00,烟尘,延炼100万吨/年催化裂化装置
157,ST010219,<p>mg/m<sup>3</sup></p>,2025-09-02 12:00:00,烟尘,延炼100万吨/年催化裂化装置
156,ST010219,<p>mg/m<sup>3</sup></p>,2025-09-09 12:00:00,烟尘,延炼100万吨/年催化裂化装置
175,ST010219,<p>mg/m<sup>3</sup></p>,2025-09-15 08:00:00,烟尘,延炼100万吨/年催化裂化装置
153,ST010219,<p>mg/m<sup>3</sup></p>,2025-09-16 12:00:00,烟尘,延炼100万吨/年催化裂化装置
156,ST010219,<p>mg/m<sup>3</sup></p>,2025-09-23 12:00:00,烟尘,延炼100万吨/年催化裂化装置
158,ST010219,<p>mg/m<sup>3</sup></p>,2025-09-30 11:30:00,烟尘,延炼100万吨/年催化裂化装置
154,ST010219,<p>mg/m<sup>3</sup></p>,2025-10-07 10:30:00,烟尘,延炼100万吨/年催化裂化装置
156,ST010219,<p>mg/m<sup>3</sup></p>,2025-10-14 12:00:00,烟尘,延炼100万吨/年催化裂化装置
173,ST010219,<p>mg/m<sup>3</sup></p>,2025-10-15 08:00:00,烟尘,延炼100万吨/年催化裂化装置
159,ST010219,<p>mg/m<sup>3</sup></p>,2025-10-21 13:00:00,烟尘,延炼100万吨/年催化裂化装置
157,ST010219,<p>mg/m<sup>3</sup></p>,2025-10-28 12:00:00,烟尘,延炼100万吨/年催化裂化装置
162,ST010219,<p>mg/m<sup>3</sup></p>,2025-11-04 12:00:00,烟尘,延炼100万吨/年催化裂化装置
158,ST010219,<p>mg/m<sup>3</sup></p>,2025-11-11 13:30:00,烟尘,延炼100万吨/年催化裂化装置
170,ST010219,<p>mg/m<sup>3</sup></p>,2025-11-15 08:00:00,烟尘,延炼100万吨/年催化裂化装置
157,ST010219,<p>mg/m<sup>3</sup></p>,2025-11-18 12:30:00,烟尘,延炼100万吨/年催化裂化装置
164,ST010219,<p>mg/m<sup>3</sup></p>,2025-11-25 13:00:00,烟尘,延炼100万吨/年催化裂化装置
158,ST010219,<p>mg/m<sup>3</sup></p>,2025-12-02 12:00:00,烟尘,延炼100万吨/年催化裂化装置
154,ST010219,<p>mg/m<sup>3</sup></p>,2025-12-09 11:30:00,烟尘,延炼100万吨/年催化裂化装置
175,ST010219,<p>mg/m<sup>3</sup></p>,2025-12-15 08:00:00,烟尘,延炼100万吨/年催化裂化装置
157,ST010219,<p>mg/m<sup>3</sup></p>,2025-12-16 12:00:00,烟尘,延炼100万吨/年催化裂化装置
152,ST010219,<p>mg/m<sup>3</sup></p>,2025-12-23 12:00:00,烟尘,延炼100万吨/年催化裂化装置
