result,sampleDotCode,unitName,sampleTime,resultName,deviceName
25.31,ST010222,%（v/v) ,2025-05-01 08:00:00,氧气,延炼100万吨/年催化裂化装置
0.25,ST010222,%（v/v) ,2025-05-01 08:00:00,二氧化碳,延炼100万吨/年催化裂化装置
0.11,ST010222,%（v/v) ,2025-05-01 08:00:00,一氧化碳,延炼100万吨/年催化裂化装置
2.02,ST010222,%（v/v) ,2025-06-01 08:00:00,二氧化碳,延炼100万吨/年催化裂化装置
24.50,ST010222,%（v/v) ,2025-06-01 08:00:00,氧气,延炼100万吨/年催化裂化装置
0.11,ST010222,%（v/v) ,2025-06-01 08:00:00,一氧化碳,延炼100万吨/年催化裂化装置
1.90,ST010222,%（v/v) ,2025-07-01 08:00:00,二氧化碳,延炼100万吨/年催化裂化装置
23.50,ST010222,%（v/v) ,2025-07-01 08:00:00,氧气,延炼100万吨/年催化裂化装置
0.10,ST010222,%（v/v) ,2025-07-01 08:00:00,一氧化碳,延炼100万吨/年催化裂化装置
2.51,ST010222,%（v/v) ,2025-08-01 08:00:00,二氧化碳,延炼100万吨/年催化裂化装置
21.66,ST010222,%（v/v) ,2025-08-01 08:00:00,氧气,延炼100万吨/年催化裂化装置
0.09,ST010222,%（v/v) ,2025-08-01 08:00:00,一氧化碳,延炼100万吨/年催化裂化装置
1.98,ST010222,%（v/v) ,2025-09-01 08:00:00,二氧化碳,延炼100万吨/年催化裂化装置
27.45,ST010222,%（v/v) ,2025-09-01 08:00:00,氧气,延炼100万吨/年催化裂化装置
0.05,ST010222,%（v/v) ,2025-09-01 08:00:00,一氧化碳,延炼100万吨/年催化裂化装置
25.39,ST010222,%（v/v) ,2025-10-01 08:00:00,氧气,延炼100万吨/年催化裂化装置
2.13,ST010222,%（v/v) ,2025-10-01 08:00:00,二氧化碳,延炼100万吨/年催化裂化装置
0.12,ST010222,%（v/v) ,2025-10-01 08:00:00,一氧化碳,延炼100万吨/年催化裂化装置
25.12,ST010222,%（v/v) ,2025-11-01 08:00:00,氧气,延炼100万吨/年催化裂化装置
2.84,ST010222,%（v/v) ,2025-11-01 08:00:00,二氧化碳,延炼100万吨/年催化裂化装置
1.12,ST010222,%（v/v) ,2025-11-01 08:00:00,一氧化碳,延炼100万吨/年催化裂化装置
3.12,ST010222,%（v/v) ,2025-12-01 08:00:00,二氧化碳,延炼100万吨/年催化裂化装置
26.35,ST010222,%（v/v) ,2025-12-01 08:00:00,氧气,延炼100万吨/年催化裂化装置
1.02,ST010222,%（v/v) ,2025-12-01 08:00:00,一氧化碳,延炼100万吨/年催化裂化装置
26.35,ST010222,%（v/v) ,2026-01-01 08:00:00,氧气,延炼100万吨/年催化裂化装置
4.25,ST010222,%（v/v) ,2026-01-01 08:00:00,二氧化碳,延炼100万吨/年催化裂化装置
0.51,ST010222,%（v/v) ,2026-01-01 08:00:00,一氧化碳,延炼100万吨/年催化裂化装置
3.02,ST010222,%（v/v) ,2026-02-01 08:00:00,二氧化碳,延炼100万吨/年催化裂化装置
28.50,ST010222,%（v/v) ,2026-02-01 08:00:00,氧气,延炼100万吨/年催化裂化装置
0.10,ST010222,%（v/v) ,2026-02-01 08:00:00,一氧化碳,延炼100万吨/年催化裂化装置
5.25,ST010222,%（v/v) ,2026-03-01 08:00:00,二氧化碳,延炼100万吨/年催化裂化装置
28.43,ST010222,%（v/v) ,2026-03-01 08:00:00,氧气,延炼100万吨/年催化裂化装置
1.12,ST010222,%（v/v) ,2026-03-01 08:00:00,一氧化碳,延炼100万吨/年催化裂化装置
1.86,ST010222,%（v/v) ,2026-04-01 08:00:00,二氧化碳,延炼100万吨/年催化裂化装置
25.31,ST010222,%（v/v) ,2026-04-01 08:00:00,氧气,延炼100万吨/年催化裂化装置
1.10,ST010222,%（v/v) ,2026-04-01 08:00:00,一氧化碳,延炼100万吨/年催化裂化装置
