result,sampleDotCode,unitName,sampleTime,resultName,deviceName
29.4,ST010235,<p>℃</p>,2025-05-01 08:00:00,初馏点,延炼100万吨/年催化裂化装置
51.2,ST010235,<p>℃</p>,2025-05-01 08:00:00,10%蒸发温度,延炼100万吨/年催化裂化装置
197.0,ST010235,<p>℃</p>,2025-05-01 08:00:00,终馏点,延炼100万吨/年催化裂化装置
173.6,ST010235,<p>℃</p>,2025-05-01 08:00:00,90%蒸发温度,延炼100万吨/年催化裂化装置
106.8,ST010235,<p>℃</p>,2025-05-01 08:00:00,50%蒸发温度,延炼100万吨/年催化裂化装置
1.2,ST010235,体积分数 %,2025-05-08 08:00:00,校正损失,延炼100万吨/年催化裂化装置
1.0,ST010235,体积分数 %,2025-05-08 08:00:00,残馏量,延炼100万吨/年催化裂化装置
97.8,ST010235,体积分数 %,2025-05-08 08:00:00,全馏量,延炼100万吨/年催化裂化装置
53.0,ST010235,<p>℃</p>,2025-05-08 08:00:00,10%蒸发温度,延炼100万吨/年催化裂化装置
108.5,ST010235,<p>℃</p>,2025-05-08 08:00:00,50%蒸发温度,延炼100万吨/年催化裂化装置
198.5,ST010235,<p>℃</p>,2025-05-08 08:00:00,终馏点,延炼100万吨/年催化裂化装置
34.5,ST010235,<p>℃</p>,2025-05-08 08:00:00,初馏点,延炼100万吨/年催化裂化装置
173.5,ST010235,<p>℃</p>,2025-05-08 08:00:00,90%蒸发温度,延炼100万吨/年催化裂化装置
50.7,ST010235,<p>℃</p>,2025-05-15 08:00:00,10%蒸发温度,延炼100万吨/年催化裂化装置
29.1,ST010235,<p>℃</p>,2025-05-15 08:00:00,初馏点,延炼100万吨/年催化裂化装置
106.5,ST010235,<p>℃</p>,2025-05-15 08:00:00,50%蒸发温度,延炼100万吨/年催化裂化装置
197.4,ST010235,<p>℃</p>,2025-05-15 08:00:00,终馏点,延炼100万吨/年催化裂化装置
173.4,ST010235,<p>℃</p>,2025-05-15 08:00:00,90%蒸发温度,延炼100万吨/年催化裂化装置
171.0,ST010235,<p>℃</p>,2025-05-22 08:00:00,90%蒸发温度,延炼100万吨/年催化裂化装置
109.0,ST010235,<p>℃</p>,2025-05-22 08:00:00,50%蒸发温度,延炼100万吨/年催化裂化装置
