result,sampleDotCode,unitName,sampleTime,resultName,deviceName
0.67,ST010144,<p>%(m/m)</p>,2025-05-01 08:00:00,非  芳,延炼12万吨/年乙苯/苯乙烯装置
24.53,ST010144,<p>%(m/m)</p>,2025-05-01 08:00:00,苯,延炼12万吨/年乙苯/苯乙烯装置
68.95,ST010144,<p>%(m/m)</p>,2025-05-01 08:00:00,甲  苯,延炼12万吨/年乙苯/苯乙烯装置
5.78,ST010144,<p>%(m/m)</p>,2025-05-01 08:00:00,乙  苯,延炼12万吨/年乙苯/苯乙烯装置
0.07,ST010144,<p>%(m/m)</p>,2025-05-01 08:00:00,二甲苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010144,<p>%(m/m)</p>,2025-05-01 08:00:00,异丙苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010144,<p>%(m/m)</p>,2025-05-01 08:00:00,正丙苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010144,<p>%(m/m)</p>,2025-05-01 08:00:00,甲乙苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010144,<p>%(m/m)</p>,2025-05-01 08:00:00,苯乙烯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010144,<p>%(m/m)</p>,2025-05-01 08:00:00,α甲基苯乙烯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010144,<p>%(m/m)</p>,2025-05-01 08:00:00,苯乙炔,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010144,<p>%(m/m)</p>,2025-05-01 08:00:00,间、对甲基苯乙烯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010144,<p>%(m/m)</p>,2025-05-01 08:00:00,其  他,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010144,<p>%(m/m)</p>,2025-05-01 08:00:00,丙烯基苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010144,<p>%(m/m)</p>,2025-05-01 08:00:00,二氢噻喃,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010144,<p>%(m/m)</p>,2025-05-01 08:00:00,2-乙烯基噻吩,延炼12万吨/年乙苯/苯乙烯装置
0.64,ST010144,<p>%(m/m)</p>,2025-05-02 08:00:00,非  芳,延炼12万吨/年乙苯/苯乙烯装置
24.79,ST010144,<p>%(m/m)</p>,2025-05-02 08:00:00,苯,延炼12万吨/年乙苯/苯乙烯装置
71.74,ST010144,<p>%(m/m)</p>,2025-05-02 08:00:00,甲  苯,延炼12万吨/年乙苯/苯乙烯装置
2.80,ST010144,<p>%(m/m)</p>,2025-05-02 08:00:00,乙  苯,延炼12万吨/年乙苯/苯乙烯装置
0.04,ST010144,<p>%(m/m)</p>,2025-05-02 08:00:00,二甲苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010144,<p>%(m/m)</p>,2025-05-02 08:00:00,异丙苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010144,<p>%(m/m)</p>,2025-05-02 08:00:00,正丙苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010144,<p>%(m/m)</p>,2025-05-02 08:00:00,甲乙苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010144,<p>%(m/m)</p>,2025-05-02 08:00:00,苯乙烯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010144,<p>%(m/m)</p>,2025-05-02 08:00:00,α甲基苯乙烯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010144,<p>%(m/m)</p>,2025-05-02 08:00:00,苯乙炔,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010144,<p>%(m/m)</p>,2025-05-02 08:00:00,间、对甲基苯乙烯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010144,<p>%(m/m)</p>,2025-05-02 08:00:00,其  他,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010144,<p>%(m/m)</p>,2025-05-02 08:00:00,丙烯基苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010144,<p>%(m/m)</p>,2025-05-02 08:00:00,二氢噻喃,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010144,<p>%(m/m)</p>,2025-05-02 08:00:00,2-乙烯基噻吩,延炼12万吨/年乙苯/苯乙烯装置
0.59,ST010144,<p>%(m/m)</p>,2025-05-03 08:00:00,非  芳,延炼12万吨/年乙苯/苯乙烯装置
26.67,ST010144,<p>%(m/m)</p>,2025-05-03 08:00:00,苯,延炼12万吨/年乙苯/苯乙烯装置
71.95,ST010144,<p>%(m/m)</p>,2025-05-03 08:00:00,甲  苯,延炼12万吨/年乙苯/苯乙烯装置
0.78,ST010144,<p>%(m/m)</p>,2025-05-03 08:00:00,乙  苯,延炼12万吨/年乙苯/苯乙烯装置
0.01,ST010144,<p>%(m/m)</p>,2025-05-03 08:00:00,二甲苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010144,<p>%(m/m)</p>,2025-05-03 08:00:00,异丙苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010144,<p>%(m/m)</p>,2025-05-03 08:00:00,正丙苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010144,<p>%(m/m)</p>,2025-05-03 08:00:00,甲乙苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010144,<p>%(m/m)</p>,2025-05-03 08:00:00,苯乙烯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010144,<p>%(m/m)</p>,2025-05-03 08:00:00,α甲基苯乙烯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010144,<p>%(m/m)</p>,2025-05-03 08:00:00,苯乙炔,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010144,<p>%(m/m)</p>,2025-05-03 08:00:00,间、对甲基苯乙烯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010144,<p>%(m/m)</p>,2025-05-03 08:00:00,其  他,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010144,<p>%(m/m)</p>,2025-05-03 08:00:00,丙烯基苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010144,<p>%(m/m)</p>,2025-05-03 08:00:00,二氢噻喃,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010144,<p>%(m/m)</p>,2025-05-03 08:00:00,2-乙烯基噻吩,延炼12万吨/年乙苯/苯乙烯装置
0.66,ST010144,<p>%(m/m)</p>,2025-05-04 08:00:00,非  芳,延炼12万吨/年乙苯/苯乙烯装置
25.37,ST010144,<p>%(m/m)</p>,2025-05-04 08:00:00,苯,延炼12万吨/年乙苯/苯乙烯装置
71.41,ST010144,<p>%(m/m)</p>,2025-05-04 08:00:00,甲  苯,延炼12万吨/年乙苯/苯乙烯装置
2.53,ST010144,<p>%(m/m)</p>,2025-05-04 08:00:00,乙  苯,延炼12万吨/年乙苯/苯乙烯装置
0.03,ST010144,<p>%(m/m)</p>,2025-05-04 08:00:00,二甲苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010144,<p>%(m/m)</p>,2025-05-04 08:00:00,异丙苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010144,<p>%(m/m)</p>,2025-05-04 08:00:00,正丙苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010144,<p>%(m/m)</p>,2025-05-04 08:00:00,甲乙苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010144,<p>%(m/m)</p>,2025-05-04 08:00:00,苯乙烯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010144,<p>%(m/m)</p>,2025-05-04 08:00:00,α甲基苯乙烯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010144,<p>%(m/m)</p>,2025-05-04 08:00:00,苯乙炔,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010144,<p>%(m/m)</p>,2025-05-04 08:00:00,间、对甲基苯乙烯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010144,<p>%(m/m)</p>,2025-05-04 08:00:00,其  他,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010144,<p>%(m/m)</p>,2025-05-04 08:00:00,丙烯基苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010144,<p>%(m/m)</p>,2025-05-04 08:00:00,二氢噻喃,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010144,<p>%(m/m)</p>,2025-05-04 08:00:00,2-乙烯基噻吩,延炼12万吨/年乙苯/苯乙烯装置
0.65,ST010144,<p>%(m/m)</p>,2025-05-05 08:00:00,非  芳,延炼12万吨/年乙苯/苯乙烯装置
25.47,ST010144,<p>%(m/m)</p>,2025-05-05 08:00:00,苯,延炼12万吨/年乙苯/苯乙烯装置
71.35,ST010144,<p>%(m/m)</p>,2025-05-05 08:00:00,甲  苯,延炼12万吨/年乙苯/苯乙烯装置
2.49,ST010144,<p>%(m/m)</p>,2025-05-05 08:00:00,乙  苯,延炼12万吨/年乙苯/苯乙烯装置
0.03,ST010144,<p>%(m/m)</p>,2025-05-05 08:00:00,二甲苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010144,<p>%(m/m)</p>,2025-05-05 08:00:00,异丙苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010144,<p>%(m/m)</p>,2025-05-05 08:00:00,正丙苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010144,<p>%(m/m)</p>,2025-05-05 08:00:00,甲乙苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010144,<p>%(m/m)</p>,2025-05-05 08:00:00,苯乙烯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010144,<p>%(m/m)</p>,2025-05-05 08:00:00,α甲基苯乙烯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010144,<p>%(m/m)</p>,2025-05-05 08:00:00,苯乙炔,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010144,<p>%(m/m)</p>,2025-05-05 08:00:00,间、对甲基苯乙烯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010144,<p>%(m/m)</p>,2025-05-05 08:00:00,其  他,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010144,<p>%(m/m)</p>,2025-05-05 08:00:00,丙烯基苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010144,<p>%(m/m)</p>,2025-05-05 08:00:00,二氢噻喃,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010144,<p>%(m/m)</p>,2025-05-05 08:00:00,2-乙烯基噻吩,延炼12万吨/年乙苯/苯乙烯装置
0.61,ST010144,<p>%(m/m)</p>,2025-05-06 08:00:00,非  芳,延炼12万吨/年乙苯/苯乙烯装置
26.69,ST010144,<p>%(m/m)</p>,2025-05-06 08:00:00,苯,延炼12万吨/年乙苯/苯乙烯装置
70.85,ST010144,<p>%(m/m)</p>,2025-05-06 08:00:00,甲  苯,延炼12万吨/年乙苯/苯乙烯装置
1.83,ST010144,<p>%(m/m)</p>,2025-05-06 08:00:00,乙  苯,延炼12万吨/年乙苯/苯乙烯装置
0.02,ST010144,<p>%(m/m)</p>,2025-05-06 08:00:00,二甲苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010144,<p>%(m/m)</p>,2025-05-06 08:00:00,异丙苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010144,<p>%(m/m)</p>,2025-05-06 08:00:00,正丙苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010144,<p>%(m/m)</p>,2025-05-06 08:00:00,甲乙苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010144,<p>%(m/m)</p>,2025-05-06 08:00:00,苯乙烯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010144,<p>%(m/m)</p>,2025-05-06 08:00:00,α甲基苯乙烯,延炼12万吨/年乙苯/苯乙烯装置
