result,sampleDotCode,unitName,sampleTime,resultName,deviceName
0.0196,ST010100,<p>%(m/m)</p>,2025-05-14 08:00:00,机械杂质,延炼12万吨/年乙苯/苯乙烯装置
痕迹,ST010100,质量分数 %,2025-05-14 08:00:00,水分,延炼12万吨/年乙苯/苯乙烯装置
221.0,ST010100,℃,2025-05-14 08:00:00,闪点(TC),延炼12万吨/年乙苯/苯乙烯装置
61.95,ST010100,<p>mm<sup>2</sup>/s</p>,2025-05-14 08:00:00,运动黏度(40℃),延炼12万吨/年乙苯/苯乙烯装置
0.0184,ST010100,<p>%(m/m)</p>,2025-06-09 08:00:00,机械杂质,延炼12万吨/年乙苯/苯乙烯装置
60.81,ST010100,<p>mm<sup>2</sup>/s</p>,2025-06-09 08:00:00,运动黏度(40℃),延炼12万吨/年乙苯/苯乙烯装置
224.0,ST010100,℃,2025-06-09 08:00:00,闪点(TC),延炼12万吨/年乙苯/苯乙烯装置
痕迹,ST010100,质量分数 %,2025-06-09 08:00:00,水分,延炼12万吨/年乙苯/苯乙烯装置
222.0,ST010100,℃,2025-07-09 08:00:00,闪点(TC),延炼12万吨/年乙苯/苯乙烯装置
痕迹,ST010100,质量分数 %,2025-07-09 08:00:00,水分,延炼12万吨/年乙苯/苯乙烯装置
61.23,ST010100,<p>mm<sup>2</sup>/s</p>,2025-07-09 08:00:00,运动黏度(40℃),延炼12万吨/年乙苯/苯乙烯装置
0.0192,ST010100,<p>%(m/m)</p>,2025-07-09 08:00:00,机械杂质,延炼12万吨/年乙苯/苯乙烯装置
223.0,ST010100,℃,2025-08-13 08:00:00,闪点(TC),延炼12万吨/年乙苯/苯乙烯装置
痕迹,ST010100,质量分数 %,2025-08-13 08:00:00,水分,延炼12万吨/年乙苯/苯乙烯装置
0.0188,ST010100,<p>%(m/m)</p>,2025-08-13 08:00:00,机械杂质,延炼12万吨/年乙苯/苯乙烯装置
61.41,ST010100,<p>mm<sup>2</sup>/s</p>,2025-08-13 08:00:00,运动黏度(40℃),延炼12万吨/年乙苯/苯乙烯装置
221.0,ST010100,℃,2025-09-10 08:00:00,闪点(TC),延炼12万吨/年乙苯/苯乙烯装置
0.0168,ST010100,<p>%(m/m)</p>,2025-09-10 08:00:00,机械杂质,延炼12万吨/年乙苯/苯乙烯装置
痕迹,ST010100,质量分数 %,2025-09-10 08:00:00,水分,延炼12万吨/年乙苯/苯乙烯装置
60.85,ST010100,<p>mm<sup>2</sup>/s</p>,2025-09-10 08:00:00,运动黏度(40℃),延炼12万吨/年乙苯/苯乙烯装置
225.0,ST010100,℃,2025-10-13 08:00:00,闪点(TC),延炼12万吨/年乙苯/苯乙烯装置
61.72,ST010100,<p>mm<sup>2</sup>/s</p>,2025-10-13 08:00:00,运动黏度(40℃),延炼12万吨/年乙苯/苯乙烯装置
0.0172,ST010100,<p>%(m/m)</p>,2025-10-13 08:00:00,机械杂质,延炼12万吨/年乙苯/苯乙烯装置
痕迹,ST010100,质量分数 %,2025-10-13 08:00:00,水分,延炼12万吨/年乙苯/苯乙烯装置
0.0188,ST010100,<p>%(m/m)</p>,2025-11-07 08:50:00,机械杂质,延炼12万吨/年乙苯/苯乙烯装置
痕迹,ST010100,质量分数 %,2025-11-07 08:50:00,水分,延炼12万吨/年乙苯/苯乙烯装置
224.0,ST010100,℃,2025-11-07 08:50:00,闪点(TC),延炼12万吨/年乙苯/苯乙烯装置
60.97,ST010100,<p>mm<sup>2</sup>/s</p>,2025-11-07 08:50:00,运动黏度(40℃),延炼12万吨/年乙苯/苯乙烯装置
222.0,ST010100,℃,2025-12-10 08:00:00,闪点(TC),延炼12万吨/年乙苯/苯乙烯装置
痕迹,ST010100,质量分数 %,2025-12-10 08:00:00,水分,延炼12万吨/年乙苯/苯乙烯装置
0.0178,ST010100,<p>%(m/m)</p>,2025-12-10 08:00:00,机械杂质,延炼12万吨/年乙苯/苯乙烯装置
60.54,ST010100,<p>mm<sup>2</sup>/s</p>,2025-12-10 08:00:00,运动黏度(40℃),延炼12万吨/年乙苯/苯乙烯装置
0.0185,ST010100,<p>%(m/m)</p>,2026-01-14 08:00:00,机械杂质,延炼12万吨/年乙苯/苯乙烯装置
