result,sampleDotCode,unitName,sampleTime,resultName,deviceName
0.0200,ST010101,<p>%(m/m)</p>,2025-05-14 08:00:00,机械杂质,延炼12万吨/年乙苯/苯乙烯装置
痕迹,ST010101,质量分数 %,2025-05-14 08:00:00,水分,延炼12万吨/年乙苯/苯乙烯装置
220.0,ST010101,℃,2025-05-14 08:00:00,闪点(TC),延炼12万吨/年乙苯/苯乙烯装置
43.04,ST010101,<p>mm<sup>2</sup>/s</p>,2025-05-14 08:00:00,运动黏度(40℃),延炼12万吨/年乙苯/苯乙烯装置
219.0,ST010101,℃,2025-06-09 08:00:00,闪点(TC),延炼12万吨/年乙苯/苯乙烯装置
痕迹,ST010101,质量分数 %,2025-06-09 08:00:00,水分,延炼12万吨/年乙苯/苯乙烯装置
0.0192,ST010101,<p>%(m/m)</p>,2025-06-09 08:00:00,机械杂质,延炼12万吨/年乙苯/苯乙烯装置
44.10,ST010101,<p>mm<sup>2</sup>/s</p>,2025-06-09 08:00:00,运动黏度(40℃),延炼12万吨/年乙苯/苯乙烯装置
223.0,ST010101,℃,2025-07-09 08:00:00,闪点(TC),延炼12万吨/年乙苯/苯乙烯装置
痕迹,ST010101,质量分数 %,2025-07-09 08:00:00,水分,延炼12万吨/年乙苯/苯乙烯装置
43.96,ST010101,<p>mm<sup>2</sup>/s</p>,2025-07-09 08:00:00,运动黏度(40℃),延炼12万吨/年乙苯/苯乙烯装置
0.0188,ST010101,<p>%(m/m)</p>,2025-07-09 08:00:00,机械杂质,延炼12万吨/年乙苯/苯乙烯装置
痕迹,ST010101,质量分数 %,2025-08-13 08:00:00,水分,延炼12万吨/年乙苯/苯乙烯装置
0.0184,ST010101,<p>%(m/m)</p>,2025-08-13 08:00:00,机械杂质,延炼12万吨/年乙苯/苯乙烯装置
42.91,ST010101,<p>mm<sup>2</sup>/s</p>,2025-08-13 08:00:00,运动黏度(40℃),延炼12万吨/年乙苯/苯乙烯装置
222.0,ST010101,℃,2025-08-13 08:00:00,闪点(TC),延炼12万吨/年乙苯/苯乙烯装置
224.0,ST010101,℃,2025-09-10 08:00:00,闪点(TC),延炼12万吨/年乙苯/苯乙烯装置
0.0176,ST010101,<p>%(m/m)</p>,2025-09-10 08:00:00,机械杂质,延炼12万吨/年乙苯/苯乙烯装置
