result,sampleDotCode,unitName,sampleTime,resultName,deviceName
602.00,ST010085,<p>&mu;g/L</p>,2025-05-06 08:00:00,二氧化硅,延炼12万吨/年乙苯/苯乙烯装置
8.60,ST010085,<p>&mu;S/cm</p>,2025-05-06 08:00:00,电导率,延炼12万吨/年乙苯/苯乙烯装置
1.82,ST010085,<p>mg/L</p>,2025-05-06 08:00:00,硬度,延炼12万吨/年乙苯/苯乙烯装置
800.00,ST010085,<p>&mu;g/L</p>,2025-05-13 08:00:00,二氧化硅,延炼12万吨/年乙苯/苯乙烯装置
8.80,ST010085,<p>&mu;S/cm</p>,2025-05-13 08:00:00,电导率,延炼12万吨/年乙苯/苯乙烯装置
1.02,ST010085,<p>mg/L</p>,2025-05-13 08:00:00,硬度,延炼12万吨/年乙苯/苯乙烯装置
13.70,ST010085,<p>&mu;S/cm</p>,2025-05-20 08:00:00,电导率,延炼12万吨/年乙苯/苯乙烯装置
480.00,ST010085,<p>&mu;g/L</p>,2025-05-20 08:00:00,二氧化硅,延炼12万吨/年乙苯/苯乙烯装置
2.51,ST010085,<p>mg/L</p>,2025-05-20 08:00:00,硬度,延炼12万吨/年乙苯/苯乙烯装置
12.40,ST010085,<p>&mu;S/cm</p>,2025-05-27 08:00:00,电导率,延炼12万吨/年乙苯/苯乙烯装置
720.00,ST010085,<p>&mu;g/L</p>,2025-05-27 08:00:00,二氧化硅,延炼12万吨/年乙苯/苯乙烯装置
1.01,ST010085,<p>mg/L</p>,2025-05-27 08:00:00,硬度,延炼12万吨/年乙苯/苯乙烯装置
680.00,ST010085,<p>&mu;g/L</p>,2025-06-03 08:00:00,二氧化硅,延炼12万吨/年乙苯/苯乙烯装置
10.50,ST010085,<p>&mu;S/cm</p>,2025-06-03 08:00:00,电导率,延炼12万吨/年乙苯/苯乙烯装置
2.68,ST010085,<p>mg/L</p>,2025-06-03 08:00:00,硬度,延炼12万吨/年乙苯/苯乙烯装置
9.00,ST010085,<p>&mu;S/cm</p>,2025-06-10 08:00:00,电导率,延炼12万吨/年乙苯/苯乙烯装置
2.07,ST010085,<p>mg/L</p>,2025-06-10 08:00:00,硬度,延炼12万吨/年乙苯/苯乙烯装置
674.00,ST010085,<p>&mu;g/L</p>,2025-06-10 08:00:00,二氧化硅,延炼12万吨/年乙苯/苯乙烯装置
5.80,ST010085,<p>&mu;S/cm</p>,2025-06-17 08:00:00,电导率,延炼12万吨/年乙苯/苯乙烯装置
820.00,ST010085,<p>&mu;g/L</p>,2025-06-17 08:00:00,二氧化硅,延炼12万吨/年乙苯/苯乙烯装置
