result,sampleDotCode,unitName,sampleTime,resultName,deviceName
1262.00,ST010081,<p>&mu;g/L</p>,2025-05-06 08:00:00,二氧化硅,延炼12万吨/年乙苯/苯乙烯装置
12.60,ST010081,<p>&mu;S/cm</p>,2025-05-06 08:00:00,电导率,延炼12万吨/年乙苯/苯乙烯装置
2.93,ST010081,<p>mg/L</p>,2025-05-06 08:00:00,硬度,延炼12万吨/年乙苯/苯乙烯装置
2040.00,ST010081,<p>&mu;g/L</p>,2025-05-13 08:00:00,二氧化硅,延炼12万吨/年乙苯/苯乙烯装置
18.70,ST010081,<p>&mu;S/cm</p>,2025-05-13 08:00:00,电导率,延炼12万吨/年乙苯/苯乙烯装置
2.32,ST010081,<p>mg/L</p>,2025-05-13 08:00:00,硬度,延炼12万吨/年乙苯/苯乙烯装置
11.10,ST010081,<p>&mu;S/cm</p>,2025-05-20 08:00:00,电导率,延炼12万吨/年乙苯/苯乙烯装置
820.00,ST010081,<p>&mu;g/L</p>,2025-05-20 08:00:00,二氧化硅,延炼12万吨/年乙苯/苯乙烯装置
2.38,ST010081,<p>mg/L</p>,2025-05-20 08:00:00,硬度,延炼12万吨/年乙苯/苯乙烯装置
19.10,ST010081,<p>&mu;S/cm</p>,2025-05-27 08:00:00,电导率,延炼12万吨/年乙苯/苯乙烯装置
1600.00,ST010081,<p>&mu;g/L</p>,2025-05-27 08:00:00,二氧化硅,延炼12万吨/年乙苯/苯乙烯装置
4.94,ST010081,<p>mg/L</p>,2025-05-27 08:00:00,硬度,延炼12万吨/年乙苯/苯乙烯装置
630.00,ST010081,<p>&mu;g/L</p>,2025-06-03 08:00:00,二氧化硅,延炼12万吨/年乙苯/苯乙烯装置
13.00,ST010081,<p>&mu;S/cm</p>,2025-06-03 08:00:00,电导率,延炼12万吨/年乙苯/苯乙烯装置
2.65,ST010081,<p>mg/L</p>,2025-06-03 08:00:00,硬度,延炼12万吨/年乙苯/苯乙烯装置
6.30,ST010081,<p>&mu;S/cm</p>,2025-06-10 08:00:00,电导率,延炼12万吨/年乙苯/苯乙烯装置
2.22,ST010081,<p>mg/L</p>,2025-06-10 08:00:00,硬度,延炼12万吨/年乙苯/苯乙烯装置
542.00,ST010081,<p>&mu;g/L</p>,2025-06-10 08:00:00,二氧化硅,延炼12万吨/年乙苯/苯乙烯装置
