result,sampleDotCode,unitName,sampleTime,resultName,deviceName
1302.00,ST010083,<p>&mu;g/L</p>,2025-05-06 08:00:00,二氧化硅,延炼12万吨/年乙苯/苯乙烯装置
16.30,ST010083,<p>&mu;S/cm</p>,2025-05-06 08:00:00,电导率,延炼12万吨/年乙苯/苯乙烯装置
2.52,ST010083,<p>mg/L</p>,2025-05-06 08:00:00,硬度,延炼12万吨/年乙苯/苯乙烯装置
1.84,ST010083,<p>mg/L</p>,2025-05-13 08:00:00,硬度,延炼12万吨/年乙苯/苯乙烯装置
1540.00,ST010083,<p>&mu;g/L</p>,2025-05-13 08:00:00,二氧化硅,延炼12万吨/年乙苯/苯乙烯装置
16.80,ST010083,<p>&mu;S/cm</p>,2025-05-13 08:00:00,电导率,延炼12万吨/年乙苯/苯乙烯装置
14.50,ST010083,<p>&mu;S/cm</p>,2025-05-20 08:00:00,电导率,延炼12万吨/年乙苯/苯乙烯装置
2560.00,ST010083,<p>&mu;g/L</p>,2025-05-20 08:00:00,二氧化硅,延炼12万吨/年乙苯/苯乙烯装置
1.67,ST010083,<p>mg/L</p>,2025-05-20 08:00:00,硬度,延炼12万吨/年乙苯/苯乙烯装置
16.50,ST010083,<p>&mu;S/cm</p>,2025-05-27 08:00:00,电导率,延炼12万吨/年乙苯/苯乙烯装置
1260.00,ST010083,<p>&mu;g/L</p>,2025-05-27 08:00:00,二氧化硅,延炼12万吨/年乙苯/苯乙烯装置
5.05,ST010083,<p>mg/L</p>,2025-05-27 08:00:00,硬度,延炼12万吨/年乙苯/苯乙烯装置
2200.00,ST010083,<p>&mu;g/L</p>,2025-06-03 08:00:00,二氧化硅,延炼12万吨/年乙苯/苯乙烯装置
13.60,ST010083,<p>&mu;S/cm</p>,2025-06-03 08:00:00,电导率,延炼12万吨/年乙苯/苯乙烯装置
3.36,ST010083,<p>mg/L</p>,2025-06-03 08:00:00,硬度,延炼12万吨/年乙苯/苯乙烯装置
16.50,ST010083,<p>&mu;S/cm</p>,2025-06-10 08:00:00,电导率,延炼12万吨/年乙苯/苯乙烯装置
3.03,ST010083,<p>mg/L</p>,2025-06-10 08:00:00,硬度,延炼12万吨/年乙苯/苯乙烯装置
1675.00,ST010083,<p>&mu;g/L</p>,2025-06-10 08:00:00,二氧化硅,延炼12万吨/年乙苯/苯乙烯装置
8.00,ST010083,<p>&mu;S/cm</p>,2025-06-17 08:00:00,电导率,延炼12万吨/年乙苯/苯乙烯装置
2230.00,ST010083,<p>&mu;g/L</p>,2025-06-17 08:00:00,二氧化硅,延炼12万吨/年乙苯/苯乙烯装置
3.66,ST010083,<p>mg/L</p>,2025-06-17 08:00:00,硬度,延炼12万吨/年乙苯/苯乙烯装置
1.86,ST010083,<p>mg/L</p>,2025-06-24 08:00:00,硬度,延炼12万吨/年乙苯/苯乙烯装置
19.30,ST010083,<p>&mu;S/cm</p>,2025-06-24 08:00:00,电导率,延炼12万吨/年乙苯/苯乙烯装置
1158.00,ST010083,<p>&mu;g/L</p>,2025-06-24 08:00:00,二氧化硅,延炼12万吨/年乙苯/苯乙烯装置
7.50,ST010083,<p>&mu;S/cm</p>,2025-07-01 08:00:00,电导率,延炼12万吨/年乙苯/苯乙烯装置
1160.00,ST010083,<p>&mu;g/L</p>,2025-07-01 08:00:00,二氧化硅,延炼12万吨/年乙苯/苯乙烯装置
2.02,ST010083,<p>mg/L</p>,2025-07-01 08:00:00,硬度,延炼12万吨/年乙苯/苯乙烯装置
16.70,ST010083,<p>&mu;S/cm</p>,2025-07-08 08:00:00,电导率,延炼12万吨/年乙苯/苯乙烯装置
1880.00,ST010083,<p>&mu;g/L</p>,2025-07-08 08:00:00,二氧化硅,延炼12万吨/年乙苯/苯乙烯装置
2.32,ST010083,<p>mg/L</p>,2025-07-08 08:00:00,硬度,延炼12万吨/年乙苯/苯乙烯装置
14.10,ST010083,<p>&mu;S/cm</p>,2025-07-15 08:00:00,电导率,延炼12万吨/年乙苯/苯乙烯装置
1320.00,ST010083,<p>&mu;g/L</p>,2025-07-15 08:00:00,二氧化硅,延炼12万吨/年乙苯/苯乙烯装置
1.55,ST010083,<p>mg/L</p>,2025-07-15 08:00:00,硬度,延炼12万吨/年乙苯/苯乙烯装置
10.10,ST010083,<p>&mu;S/cm</p>,2025-07-22 08:00:00,电导率,延炼12万吨/年乙苯/苯乙烯装置
1520.00,ST010083,<p>&mu;g/L</p>,2025-07-22 08:00:00,二氧化硅,延炼12万吨/年乙苯/苯乙烯装置
1.81,ST010083,<p>mg/L</p>,2025-07-22 08:00:00,硬度,延炼12万吨/年乙苯/苯乙烯装置
14.30,ST010083,<p>&mu;S/cm</p>,2025-07-29 08:00:00,电导率,延炼12万吨/年乙苯/苯乙烯装置
1385.00,ST010083,<p>&mu;g/L</p>,2025-07-29 08:00:00,二氧化硅,延炼12万吨/年乙苯/苯乙烯装置
4.72,ST010083,<p>mg/L</p>,2025-07-29 08:00:00,硬度,延炼12万吨/年乙苯/苯乙烯装置
0.35,ST010083,<p>mg/L</p>,2025-08-05 08:00:00,硬度,延炼12万吨/年乙苯/苯乙烯装置
926.70,ST010083,<p>&mu;g/L</p>,2025-08-05 08:00:00,二氧化硅,延炼12万吨/年乙苯/苯乙烯装置
4.20,ST010083,<p>&mu;S/cm</p>,2025-08-05 08:00:00,电导率,延炼12万吨/年乙苯/苯乙烯装置
1092.00,ST010083,<p>&mu;g/L</p>,2025-08-12 08:00:00,二氧化硅,延炼12万吨/年乙苯/苯乙烯装置
16.20,ST010083,<p>&mu;S/cm</p>,2025-08-12 08:00:00,电导率,延炼12万吨/年乙苯/苯乙烯装置
2.30,ST010083,<p>mg/L</p>,2025-08-12 08:00:00,硬度,延炼12万吨/年乙苯/苯乙烯装置
6.10,ST010083,<p>&mu;S/cm</p>,2025-08-19 08:00:00,电导率,延炼12万吨/年乙苯/苯乙烯装置
1060.00,ST010083,<p>&mu;g/L</p>,2025-08-19 08:00:00,二氧化硅,延炼12万吨/年乙苯/苯乙烯装置
3.02,ST010083,<p>mg/L</p>,2025-08-19 08:00:00,硬度,延炼12万吨/年乙苯/苯乙烯装置
6.10,ST010083,<p>&mu;S/cm</p>,2025-08-26 08:00:00,电导率,延炼12万吨/年乙苯/苯乙烯装置
1260.00,ST010083,<p>&mu;g/L</p>,2025-08-26 08:00:00,二氧化硅,延炼12万吨/年乙苯/苯乙烯装置
3.06,ST010083,<p>mg/L</p>,2025-08-26 08:00:00,硬度,延炼12万吨/年乙苯/苯乙烯装置
7.80,ST010083,<p>&mu;S/cm</p>,2025-09-02 08:00:00,电导率,延炼12万吨/年乙苯/苯乙烯装置
534.00,ST010083,<p>&mu;g/L</p>,2025-09-02 08:00:00,二氧化硅,延炼12万吨/年乙苯/苯乙烯装置
0.61,ST010083,<p>mg/L</p>,2025-09-02 08:00:00,硬度,延炼12万吨/年乙苯/苯乙烯装置
5.20,ST010083,<p>&mu;S/cm</p>,2025-09-09 08:00:00,电导率,延炼12万吨/年乙苯/苯乙烯装置
406.40,ST010083,<p>&mu;g/L</p>,2025-09-09 08:00:00,二氧化硅,延炼12万吨/年乙苯/苯乙烯装置
2.42,ST010083,<p>mg/L</p>,2025-09-09 08:00:00,硬度,延炼12万吨/年乙苯/苯乙烯装置
8.90,ST010083,<p>&mu;S/cm</p>,2025-09-16 08:00:00,电导率,延炼12万吨/年乙苯/苯乙烯装置
472.20,ST010083,<p>&mu;g/L</p>,2025-09-16 08:00:00,二氧化硅,延炼12万吨/年乙苯/苯乙烯装置
2.92,ST010083,<p>mg/L</p>,2025-09-16 08:00:00,硬度,延炼12万吨/年乙苯/苯乙烯装置
11.40,ST010083,<p>&mu;S/cm</p>,2025-09-23 08:00:00,电导率,延炼12万吨/年乙苯/苯乙烯装置
658.00,ST010083,<p>&mu;g/L</p>,2025-09-23 08:00:00,二氧化硅,延炼12万吨/年乙苯/苯乙烯装置
3.64,ST010083,<p>mg/L</p>,2025-09-23 08:00:00,硬度,延炼12万吨/年乙苯/苯乙烯装置
7.80,ST010083,<p>&mu;S/cm</p>,2025-09-30 08:00:00,电导率,延炼12万吨/年乙苯/苯乙烯装置
552.00,ST010083,<p>&mu;g/L</p>,2025-09-30 08:00:00,二氧化硅,延炼12万吨/年乙苯/苯乙烯装置
0.73,ST010083,<p>mg/L</p>,2025-09-30 08:00:00,硬度,延炼12万吨/年乙苯/苯乙烯装置
436.00,ST010083,<p>&mu;g/L</p>,2025-10-07 08:00:00,二氧化硅,延炼12万吨/年乙苯/苯乙烯装置
9.30,ST010083,<p>&mu;S/cm</p>,2025-10-07 08:00:00,电导率,延炼12万吨/年乙苯/苯乙烯装置
0.62,ST010083,<p>mg/L</p>,2025-10-07 08:00:00,硬度,延炼12万吨/年乙苯/苯乙烯装置
4.48,ST010083,<p>mg/L</p>,2025-10-14 08:00:00,硬度,延炼12万吨/年乙苯/苯乙烯装置
460.90,ST010083,<p>&mu;g/L</p>,2025-10-14 08:00:00,二氧化硅,延炼12万吨/年乙苯/苯乙烯装置
6.00,ST010083,<p>&mu;S/cm</p>,2025-10-14 08:00:00,电导率,延炼12万吨/年乙苯/苯乙烯装置
25.00,ST010083,<p>&mu;S/cm</p>,2025-10-21 08:00:00,电导率,延炼12万吨/年乙苯/苯乙烯装置
505.00,ST010083,<p>&mu;g/L</p>,2025-10-21 08:00:00,二氧化硅,延炼12万吨/年乙苯/苯乙烯装置
