result,sampleDotCode,unitName,sampleTime,resultName,deviceName
15.4,ST010124,g/L,2025-05-01 08:00:00,二氧化碳,延炼12万吨/年乙苯/苯乙烯装置
8.53,ST010124,g/L,2025-05-01 08:00:00,硫化氢含量,延炼12万吨/年乙苯/苯乙烯装置
19.93,ST010124,质量分数 %,2025-05-01 08:00:00,N-甲基二乙醇胺浓度(MDEA),延炼12万吨/年乙苯/苯乙烯装置
15.6,ST010124,g/L,2025-05-08 08:00:00,二氧化碳,延炼12万吨/年乙苯/苯乙烯装置
8.87,ST010124,g/L,2025-05-08 08:00:00,硫化氢含量,延炼12万吨/年乙苯/苯乙烯装置
20.42,ST010124,质量分数 %,2025-05-08 08:00:00,N-甲基二乙醇胺浓度(MDEA),延炼12万吨/年乙苯/苯乙烯装置
15.1,ST010124,g/L,2025-05-15 08:00:00,二氧化碳,延炼12万吨/年乙苯/苯乙烯装置
8.19,ST010124,g/L,2025-05-15 08:00:00,硫化氢含量,延炼12万吨/年乙苯/苯乙烯装置
19.33,ST010124,质量分数 %,2025-05-15 08:00:00,N-甲基二乙醇胺浓度(MDEA),延炼12万吨/年乙苯/苯乙烯装置
14.5,ST010124,g/L,2025-05-22 08:00:00,二氧化碳,延炼12万吨/年乙苯/苯乙烯装置
8.53,ST010124,g/L,2025-05-22 08:00:00,硫化氢含量,延炼12万吨/年乙苯/苯乙烯装置
18.53,ST010124,质量分数 %,2025-05-22 08:00:00,N-甲基二乙醇胺浓度(MDEA),延炼12万吨/年乙苯/苯乙烯装置
15.9,ST010124,g/L,2025-05-29 08:00:00,二氧化碳,延炼12万吨/年乙苯/苯乙烯装置
9.21,ST010124,g/L,2025-05-29 08:00:00,硫化氢含量,延炼12万吨/年乙苯/苯乙烯装置
21.03,ST010124,质量分数 %,2025-05-29 08:00:00,N-甲基二乙醇胺浓度(MDEA),延炼12万吨/年乙苯/苯乙烯装置
9.55,ST010124,g/L,2025-06-05 08:00:00,硫化氢含量,延炼12万吨/年乙苯/苯乙烯装置
16.7,ST010124,g/L,2025-06-05 08:00:00,二氧化碳,延炼12万吨/年乙苯/苯乙烯装置
