result,sampleDotCode,unitName,sampleTime,resultName,deviceName
3.4,ST010123,g/L,2025-05-01 08:00:00,二氧化碳,延炼12万吨/年乙苯/苯乙烯装置
18.39,ST010123,质量分数 %,2025-05-01 08:00:00,N-甲基二乙醇胺浓度(MDEA),延炼12万吨/年乙苯/苯乙烯装置
3.75,ST010123,g/L,2025-05-01 08:00:00,硫化氢含量,延炼12万吨/年乙苯/苯乙烯装置
3.1,ST010123,g/L,2025-05-08 08:00:00,二氧化碳,延炼12万吨/年乙苯/苯乙烯装置
4.09,ST010123,g/L,2025-05-08 08:00:00,硫化氢含量,延炼12万吨/年乙苯/苯乙烯装置
18.51,ST010123,质量分数 %,2025-05-08 08:00:00,N-甲基二乙醇胺浓度(MDEA),延炼12万吨/年乙苯/苯乙烯装置
4.43,ST010123,g/L,2025-05-15 08:00:00,硫化氢含量,延炼12万吨/年乙苯/苯乙烯装置
17.42,ST010123,质量分数 %,2025-05-15 08:00:00,N-甲基二乙醇胺浓度(MDEA),延炼12万吨/年乙苯/苯乙烯装置
3.0,ST010123,g/L,2025-05-15 08:00:00,二氧化碳,延炼12万吨/年乙苯/苯乙烯装置
2.7,ST010123,g/L,2025-05-22 08:00:00,二氧化碳,延炼12万吨/年乙苯/苯乙烯装置
3.75,ST010123,g/L,2025-05-22 08:00:00,硫化氢含量,延炼12万吨/年乙苯/苯乙烯装置
16.82,ST010123,质量分数 %,2025-05-22 08:00:00,N-甲基二乙醇胺浓度(MDEA),延炼12万吨/年乙苯/苯乙烯装置
3.41,ST010123,g/L,2025-05-29 08:00:00,硫化氢含量,延炼12万吨/年乙苯/苯乙烯装置
17.12,ST010123,质量分数 %,2025-05-29 08:00:00,N-甲基二乙醇胺浓度(MDEA),延炼12万吨/年乙苯/苯乙烯装置
2.7,ST010123,g/L,2025-05-29 08:00:00,二氧化碳,延炼12万吨/年乙苯/苯乙烯装置
4.43,ST010123,g/L,2025-06-05 08:00:00,硫化氢含量,延炼12万吨/年乙苯/苯乙烯装置
4.1,ST010123,g/L,2025-06-05 08:00:00,二氧化碳,延炼12万吨/年乙苯/苯乙烯装置
18.92,ST010123,质量分数 %,2025-06-05 08:00:00,N-甲基二乙醇胺浓度(MDEA),延炼12万吨/年乙苯/苯乙烯装置
4.09,ST010123,g/L,2025-06-12 08:00:00,硫化氢含量,延炼12万吨/年乙苯/苯乙烯装置
3.6,ST010123,g/L,2025-06-12 08:00:00,二氧化碳,延炼12万吨/年乙苯/苯乙烯装置
18.10,ST010123,质量分数 %,2025-06-12 08:00:00,N-甲基二乙醇胺浓度(MDEA),延炼12万吨/年乙苯/苯乙烯装置
3.8,ST010123,g/L,2025-06-19 08:00:00,二氧化碳,延炼12万吨/年乙苯/苯乙烯装置
4.23,ST010123,g/L,2025-06-19 08:00:00,硫化氢含量,延炼12万吨/年乙苯/苯乙烯装置
18.26,ST010123,质量分数 %,2025-06-19 08:00:00,N-甲基二乙醇胺浓度(MDEA),延炼12万吨/年乙苯/苯乙烯装置
3.5,ST010123,g/L,2025-06-26 08:00:00,二氧化碳,延炼12万吨/年乙苯/苯乙烯装置
3.92,ST010123,g/L,2025-06-26 08:00:00,硫化氢含量,延炼12万吨/年乙苯/苯乙烯装置
18.38,ST010123,质量分数 %,2025-06-26 08:00:00,N-甲基二乙醇胺浓度(MDEA),延炼12万吨/年乙苯/苯乙烯装置
3.2,ST010123,g/L,2025-07-03 08:00:00,二氧化碳,延炼12万吨/年乙苯/苯乙烯装置
4.77,ST010123,g/L,2025-07-03 08:00:00,硫化氢含量,延炼12万吨/年乙苯/苯乙烯装置
18.02,ST010123,质量分数 %,2025-07-03 08:00:00,N-甲基二乙醇胺浓度(MDEA),延炼12万吨/年乙苯/苯乙烯装置
3.3,ST010123,g/L,2025-07-10 08:00:00,二氧化碳,延炼12万吨/年乙苯/苯乙烯装置
3.41,ST010123,g/L,2025-07-10 08:00:00,硫化氢含量,延炼12万吨/年乙苯/苯乙烯装置
17.62,ST010123,质量分数 %,2025-07-10 08:00:00,N-甲基二乙醇胺浓度(MDEA),延炼12万吨/年乙苯/苯乙烯装置
4.09,ST010123,g/L,2025-07-17 08:00:00,硫化氢含量,延炼12万吨/年乙苯/苯乙烯装置
17.07,ST010123,质量分数 %,2025-07-17 08:00:00,N-甲基二乙醇胺浓度(MDEA),延炼12万吨/年乙苯/苯乙烯装置
3.5,ST010123,g/L,2025-07-17 08:00:00,二氧化碳,延炼12万吨/年乙苯/苯乙烯装置
16.17,ST010123,质量分数 %,2025-07-24 08:00:00,N-甲基二乙醇胺浓度(MDEA),延炼12万吨/年乙苯/苯乙烯装置
4.0,ST010123,g/L,2025-07-24 08:00:00,二氧化碳,延炼12万吨/年乙苯/苯乙烯装置
5.12,ST010123,g/L,2025-07-24 08:00:00,硫化氢含量,延炼12万吨/年乙苯/苯乙烯装置
3.9,ST010123,g/L,2025-07-31 08:00:00,二氧化碳,延炼12万吨/年乙苯/苯乙烯装置
4.77,ST010123,g/L,2025-07-31 08:00:00,硫化氢含量,延炼12万吨/年乙苯/苯乙烯装置
16.31,ST010123,质量分数 %,2025-07-31 08:00:00,N-甲基二乙醇胺浓度(MDEA),延炼12万吨/年乙苯/苯乙烯装置
4.43,ST010123,g/L,2025-08-07 08:00:00,硫化氢含量,延炼12万吨/年乙苯/苯乙烯装置
3.5,ST010123,g/L,2025-08-07 08:00:00,二氧化碳,延炼12万吨/年乙苯/苯乙烯装置
17.36,ST010123,质量分数 %,2025-08-07 08:00:00,N-甲基二乙醇胺浓度(MDEA),延炼12万吨/年乙苯/苯乙烯装置
4.09,ST010123,g/L,2025-08-14 08:00:00,硫化氢含量,延炼12万吨/年乙苯/苯乙烯装置
4.0,ST010123,g/L,2025-08-14 08:00:00,二氧化碳,延炼12万吨/年乙苯/苯乙烯装置
18.02,ST010123,质量分数 %,2025-08-14 08:00:00,N-甲基二乙醇胺浓度(MDEA),延炼12万吨/年乙苯/苯乙烯装置
2.8,ST010123,g/L,2025-08-21 08:00:00,二氧化碳,延炼12万吨/年乙苯/苯乙烯装置
4.77,ST010123,g/L,2025-08-21 08:00:00,硫化氢含量,延炼12万吨/年乙苯/苯乙烯装置
17.80,ST010123,质量分数 %,2025-08-21 08:00:00,N-甲基二乙醇胺浓度(MDEA),延炼12万吨/年乙苯/苯乙烯装置
3.2,ST010123,g/L,2025-08-28 08:00:00,二氧化碳,延炼12万吨/年乙苯/苯乙烯装置
5.11,ST010123,g/L,2025-08-28 08:00:00,硫化氢含量,延炼12万吨/年乙苯/苯乙烯装置
15.22,ST010123,质量分数 %,2025-08-28 08:00:00,N-甲基二乙醇胺浓度(MDEA),延炼12万吨/年乙苯/苯乙烯装置
4.43,ST010123,g/L,2025-09-04 08:00:00,硫化氢含量,延炼12万吨/年乙苯/苯乙烯装置
3.0,ST010123,g/L,2025-09-04 08:00:00,二氧化碳,延炼12万吨/年乙苯/苯乙烯装置
18.02,ST010123,质量分数 %,2025-09-04 08:00:00,N-甲基二乙醇胺浓度(MDEA),延炼12万吨/年乙苯/苯乙烯装置
3.5,ST010123,g/L,2025-09-11 08:00:00,二氧化碳,延炼12万吨/年乙苯/苯乙烯装置
4.43,ST010123,g/L,2025-09-11 08:00:00,硫化氢含量,延炼12万吨/年乙苯/苯乙烯装置
16.31,ST010123,质量分数 %,2025-09-11 08:00:00,N-甲基二乙醇胺浓度(MDEA),延炼12万吨/年乙苯/苯乙烯装置
3.8,ST010123,g/L,2025-09-18 08:00:00,二氧化碳,延炼12万吨/年乙苯/苯乙烯装置
3.75,ST010123,g/L,2025-09-18 08:00:00,硫化氢含量,延炼12万吨/年乙苯/苯乙烯装置
18.75,ST010123,质量分数 %,2025-09-18 08:00:00,N-甲基二乙醇胺浓度(MDEA),延炼12万吨/年乙苯/苯乙烯装置
3.3,ST010123,g/L,2025-09-25 08:00:00,二氧化碳,延炼12万吨/年乙苯/苯乙烯装置
4.09,ST010123,g/L,2025-09-25 08:00:00,硫化氢含量,延炼12万吨/年乙苯/苯乙烯装置
16.67,ST010123,质量分数 %,2025-09-25 08:00:00,N-甲基二乙醇胺浓度(MDEA),延炼12万吨/年乙苯/苯乙烯装置
4.77,ST010123,g/L,2025-10-02 08:00:00,硫化氢含量,延炼12万吨/年乙苯/苯乙烯装置
3.2,ST010123,g/L,2025-10-02 08:00:00,二氧化碳,延炼12万吨/年乙苯/苯乙烯装置
17.87,ST010123,质量分数 %,2025-10-02 08:00:00,N-甲基二乙醇胺浓度(MDEA),延炼12万吨/年乙苯/苯乙烯装置
4.43,ST010123,g/L,2025-10-09 08:00:00,硫化氢含量,延炼12万吨/年乙苯/苯乙烯装置
3.0,ST010123,g/L,2025-10-09 08:00:00,二氧化碳,延炼12万吨/年乙苯/苯乙烯装置
17.42,ST010123,质量分数 %,2025-10-09 08:00:00,N-甲基二乙醇胺浓度(MDEA),延炼12万吨/年乙苯/苯乙烯装置
3.5,ST010123,g/L,2025-10-16 08:00:00,二氧化碳,延炼12万吨/年乙苯/苯乙烯装置
4.77,ST010123,g/L,2025-10-16 08:00:00,硫化氢含量,延炼12万吨/年乙苯/苯乙烯装置
18.71,ST010123,质量分数 %,2025-10-16 08:00:00,N-甲基二乙醇胺浓度(MDEA),延炼12万吨/年乙苯/苯乙烯装置
4.2,ST010123,g/L,2025-10-23 08:00:00,二氧化碳,延炼12万吨/年乙苯/苯乙烯装置
4.09,ST010123,g/L,2025-10-23 08:00:00,硫化氢含量,延炼12万吨/年乙苯/苯乙烯装置
17.43,ST010123,质量分数 %,2025-10-23 08:00:00,N-甲基二乙醇胺浓度(MDEA),延炼12万吨/年乙苯/苯乙烯装置
3.3,ST010123,g/L,2025-10-30 08:00:00,二氧化碳,延炼12万吨/年乙苯/苯乙烯装置
4.43,ST010123,g/L,2025-10-30 08:00:00,硫化氢含量,延炼12万吨/年乙苯/苯乙烯装置
18.21,ST010123,质量分数 %,2025-10-30 08:00:00,N-甲基二乙醇胺浓度(MDEA),延炼12万吨/年乙苯/苯乙烯装置
4.09,ST010123,g/L,2025-11-06 08:00:00,硫化氢含量,延炼12万吨/年乙苯/苯乙烯装置
3.7,ST010123,g/L,2025-11-06 08:00:00,二氧化碳,延炼12万吨/年乙苯/苯乙烯装置
18.49,ST010123,质量分数 %,2025-11-06 08:00:00,N-甲基二乙醇胺浓度(MDEA),延炼12万吨/年乙苯/苯乙烯装置
3.8,ST010123,g/L,2025-11-13 08:00:00,二氧化碳,延炼12万吨/年乙苯/苯乙烯装置
4.77,ST010123,g/L,2025-11-13 08:00:00,硫化氢含量,延炼12万吨/年乙苯/苯乙烯装置
17.50,ST010123,质量分数 %,2025-11-13 08:00:00,N-甲基二乙醇胺浓度(MDEA),延炼12万吨/年乙苯/苯乙烯装置
3.6,ST010123,g/L,2025-11-20 16:00:00,二氧化碳,延炼12万吨/年乙苯/苯乙烯装置
4.43,ST010123,g/L,2025-11-20 16:00:00,硫化氢含量,延炼12万吨/年乙苯/苯乙烯装置
18.02,ST010123,质量分数 %,2025-11-20 16:00:00,N-甲基二乙醇胺浓度(MDEA),延炼12万吨/年乙苯/苯乙烯装置
17.42,ST010123,质量分数 %,2025-11-27 16:00:00,N-甲基二乙醇胺浓度(MDEA),延炼12万吨/年乙苯/苯乙烯装置
4.77,ST010123,g/L,2025-11-27 16:00:00,硫化氢含量,延炼12万吨/年乙苯/苯乙烯装置
4.9,ST010123,g/L,2025-11-27 16:00:00,二氧化碳,延炼12万吨/年乙苯/苯乙烯装置
4.78,ST010123,g/L,2025-12-04 16:00:00,硫化氢含量,延炼12万吨/年乙苯/苯乙烯装置
3.8,ST010123,g/L,2025-12-04 16:00:00,二氧化碳,延炼12万吨/年乙苯/苯乙烯装置
17.34,ST010123,质量分数 %,2025-12-04 16:00:00,N-甲基二乙醇胺浓度(MDEA),延炼12万吨/年乙苯/苯乙烯装置
4.77,ST010123,g/L,2025-12-11 16:00:00,硫化氢含量,延炼12万吨/年乙苯/苯乙烯装置
4.1,ST010123,g/L,2025-12-11 16:00:00,二氧化碳,延炼12万吨/年乙苯/苯乙烯装置
18.52,ST010123,质量分数 %,2025-12-11 16:00:00,N-甲基二乙醇胺浓度(MDEA),延炼12万吨/年乙苯/苯乙烯装置
3.8,ST010123,g/L,2025-12-18 16:00:00,二氧化碳,延炼12万吨/年乙苯/苯乙烯装置
4.09,ST010123,g/L,2025-12-18 16:00:00,硫化氢含量,延炼12万吨/年乙苯/苯乙烯装置
18.30,ST010123,质量分数 %,2025-12-18 16:00:00,N-甲基二乙醇胺浓度(MDEA),延炼12万吨/年乙苯/苯乙烯装置
4.3,ST010123,g/L,2025-12-25 16:00:00,二氧化碳,延炼12万吨/年乙苯/苯乙烯装置
4.43,ST010123,g/L,2025-12-25 16:00:00,硫化氢含量,延炼12万吨/年乙苯/苯乙烯装置
19.44,ST010123,质量分数 %,2025-12-25 16:00:00,N-甲基二乙醇胺浓度(MDEA),延炼12万吨/年乙苯/苯乙烯装置
4.9,ST010123,g/L,2026-01-01 16:00:00,二氧化碳,延炼12万吨/年乙苯/苯乙烯装置
18.83,ST010123,质量分数 %,2026-01-01 16:00:00,N-甲基二乙醇胺浓度(MDEA),延炼12万吨/年乙苯/苯乙烯装置
4.09,ST010123,g/L,2026-01-01 16:00:00,硫化氢含量,延炼12万吨/年乙苯/苯乙烯装置
4.77,ST010123,g/L,2026-01-08 16:00:00,硫化氢含量,延炼12万吨/年乙苯/苯乙烯装置
19.66,ST010123,质量分数 %,2026-01-08 16:00:00,N-甲基二乙醇胺浓度(MDEA),延炼12万吨/年乙苯/苯乙烯装置
4.8,ST010123,g/L,2026-01-08 16:00:00,二氧化碳,延炼12万吨/年乙苯/苯乙烯装置
4.43,ST010123,g/L,2026-01-15 16:00:00,硫化氢含量,延炼12万吨/年乙苯/苯乙烯装置
19.32,ST010123,质量分数 %,2026-01-15 16:00:00,N-甲基二乙醇胺浓度(MDEA),延炼12万吨/年乙苯/苯乙烯装置
4.7,ST010123,g/L,2026-01-15 16:00:00,二氧化碳,延炼12万吨/年乙苯/苯乙烯装置
4.77,ST010123,g/L,2026-01-22 16:00:00,硫化氢含量,延炼12万吨/年乙苯/苯乙烯装置
4.4,ST010123,g/L,2026-01-22 16:00:00,二氧化碳,延炼12万吨/年乙苯/苯乙烯装置
19.61,ST010123,质量分数 %,2026-01-22 16:00:00,N-甲基二乙醇胺浓度(MDEA),延炼12万吨/年乙苯/苯乙烯装置
4.6,ST010123,g/L,2026-01-29 16:00:00,二氧化碳,延炼12万吨/年乙苯/苯乙烯装置
19.52,ST010123,质量分数 %,2026-01-29 16:00:00,N-甲基二乙醇胺浓度(MDEA),延炼12万吨/年乙苯/苯乙烯装置
4.09,ST010123,g/L,2026-01-29 16:00:00,硫化氢含量,延炼12万吨/年乙苯/苯乙烯装置
4.4,ST010123,g/L,2026-02-05 16:00:00,二氧化碳,延炼12万吨/年乙苯/苯乙烯装置
19.76,ST010123,质量分数 %,2026-02-05 16:00:00,N-甲基二乙醇胺浓度(MDEA),延炼12万吨/年乙苯/苯乙烯装置
4.43,ST010123,g/L,2026-02-05 16:00:00,硫化氢含量,延炼12万吨/年乙苯/苯乙烯装置
4.7,ST010123,g/L,2026-02-12 16:00:00,二氧化碳,延炼12万吨/年乙苯/苯乙烯装置
4.77,ST010123,g/L,2026-02-12 16:00:00,硫化氢含量,延炼12万吨/年乙苯/苯乙烯装置
20.16,ST010123,质量分数 %,2026-02-12 16:00:00,N-甲基二乙醇胺浓度(MDEA),延炼12万吨/年乙苯/苯乙烯装置
4.5,ST010123,g/L,2026-02-19 16:00:00,二氧化碳,延炼12万吨/年乙苯/苯乙烯装置
4.43,ST010123,g/L,2026-02-19 16:00:00,硫化氢含量,延炼12万吨/年乙苯/苯乙烯装置
20.29,ST010123,质量分数 %,2026-02-19 16:00:00,N-甲基二乙醇胺浓度(MDEA),延炼12万吨/年乙苯/苯乙烯装置
4.09,ST010123,g/L,2026-02-26 16:00:00,硫化氢含量,延炼12万吨/年乙苯/苯乙烯装置
4.7,ST010123,g/L,2026-02-26 16:00:00,二氧化碳,延炼12万吨/年乙苯/苯乙烯装置
20.53,ST010123,质量分数 %,2026-02-26 16:00:00,N-甲基二乙醇胺浓度(MDEA),延炼12万吨/年乙苯/苯乙烯装置
4.26,ST010123,g/L,2026-03-05 08:00:00,硫化氢含量,延炼12万吨/年乙苯/苯乙烯装置
4.4,ST010123,g/L,2026-03-05 08:00:00,二氧化碳,延炼12万吨/年乙苯/苯乙烯装置
20.40,ST010123,质量分数 %,2026-03-05 08:00:00,N-甲基二乙醇胺浓度(MDEA),延炼12万吨/年乙苯/苯乙烯装置
4.06,ST010123,g/L,2026-03-12 08:00:00,硫化氢含量,延炼12万吨/年乙苯/苯乙烯装置
4.6,ST010123,g/L,2026-03-12 08:00:00,二氧化碳,延炼12万吨/年乙苯/苯乙烯装置
20.68,ST010123,质量分数 %,2026-03-12 08:00:00,N-甲基二乙醇胺浓度(MDEA),延炼12万吨/年乙苯/苯乙烯装置
4.9,ST010123,g/L,2026-03-19 08:00:00,二氧化碳,延炼12万吨/年乙苯/苯乙烯装置
19.48,ST010123,质量分数 %,2026-03-19 08:00:00,N-甲基二乙醇胺浓度(MDEA),延炼12万吨/年乙苯/苯乙烯装置
4.70,ST010123,g/L,2026-03-19 08:00:00,硫化氢含量,延炼12万吨/年乙苯/苯乙烯装置
4.5,ST010123,g/L,2026-03-26 08:00:00,二氧化碳,延炼12万吨/年乙苯/苯乙烯装置
4.57,ST010123,g/L,2026-03-26 08:00:00,硫化氢含量,延炼12万吨/年乙苯/苯乙烯装置
20.03,ST010123,质量分数 %,2026-03-26 08:00:00,N-甲基二乙醇胺浓度(MDEA),延炼12万吨/年乙苯/苯乙烯装置
4.7,ST010123,g/L,2026-04-02 08:00:00,二氧化碳,延炼12万吨/年乙苯/苯乙烯装置
4.43,ST010123,g/L,2026-04-02 08:00:00,硫化氢含量,延炼12万吨/年乙苯/苯乙烯装置
20.34,ST010123,质量分数 %,2026-04-02 08:00:00,N-甲基二乙醇胺浓度(MDEA),延炼12万吨/年乙苯/苯乙烯装置
22.26,ST010123,质量分数 %,2026-04-09 08:00:00,N-甲基二乙醇胺浓度(MDEA),延炼12万吨/年乙苯/苯乙烯装置
4.5,ST010123,g/L,2026-04-09 08:00:00,二氧化碳,延炼12万吨/年乙苯/苯乙烯装置
5.11,ST010123,g/L,2026-04-09 08:00:00,硫化氢含量,延炼12万吨/年乙苯/苯乙烯装置
4.53,ST010123,g/L,2026-04-16 08:00:00,硫化氢含量,延炼12万吨/年乙苯/苯乙烯装置
4.6,ST010123,g/L,2026-04-16 08:00:00,二氧化碳,延炼12万吨/年乙苯/苯乙烯装置
20.40,ST010123,质量分数 %,2026-04-16 08:00:00,N-甲基二乙醇胺浓度(MDEA),延炼12万吨/年乙苯/苯乙烯装置
4.7,ST010123,g/L,2026-04-23 08:00:00,二氧化碳,延炼12万吨/年乙苯/苯乙烯装置
4.60,ST010123,g/L,2026-04-23 08:00:00,硫化氢含量,延炼12万吨/年乙苯/苯乙烯装置
20.30,ST010123,质量分数 %,2026-04-23 08:00:00,N-甲基二乙醇胺浓度(MDEA),延炼12万吨/年乙苯/苯乙烯装置
4.9,ST010123,g/L,2026-04-30 08:00:00,二氧化碳,延炼12万吨/年乙苯/苯乙烯装置
4.92,ST010123,g/L,2026-04-30 08:00:00,硫化氢含量,延炼12万吨/年乙苯/苯乙烯装置
21.12,ST010123,质量分数 %,2026-04-30 08:00:00,N-甲基二乙醇胺浓度(MDEA),延炼12万吨/年乙苯/苯乙烯装置
