result,sampleDotCode,unitName,sampleTime,resultName,deviceName
0.103,ST010136,%(m/m),2025-05-01 08:00:00,非  芳,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010136,"<p>%(v/v)</p>
",2025-05-01 08:00:00,碳五(合计),延炼12万吨/年乙苯/苯乙烯装置
0.042,ST010136,%(m/m),2025-05-01 08:00:00,甲  苯,延炼12万吨/年乙苯/苯乙烯装置
98.50,ST010136,%(m/m),2025-05-01 08:00:00,乙  苯,延炼12万吨/年乙苯/苯乙烯装置
1.211,ST010136,%(m/m),2025-05-01 08:00:00,二甲苯,延炼12万吨/年乙苯/苯乙烯装置
<0.001,ST010136,%(m/m),2025-05-01 08:00:00,异丙苯,延炼12万吨/年乙苯/苯乙烯装置
<0.001,ST010136,%(m/m),2025-05-01 08:00:00,正丙苯,延炼12万吨/年乙苯/苯乙烯装置
<0.001,ST010136,%(m/m),2025-05-01 08:00:00,甲乙苯,延炼12万吨/年乙苯/苯乙烯装置
<0.001,ST010136,%(m/m),2025-05-01 08:00:00,丁苯,延炼12万吨/年乙苯/苯乙烯装置
＜0.0003,ST010136,%(m/m),2025-05-01 08:00:00,二乙苯,延炼12万吨/年乙苯/苯乙烯装置
<0.001,ST010136,%(m/m),2025-05-01 08:00:00,重芳,延炼12万吨/年乙苯/苯乙烯装置
0.143,ST010136,%(m/m),2025-05-01 08:00:00,苯乙烯,延炼12万吨/年乙苯/苯乙烯装置
0.40,ST010136,"<p>%(v/v)</p>
",2025-05-01 08:00:00,氧气,延炼12万吨/年乙苯/苯乙烯装置
18.33,ST010136,"<p>%(v/v)</p>
",2025-05-01 08:00:00,氮气,延炼12万吨/年乙苯/苯乙烯装置
0.03,ST010136,"<p>%(v/v)</p>
",2025-05-01 08:00:00,一氧化碳,延炼12万吨/年乙苯/苯乙烯装置
1.80,ST010136,"<p>%(v/v)</p>
",2025-05-01 08:00:00,二氧化碳,延炼12万吨/年乙苯/苯乙烯装置
78.89,ST010136,"<p>%(v/v)</p>
",2025-05-01 08:00:00,氢气,延炼12万吨/年乙苯/苯乙烯装置
0.37,ST010136,"<p>%(v/v)</p>
",2025-05-01 08:00:00,甲烷,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010136,"<p>%(v/v)</p>
",2025-05-01 08:00:00,丙烷,延炼12万吨/年乙苯/苯乙烯装置
0.01,ST010136,"<p>%(v/v)</p>
",2025-05-01 08:00:00,丙烯,延炼12万吨/年乙苯/苯乙烯装置
0.14,ST010136,"<p>%(v/v)</p>
",2025-05-01 08:00:00,乙烯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010136,"<p>%(v/v)</p>
",2025-05-01 08:00:00,碳四(合计),延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010136,"<p>%(v/v)</p>
",2025-05-01 08:00:00,异戊烷,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010136,"<p>%(v/v)</p>
",2025-05-01 08:00:00,正戊烷,延炼12万吨/年乙苯/苯乙烯装置
0.02,ST010136,"<p>%(v/v)</p>
",2025-05-01 08:00:00,乙烷,延炼12万吨/年乙苯/苯乙烯装置
<0.001,ST010136,%(m/m),2025-05-01 08:00:00,苯,延炼12万吨/年乙苯/苯乙烯装置
0.044,ST010136,%(m/m),2025-05-02 08:00:00,甲  苯,延炼12万吨/年乙苯/苯乙烯装置
0.58,ST010136,"<p>%(v/v)</p>
",2025-05-02 08:00:00,氧气,延炼12万吨/年乙苯/苯乙烯装置
1.078,ST010136,%(m/m),2025-05-02 08:00:00,二甲苯,延炼12万吨/年乙苯/苯乙烯装置
<0.001,ST010136,%(m/m),2025-05-02 08:00:00,异丙苯,延炼12万吨/年乙苯/苯乙烯装置
<0.001,ST010136,%(m/m),2025-05-02 08:00:00,正丙苯,延炼12万吨/年乙苯/苯乙烯装置
<0.001,ST010136,%(m/m),2025-05-02 08:00:00,甲乙苯,延炼12万吨/年乙苯/苯乙烯装置
<0.001,ST010136,%(m/m),2025-05-02 08:00:00,丁苯,延炼12万吨/年乙苯/苯乙烯装置
＜0.0003,ST010136,%(m/m),2025-05-02 08:00:00,二乙苯,延炼12万吨/年乙苯/苯乙烯装置
<0.001,ST010136,%(m/m),2025-05-02 08:00:00,重芳,延炼12万吨/年乙苯/苯乙烯装置
0.087,ST010136,%(m/m),2025-05-02 08:00:00,苯乙烯,延炼12万吨/年乙苯/苯乙烯装置
0.105,ST010136,%(m/m),2025-05-02 08:00:00,非  芳,延炼12万吨/年乙苯/苯乙烯装置
<0.001,ST010136,%(m/m),2025-05-02 08:00:00,苯,延炼12万吨/年乙苯/苯乙烯装置
18.73,ST010136,"<p>%(v/v)</p>
",2025-05-02 08:00:00,氮气,延炼12万吨/年乙苯/苯乙烯装置
0.04,ST010136,"<p>%(v/v)</p>
",2025-05-02 08:00:00,一氧化碳,延炼12万吨/年乙苯/苯乙烯装置
1.72,ST010136,"<p>%(v/v)</p>
",2025-05-02 08:00:00,二氧化碳,延炼12万吨/年乙苯/苯乙烯装置
78.36,ST010136,"<p>%(v/v)</p>
",2025-05-02 08:00:00,氢气,延炼12万吨/年乙苯/苯乙烯装置
0.38,ST010136,"<p>%(v/v)</p>
",2025-05-02 08:00:00,甲烷,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010136,"<p>%(v/v)</p>
",2025-05-02 08:00:00,丙烷,延炼12万吨/年乙苯/苯乙烯装置
0.01,ST010136,"<p>%(v/v)</p>
",2025-05-02 08:00:00,丙烯,延炼12万吨/年乙苯/苯乙烯装置
0.15,ST010136,"<p>%(v/v)</p>
",2025-05-02 08:00:00,乙烯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010136,"<p>%(v/v)</p>
",2025-05-02 08:00:00,碳四(合计),延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010136,"<p>%(v/v)</p>
",2025-05-02 08:00:00,异戊烷,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010136,"<p>%(v/v)</p>
",2025-05-02 08:00:00,正戊烷,延炼12万吨/年乙苯/苯乙烯装置
0.02,ST010136,"<p>%(v/v)</p>
",2025-05-02 08:00:00,乙烷,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010136,"<p>%(v/v)</p>
",2025-05-02 08:00:00,碳五(合计),延炼12万吨/年乙苯/苯乙烯装置
98.69,ST010136,%(m/m),2025-05-02 08:00:00,乙  苯,延炼12万吨/年乙苯/苯乙烯装置
0.125,ST010136,%(m/m),2025-05-03 08:00:00,非  芳,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010136,"<p>%(v/v)</p>
",2025-05-03 08:00:00,碳五(合计),延炼12万吨/年乙苯/苯乙烯装置
0.069,ST010136,%(m/m),2025-05-03 08:00:00,甲  苯,延炼12万吨/年乙苯/苯乙烯装置
98.52,ST010136,%(m/m),2025-05-03 08:00:00,乙  苯,延炼12万吨/年乙苯/苯乙烯装置
1.185,ST010136,%(m/m),2025-05-03 08:00:00,二甲苯,延炼12万吨/年乙苯/苯乙烯装置
<0.001,ST010136,%(m/m),2025-05-03 08:00:00,异丙苯,延炼12万吨/年乙苯/苯乙烯装置
<0.001,ST010136,%(m/m),2025-05-03 08:00:00,正丙苯,延炼12万吨/年乙苯/苯乙烯装置
<0.001,ST010136,%(m/m),2025-05-03 08:00:00,甲乙苯,延炼12万吨/年乙苯/苯乙烯装置
<0.001,ST010136,%(m/m),2025-05-03 08:00:00,丁苯,延炼12万吨/年乙苯/苯乙烯装置
＜0.0003,ST010136,%(m/m),2025-05-03 08:00:00,二乙苯,延炼12万吨/年乙苯/苯乙烯装置
<0.001,ST010136,%(m/m),2025-05-03 08:00:00,重芳,延炼12万吨/年乙苯/苯乙烯装置
0.101,ST010136,%(m/m),2025-05-03 08:00:00,苯乙烯,延炼12万吨/年乙苯/苯乙烯装置
0.87,ST010136,"<p>%(v/v)</p>
",2025-05-03 08:00:00,氧气,延炼12万吨/年乙苯/苯乙烯装置
19.13,ST010136,"<p>%(v/v)</p>
",2025-05-03 08:00:00,氮气,延炼12万吨/年乙苯/苯乙烯装置
0.01,ST010136,"<p>%(v/v)</p>
",2025-05-03 08:00:00,一氧化碳,延炼12万吨/年乙苯/苯乙烯装置
1.81,ST010136,"<p>%(v/v)</p>
",2025-05-03 08:00:00,二氧化碳,延炼12万吨/年乙苯/苯乙烯装置
77.60,ST010136,"<p>%(v/v)</p>
",2025-05-03 08:00:00,氢气,延炼12万吨/年乙苯/苯乙烯装置
0.38,ST010136,"<p>%(v/v)</p>
",2025-05-03 08:00:00,甲烷,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010136,"<p>%(v/v)</p>
",2025-05-03 08:00:00,丙烷,延炼12万吨/年乙苯/苯乙烯装置
0.01,ST010136,"<p>%(v/v)</p>
",2025-05-03 08:00:00,丙烯,延炼12万吨/年乙苯/苯乙烯装置
0.15,ST010136,"<p>%(v/v)</p>
",2025-05-03 08:00:00,乙烯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010136,"<p>%(v/v)</p>
",2025-05-03 08:00:00,碳四(合计),延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010136,"<p>%(v/v)</p>
",2025-05-03 08:00:00,异戊烷,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010136,"<p>%(v/v)</p>
",2025-05-03 08:00:00,正戊烷,延炼12万吨/年乙苯/苯乙烯装置
0.02,ST010136,"<p>%(v/v)</p>
",2025-05-03 08:00:00,乙烷,延炼12万吨/年乙苯/苯乙烯装置
<0.001,ST010136,%(m/m),2025-05-03 08:00:00,苯,延炼12万吨/年乙苯/苯乙烯装置
0.101,ST010136,%(m/m),2025-05-04 08:00:00,非  芳,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010136,"<p>%(v/v)</p>
",2025-05-04 08:00:00,碳五(合计),延炼12万吨/年乙苯/苯乙烯装置
0.048,ST010136,%(m/m),2025-05-04 08:00:00,甲  苯,延炼12万吨/年乙苯/苯乙烯装置
98.38,ST010136,%(m/m),2025-05-04 08:00:00,乙  苯,延炼12万吨/年乙苯/苯乙烯装置
1.294,ST010136,%(m/m),2025-05-04 08:00:00,二甲苯,延炼12万吨/年乙苯/苯乙烯装置
<0.001,ST010136,%(m/m),2025-05-04 08:00:00,异丙苯,延炼12万吨/年乙苯/苯乙烯装置
<0.001,ST010136,%(m/m),2025-05-04 08:00:00,正丙苯,延炼12万吨/年乙苯/苯乙烯装置
<0.001,ST010136,%(m/m),2025-05-04 08:00:00,甲乙苯,延炼12万吨/年乙苯/苯乙烯装置
<0.001,ST010136,%(m/m),2025-05-04 08:00:00,丁苯,延炼12万吨/年乙苯/苯乙烯装置
＜0.0003,ST010136,%(m/m),2025-05-04 08:00:00,二乙苯,延炼12万吨/年乙苯/苯乙烯装置
<0.001,ST010136,%(m/m),2025-05-04 08:00:00,重芳,延炼12万吨/年乙苯/苯乙烯装置
0.173,ST010136,%(m/m),2025-05-04 08:00:00,苯乙烯,延炼12万吨/年乙苯/苯乙烯装置
1.97,ST010136,"<p>%(v/v)</p>
",2025-05-04 08:00:00,氧气,延炼12万吨/年乙苯/苯乙烯装置
