result,sampleDotCode,unitName,sampleTime,resultName,deviceName
0.002,ST010137,<p>%(m/m)</p>,2025-05-01 08:00:00,二乙基苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010137,<p>%(m/m)</p>,2025-05-01 08:00:00,丙烯基苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010137,<p>%(m/m)</p>,2025-05-01 08:00:00,二氢噻喃,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010137,<p>%(m/m)</p>,2025-05-01 08:00:00,2-乙烯基噻吩,延炼12万吨/年乙苯/苯乙烯装置
0.10,ST010137,<p>%(m/m)</p>,2025-05-01 08:00:00,非  芳,延炼12万吨/年乙苯/苯乙烯装置
0.38,ST010137,<p>%(m/m)</p>,2025-05-01 08:00:00,苯,延炼12万吨/年乙苯/苯乙烯装置
1.05,ST010137,<p>%(m/m)</p>,2025-05-01 08:00:00,甲  苯,延炼12万吨/年乙苯/苯乙烯装置
39.25,ST010137,<p>%(m/m)</p>,2025-05-01 08:00:00,乙  苯,延炼12万吨/年乙苯/苯乙烯装置
1.29,ST010137,<p>%(m/m)</p>,2025-05-01 08:00:00,二甲苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010137,<p>%(m/m)</p>,2025-05-01 08:00:00,异丙苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010137,<p>%(m/m)</p>,2025-05-01 08:00:00,正丙苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010137,<p>%(m/m)</p>,2025-05-01 08:00:00,甲乙苯,延炼12万吨/年乙苯/苯乙烯装置
57.73,ST010137,<p>%(m/m)</p>,2025-05-01 08:00:00,苯乙烯,延炼12万吨/年乙苯/苯乙烯装置
0.01,ST010137,<p>%(m/m)</p>,2025-05-01 08:00:00,α甲基苯乙烯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010137,<p>%(m/m)</p>,2025-05-01 08:00:00,苯乙炔,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010137,<p>%(m/m)</p>,2025-05-01 08:00:00,间、对甲基苯乙烯,延炼12万吨/年乙苯/苯乙烯装置
0.18,ST010137,<p>%(m/m)</p>,2025-05-01 08:00:00,其  他,延炼12万吨/年乙苯/苯乙烯装置
0.09,ST010137,<p>%(m/m)</p>,2025-05-02 08:00:00,非  芳,延炼12万吨/年乙苯/苯乙烯装置
0.35,ST010137,<p>%(m/m)</p>,2025-05-02 08:00:00,苯,延炼12万吨/年乙苯/苯乙烯装置
0.95,ST010137,<p>%(m/m)</p>,2025-05-02 08:00:00,甲  苯,延炼12万吨/年乙苯/苯乙烯装置
39.59,ST010137,<p>%(m/m)</p>,2025-05-02 08:00:00,乙  苯,延炼12万吨/年乙苯/苯乙烯装置
1.16,ST010137,<p>%(m/m)</p>,2025-05-02 08:00:00,二甲苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010137,<p>%(m/m)</p>,2025-05-02 08:00:00,异丙苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010137,<p>%(m/m)</p>,2025-05-02 08:00:00,正丙苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010137,<p>%(m/m)</p>,2025-05-02 08:00:00,甲乙苯,延炼12万吨/年乙苯/苯乙烯装置
