result,sampleDotCode,unitName,sampleTime,resultName,deviceName
4000.0,ST010117,<p>mg/kg</p>,2025-05-01 08:00:00,硫化氢,延炼12万吨/年乙苯/苯乙烯装置
0.77,ST010117,"<p>%(v/v)</p>
",2025-05-01 08:00:00,碳四(合计),延炼12万吨/年乙苯/苯乙烯装置
0.03,ST010117,"<p>%(v/v)</p>
",2025-05-01 08:00:00,异戊烷,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010117,"<p>%(v/v)</p>
",2025-05-01 08:00:00,正戊烷,延炼12万吨/年乙苯/苯乙烯装置
13.00,ST010117,"<p>%(v/v)</p>
",2025-05-01 08:00:00,乙烷,延炼12万吨/年乙苯/苯乙烯装置
0.03,ST010117,"<p>%(v/v)</p>
",2025-05-01 08:00:00,碳五(合计),延炼12万吨/年乙苯/苯乙烯装置
1.06,ST010117,"<p>%(v/v)</p>
",2025-05-01 08:00:00,氧气,延炼12万吨/年乙苯/苯乙烯装置
20.20,ST010117,"<p>%(v/v)</p>
",2025-05-01 08:00:00,氮气,延炼12万吨/年乙苯/苯乙烯装置
1.95,ST010117,"<p>%(v/v)</p>
",2025-05-01 08:00:00,一氧化碳,延炼12万吨/年乙苯/苯乙烯装置
3.10,ST010117,"<p>%(v/v)</p>
",2025-05-01 08:00:00,二氧化碳,延炼12万吨/年乙苯/苯乙烯装置
17.64,ST010117,"<p>%(v/v)</p>
",2025-05-01 08:00:00,氢气,延炼12万吨/年乙苯/苯乙烯装置
27.08,ST010117,"<p>%(v/v)</p>
",2025-05-01 08:00:00,甲烷,延炼12万吨/年乙苯/苯乙烯装置
0.61,ST010117,"<p>%(v/v)</p>
",2025-05-01 08:00:00,丙烷,延炼12万吨/年乙苯/苯乙烯装置
1.76,ST010117,"<p>%(v/v)</p>
",2025-05-01 08:00:00,丙烯,延炼12万吨/年乙苯/苯乙烯装置
12.80,ST010117,"<p>%(v/v)</p>
",2025-05-01 08:00:00,乙烯,延炼12万吨/年乙苯/苯乙烯装置
4500.0,ST010117,<p>mg/kg</p>,2025-05-02 08:00:00,硫化氢,延炼12万吨/年乙苯/苯乙烯装置
0.61,ST010117,"<p>%(v/v)</p>
",2025-05-02 08:00:00,氧气,延炼12万吨/年乙苯/苯乙烯装置
18.49,ST010117,"<p>%(v/v)</p>
",2025-05-02 08:00:00,氮气,延炼12万吨/年乙苯/苯乙烯装置
1.93,ST010117,"<p>%(v/v)</p>
",2025-05-02 08:00:00,一氧化碳,延炼12万吨/年乙苯/苯乙烯装置
