result,sampleDotCode,unitName,sampleTime,resultName,deviceName
3.12,ST010121,%(m/m),2025-05-01 08:00:00,二甲苯,延炼12万吨/年乙苯/苯乙烯装置
0.38,ST010121,%(m/m),2025-05-01 08:00:00,乙  苯,延炼12万吨/年乙苯/苯乙烯装置
14.43,ST010121,%(m/m),2025-05-01 08:00:00,重芳,延炼12万吨/年乙苯/苯乙烯装置
1.64,ST010121,%(m/m),2025-05-01 08:00:00,二乙苯,延炼12万吨/年乙苯/苯乙烯装置
1.48,ST010121,%(m/m),2025-05-01 08:00:00,丁苯,延炼12万吨/年乙苯/苯乙烯装置
4.69,ST010121,%(m/m),2025-05-01 08:00:00,甲乙苯,延炼12万吨/年乙苯/苯乙烯装置
0.34,ST010121,%(m/m),2025-05-01 08:00:00,正丙苯,延炼12万吨/年乙苯/苯乙烯装置
0.18,ST010121,%(m/m),2025-05-01 08:00:00,异丙苯,延炼12万吨/年乙苯/苯乙烯装置
3.07,ST010121,%(m/m),2025-05-01 08:00:00,非  芳,延炼12万吨/年乙苯/苯乙烯装置
70.00,ST010121,%(m/m),2025-05-01 08:00:00,苯,延炼12万吨/年乙苯/苯乙烯装置
0.66,ST010121,%(m/m),2025-05-01 08:00:00,甲  苯,延炼12万吨/年乙苯/苯乙烯装置
3.16,ST010121,%(m/m),2025-05-08 08:00:00,非  芳,延炼12万吨/年乙苯/苯乙烯装置
1.69,ST010121,%(m/m),2025-05-08 08:00:00,二乙苯,延炼12万吨/年乙苯/苯乙烯装置
1.53,ST010121,%(m/m),2025-05-08 08:00:00,丁苯,延炼12万吨/年乙苯/苯乙烯装置
4.82,ST010121,%(m/m),2025-05-08 08:00:00,甲乙苯,延炼12万吨/年乙苯/苯乙烯装置
0.35,ST010121,%(m/m),2025-05-08 08:00:00,正丙苯,延炼12万吨/年乙苯/苯乙烯装置
14.75,ST010121,%(m/m),2025-05-08 08:00:00,重芳,延炼12万吨/年乙苯/苯乙烯装置
3.21,ST010121,%(m/m),2025-05-08 08:00:00,二甲苯,延炼12万吨/年乙苯/苯乙烯装置
0.40,ST010121,%(m/m),2025-05-08 08:00:00,乙  苯,延炼12万吨/年乙苯/苯乙烯装置
0.67,ST010121,%(m/m),2025-05-08 08:00:00,甲  苯,延炼12万吨/年乙苯/苯乙烯装置
69.23,ST010121,%(m/m),2025-05-08 08:00:00,苯,延炼12万吨/年乙苯/苯乙烯装置
0.19,ST010121,%(m/m),2025-05-08 08:00:00,异丙苯,延炼12万吨/年乙苯/苯乙烯装置
3.04,ST010121,%(m/m),2025-05-15 08:00:00,二甲苯,延炼12万吨/年乙苯/苯乙烯装置
0.37,ST010121,%(m/m),2025-05-15 08:00:00,乙  苯,延炼12万吨/年乙苯/苯乙烯装置
0.65,ST010121,%(m/m),2025-05-15 08:00:00,甲  苯,延炼12万吨/年乙苯/苯乙烯装置
70.74,ST010121,%(m/m),2025-05-15 08:00:00,苯,延炼12万吨/年乙苯/苯乙烯装置
3.06,ST010121,%(m/m),2025-05-15 08:00:00,非  芳,延炼12万吨/年乙苯/苯乙烯装置
0.18,ST010121,%(m/m),2025-05-15 08:00:00,异丙苯,延炼12万吨/年乙苯/苯乙烯装置
14.02,ST010121,%(m/m),2025-05-15 08:00:00,重芳,延炼12万吨/年乙苯/苯乙烯装置
1.60,ST010121,%(m/m),2025-05-15 08:00:00,二乙苯,延炼12万吨/年乙苯/苯乙烯装置
1.45,ST010121,%(m/m),2025-05-15 08:00:00,丁苯,延炼12万吨/年乙苯/苯乙烯装置
4.57,ST010121,%(m/m),2025-05-15 08:00:00,甲乙苯,延炼12万吨/年乙苯/苯乙烯装置
0.33,ST010121,%(m/m),2025-05-15 08:00:00,正丙苯,延炼12万吨/年乙苯/苯乙烯装置
2.67,ST010121,%(m/m),2025-05-22 08:00:00,非  芳,延炼12万吨/年乙苯/苯乙烯装置
70.45,ST010121,%(m/m),2025-05-22 08:00:00,苯,延炼12万吨/年乙苯/苯乙烯装置
14.63,ST010121,%(m/m),2025-05-22 08:00:00,重芳,延炼12万吨/年乙苯/苯乙烯装置
1.30,ST010121,%(m/m),2025-05-22 08:00:00,二乙苯,延炼12万吨/年乙苯/苯乙烯装置
1.50,ST010121,%(m/m),2025-05-22 08:00:00,丁苯,延炼12万吨/年乙苯/苯乙烯装置
4.73,ST010121,%(m/m),2025-05-22 08:00:00,甲乙苯,延炼12万吨/年乙苯/苯乙烯装置
0.35,ST010121,%(m/m),2025-05-22 08:00:00,正丙苯,延炼12万吨/年乙苯/苯乙烯装置
0.19,ST010121,%(m/m),2025-05-22 08:00:00,异丙苯,延炼12万吨/年乙苯/苯乙烯装置
3.14,ST010121,%(m/m),2025-05-22 08:00:00,二甲苯,延炼12万吨/年乙苯/苯乙烯装置
0.38,ST010121,%(m/m),2025-05-22 08:00:00,乙  苯,延炼12万吨/年乙苯/苯乙烯装置
0.67,ST010121,%(m/m),2025-05-22 08:00:00,甲  苯,延炼12万吨/年乙苯/苯乙烯装置
2.47,ST010121,%(m/m),2025-05-29 08:00:00,非  芳,延炼12万吨/年乙苯/苯乙烯装置
0.18,ST010121,%(m/m),2025-05-29 08:00:00,异丙苯,延炼12万吨/年乙苯/苯乙烯装置
0.01,ST010121,%(m/m),2025-05-29 08:00:00,正丙苯,延炼12万吨/年乙苯/苯乙烯装置
4.56,ST010121,%(m/m),2025-05-29 08:00:00,甲乙苯,延炼12万吨/年乙苯/苯乙烯装置
1.45,ST010121,%(m/m),2025-05-29 08:00:00,丁苯,延炼12万吨/年乙苯/苯乙烯装置
14.19,ST010121,%(m/m),2025-05-29 08:00:00,重芳,延炼12万吨/年乙苯/苯乙烯装置
3.00,ST010121,%(m/m),2025-05-29 08:00:00,二甲苯,延炼12万吨/年乙苯/苯乙烯装置
0.37,ST010121,%(m/m),2025-05-29 08:00:00,乙  苯,延炼12万吨/年乙苯/苯乙烯装置
0.63,ST010121,%(m/m),2025-05-29 08:00:00,甲  苯,延炼12万吨/年乙苯/苯乙烯装置
71.41,ST010121,%(m/m),2025-05-29 08:00:00,苯,延炼12万吨/年乙苯/苯乙烯装置
1.73,ST010121,%(m/m),2025-05-29 08:00:00,二乙苯,延炼12万吨/年乙苯/苯乙烯装置
1.30,ST010121,%(m/m),2025-06-05 08:00:00,二乙苯,延炼12万吨/年乙苯/苯乙烯装置
1.49,ST010121,%(m/m),2025-06-05 08:00:00,丁苯,延炼12万吨/年乙苯/苯乙烯装置
4.67,ST010121,%(m/m),2025-06-05 08:00:00,甲乙苯,延炼12万吨/年乙苯/苯乙烯装置
0.35,ST010121,%(m/m),2025-06-05 08:00:00,正丙苯,延炼12万吨/年乙苯/苯乙烯装置
0.19,ST010121,%(m/m),2025-06-05 08:00:00,异丙苯,延炼12万吨/年乙苯/苯乙烯装置
14.61,ST010121,%(m/m),2025-06-05 08:00:00,重芳,延炼12万吨/年乙苯/苯乙烯装置
0.38,ST010121,%(m/m),2025-06-05 08:00:00,乙  苯,延炼12万吨/年乙苯/苯乙烯装置
0.61,ST010121,%(m/m),2025-06-05 08:00:00,甲  苯,延炼12万吨/年乙苯/苯乙烯装置
71.01,ST010121,%(m/m),2025-06-05 08:00:00,苯,延炼12万吨/年乙苯/苯乙烯装置
2.37,ST010121,%(m/m),2025-06-05 08:00:00,非  芳,延炼12万吨/年乙苯/苯乙烯装置
3.03,ST010121,%(m/m),2025-06-05 08:00:00,二甲苯,延炼12万吨/年乙苯/苯乙烯装置
4.61,ST010121,%(m/m),2025-06-12 08:00:00,二乙苯,延炼12万吨/年乙苯/苯乙烯装置
1.58,ST010121,%(m/m),2025-06-12 08:00:00,丁苯,延炼12万吨/年乙苯/苯乙烯装置
0.09,ST010121,%(m/m),2025-06-12 08:00:00,甲乙苯,延炼12万吨/年乙苯/苯乙烯装置
0.37,ST010121,%(m/m),2025-06-12 08:00:00,正丙苯,延炼12万吨/年乙苯/苯乙烯装置
0.19,ST010121,%(m/m),2025-06-12 08:00:00,异丙苯,延炼12万吨/年乙苯/苯乙烯装置
2.98,ST010121,%(m/m),2025-06-12 08:00:00,二甲苯,延炼12万吨/年乙苯/苯乙烯装置
0.38,ST010121,%(m/m),2025-06-12 08:00:00,乙  苯,延炼12万吨/年乙苯/苯乙烯装置
0.59,ST010121,%(m/m),2025-06-12 08:00:00,甲  苯,延炼12万吨/年乙苯/苯乙烯装置
71.18,ST010121,%(m/m),2025-06-12 08:00:00,苯,延炼12万吨/年乙苯/苯乙烯装置
2.54,ST010121,%(m/m),2025-06-12 08:00:00,非  芳,延炼12万吨/年乙苯/苯乙烯装置
15.49,ST010121,%(m/m),2025-06-12 08:00:00,重芳,延炼12万吨/年乙苯/苯乙烯装置
2.61,ST010121,%(m/m),2025-06-19 08:00:00,非  芳,延炼12万吨/年乙苯/苯乙烯装置
69.38,ST010121,%(m/m),2025-06-19 08:00:00,苯,延炼12万吨/年乙苯/苯乙烯装置
15.79,ST010121,%(m/m),2025-06-19 08:00:00,重芳,延炼12万吨/年乙苯/苯乙烯装置
1.61,ST010121,%(m/m),2025-06-19 08:00:00,二乙苯,延炼12万吨/年乙苯/苯乙烯装置
1.54,ST010121,%(m/m),2025-06-19 08:00:00,丁苯,延炼12万吨/年乙苯/苯乙烯装置
2.82,ST010121,%(m/m),2025-06-19 08:00:00,甲乙苯,延炼12万吨/年乙苯/苯乙烯装置
2.05,ST010121,%(m/m),2025-06-19 08:00:00,正丙苯,延炼12万吨/年乙苯/苯乙烯装置
0.20,ST010121,%(m/m),2025-06-19 08:00:00,异丙苯,延炼12万吨/年乙苯/苯乙烯装置
