result,sampleDotCode,unitName,sampleTime,resultName,deviceName
3.31,ST010122,%(m/m),2025-05-01 08:00:00,二甲苯,延炼12万吨/年乙苯/苯乙烯装置
0.40,ST010122,%(m/m),2025-05-01 08:00:00,乙  苯,延炼12万吨/年乙苯/苯乙烯装置
15.31,ST010122,%(m/m),2025-05-01 08:00:00,重芳,延炼12万吨/年乙苯/苯乙烯装置
1.74,ST010122,%(m/m),2025-05-01 08:00:00,二乙苯,延炼12万吨/年乙苯/苯乙烯装置
1.58,ST010122,%(m/m),2025-05-01 08:00:00,丁苯,延炼12万吨/年乙苯/苯乙烯装置
4.99,ST010122,%(m/m),2025-05-01 08:00:00,甲乙苯,延炼12万吨/年乙苯/苯乙烯装置
0.37,ST010122,%(m/m),2025-05-01 08:00:00,正丙苯,延炼12万吨/年乙苯/苯乙烯装置
0.19,ST010122,%(m/m),2025-05-01 08:00:00,异丙苯,延炼12万吨/年乙苯/苯乙烯装置
3.33,ST010122,%(m/m),2025-05-01 08:00:00,非  芳,延炼12万吨/年乙苯/苯乙烯装置
68.09,ST010122,%(m/m),2025-05-01 08:00:00,苯,延炼12万吨/年乙苯/苯乙烯装置
0.69,ST010122,%(m/m),2025-05-01 08:00:00,甲  苯,延炼12万吨/年乙苯/苯乙烯装置
3.13,ST010122,%(m/m),2025-05-08 08:00:00,非  芳,延炼12万吨/年乙苯/苯乙烯装置
0.46,ST010122,%(m/m),2025-05-08 08:00:00,二乙苯,延炼12万吨/年乙苯/苯乙烯装置
1.57,ST010122,%(m/m),2025-05-08 08:00:00,丁苯,延炼12万吨/年乙苯/苯乙烯装置
4.95,ST010122,%(m/m),2025-05-08 08:00:00,甲乙苯,延炼12万吨/年乙苯/苯乙烯装置
0.01,ST010122,%(m/m),2025-05-08 08:00:00,正丙苯,延炼12万吨/年乙苯/苯乙烯装置
15.22,ST010122,%(m/m),2025-05-08 08:00:00,重芳,延炼12万吨/年乙苯/苯乙烯装置
3.27,ST010122,%(m/m),2025-05-08 08:00:00,二甲苯,延炼12万吨/年乙苯/苯乙烯装置
0.40,ST010122,%(m/m),2025-05-08 08:00:00,乙  苯,延炼12万吨/年乙苯/苯乙烯装置
0.68,ST010122,%(m/m),2025-05-08 08:00:00,甲  苯,延炼12万吨/年乙苯/苯乙烯装置
70.12,ST010122,%(m/m),2025-05-08 08:00:00,苯,延炼12万吨/年乙苯/苯乙烯装置
0.19,ST010122,%(m/m),2025-05-08 08:00:00,异丙苯,延炼12万吨/年乙苯/苯乙烯装置
3.25,ST010122,%(m/m),2025-05-15 08:00:00,二甲苯,延炼12万吨/年乙苯/苯乙烯装置
0.39,ST010122,%(m/m),2025-05-15 08:00:00,乙  苯,延炼12万吨/年乙苯/苯乙烯装置
0.67,ST010122,%(m/m),2025-05-15 08:00:00,甲  苯,延炼12万吨/年乙苯/苯乙烯装置
68.15,ST010122,%(m/m),2025-05-15 08:00:00,苯,延炼12万吨/年乙苯/苯乙烯装置
3.38,ST010122,%(m/m),2025-05-15 08:00:00,非  芳,延炼12万吨/年乙苯/苯乙烯装置
0.19,ST010122,%(m/m),2025-05-15 08:00:00,异丙苯,延炼12万吨/年乙苯/苯乙烯装置
15.33,ST010122,%(m/m),2025-05-15 08:00:00,重芳,延炼12万吨/年乙苯/苯乙烯装置
1.74,ST010122,%(m/m),2025-05-15 08:00:00,二乙苯,延炼12万吨/年乙苯/苯乙烯装置
1.57,ST010122,%(m/m),2025-05-15 08:00:00,丁苯,延炼12万吨/年乙苯/苯乙烯装置
4.95,ST010122,%(m/m),2025-05-15 08:00:00,甲乙苯,延炼12万吨/年乙苯/苯乙烯装置
0.36,ST010122,%(m/m),2025-05-15 08:00:00,正丙苯,延炼12万吨/年乙苯/苯乙烯装置
3.67,ST010122,%(m/m),2025-05-22 08:00:00,非  芳,延炼12万吨/年乙苯/苯乙烯装置
69.91,ST010122,%(m/m),2025-05-22 08:00:00,苯,延炼12万吨/年乙苯/苯乙烯装置
14.37,ST010122,%(m/m),2025-05-22 08:00:00,重芳,延炼12万吨/年乙苯/苯乙烯装置
1.27,ST010122,%(m/m),2025-05-22 08:00:00,二乙苯,延炼12万吨/年乙苯/苯乙烯装置
1.48,ST010122,%(m/m),2025-05-22 08:00:00,丁苯,延炼12万吨/年乙苯/苯乙烯装置
4.65,ST010122,%(m/m),2025-05-22 08:00:00,甲乙苯,延炼12万吨/年乙苯/苯乙烯装置
0.34,ST010122,%(m/m),2025-05-22 08:00:00,正丙苯,延炼12万吨/年乙苯/苯乙烯装置
0.18,ST010122,%(m/m),2025-05-22 08:00:00,异丙苯,延炼12万吨/年乙苯/苯乙烯装置
3.08,ST010122,%(m/m),2025-05-22 08:00:00,二甲苯,延炼12万吨/年乙苯/苯乙烯装置
0.37,ST010122,%(m/m),2025-05-22 08:00:00,乙  苯,延炼12万吨/年乙苯/苯乙烯装置
0.66,ST010122,%(m/m),2025-05-22 08:00:00,甲  苯,延炼12万吨/年乙苯/苯乙烯装置
3.14,ST010122,%(m/m),2025-05-29 08:00:00,非  芳,延炼12万吨/年乙苯/苯乙烯装置
0.20,ST010122,%(m/m),2025-05-29 08:00:00,异丙苯,延炼12万吨/年乙苯/苯乙烯装置
0.38,ST010122,%(m/m),2025-05-29 08:00:00,正丙苯,延炼12万吨/年乙苯/苯乙烯装置
5.11,ST010122,%(m/m),2025-05-29 08:00:00,甲乙苯,延炼12万吨/年乙苯/苯乙烯装置
1.62,ST010122,%(m/m),2025-05-29 08:00:00,丁苯,延炼12万吨/年乙苯/苯乙烯装置
16.37,ST010122,%(m/m),2025-05-29 08:00:00,重芳,延炼12万吨/年乙苯/苯乙烯装置
3.24,ST010122,%(m/m),2025-05-29 08:00:00,二甲苯,延炼12万吨/年乙苯/苯乙烯装置
0.39,ST010122,%(m/m),2025-05-29 08:00:00,乙  苯,延炼12万吨/年乙苯/苯乙烯装置
0.64,ST010122,%(m/m),2025-05-29 08:00:00,甲  苯,延炼12万吨/年乙苯/苯乙烯装置
66.73,ST010122,%(m/m),2025-05-29 08:00:00,苯,延炼12万吨/年乙苯/苯乙烯装置
2.17,ST010122,%(m/m),2025-05-29 08:00:00,二乙苯,延炼12万吨/年乙苯/苯乙烯装置
1.26,ST010122,%(m/m),2025-06-05 08:00:00,二乙苯,延炼12万吨/年乙苯/苯乙烯装置
1.61,ST010122,%(m/m),2025-06-05 08:00:00,丁苯,延炼12万吨/年乙苯/苯乙烯装置
5.07,ST010122,%(m/m),2025-06-05 08:00:00,甲乙苯,延炼12万吨/年乙苯/苯乙烯装置
0.38,ST010122,%(m/m),2025-06-05 08:00:00,正丙苯,延炼12万吨/年乙苯/苯乙烯装置
0.20,ST010122,%(m/m),2025-06-05 08:00:00,异丙苯,延炼12万吨/年乙苯/苯乙烯装置
16.12,ST010122,%(m/m),2025-06-05 08:00:00,重芳,延炼12万吨/年乙苯/苯乙烯装置
0.39,ST010122,%(m/m),2025-06-05 08:00:00,乙  苯,延炼12万吨/年乙苯/苯乙烯装置
0.63,ST010122,%(m/m),2025-06-05 08:00:00,甲  苯,延炼12万吨/年乙苯/苯乙烯装置
68.11,ST010122,%(m/m),2025-06-05 08:00:00,苯,延炼12万吨/年乙苯/苯乙烯装置
3.00,ST010122,%(m/m),2025-06-05 08:00:00,非  芳,延炼12万吨/年乙苯/苯乙烯装置
3.23,ST010122,%(m/m),2025-06-05 08:00:00,二甲苯,延炼12万吨/年乙苯/苯乙烯装置
4.39,ST010122,%(m/m),2025-06-12 08:00:00,二乙苯,延炼12万吨/年乙苯/苯乙烯装置
1.00,ST010122,%(m/m),2025-06-12 08:00:00,丁苯,延炼12万吨/年乙苯/苯乙烯装置
2.55,ST010122,%(m/m),2025-06-12 08:00:00,甲乙苯,延炼12万吨/年乙苯/苯乙烯装置
0.36,ST010122,%(m/m),2025-06-12 08:00:00,正丙苯,延炼12万吨/年乙苯/苯乙烯装置
0.20,ST010122,%(m/m),2025-06-12 08:00:00,异丙苯,延炼12万吨/年乙苯/苯乙烯装置
3.03,ST010122,%(m/m),2025-06-12 08:00:00,二甲苯,延炼12万吨/年乙苯/苯乙烯装置
0.37,ST010122,%(m/m),2025-06-12 08:00:00,乙  苯,延炼12万吨/年乙苯/苯乙烯装置
0.59,ST010122,%(m/m),2025-06-12 08:00:00,甲  苯,延炼12万吨/年乙苯/苯乙烯装置
68.77,ST010122,%(m/m),2025-06-12 08:00:00,苯,延炼12万吨/年乙苯/苯乙烯装置
3.01,ST010122,%(m/m),2025-06-12 08:00:00,非  芳,延炼12万吨/年乙苯/苯乙烯装置
15.72,ST010122,%(m/m),2025-06-12 08:00:00,重芳,延炼12万吨/年乙苯/苯乙烯装置
2.92,ST010122,%(m/m),2025-06-19 08:00:00,非  芳,延炼12万吨/年乙苯/苯乙烯装置
68.70,ST010122,%(m/m),2025-06-19 08:00:00,苯,延炼12万吨/年乙苯/苯乙烯装置
15.86,ST010122,%(m/m),2025-06-19 08:00:00,重芳,延炼12万吨/年乙苯/苯乙烯装置
1.77,ST010122,%(m/m),2025-06-19 08:00:00,二乙苯,延炼12万吨/年乙苯/苯乙烯装置
1.57,ST010122,%(m/m),2025-06-19 08:00:00,丁苯,延炼12万吨/年乙苯/苯乙烯装置
2.85,ST010122,%(m/m),2025-06-19 08:00:00,甲乙苯,延炼12万吨/年乙苯/苯乙烯装置
2.07,ST010122,%(m/m),2025-06-19 08:00:00,正丙苯,延炼12万吨/年乙苯/苯乙烯装置
0.20,ST010122,%(m/m),2025-06-19 08:00:00,异丙苯,延炼12万吨/年乙苯/苯乙烯装置
3.09,ST010122,%(m/m),2025-06-19 08:00:00,二甲苯,延炼12万吨/年乙苯/苯乙烯装置
0.37,ST010122,%(m/m),2025-06-19 08:00:00,乙  苯,延炼12万吨/年乙苯/苯乙烯装置
0.60,ST010122,%(m/m),2025-06-19 08:00:00,甲  苯,延炼12万吨/年乙苯/苯乙烯装置
2.96,ST010122,%(m/m),2025-06-26 08:00:00,非  芳,延炼12万吨/年乙苯/苯乙烯装置
1.73,ST010122,%(m/m),2025-06-26 08:00:00,二乙苯,延炼12万吨/年乙苯/苯乙烯装置
1.52,ST010122,%(m/m),2025-06-26 08:00:00,丁苯,延炼12万吨/年乙苯/苯乙烯装置
4.75,ST010122,%(m/m),2025-06-26 08:00:00,甲乙苯,延炼12万吨/年乙苯/苯乙烯装置
0.36,ST010122,%(m/m),2025-06-26 08:00:00,正丙苯,延炼12万吨/年乙苯/苯乙烯装置
15.40,ST010122,%(m/m),2025-06-26 08:00:00,重芳,延炼12万吨/年乙苯/苯乙烯装置
2.96,ST010122,%(m/m),2025-06-26 08:00:00,二甲苯,延炼12万吨/年乙苯/苯乙烯装置
0.35,ST010122,%(m/m),2025-06-26 08:00:00,乙  苯,延炼12万吨/年乙苯/苯乙烯装置
0.57,ST010122,%(m/m),2025-06-26 08:00:00,甲  苯,延炼12万吨/年乙苯/苯乙烯装置
69.21,ST010122,%(m/m),2025-06-26 08:00:00,苯,延炼12万吨/年乙苯/苯乙烯装置
0.19,ST010122,%(m/m),2025-06-26 08:00:00,异丙苯,延炼12万吨/年乙苯/苯乙烯装置
3.07,ST010122,%(m/m),2025-07-03 08:00:00,二甲苯,延炼12万吨/年乙苯/苯乙烯装置
0.37,ST010122,%(m/m),2025-07-03 08:00:00,乙  苯,延炼12万吨/年乙苯/苯乙烯装置
16.35,ST010122,%(m/m),2025-07-03 08:00:00,重芳,延炼12万吨/年乙苯/苯乙烯装置
1.90,ST010122,%(m/m),2025-07-03 08:00:00,二乙苯,延炼12万吨/年乙苯/苯乙烯装置
0.73,ST010122,%(m/m),2025-07-03 08:00:00,丁苯,延炼12万吨/年乙苯/苯乙烯装置
3.80,ST010122,%(m/m),2025-07-03 08:00:00,甲乙苯,延炼12万吨/年乙苯/苯乙烯装置
2.10,ST010122,%(m/m),2025-07-03 08:00:00,正丙苯,延炼12万吨/年乙苯/苯乙烯装置
0.20,ST010122,%(m/m),2025-07-03 08:00:00,异丙苯,延炼12万吨/年乙苯/苯乙烯装置
2.94,ST010122,%(m/m),2025-07-03 08:00:00,非  芳,延炼12万吨/年乙苯/苯乙烯装置
67.95,ST010122,%(m/m),2025-07-03 08:00:00,苯,延炼12万吨/年乙苯/苯乙烯装置
0.59,ST010122,%(m/m),2025-07-03 08:00:00,甲  苯,延炼12万吨/年乙苯/苯乙烯装置
2.97,ST010122,%(m/m),2025-07-10 08:00:00,非  芳,延炼12万吨/年乙苯/苯乙烯装置
1.54,ST010122,%(m/m),2025-07-10 08:00:00,二乙苯,延炼12万吨/年乙苯/苯乙烯装置
1.82,ST010122,%(m/m),2025-07-10 08:00:00,丁苯,延炼12万吨/年乙苯/苯乙烯装置
3.31,ST010122,%(m/m),2025-07-10 08:00:00,甲乙苯,延炼12万吨/年乙苯/苯乙烯装置
2.39,ST010122,%(m/m),2025-07-10 08:00:00,正丙苯,延炼12万吨/年乙苯/苯乙烯装置
18.01,ST010122,%(m/m),2025-07-10 08:00:00,重芳,延炼12万吨/年乙苯/苯乙烯装置
3.40,ST010122,%(m/m),2025-07-10 08:00:00,二甲苯,延炼12万吨/年乙苯/苯乙烯装置
0.40,ST010122,%(m/m),2025-07-10 08:00:00,乙  苯,延炼12万吨/年乙苯/苯乙烯装置
0.63,ST010122,%(m/m),2025-07-10 08:00:00,甲  苯,延炼12万吨/年乙苯/苯乙烯装置
