result,sampleDotCode,unitName,sampleTime,resultName,deviceName
0.78,ST010119,"<p>%(v/v)</p>
",2025-05-01 08:00:00,氧气,延炼12万吨/年乙苯/苯乙烯装置
3.93,ST010119,"<p>%(v/v)</p>
",2025-05-01 08:00:00,氮气,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010119,"<p>%(v/v)</p>
",2025-05-01 08:00:00,一氧化碳,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010119,"<p>%(v/v)</p>
",2025-05-01 08:00:00,二氧化碳,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010119,"<p>%(v/v)</p>
",2025-05-01 08:00:00,氢气,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010119,"<p>%(v/v)</p>
",2025-05-01 08:00:00,甲烷,延炼12万吨/年乙苯/苯乙烯装置
15.92,ST010119,"<p>%(v/v)</p>
",2025-05-01 08:00:00,丙烷,延炼12万吨/年乙苯/苯乙烯装置
42.61,ST010119,"<p>%(v/v)</p>
",2025-05-01 08:00:00,丙烯,延炼12万吨/年乙苯/苯乙烯装置
0.48,ST010119,"<p>%(v/v)</p>
",2025-05-01 08:00:00,乙烯,延炼12万吨/年乙苯/苯乙烯装置
24.04,ST010119,"<p>%(v/v)</p>
",2025-05-01 08:00:00,碳四(合计),延炼12万吨/年乙苯/苯乙烯装置
1.00,ST010119,"<p>%(v/v)</p>
",2025-05-01 08:00:00,异戊烷,延炼12万吨/年乙苯/苯乙烯装置
0.09,ST010119,"<p>%(v/v)</p>
",2025-05-01 08:00:00,正戊烷,延炼12万吨/年乙苯/苯乙烯装置
11.15,ST010119,"<p>%(v/v)</p>
",2025-05-01 08:00:00,乙烷,延炼12万吨/年乙苯/苯乙烯装置
1.09,ST010119,"<p>%(v/v)</p>
",2025-05-01 08:00:00,碳五(合计),延炼12万吨/年乙苯/苯乙烯装置
0.34,ST010119,"<p>%(v/v)</p>
",2025-05-08 08:00:00,乙烯,延炼12万吨/年乙苯/苯乙烯装置
26.31,ST010119,"<p>%(v/v)</p>
",2025-05-08 08:00:00,碳四(合计),延炼12万吨/年乙苯/苯乙烯装置
0.65,ST010119,"<p>%(v/v)</p>
",2025-05-08 08:00:00,异戊烷,延炼12万吨/年乙苯/苯乙烯装置
0.05,ST010119,"<p>%(v/v)</p>
",2025-05-08 08:00:00,正戊烷,延炼12万吨/年乙苯/苯乙烯装置
9.04,ST010119,"<p>%(v/v)</p>
",2025-05-08 08:00:00,乙烷,延炼12万吨/年乙苯/苯乙烯装置
0.70,ST010119,"<p>%(v/v)</p>
",2025-05-08 08:00:00,碳五(合计),延炼12万吨/年乙苯/苯乙烯装置
1.56,ST010119,"<p>%(v/v)</p>
",2025-05-08 08:00:00,氧气,延炼12万吨/年乙苯/苯乙烯装置
6.45,ST010119,"<p>%(v/v)</p>
",2025-05-08 08:00:00,氮气,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010119,"<p>%(v/v)</p>
",2025-05-08 08:00:00,一氧化碳,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010119,"<p>%(v/v)</p>
",2025-05-08 08:00:00,二氧化碳,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010119,"<p>%(v/v)</p>
",2025-05-08 08:00:00,氢气,延炼12万吨/年乙苯/苯乙烯装置
0.01,ST010119,"<p>%(v/v)</p>
",2025-05-08 08:00:00,甲烷,延炼12万吨/年乙苯/苯乙烯装置
14.45,ST010119,"<p>%(v/v)</p>
",2025-05-08 08:00:00,丙烷,延炼12万吨/年乙苯/苯乙烯装置
41.15,ST010119,"<p>%(v/v)</p>
",2025-05-08 08:00:00,丙烯,延炼12万吨/年乙苯/苯乙烯装置
0.31,ST010119,"<p>%(v/v)</p>
",2025-05-15 08:00:00,氧气,延炼12万吨/年乙苯/苯乙烯装置
2.81,ST010119,"<p>%(v/v)</p>
",2025-05-15 08:00:00,氮气,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010119,"<p>%(v/v)</p>
",2025-05-15 08:00:00,一氧化碳,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010119,"<p>%(v/v)</p>
",2025-05-15 08:00:00,二氧化碳,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010119,"<p>%(v/v)</p>
",2025-05-15 08:00:00,氢气,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010119,"<p>%(v/v)</p>
",2025-05-15 08:00:00,甲烷,延炼12万吨/年乙苯/苯乙烯装置
15.86,ST010119,"<p>%(v/v)</p>
",2025-05-15 08:00:00,丙烷,延炼12万吨/年乙苯/苯乙烯装置
46.71,ST010119,"<p>%(v/v)</p>
",2025-05-15 08:00:00,丙烯,延炼12万吨/年乙苯/苯乙烯装置
0.30,ST010119,"<p>%(v/v)</p>
",2025-05-15 08:00:00,乙烯,延炼12万吨/年乙苯/苯乙烯装置
24.20,ST010119,"<p>%(v/v)</p>
",2025-05-15 08:00:00,碳四(合计),延炼12万吨/年乙苯/苯乙烯装置
0.94,ST010119,"<p>%(v/v)</p>
",2025-05-15 08:00:00,异戊烷,延炼12万吨/年乙苯/苯乙烯装置
0.08,ST010119,"<p>%(v/v)</p>
",2025-05-15 08:00:00,正戊烷,延炼12万吨/年乙苯/苯乙烯装置
8.78,ST010119,"<p>%(v/v)</p>
",2025-05-15 08:00:00,乙烷,延炼12万吨/年乙苯/苯乙烯装置
1.02,ST010119,"<p>%(v/v)</p>
",2025-05-15 08:00:00,碳五(合计),延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010119,"<p>%(v/v)</p>
",2025-05-22 08:00:00,氧气,延炼12万吨/年乙苯/苯乙烯装置
0.33,ST010119,"<p>%(v/v)</p>
",2025-05-22 08:00:00,氮气,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010119,"<p>%(v/v)</p>
",2025-05-22 08:00:00,一氧化碳,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010119,"<p>%(v/v)</p>
",2025-05-22 08:00:00,二氧化碳,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010119,"<p>%(v/v)</p>
",2025-05-22 08:00:00,氢气,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010119,"<p>%(v/v)</p>
",2025-05-22 08:00:00,甲烷,延炼12万吨/年乙苯/苯乙烯装置
15.91,ST010119,"<p>%(v/v)</p>
",2025-05-22 08:00:00,丙烷,延炼12万吨/年乙苯/苯乙烯装置
48.56,ST010119,"<p>%(v/v)</p>
",2025-05-22 08:00:00,丙烯,延炼12万吨/年乙苯/苯乙烯装置
0.34,ST010119,"<p>%(v/v)</p>
",2025-05-22 08:00:00,乙烯,延炼12万吨/年乙苯/苯乙烯装置
23.86,ST010119,"<p>%(v/v)</p>
",2025-05-22 08:00:00,碳四(合计),延炼12万吨/年乙苯/苯乙烯装置
0.95,ST010119,"<p>%(v/v)</p>
",2025-05-22 08:00:00,异戊烷,延炼12万吨/年乙苯/苯乙烯装置
1.07,ST010119,"<p>%(v/v)</p>
",2025-05-22 08:00:00,正戊烷,延炼12万吨/年乙苯/苯乙烯装置
8.99,ST010119,"<p>%(v/v)</p>
",2025-05-22 08:00:00,乙烷,延炼12万吨/年乙苯/苯乙烯装置
2.02,ST010119,"<p>%(v/v)</p>
",2025-05-22 08:00:00,碳五(合计),延炼12万吨/年乙苯/苯乙烯装置
0.54,ST010119,"<p>%(v/v)</p>
",2025-05-29 08:00:00,氧气,延炼12万吨/年乙苯/苯乙烯装置
2.88,ST010119,"<p>%(v/v)</p>
",2025-05-29 08:00:00,氮气,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010119,"<p>%(v/v)</p>
",2025-05-29 08:00:00,一氧化碳,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010119,"<p>%(v/v)</p>
",2025-05-29 08:00:00,二氧化碳,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010119,"<p>%(v/v)</p>
",2025-05-29 08:00:00,氢气,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010119,"<p>%(v/v)</p>
",2025-05-29 08:00:00,甲烷,延炼12万吨/年乙苯/苯乙烯装置
14.62,ST010119,"<p>%(v/v)</p>
",2025-05-29 08:00:00,丙烷,延炼12万吨/年乙苯/苯乙烯装置
46.00,ST010119,"<p>%(v/v)</p>
",2025-05-29 08:00:00,丙烯,延炼12万吨/年乙苯/苯乙烯装置
0.63,ST010119,"<p>%(v/v)</p>
",2025-05-29 08:00:00,乙烯,延炼12万吨/年乙苯/苯乙烯装置
22.26,ST010119,"<p>%(v/v)</p>
",2025-05-29 08:00:00,碳四(合计),延炼12万吨/年乙苯/苯乙烯装置
