result,sampleDotCode,unitName,sampleTime,resultName,deviceName
0.11,ST010126,%(m/m),2025-05-01 08:00:00,非  芳,延炼12万吨/年乙苯/苯乙烯装置
94.34,ST010126,%(m/m),2025-05-01 08:00:00,苯,延炼12万吨/年乙苯/苯乙烯装置
0.03,ST010126,%(m/m),2025-05-01 08:00:00,甲  苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010126,%(m/m),2025-05-01 08:00:00,乙  苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010126,%(m/m),2025-05-01 08:00:00,二甲苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010126,%(m/m),2025-05-01 08:00:00,异丙苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010126,%(m/m),2025-05-01 08:00:00,正丙苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010126,%(m/m),2025-05-01 08:00:00,甲乙苯,延炼12万吨/年乙苯/苯乙烯装置
0.01,ST010126,%(m/m),2025-05-01 08:00:00,丁苯,延炼12万吨/年乙苯/苯乙烯装置
5.23,ST010126,%(m/m),2025-05-01 08:00:00,二乙苯,延炼12万吨/年乙苯/苯乙烯装置
0.27,ST010126,%(m/m),2025-05-01 08:00:00,重芳,延炼12万吨/年乙苯/苯乙烯装置
0.11,ST010126,%(m/m),2025-05-02 08:00:00,非  芳,延炼12万吨/年乙苯/苯乙烯装置
95.15,ST010126,%(m/m),2025-05-02 08:00:00,苯,延炼12万吨/年乙苯/苯乙烯装置
0.02,ST010126,%(m/m),2025-05-02 08:00:00,甲  苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010126,%(m/m),2025-05-02 08:00:00,乙  苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010126,%(m/m),2025-05-02 08:00:00,二甲苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010126,%(m/m),2025-05-02 08:00:00,异丙苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010126,%(m/m),2025-05-02 08:00:00,正丙苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010126,%(m/m),2025-05-02 08:00:00,甲乙苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010126,%(m/m),2025-05-02 08:00:00,丁苯,延炼12万吨/年乙苯/苯乙烯装置
4.53,ST010126,%(m/m),2025-05-02 08:00:00,二乙苯,延炼12万吨/年乙苯/苯乙烯装置
0.18,ST010126,%(m/m),2025-05-02 08:00:00,重芳,延炼12万吨/年乙苯/苯乙烯装置
0.07,ST010126,%(m/m),2025-05-03 08:00:00,非  芳,延炼12万吨/年乙苯/苯乙烯装置
95.40,ST010126,%(m/m),2025-05-03 08:00:00,苯,延炼12万吨/年乙苯/苯乙烯装置
0.04,ST010126,%(m/m),2025-05-03 08:00:00,甲  苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010126,%(m/m),2025-05-03 08:00:00,乙  苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010126,%(m/m),2025-05-03 08:00:00,二甲苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010126,%(m/m),2025-05-03 08:00:00,异丙苯,延炼12万吨/年乙苯/苯乙烯装置
