result,sampleDotCode,unitName,sampleTime,resultName,deviceName
0.15,ST010128,%(m/m),2025-05-01 08:00:00,非  芳,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010128,"<p>%(v/v)</p>
",2025-05-01 08:00:00,碳五(合计),延炼12万吨/年乙苯/苯乙烯装置
0.05,ST010128,%(m/m),2025-05-01 08:00:00,甲  苯,延炼12万吨/年乙苯/苯乙烯装置
12.38,ST010128,%(m/m),2025-05-01 08:00:00,乙  苯,延炼12万吨/年乙苯/苯乙烯装置
0.01,ST010128,%(m/m),2025-05-01 08:00:00,二甲苯,延炼12万吨/年乙苯/苯乙烯装置
0.07,ST010128,%(m/m),2025-05-01 08:00:00,异丙苯,延炼12万吨/年乙苯/苯乙烯装置
0.12,ST010128,%(m/m),2025-05-01 08:00:00,正丙苯,延炼12万吨/年乙苯/苯乙烯装置
0.02,ST010128,%(m/m),2025-05-01 08:00:00,甲乙苯,延炼12万吨/年乙苯/苯乙烯装置
0.03,ST010128,%(m/m),2025-05-01 08:00:00,丁苯,延炼12万吨/年乙苯/苯乙烯装置
1.20,ST010128,%(m/m),2025-05-01 08:00:00,二乙苯,延炼12万吨/年乙苯/苯乙烯装置
0.06,ST010128,%(m/m),2025-05-01 08:00:00,重芳,延炼12万吨/年乙苯/苯乙烯装置
2.46,ST010128,"<p>%(v/v)</p>
",2025-05-01 08:00:00,氧气,延炼12万吨/年乙苯/苯乙烯装置
27.29,ST010128,"<p>%(v/v)</p>
",2025-05-01 08:00:00,氮气,延炼12万吨/年乙苯/苯乙烯装置
2.26,ST010128,"<p>%(v/v)</p>
",2025-05-01 08:00:00,一氧化碳,延炼12万吨/年乙苯/苯乙烯装置
2.10,ST010128,"<p>%(v/v)</p>
",2025-05-01 08:00:00,二氧化碳,延炼12万吨/年乙苯/苯乙烯装置
20.10,ST010128,"<p>%(v/v)</p>
",2025-05-01 08:00:00,氢气,延炼12万吨/年乙苯/苯乙烯装置
31.30,ST010128,"<p>%(v/v)</p>
",2025-05-01 08:00:00,甲烷,延炼12万吨/年乙苯/苯乙烯装置
0.04,ST010128,"<p>%(v/v)</p>
",2025-05-01 08:00:00,丙烷,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010128,"<p>%(v/v)</p>
",2025-05-01 08:00:00,丙烯,延炼12万吨/年乙苯/苯乙烯装置
0.37,ST010128,"<p>%(v/v)</p>
",2025-05-01 08:00:00,乙烯,延炼12万吨/年乙苯/苯乙烯装置
0.01,ST010128,"<p>%(v/v)</p>
",2025-05-01 08:00:00,碳四(合计),延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010128,"<p>%(v/v)</p>
",2025-05-01 08:00:00,异戊烷,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010128,"<p>%(v/v)</p>
",2025-05-01 08:00:00,正戊烷,延炼12万吨/年乙苯/苯乙烯装置
14.06,ST010128,"<p>%(v/v)</p>
",2025-05-01 08:00:00,乙烷,延炼12万吨/年乙苯/苯乙烯装置
85.92,ST010128,%(m/m),2025-05-01 08:00:00,苯,延炼12万吨/年乙苯/苯乙烯装置
0.13,ST010128,%(m/m),2025-05-08 08:00:00,非  芳,延炼12万吨/年乙苯/苯乙烯装置
0.01,ST010128,"<p>%(v/v)</p>
",2025-05-08 08:00:00,碳五(合计),延炼12万吨/年乙苯/苯乙烯装置
0.05,ST010128,%(m/m),2025-05-08 08:00:00,甲  苯,延炼12万吨/年乙苯/苯乙烯装置
12.71,ST010128,%(m/m),2025-05-08 08:00:00,乙  苯,延炼12万吨/年乙苯/苯乙烯装置
0.01,ST010128,%(m/m),2025-05-08 08:00:00,二甲苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010128,%(m/m),2025-05-08 08:00:00,异丙苯,延炼12万吨/年乙苯/苯乙烯装置
0.02,ST010128,%(m/m),2025-05-08 08:00:00,正丙苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010128,%(m/m),2025-05-08 08:00:00,甲乙苯,延炼12万吨/年乙苯/苯乙烯装置
0.02,ST010128,%(m/m),2025-05-08 08:00:00,丁苯,延炼12万吨/年乙苯/苯乙烯装置
1.19,ST010128,%(m/m),2025-05-08 08:00:00,二乙苯,延炼12万吨/年乙苯/苯乙烯装置
0.05,ST010128,%(m/m),2025-05-08 08:00:00,重芳,延炼12万吨/年乙苯/苯乙烯装置
0.40,ST010128,"<p>%(v/v)</p>
",2025-05-08 08:00:00,氧气,延炼12万吨/年乙苯/苯乙烯装置
21.14,ST010128,"<p>%(v/v)</p>
",2025-05-08 08:00:00,氮气,延炼12万吨/年乙苯/苯乙烯装置
2.46,ST010128,"<p>%(v/v)</p>
",2025-05-08 08:00:00,一氧化碳,延炼12万吨/年乙苯/苯乙烯装置
2.47,ST010128,"<p>%(v/v)</p>
",2025-05-08 08:00:00,二氧化碳,延炼12万吨/年乙苯/苯乙烯装置
21.26,ST010128,"<p>%(v/v)</p>
",2025-05-08 08:00:00,氢气,延炼12万吨/年乙苯/苯乙烯装置
35.58,ST010128,"<p>%(v/v)</p>
",2025-05-08 08:00:00,甲烷,延炼12万吨/年乙苯/苯乙烯装置
0.10,ST010128,"<p>%(v/v)</p>
",2025-05-08 08:00:00,丙烷,延炼12万吨/年乙苯/苯乙烯装置
0.01,ST010128,"<p>%(v/v)</p>
",2025-05-08 08:00:00,丙烯,延炼12万吨/年乙苯/苯乙烯装置
0.35,ST010128,"<p>%(v/v)</p>
",2025-05-08 08:00:00,乙烯,延炼12万吨/年乙苯/苯乙烯装置
