result,sampleDotCode,unitName,sampleTime,resultName,deviceName
3.25,ST010120,"<p>%(v/v)</p>
",2025-05-01 08:00:00,氧气,延炼12万吨/年乙苯/苯乙烯装置
29.08,ST010120,"<p>%(v/v)</p>
",2025-05-01 08:00:00,氮气,延炼12万吨/年乙苯/苯乙烯装置
2.18,ST010120,"<p>%(v/v)</p>
",2025-05-01 08:00:00,一氧化碳,延炼12万吨/年乙苯/苯乙烯装置
2.05,ST010120,"<p>%(v/v)</p>
",2025-05-01 08:00:00,二氧化碳,延炼12万吨/年乙苯/苯乙烯装置
18.85,ST010120,"<p>%(v/v)</p>
",2025-05-01 08:00:00,氢气,延炼12万吨/年乙苯/苯乙烯装置
30.46,ST010120,"<p>%(v/v)</p>
",2025-05-01 08:00:00,甲烷,延炼12万吨/年乙苯/苯乙烯装置
0.04,ST010120,"<p>%(v/v)</p>
",2025-05-01 08:00:00,丙烷,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010120,"<p>%(v/v)</p>
",2025-05-01 08:00:00,丙烯,延炼12万吨/年乙苯/苯乙烯装置
0.33,ST010120,"<p>%(v/v)</p>
",2025-05-01 08:00:00,乙烯,延炼12万吨/年乙苯/苯乙烯装置
0.01,ST010120,"<p>%(v/v)</p>
",2025-05-01 08:00:00,碳四(合计),延炼12万吨/年乙苯/苯乙烯装置
13.74,ST010120,"<p>%(v/v)</p>
",2025-05-01 08:00:00,乙烷,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010120,"<p>%(v/v)</p>
",2025-05-01 08:00:00,碳五(合计),延炼12万吨/年乙苯/苯乙烯装置
1.26,ST010120,"<p>%(v/v)</p>
",2025-05-02 08:00:00,氧气,延炼12万吨/年乙苯/苯乙烯装置
23.87,ST010120,"<p>%(v/v)</p>
",2025-05-02 08:00:00,氮气,延炼12万吨/年乙苯/苯乙烯装置
2.30,ST010120,"<p>%(v/v)</p>
",2025-05-02 08:00:00,一氧化碳,延炼12万吨/年乙苯/苯乙烯装置
2.23,ST010120,"<p>%(v/v)</p>
",2025-05-02 08:00:00,二氧化碳,延炼12万吨/年乙苯/苯乙烯装置
20.85,ST010120,"<p>%(v/v)</p>
",2025-05-02 08:00:00,氢气,延炼12万吨/年乙苯/苯乙烯装置
33.59,ST010120,"<p>%(v/v)</p>
",2025-05-02 08:00:00,甲烷,延炼12万吨/年乙苯/苯乙烯装置
0.05,ST010120,"<p>%(v/v)</p>
",2025-05-02 08:00:00,丙烷,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010120,"<p>%(v/v)</p>
",2025-05-02 08:00:00,丙烯,延炼12万吨/年乙苯/苯乙烯装置
0.39,ST010120,"<p>%(v/v)</p>
",2025-05-02 08:00:00,乙烯,延炼12万吨/年乙苯/苯乙烯装置
0.02,ST010120,"<p>%(v/v)</p>
",2025-05-02 08:00:00,碳四(合计),延炼12万吨/年乙苯/苯乙烯装置
15.42,ST010120,"<p>%(v/v)</p>
",2025-05-02 08:00:00,乙烷,延炼12万吨/年乙苯/苯乙烯装置
0.01,ST010120,"<p>%(v/v)</p>
",2025-05-02 08:00:00,碳五(合计),延炼12万吨/年乙苯/苯乙烯装置
0.64,ST010120,"<p>%(v/v)</p>
",2025-05-03 08:00:00,氧气,延炼12万吨/年乙苯/苯乙烯装置
23.03,ST010120,"<p>%(v/v)</p>
",2025-05-03 08:00:00,氮气,延炼12万吨/年乙苯/苯乙烯装置
2.28,ST010120,"<p>%(v/v)</p>
",2025-05-03 08:00:00,一氧化碳,延炼12万吨/年乙苯/苯乙烯装置
2.19,ST010120,"<p>%(v/v)</p>
",2025-05-03 08:00:00,二氧化碳,延炼12万吨/年乙苯/苯乙烯装置
21.47,ST010120,"<p>%(v/v)</p>
",2025-05-03 08:00:00,氢气,延炼12万吨/年乙苯/苯乙烯装置
34.68,ST010120,"<p>%(v/v)</p>
",2025-05-03 08:00:00,甲烷,延炼12万吨/年乙苯/苯乙烯装置
