result,sampleDotCode,unitName,sampleTime,resultName,deviceName
0.01,ST010132,%(m/m),2025-05-01 08:00:00,非  芳,延炼12万吨/年乙苯/苯乙烯装置
0.01,ST010132,%(m/m),2025-05-01 08:00:00,苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010132,%(m/m),2025-05-01 08:00:00,甲  苯,延炼12万吨/年乙苯/苯乙烯装置
1.99,ST010132,%(m/m),2025-05-01 08:00:00,乙  苯,延炼12万吨/年乙苯/苯乙烯装置
0.15,ST010132,%(m/m),2025-05-01 08:00:00,二甲苯,延炼12万吨/年乙苯/苯乙烯装置
3.62,ST010132,%(m/m),2025-05-01 08:00:00,异丙苯,延炼12万吨/年乙苯/苯乙烯装置
5.31,ST010132,%(m/m),2025-05-01 08:00:00,正丙苯,延炼12万吨/年乙苯/苯乙烯装置
0.79,ST010132,%(m/m),2025-05-01 08:00:00,甲乙苯,延炼12万吨/年乙苯/苯乙烯装置
2.30,ST010132,%(m/m),2025-05-01 08:00:00,丁苯,延炼12万吨/年乙苯/苯乙烯装置
77.17,ST010132,%(m/m),2025-05-01 08:00:00,二乙苯,延炼12万吨/年乙苯/苯乙烯装置
8.64,ST010132,%(m/m),2025-05-01 08:00:00,重芳,延炼12万吨/年乙苯/苯乙烯装置
0.01,ST010132,%(m/m),2025-05-02 08:00:00,非  芳,延炼12万吨/年乙苯/苯乙烯装置
0.01,ST010132,%(m/m),2025-05-02 08:00:00,苯,延炼12万吨/年乙苯/苯乙烯装置
0.01,ST010132,%(m/m),2025-05-02 08:00:00,甲  苯,延炼12万吨/年乙苯/苯乙烯装置
2.08,ST010132,%(m/m),2025-05-02 08:00:00,乙  苯,延炼12万吨/年乙苯/苯乙烯装置
0.20,ST010132,%(m/m),2025-05-02 08:00:00,二甲苯,延炼12万吨/年乙苯/苯乙烯装置
3.48,ST010132,%(m/m),2025-05-02 08:00:00,异丙苯,延炼12万吨/年乙苯/苯乙烯装置
5.17,ST010132,%(m/m),2025-05-02 08:00:00,正丙苯,延炼12万吨/年乙苯/苯乙烯装置
0.82,ST010132,%(m/m),2025-05-02 08:00:00,甲乙苯,延炼12万吨/年乙苯/苯乙烯装置
2.30,ST010132,%(m/m),2025-05-02 08:00:00,丁苯,延炼12万吨/年乙苯/苯乙烯装置
77.26,ST010132,%(m/m),2025-05-02 08:00:00,二乙苯,延炼12万吨/年乙苯/苯乙烯装置
8.67,ST010132,%(m/m),2025-05-02 08:00:00,重芳,延炼12万吨/年乙苯/苯乙烯装置
0.02,ST010132,%(m/m),2025-05-03 08:00:00,非  芳,延炼12万吨/年乙苯/苯乙烯装置
0.02,ST010132,%(m/m),2025-05-03 08:00:00,苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010132,%(m/m),2025-05-03 08:00:00,甲  苯,延炼12万吨/年乙苯/苯乙烯装置
1.50,ST010132,%(m/m),2025-05-03 08:00:00,乙  苯,延炼12万吨/年乙苯/苯乙烯装置
0.20,ST010132,%(m/m),2025-05-03 08:00:00,二甲苯,延炼12万吨/年乙苯/苯乙烯装置
4.29,ST010132,%(m/m),2025-05-03 08:00:00,异丙苯,延炼12万吨/年乙苯/苯乙烯装置
6.34,ST010132,%(m/m),2025-05-03 08:00:00,正丙苯,延炼12万吨/年乙苯/苯乙烯装置
0.86,ST010132,%(m/m),2025-05-03 08:00:00,甲乙苯,延炼12万吨/年乙苯/苯乙烯装置
2.23,ST010132,%(m/m),2025-05-03 08:00:00,丁苯,延炼12万吨/年乙苯/苯乙烯装置
75.34,ST010132,%(m/m),2025-05-03 08:00:00,二乙苯,延炼12万吨/年乙苯/苯乙烯装置
9.19,ST010132,%(m/m),2025-05-03 08:00:00,重芳,延炼12万吨/年乙苯/苯乙烯装置
0.01,ST010132,%(m/m),2025-05-04 08:00:00,非  芳,延炼12万吨/年乙苯/苯乙烯装置
0.01,ST010132,%(m/m),2025-05-04 08:00:00,苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010132,%(m/m),2025-05-04 08:00:00,甲  苯,延炼12万吨/年乙苯/苯乙烯装置
1.61,ST010132,%(m/m),2025-05-04 08:00:00,乙  苯,延炼12万吨/年乙苯/苯乙烯装置
0.16,ST010132,%(m/m),2025-05-04 08:00:00,二甲苯,延炼12万吨/年乙苯/苯乙烯装置
3.53,ST010132,%(m/m),2025-05-04 08:00:00,异丙苯,延炼12万吨/年乙苯/苯乙烯装置
5.63,ST010132,%(m/m),2025-05-04 08:00:00,正丙苯,延炼12万吨/年乙苯/苯乙烯装置
0.87,ST010132,%(m/m),2025-05-04 08:00:00,甲乙苯,延炼12万吨/年乙苯/苯乙烯装置
2.26,ST010132,%(m/m),2025-05-04 08:00:00,丁苯,延炼12万吨/年乙苯/苯乙烯装置
77.03,ST010132,%(m/m),2025-05-04 08:00:00,二乙苯,延炼12万吨/年乙苯/苯乙烯装置
8.89,ST010132,%(m/m),2025-05-04 08:00:00,重芳,延炼12万吨/年乙苯/苯乙烯装置
76.87,ST010132,%(m/m),2025-05-05 08:00:00,二乙苯,延炼12万吨/年乙苯/苯乙烯装置
8.56,ST010132,%(m/m),2025-05-05 08:00:00,重芳,延炼12万吨/年乙苯/苯乙烯装置
0.01,ST010132,%(m/m),2025-05-05 08:00:00,非  芳,延炼12万吨/年乙苯/苯乙烯装置
0.01,ST010132,%(m/m),2025-05-05 08:00:00,苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010132,%(m/m),2025-05-05 08:00:00,甲  苯,延炼12万吨/年乙苯/苯乙烯装置
1.77,ST010132,%(m/m),2025-05-05 08:00:00,乙  苯,延炼12万吨/年乙苯/苯乙烯装置
0.17,ST010132,%(m/m),2025-05-05 08:00:00,二甲苯,延炼12万吨/年乙苯/苯乙烯装置
3.66,ST010132,%(m/m),2025-05-05 08:00:00,异丙苯,延炼12万吨/年乙苯/苯乙烯装置
5.73,ST010132,%(m/m),2025-05-05 08:00:00,正丙苯,延炼12万吨/年乙苯/苯乙烯装置
0.93,ST010132,%(m/m),2025-05-05 08:00:00,甲乙苯,延炼12万吨/年乙苯/苯乙烯装置
