result,sampleDotCode,unitName,sampleTime,resultName,deviceName
0.05,ST010133,%(m/m),2025-05-01 08:00:00,非  芳,延炼12万吨/年乙苯/苯乙烯装置
0.06,ST010133,%(m/m),2025-05-01 08:00:00,苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010133,%(m/m),2025-05-01 08:00:00,甲  苯,延炼12万吨/年乙苯/苯乙烯装置
7.83,ST010133,%(m/m),2025-05-01 08:00:00,乙  苯,延炼12万吨/年乙苯/苯乙烯装置
0.86,ST010133,%(m/m),2025-05-01 08:00:00,二甲苯,延炼12万吨/年乙苯/苯乙烯装置
15.43,ST010133,%(m/m),2025-05-01 08:00:00,异丙苯,延炼12万吨/年乙苯/苯乙烯装置
22.90,ST010133,%(m/m),2025-05-01 08:00:00,正丙苯,延炼12万吨/年乙苯/苯乙烯装置
3.55,ST010133,%(m/m),2025-05-01 08:00:00,甲乙苯,延炼12万吨/年乙苯/苯乙烯装置
9.44,ST010133,%(m/m),2025-05-01 08:00:00,丁苯,延炼12万吨/年乙苯/苯乙烯装置
39.24,ST010133,%(m/m),2025-05-01 08:00:00,二乙苯,延炼12万吨/年乙苯/苯乙烯装置
0.63,ST010133,%(m/m),2025-05-01 08:00:00,重芳,延炼12万吨/年乙苯/苯乙烯装置
0.04,ST010133,%(m/m),2025-05-02 08:00:00,非  芳,延炼12万吨/年乙苯/苯乙烯装置
0.05,ST010133,%(m/m),2025-05-02 08:00:00,苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010133,%(m/m),2025-05-02 08:00:00,甲  苯,延炼12万吨/年乙苯/苯乙烯装置
7.49,ST010133,%(m/m),2025-05-02 08:00:00,乙  苯,延炼12万吨/年乙苯/苯乙烯装置
0.74,ST010133,%(m/m),2025-05-02 08:00:00,二甲苯,延炼12万吨/年乙苯/苯乙烯装置
12.31,ST010133,%(m/m),2025-05-02 08:00:00,异丙苯,延炼12万吨/年乙苯/苯乙烯装置
18.17,ST010133,%(m/m),2025-05-02 08:00:00,正丙苯,延炼12万吨/年乙苯/苯乙烯装置
2.93,ST010133,%(m/m),2025-05-02 08:00:00,甲乙苯,延炼12万吨/年乙苯/苯乙烯装置
8.13,ST010133,%(m/m),2025-05-02 08:00:00,丁苯,延炼12万吨/年乙苯/苯乙烯装置
49.57,ST010133,%(m/m),2025-05-02 08:00:00,二乙苯,延炼12万吨/年乙苯/苯乙烯装置
0.59,ST010133,%(m/m),2025-05-02 08:00:00,重芳,延炼12万吨/年乙苯/苯乙烯装置
0.04,ST010133,%(m/m),2025-05-03 08:00:00,非  芳,延炼12万吨/年乙苯/苯乙烯装置
0.02,ST010133,%(m/m),2025-05-03 08:00:00,苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010133,%(m/m),2025-05-03 08:00:00,甲  苯,延炼12万吨/年乙苯/苯乙烯装置
4.75,ST010133,%(m/m),2025-05-03 08:00:00,乙  苯,延炼12万吨/年乙苯/苯乙烯装置
0.67,ST010133,%(m/m),2025-05-03 08:00:00,二甲苯,延炼12万吨/年乙苯/苯乙烯装置
14.79,ST010133,%(m/m),2025-05-03 08:00:00,异丙苯,延炼12万吨/年乙苯/苯乙烯装置
21.72,ST010133,%(m/m),2025-05-03 08:00:00,正丙苯,延炼12万吨/年乙苯/苯乙烯装置
2.90,ST010133,%(m/m),2025-05-03 08:00:00,甲乙苯,延炼12万吨/年乙苯/苯乙烯装置
7.11,ST010133,%(m/m),2025-05-03 08:00:00,丁苯,延炼12万吨/年乙苯/苯乙烯装置
47.47,ST010133,%(m/m),2025-05-03 08:00:00,二乙苯,延炼12万吨/年乙苯/苯乙烯装置
0.54,ST010133,%(m/m),2025-05-03 08:00:00,重芳,延炼12万吨/年乙苯/苯乙烯装置
0.03,ST010133,%(m/m),2025-05-04 08:00:00,非  芳,延炼12万吨/年乙苯/苯乙烯装置
