result,sampleDotCode,unitName,sampleTime,resultName,deviceName
0.00,ST010134,%(m/m),2025-05-01 08:00:00,非  芳,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010134,%(m/m),2025-05-01 08:00:00,苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010134,%(m/m),2025-05-01 08:00:00,甲  苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010134,%(m/m),2025-05-01 08:00:00,乙  苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010134,%(m/m),2025-05-01 08:00:00,二甲苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010134,%(m/m),2025-05-01 08:00:00,异丙苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010134,%(m/m),2025-05-01 08:00:00,正丙苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010134,%(m/m),2025-05-01 08:00:00,甲乙苯,延炼12万吨/年乙苯/苯乙烯装置
0.09,ST010134,%(m/m),2025-05-01 08:00:00,丁苯,延炼12万吨/年乙苯/苯乙烯装置
89.32,ST010134,%(m/m),2025-05-01 08:00:00,二乙苯,延炼12万吨/年乙苯/苯乙烯装置
10.59,ST010134,%(m/m),2025-05-01 08:00:00,重芳,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010134,%(m/m),2025-05-02 08:00:00,非  芳,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010134,%(m/m),2025-05-02 08:00:00,苯,延炼12万吨/年乙苯/苯乙烯装置
0.01,ST010134,%(m/m),2025-05-02 08:00:00,甲  苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010134,%(m/m),2025-05-02 08:00:00,乙  苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010134,%(m/m),2025-05-02 08:00:00,二甲苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010134,%(m/m),2025-05-02 08:00:00,异丙苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010134,%(m/m),2025-05-02 08:00:00,正丙苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010134,%(m/m),2025-05-02 08:00:00,甲乙苯,延炼12万吨/年乙苯/苯乙烯装置
0.05,ST010134,%(m/m),2025-05-02 08:00:00,丁苯,延炼12万吨/年乙苯/苯乙烯装置
87.01,ST010134,%(m/m),2025-05-02 08:00:00,二乙苯,延炼12万吨/年乙苯/苯乙烯装置
12.93,ST010134,%(m/m),2025-05-02 08:00:00,重芳,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010134,%(m/m),2025-05-03 08:00:00,非  芳,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010134,%(m/m),2025-05-03 08:00:00,苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010134,%(m/m),2025-05-03 08:00:00,甲  苯,延炼12万吨/年乙苯/苯乙烯装置
0.01,ST010134,%(m/m),2025-05-03 08:00:00,乙  苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010134,%(m/m),2025-05-03 08:00:00,二甲苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010134,%(m/m),2025-05-03 08:00:00,异丙苯,延炼12万吨/年乙苯/苯乙烯装置
0.01,ST010134,%(m/m),2025-05-03 08:00:00,正丙苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010134,%(m/m),2025-05-03 08:00:00,甲乙苯,延炼12万吨/年乙苯/苯乙烯装置
0.10,ST010134,%(m/m),2025-05-03 08:00:00,丁苯,延炼12万吨/年乙苯/苯乙烯装置
87.01,ST010134,%(m/m),2025-05-03 08:00:00,二乙苯,延炼12万吨/年乙苯/苯乙烯装置
12.87,ST010134,%(m/m),2025-05-03 08:00:00,重芳,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010134,%(m/m),2025-05-04 08:00:00,非  芳,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010134,%(m/m),2025-05-04 08:00:00,苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010134,%(m/m),2025-05-04 08:00:00,甲  苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010134,%(m/m),2025-05-04 08:00:00,乙  苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010134,%(m/m),2025-05-04 08:00:00,二甲苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010134,%(m/m),2025-05-04 08:00:00,异丙苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010134,%(m/m),2025-05-04 08:00:00,正丙苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010134,%(m/m),2025-05-04 08:00:00,甲乙苯,延炼12万吨/年乙苯/苯乙烯装置
0.06,ST010134,%(m/m),2025-05-04 08:00:00,丁苯,延炼12万吨/年乙苯/苯乙烯装置
87.32,ST010134,%(m/m),2025-05-04 08:00:00,二乙苯,延炼12万吨/年乙苯/苯乙烯装置
12.62,ST010134,%(m/m),2025-05-04 08:00:00,重芳,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010134,%(m/m),2025-05-05 08:00:00,非  芳,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010134,%(m/m),2025-05-05 08:00:00,苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010134,%(m/m),2025-05-05 08:00:00,甲  苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010134,%(m/m),2025-05-05 08:00:00,乙  苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010134,%(m/m),2025-05-05 08:00:00,二甲苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010134,%(m/m),2025-05-05 08:00:00,异丙苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010134,%(m/m),2025-05-05 08:00:00,正丙苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010134,%(m/m),2025-05-05 08:00:00,甲乙苯,延炼12万吨/年乙苯/苯乙烯装置
0.08,ST010134,%(m/m),2025-05-05 08:00:00,丁苯,延炼12万吨/年乙苯/苯乙烯装置
88.57,ST010134,%(m/m),2025-05-05 08:00:00,二乙苯,延炼12万吨/年乙苯/苯乙烯装置
11.34,ST010134,%(m/m),2025-05-05 08:00:00,重芳,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010134,%(m/m),2025-05-06 08:00:00,非  芳,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010134,%(m/m),2025-05-06 08:00:00,苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010134,%(m/m),2025-05-06 08:00:00,甲  苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010134,%(m/m),2025-05-06 08:00:00,乙  苯,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010134,%(m/m),2025-05-06 08:00:00,二甲苯,延炼12万吨/年乙苯/苯乙烯装置
