result,sampleDotCode,unitName,sampleTime,resultName,deviceName
106,ST010089,<p>mg/L</p>,2025-05-06 08:00:00,COD,延炼12万吨/年乙苯/苯乙烯装置
5.60,ST010089,,2025-05-06 08:00:00,pH,延炼12万吨/年乙苯/苯乙烯装置
1.71,ST010089,<p>mg/L</p>,2025-05-06 08:00:00,氨氮,延炼12万吨/年乙苯/苯乙烯装置
20.60,ST010089,<p>mg/L</p>,2025-05-20 08:00:00,氨氮,延炼12万吨/年乙苯/苯乙烯装置
5.50,ST010089,,2025-05-20 08:00:00,pH,延炼12万吨/年乙苯/苯乙烯装置
209,ST010089,<p>mg/L</p>,2025-05-20 08:00:00,COD,延炼12万吨/年乙苯/苯乙烯装置
6.00,ST010089,,2025-06-03 08:00:00,pH,延炼12万吨/年乙苯/苯乙烯装置
550,ST010089,<p>mg/L</p>,2025-06-03 08:00:00,COD,延炼12万吨/年乙苯/苯乙烯装置
14.40,ST010089,<p>mg/L</p>,2025-06-03 08:00:00,氨氮,延炼12万吨/年乙苯/苯乙烯装置
282,ST010089,<p>mg/L</p>,2025-06-17 08:00:00,COD,延炼12万吨/年乙苯/苯乙烯装置
38.60,ST010089,<p>mg/L</p>,2025-06-17 08:00:00,氨氮,延炼12万吨/年乙苯/苯乙烯装置
6.30,ST010089,,2025-06-17 08:00:00,pH,延炼12万吨/年乙苯/苯乙烯装置
6.30,ST010089,,2025-07-01 08:00:00,pH,延炼12万吨/年乙苯/苯乙烯装置
201,ST010089,<p>mg/L</p>,2025-07-01 08:00:00,COD,延炼12万吨/年乙苯/苯乙烯装置
25.60,ST010089,<p>mg/L</p>,2025-07-01 08:00:00,氨氮,延炼12万吨/年乙苯/苯乙烯装置
5.60,ST010089,,2025-07-15 08:00:00,pH,延炼12万吨/年乙苯/苯乙烯装置
143,ST010089,<p>mg/L</p>,2025-07-15 08:00:00,COD,延炼12万吨/年乙苯/苯乙烯装置
3.84,ST010089,<p>mg/L</p>,2025-07-15 08:00:00,氨氮,延炼12万吨/年乙苯/苯乙烯装置
97,ST010089,<p>mg/L</p>,2025-08-05 08:00:00,COD,延炼12万吨/年乙苯/苯乙烯装置
5.40,ST010089,,2025-08-05 08:00:00,pH,延炼12万吨/年乙苯/苯乙烯装置
1.53,ST010089,<p>mg/L</p>,2025-08-05 08:00:00,氨氮,延炼12万吨/年乙苯/苯乙烯装置
9.74,ST010089,<p>mg/L</p>,2025-08-19 08:00:00,氨氮,延炼12万吨/年乙苯/苯乙烯装置
5.80,ST010089,,2025-08-19 08:00:00,pH,延炼12万吨/年乙苯/苯乙烯装置
155,ST010089,<p>mg/L</p>,2025-08-19 08:00:00,COD,延炼12万吨/年乙苯/苯乙烯装置
237,ST010089,<p>mg/L</p>,2025-09-02 08:00:00,COD,延炼12万吨/年乙苯/苯乙烯装置
6.10,ST010089,,2025-09-02 08:00:00,pH,延炼12万吨/年乙苯/苯乙烯装置
6.02,ST010089,<p>mg/L</p>,2025-09-02 08:00:00,氨氮,延炼12万吨/年乙苯/苯乙烯装置
8.44,ST010089,<p>mg/L</p>,2025-09-16 08:00:00,氨氮,延炼12万吨/年乙苯/苯乙烯装置
5.90,ST010089,,2025-09-16 08:00:00,pH,延炼12万吨/年乙苯/苯乙烯装置
271,ST010089,<p>mg/L</p>,2025-09-16 08:00:00,COD,延炼12万吨/年乙苯/苯乙烯装置
6.40,ST010089,,2025-10-07 08:00:00,pH,延炼12万吨/年乙苯/苯乙烯装置
234,ST010089,<p>mg/L</p>,2025-10-07 08:00:00,COD,延炼12万吨/年乙苯/苯乙烯装置
7.67,ST010089,<p>mg/L</p>,2025-10-07 08:00:00,氨氮,延炼12万吨/年乙苯/苯乙烯装置
6.82,ST010089,<p>mg/L</p>,2025-10-21 08:00:00,氨氮,延炼12万吨/年乙苯/苯乙烯装置
6.30,ST010089,,2025-10-21 08:00:00,pH,延炼12万吨/年乙苯/苯乙烯装置
217,ST010089,<p>mg/L</p>,2025-10-21 08:00:00,COD,延炼12万吨/年乙苯/苯乙烯装置
6.00,ST010089,,2025-11-04 08:00:00,pH,延炼12万吨/年乙苯/苯乙烯装置
178,ST010089,<p>mg/L</p>,2025-11-04 08:00:00,COD,延炼12万吨/年乙苯/苯乙烯装置
2.54,ST010089,<p>mg/L</p>,2025-11-04 08:00:00,氨氮,延炼12万吨/年乙苯/苯乙烯装置
12.10,ST010089,<p>mg/L</p>,2025-11-18 08:00:00,氨氮,延炼12万吨/年乙苯/苯乙烯装置
6.30,ST010089,,2025-11-18 08:00:00,pH,延炼12万吨/年乙苯/苯乙烯装置
153,ST010089,<p>mg/L</p>,2025-11-18 08:00:00,COD,延炼12万吨/年乙苯/苯乙烯装置
6.20,ST010089,,2025-12-02 08:00:00,pH,延炼12万吨/年乙苯/苯乙烯装置
4.96,ST010089,<p>mg/L</p>,2025-12-02 08:00:00,氨氮,延炼12万吨/年乙苯/苯乙烯装置
154,ST010089,<p>mg/L</p>,2025-12-02 08:00:00,COD,延炼12万吨/年乙苯/苯乙烯装置
5.30,ST010089,,2025-12-16 08:00:00,pH,延炼12万吨/年乙苯/苯乙烯装置
121,ST010089,<p>mg/L</p>,2025-12-16 08:00:00,COD,延炼12万吨/年乙苯/苯乙烯装置
1.65,ST010089,<p>mg/L</p>,2025-12-16 08:00:00,氨氮,延炼12万吨/年乙苯/苯乙烯装置
2.79,ST010089,<p>mg/L</p>,2026-01-06 08:00:00,氨氮,延炼12万吨/年乙苯/苯乙烯装置
7.80,ST010089,,2026-01-06 08:00:00,pH,延炼12万吨/年乙苯/苯乙烯装置
64,ST010089,<p>mg/L</p>,2026-01-06 08:00:00,COD,延炼12万吨/年乙苯/苯乙烯装置
3.66,ST010089,<p>mg/L</p>,2026-01-20 08:00:00,氨氮,延炼12万吨/年乙苯/苯乙烯装置
5.90,ST010089,,2026-01-20 08:00:00,pH,延炼12万吨/年乙苯/苯乙烯装置
167,ST010089,<p>mg/L</p>,2026-01-20 08:00:00,COD,延炼12万吨/年乙苯/苯乙烯装置
9.50,ST010089,,2026-02-03 08:00:00,pH,延炼12万吨/年乙苯/苯乙烯装置
1.38,ST010089,<p>mg/L</p>,2026-02-03 08:00:00,氨氮,延炼12万吨/年乙苯/苯乙烯装置
123,ST010089,<p>mg/L</p>,2026-02-03 08:00:00,COD,延炼12万吨/年乙苯/苯乙烯装置
3.31,ST010089,<p>mg/L</p>,2026-02-17 08:00:00,氨氮,延炼12万吨/年乙苯/苯乙烯装置
9.30,ST010089,,2026-02-17 08:00:00,pH,延炼12万吨/年乙苯/苯乙烯装置
136,ST010089,<p>mg/L</p>,2026-02-17 08:00:00,COD,延炼12万吨/年乙苯/苯乙烯装置
6.00,ST010089,,2026-03-03 08:00:00,pH,延炼12万吨/年乙苯/苯乙烯装置
132,ST010089,<p>mg/L</p>,2026-03-03 08:00:00,COD,延炼12万吨/年乙苯/苯乙烯装置
2.74,ST010089,<p>mg/L</p>,2026-03-03 08:00:00,氨氮,延炼12万吨/年乙苯/苯乙烯装置
5.70,ST010089,,2026-03-17 08:00:00,pH,延炼12万吨/年乙苯/苯乙烯装置
142,ST010089,<p>mg/L</p>,2026-03-17 08:00:00,COD,延炼12万吨/年乙苯/苯乙烯装置
2.27,ST010089,<p>mg/L</p>,2026-03-17 08:00:00,氨氮,延炼12万吨/年乙苯/苯乙烯装置
4.63,ST010089,<p>mg/L</p>,2026-04-07 08:00:00,氨氮,延炼12万吨/年乙苯/苯乙烯装置
6.10,ST010089,,2026-04-07 08:00:00,pH,延炼12万吨/年乙苯/苯乙烯装置
154,ST010089,<p>mg/L</p>,2026-04-07 08:00:00,COD,延炼12万吨/年乙苯/苯乙烯装置
4.07,ST010089,<p>mg/L</p>,2026-04-21 08:00:00,氨氮,延炼12万吨/年乙苯/苯乙烯装置
6.30,ST010089,,2026-04-21 08:00:00,pH,延炼12万吨/年乙苯/苯乙烯装置
136,ST010089,<p>mg/L</p>,2026-04-21 08:00:00,COD,延炼12万吨/年乙苯/苯乙烯装置
