result,sampleDotCode,unitName,sampleTime,resultName,deviceName
＜1,ST010094,级,2025-05-05 08:00:00,林格曼黑度,延炼12万吨/年乙苯/苯乙烯装置
＜1,ST010094,级,2025-06-02 08:00:00,林格曼黑度,延炼12万吨/年乙苯/苯乙烯装置
＜1,ST010094,级,2025-07-07 08:00:00,林格曼黑度,延炼12万吨/年乙苯/苯乙烯装置
＜1,ST010094,级,2025-08-04 08:00:00,林格曼黑度,延炼12万吨/年乙苯/苯乙烯装置
＜1,ST010094,级,2025-09-01 08:00:00,林格曼黑度,延炼12万吨/年乙苯/苯乙烯装置
＜1,ST010094,级,2025-10-06 08:00:00,林格曼黑度,延炼12万吨/年乙苯/苯乙烯装置
＜1,ST010094,级,2025-11-03 08:00:00,林格曼黑度,延炼12万吨/年乙苯/苯乙烯装置
＜1,ST010094,级,2025-12-01 08:00:00,林格曼黑度,延炼12万吨/年乙苯/苯乙烯装置
＜1,ST010094,级,2026-01-05 08:00:00,林格曼黑度,延炼12万吨/年乙苯/苯乙烯装置
＜1,ST010094,级,2026-02-02 08:00:00,林格曼黑度,延炼12万吨/年乙苯/苯乙烯装置
＜1,ST010094,级,2026-03-02 08:00:00,林格曼黑度,延炼12万吨/年乙苯/苯乙烯装置
＜1,ST010094,级,2026-04-06 08:00:00,林格曼黑度,延炼12万吨/年乙苯/苯乙烯装置
