result,sampleDotCode,sampleTime,resultName,deviceName,unitName
8.00,ST010088,2025-05-01 08:00:00,pH,延炼12万吨/年乙苯/苯乙烯装置,
0.62,ST010088,2025-05-01 08:00:00,石油类,延炼12万吨/年乙苯/苯乙烯装置,mg/L
11.00,ST010088,2025-05-01 08:00:00,电导率,延炼12万吨/年乙苯/苯乙烯装置,<p>&mu;S/cm</p>
8.20,ST010088,2025-05-02 08:00:00,pH,延炼12万吨/年乙苯/苯乙烯装置,
12.60,ST010088,2025-05-02 08:00:00,电导率,延炼12万吨/年乙苯/苯乙烯装置,<p>&mu;S/cm</p>
0.70,ST010088,2025-05-02 08:00:00,石油类,延炼12万吨/年乙苯/苯乙烯装置,mg/L
7.90,ST010088,2025-05-03 08:00:00,pH,延炼12万吨/年乙苯/苯乙烯装置,
11.60,ST010088,2025-05-03 08:00:00,电导率,延炼12万吨/年乙苯/苯乙烯装置,<p>&mu;S/cm</p>
0.59,ST010088,2025-05-03 08:00:00,石油类,延炼12万吨/年乙苯/苯乙烯装置,mg/L
8.30,ST010088,2025-05-04 08:00:00,pH,延炼12万吨/年乙苯/苯乙烯装置,
0.68,ST010088,2025-05-04 08:00:00,石油类,延炼12万吨/年乙苯/苯乙烯装置,mg/L
11.90,ST010088,2025-05-04 08:00:00,电导率,延炼12万吨/年乙苯/苯乙烯装置,<p>&mu;S/cm</p>
8.20,ST010088,2025-05-05 08:00:00,pH,延炼12万吨/年乙苯/苯乙烯装置,
0.58,ST010088,2025-05-05 08:00:00,石油类,延炼12万吨/年乙苯/苯乙烯装置,mg/L
16.40,ST010088,2025-05-05 08:00:00,电导率,延炼12万吨/年乙苯/苯乙烯装置,<p>&mu;S/cm</p>
8.70,ST010088,2025-05-06 08:00:00,pH,延炼12万吨/年乙苯/苯乙烯装置,
0.69,ST010088,2025-05-06 08:00:00,石油类,延炼12万吨/年乙苯/苯乙烯装置,mg/L
18.40,ST010088,2025-05-06 08:00:00,电导率,延炼12万吨/年乙苯/苯乙烯装置,<p>&mu;S/cm</p>
0.59,ST010088,2025-05-07 08:00:00,石油类,延炼12万吨/年乙苯/苯乙烯装置,mg/L
8.50,ST010088,2025-05-07 08:00:00,pH,延炼12万吨/年乙苯/苯乙烯装置,
17.50,ST010088,2025-05-07 08:00:00,电导率,延炼12万吨/年乙苯/苯乙烯装置,<p>&mu;S/cm</p>
8.20,ST010088,2025-05-08 08:00:00,pH,延炼12万吨/年乙苯/苯乙烯装置,
10.30,ST010088,2025-05-08 08:00:00,电导率,延炼12万吨/年乙苯/苯乙烯装置,<p>&mu;S/cm</p>
0.64,ST010088,2025-05-08 08:00:00,石油类,延炼12万吨/年乙苯/苯乙烯装置,mg/L
0.80,ST010088,2025-05-09 08:00:00,石油类,延炼12万吨/年乙苯/苯乙烯装置,mg/L
8.00,ST010088,2025-05-09 08:00:00,pH,延炼12万吨/年乙苯/苯乙烯装置,
25.70,ST010088,2025-05-09 08:00:00,电导率,延炼12万吨/年乙苯/苯乙烯装置,<p>&mu;S/cm</p>
8.80,ST010088,2025-05-10 08:00:00,pH,延炼12万吨/年乙苯/苯乙烯装置,
0.70,ST010088,2025-05-10 08:00:00,石油类,延炼12万吨/年乙苯/苯乙烯装置,mg/L
28.10,ST010088,2025-05-10 08:00:00,电导率,延炼12万吨/年乙苯/苯乙烯装置,<p>&mu;S/cm</p>
8.10,ST010088,2025-05-11 08:00:00,pH,延炼12万吨/年乙苯/苯乙烯装置,
0.74,ST010088,2025-05-11 08:00:00,石油类,延炼12万吨/年乙苯/苯乙烯装置,mg/L
12.20,ST010088,2025-05-11 08:00:00,电导率,延炼12万吨/年乙苯/苯乙烯装置,<p>&mu;S/cm</p>
8.70,ST010088,2025-05-12 08:00:00,pH,延炼12万吨/年乙苯/苯乙烯装置,
0.65,ST010088,2025-05-12 08:00:00,石油类,延炼12万吨/年乙苯/苯乙烯装置,mg/L
17.80,ST010088,2025-05-12 08:00:00,电导率,延炼12万吨/年乙苯/苯乙烯装置,<p>&mu;S/cm</p>
8.40,ST010088,2025-05-13 08:00:00,pH,延炼12万吨/年乙苯/苯乙烯装置,
10.10,ST010088,2025-05-13 08:00:00,电导率,延炼12万吨/年乙苯/苯乙烯装置,<p>&mu;S/cm</p>
0.63,ST010088,2025-05-13 08:00:00,石油类,延炼12万吨/年乙苯/苯乙烯装置,mg/L
8.40,ST010088,2025-05-14 08:00:00,pH,延炼12万吨/年乙苯/苯乙烯装置,
0.69,ST010088,2025-05-14 08:00:00,石油类,延炼12万吨/年乙苯/苯乙烯装置,mg/L
10.80,ST010088,2025-05-14 08:00:00,电导率,延炼12万吨/年乙苯/苯乙烯装置,<p>&mu;S/cm</p>
8.40,ST010088,2025-05-15 08:00:00,pH,延炼12万吨/年乙苯/苯乙烯装置,
6.12,ST010088,2025-05-15 08:00:00,电导率,延炼12万吨/年乙苯/苯乙烯装置,<p>&mu;S/cm</p>
0.51,ST010088,2025-05-15 08:00:00,石油类,延炼12万吨/年乙苯/苯乙烯装置,mg/L
8.80,ST010088,2025-05-16 08:00:00,pH,延炼12万吨/年乙苯/苯乙烯装置,
24.60,ST010088,2025-05-16 08:00:00,电导率,延炼12万吨/年乙苯/苯乙烯装置,<p>&mu;S/cm</p>
0.60,ST010088,2025-05-16 08:00:00,石油类,延炼12万吨/年乙苯/苯乙烯装置,mg/L
