result,sampleDotCode,unitName,sampleTime,resultName,deviceName
0.68,ST010095,%（v/v) ,2025-05-01 08:00:00,二氧化碳,延炼12万吨/年乙苯/苯乙烯装置
0.36,ST010095,%（v/v) ,2025-05-01 08:00:00,氧气,延炼12万吨/年乙苯/苯乙烯装置
38.49,ST010095,%（v/v) ,2025-05-01 08:00:00,氮气,延炼12万吨/年乙苯/苯乙烯装置
0.37,ST010095,%（v/v) ,2025-05-01 08:00:00,一氧化碳,延炼12万吨/年乙苯/苯乙烯装置
3.31,ST010095,%（v/v) ,2025-05-01 08:00:00,氢气,延炼12万吨/年乙苯/苯乙烯装置
10.06,ST010095,%（v/v) ,2025-05-01 08:00:00,甲烷,延炼12万吨/年乙苯/苯乙烯装置
3.46,ST010095,%（v/v) ,2025-05-01 08:00:00,乙烷,延炼12万吨/年乙苯/苯乙烯装置
2.37,ST010095,%（v/v) ,2025-05-01 08:00:00,乙烯,延炼12万吨/年乙苯/苯乙烯装置
6.48,ST010095,%（v/v) ,2025-05-01 08:00:00,丙烷,延炼12万吨/年乙苯/苯乙烯装置
17.94,ST010095,%（v/v) ,2025-05-01 08:00:00,丙烯,延炼12万吨/年乙苯/苯乙烯装置
2.63,ST010095,%（v/v) ,2025-05-01 08:00:00,碳五,延炼12万吨/年乙苯/苯乙烯装置
13.85,ST010095,%（v/v) ,2025-05-01 08:00:00,C4合计,延炼12万吨/年乙苯/苯乙烯装置
1.63,ST010095,%（v/v) ,2025-05-01 08:00:00,异丁烯,延炼12万吨/年乙苯/苯乙烯装置
1.47,ST010095,%（v/v) ,2025-05-01 08:00:00,正丁烯,延炼12万吨/年乙苯/苯乙烯装置
1.89,ST010095,%（v/v) ,2025-05-01 08:00:00,反丁烯,延炼12万吨/年乙苯/苯乙烯装置
1.34,ST010095,%（v/v) ,2025-05-01 08:00:00,顺丁烯,延炼12万吨/年乙苯/苯乙烯装置
1.78,ST010095,%（v/v) ,2025-05-01 08:00:00,正丁烷,延炼12万吨/年乙苯/苯乙烯装置
5.75,ST010095,%（v/v) ,2025-05-01 08:00:00,异丁烷,延炼12万吨/年乙苯/苯乙烯装置
0.43,ST010095,体积分数 %,2025-05-01 08:00:00,硫化氢,延炼12万吨/年乙苯/苯乙烯装置
0.67,ST010095,%（v/v) ,2025-05-05 08:00:00,二氧化碳,延炼12万吨/年乙苯/苯乙烯装置
0.44,ST010095,%（v/v) ,2025-05-05 08:00:00,氧气,延炼12万吨/年乙苯/苯乙烯装置
37.06,ST010095,%（v/v) ,2025-05-05 08:00:00,氮气,延炼12万吨/年乙苯/苯乙烯装置
0.39,ST010095,%（v/v) ,2025-05-05 08:00:00,一氧化碳,延炼12万吨/年乙苯/苯乙烯装置
3.64,ST010095,%（v/v) ,2025-05-05 08:00:00,氢气,延炼12万吨/年乙苯/苯乙烯装置
