result,sampleDotCode,unitName,sampleTime,resultName,deviceName
未检出,ST010125,<p>mg/kg</p>,2025-05-01 08:00:00,硫化氢,延炼12万吨/年乙苯/苯乙烯装置
1.73,ST010125,"<p>%(v/v)</p>
",2025-05-01 08:00:00,氧气,延炼12万吨/年乙苯/苯乙烯装置
7.77,ST010125,"<p>%(v/v)</p>
",2025-05-01 08:00:00,氮气,延炼12万吨/年乙苯/苯乙烯装置
0.23,ST010125,"<p>%(v/v)</p>
",2025-05-01 08:00:00,一氧化碳,延炼12万吨/年乙苯/苯乙烯装置
2.76,ST010125,"<p>%(v/v)</p>
",2025-05-01 08:00:00,二氧化碳,延炼12万吨/年乙苯/苯乙烯装置
0.83,ST010125,"<p>%(v/v)</p>
",2025-05-01 08:00:00,氢气,延炼12万吨/年乙苯/苯乙烯装置
10.16,ST010125,"<p>%(v/v)</p>
",2025-05-01 08:00:00,甲烷,延炼12万吨/年乙苯/苯乙烯装置
2.38,ST010125,"<p>%(v/v)</p>
",2025-05-01 08:00:00,丙烷,延炼12万吨/年乙苯/苯乙烯装置
6.59,ST010125,"<p>%(v/v)</p>
",2025-05-01 08:00:00,丙烯,延炼12万吨/年乙苯/苯乙烯装置
30.30,ST010125,"<p>%(v/v)</p>
",2025-05-01 08:00:00,乙烯,延炼12万吨/年乙苯/苯乙烯装置
0.77,ST010125,"<p>%(v/v)</p>
",2025-05-01 08:00:00,碳四(合计),延炼12万吨/年乙苯/苯乙烯装置
0.01,ST010125,"<p>%(v/v)</p>
",2025-05-01 08:00:00,异戊烷,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010125,"<p>%(v/v)</p>
",2025-05-01 08:00:00,正戊烷,延炼12万吨/年乙苯/苯乙烯装置
36.48,ST010125,"<p>%(v/v)</p>
",2025-05-01 08:00:00,乙烷,延炼12万吨/年乙苯/苯乙烯装置
0.01,ST010125,"<p>%(v/v)</p>
",2025-05-01 08:00:00,碳五(合计),延炼12万吨/年乙苯/苯乙烯装置
7.11,ST010125,"<p>%(v/v)</p>
",2025-05-08 08:00:00,丙烯,延炼12万吨/年乙苯/苯乙烯装置
29.46,ST010125,"<p>%(v/v)</p>
",2025-05-08 08:00:00,乙烯,延炼12万吨/年乙苯/苯乙烯装置
0.90,ST010125,"<p>%(v/v)</p>
",2025-05-08 08:00:00,碳四(合计),延炼12万吨/年乙苯/苯乙烯装置
0.01,ST010125,"<p>%(v/v)</p>
",2025-05-08 08:00:00,异戊烷,延炼12万吨/年乙苯/苯乙烯装置
0.00,ST010125,"<p>%(v/v)</p>
",2025-05-08 08:00:00,正戊烷,延炼12万吨/年乙苯/苯乙烯装置
36.16,ST010125,"<p>%(v/v)</p>
",2025-05-08 08:00:00,乙烷,延炼12万吨/年乙苯/苯乙烯装置
0.01,ST010125,"<p>%(v/v)</p>
",2025-05-08 08:00:00,碳五(合计),延炼12万吨/年乙苯/苯乙烯装置
未检出,ST010125,<p>mg/kg</p>,2025-05-08 08:00:00,硫化氢,延炼12万吨/年乙苯/苯乙烯装置
1.92,ST010125,"<p>%(v/v)</p>
",2025-05-08 08:00:00,氧气,延炼12万吨/年乙苯/苯乙烯装置
8.51,ST010125,"<p>%(v/v)</p>
",2025-05-08 08:00:00,氮气,延炼12万吨/年乙苯/苯乙烯装置
0.22,ST010125,"<p>%(v/v)</p>
",2025-05-08 08:00:00,一氧化碳,延炼12万吨/年乙苯/苯乙烯装置
2.96,ST010125,"<p>%(v/v)</p>
",2025-05-08 08:00:00,二氧化碳,延炼12万吨/年乙苯/苯乙烯装置
0.72,ST010125,"<p>%(v/v)</p>
",2025-05-08 08:00:00,氢气,延炼12万吨/年乙苯/苯乙烯装置
9.66,ST010125,"<p>%(v/v)</p>
",2025-05-08 08:00:00,甲烷,延炼12万吨/年乙苯/苯乙烯装置
2.39,ST010125,"<p>%(v/v)</p>
",2025-05-08 08:00:00,丙烷,延炼12万吨/年乙苯/苯乙烯装置
1.26,ST010125,"<p>%(v/v)</p>
",2025-05-15 08:00:00,氧气,延炼12万吨/年乙苯/苯乙烯装置
6.62,ST010125,"<p>%(v/v)</p>
",2025-05-15 08:00:00,氮气,延炼12万吨/年乙苯/苯乙烯装置
0.22,ST010125,"<p>%(v/v)</p>
",2025-05-15 08:00:00,一氧化碳,延炼12万吨/年乙苯/苯乙烯装置
2.81,ST010125,"<p>%(v/v)</p>
",2025-05-15 08:00:00,二氧化碳,延炼12万吨/年乙苯/苯乙烯装置
0.88,ST010125,"<p>%(v/v)</p>
",2025-05-15 08:00:00,氢气,延炼12万吨/年乙苯/苯乙烯装置
9.73,ST010125,"<p>%(v/v)</p>
",2025-05-15 08:00:00,甲烷,延炼12万吨/年乙苯/苯乙烯装置
2.47,ST010125,"<p>%(v/v)</p>
",2025-05-15 08:00:00,丙烷,延炼12万吨/年乙苯/苯乙烯装置
7.46,ST010125,"<p>%(v/v)</p>
",2025-05-15 08:00:00,丙烯,延炼12万吨/年乙苯/苯乙烯装置
30.36,ST010125,"<p>%(v/v)</p>
",2025-05-15 08:00:00,乙烯,延炼12万吨/年乙苯/苯乙烯装置
0.79,ST010125,"<p>%(v/v)</p>
",2025-05-15 08:00:00,碳四(合计),延炼12万吨/年乙苯/苯乙烯装置
0.01,ST010125,"<p>%(v/v)</p>
",2025-05-15 08:00:00,异戊烷,延炼12万吨/年乙苯/苯乙烯装置
0.02,ST010125,"<p>%(v/v)</p>
",2025-05-15 08:00:00,正戊烷,延炼12万吨/年乙苯/苯乙烯装置
37.35,ST010125,"<p>%(v/v)</p>
",2025-05-15 08:00:00,乙烷,延炼12万吨/年乙苯/苯乙烯装置
0.02,ST010125,"<p>%(v/v)</p>
",2025-05-15 08:00:00,碳五(合计),延炼12万吨/年乙苯/苯乙烯装置
未检出,ST010125,<p>mg/kg</p>,2025-05-15 08:00:00,硫化氢,延炼12万吨/年乙苯/苯乙烯装置
