result,sampleDotCode,unitName,sampleTime,resultName,deviceName
1.76,ST010090,<p>mg/L</p>,2025-05-05 08:00:00,氨氮,延炼12万吨/年乙苯/苯乙烯装置
0.73,ST010090,mg/L,2025-05-05 08:00:00,硫化物,延炼12万吨/年乙苯/苯乙烯装置
2.37,ST010090,<p>mg/L</p>,2025-05-12 08:00:00,氨氮,延炼12万吨/年乙苯/苯乙烯装置
0.89,ST010090,mg/L,2025-05-12 08:00:00,硫化物,延炼12万吨/年乙苯/苯乙烯装置
1.59,ST010090,<p>mg/L</p>,2025-05-19 08:00:00,氨氮,延炼12万吨/年乙苯/苯乙烯装置
1.05,ST010090,mg/L,2025-05-19 08:00:00,硫化物,延炼12万吨/年乙苯/苯乙烯装置
1.38,ST010090,<p>mg/L</p>,2025-05-26 08:00:00,氨氮,延炼12万吨/年乙苯/苯乙烯装置
1.11,ST010090,mg/L,2025-05-26 08:00:00,硫化物,延炼12万吨/年乙苯/苯乙烯装置
1.63,ST010090,<p>mg/L</p>,2025-06-02 08:00:00,氨氮,延炼12万吨/年乙苯/苯乙烯装置
1.08,ST010090,mg/L,2025-06-02 08:00:00,硫化物,延炼12万吨/年乙苯/苯乙烯装置
0.79,ST010090,mg/L,2025-06-09 08:00:00,硫化物,延炼12万吨/年乙苯/苯乙烯装置
2.13,ST010090,<p>mg/L</p>,2025-06-09 08:00:00,氨氮,延炼12万吨/年乙苯/苯乙烯装置
1.76,ST010090,<p>mg/L</p>,2025-06-16 08:00:00,氨氮,延炼12万吨/年乙苯/苯乙烯装置
1.06,ST010090,mg/L,2025-06-16 08:00:00,硫化物,延炼12万吨/年乙苯/苯乙烯装置
1.74,ST010090,<p>mg/L</p>,2025-06-23 08:00:00,氨氮,延炼12万吨/年乙苯/苯乙烯装置
1.06,ST010090,mg/L,2025-06-23 08:00:00,硫化物,延炼12万吨/年乙苯/苯乙烯装置
1.08,ST010090,mg/L,2025-06-30 08:00:00,硫化物,延炼12万吨/年乙苯/苯乙烯装置
2.83,ST010090,<p>mg/L</p>,2025-06-30 08:00:00,氨氮,延炼12万吨/年乙苯/苯乙烯装置
4.27,ST010090,<p>mg/L</p>,2025-07-07 08:00:00,氨氮,延炼12万吨/年乙苯/苯乙烯装置
0.63,ST010090,mg/L,2025-07-07 08:00:00,硫化物,延炼12万吨/年乙苯/苯乙烯装置
1.74,ST010090,<p>mg/L</p>,2025-07-14 08:00:00,氨氮,延炼12万吨/年乙苯/苯乙烯装置
0.52,ST010090,mg/L,2025-07-14 08:00:00,硫化物,延炼12万吨/年乙苯/苯乙烯装置
1.15,ST010090,<p>mg/L</p>,2025-07-21 08:00:00,氨氮,延炼12万吨/年乙苯/苯乙烯装置
0.69,ST010090,mg/L,2025-07-21 08:00:00,硫化物,延炼12万吨/年乙苯/苯乙烯装置
1.35,ST010090,<p>mg/L</p>,2025-07-28 08:00:00,氨氮,延炼12万吨/年乙苯/苯乙烯装置
0.35,ST010090,mg/L,2025-07-28 08:00:00,硫化物,延炼12万吨/年乙苯/苯乙烯装置
0.71,ST010090,<p>mg/L</p>,2025-08-04 08:00:00,氨氮,延炼12万吨/年乙苯/苯乙烯装置
0.32,ST010090,mg/L,2025-08-04 08:00:00,硫化物,延炼12万吨/年乙苯/苯乙烯装置
1.74,ST010090,<p>mg/L</p>,2025-08-11 08:00:00,氨氮,延炼12万吨/年乙苯/苯乙烯装置
0.53,ST010090,mg/L,2025-08-11 08:00:00,硫化物,延炼12万吨/年乙苯/苯乙烯装置
1.62,ST010090,<p>mg/L</p>,2025-08-18 08:00:00,氨氮,延炼12万吨/年乙苯/苯乙烯装置
0.58,ST010090,mg/L,2025-08-18 08:00:00,硫化物,延炼12万吨/年乙苯/苯乙烯装置
1.77,ST010090,<p>mg/L</p>,2025-08-25 08:00:00,氨氮,延炼12万吨/年乙苯/苯乙烯装置
0.65,ST010090,mg/L,2025-08-25 08:00:00,硫化物,延炼12万吨/年乙苯/苯乙烯装置
0.75,ST010090,<p>mg/L</p>,2025-09-01 08:00:00,氨氮,延炼12万吨/年乙苯/苯乙烯装置
0.61,ST010090,mg/L,2025-09-01 08:00:00,硫化物,延炼12万吨/年乙苯/苯乙烯装置
1.02,ST010090,mg/L,2025-09-08 08:00:00,硫化物,延炼12万吨/年乙苯/苯乙烯装置
2.18,ST010090,<p>mg/L</p>,2025-09-08 08:00:00,氨氮,延炼12万吨/年乙苯/苯乙烯装置
0.81,ST010090,mg/L,2025-09-15 08:00:00,硫化物,延炼12万吨/年乙苯/苯乙烯装置
0.58,ST010090,<p>mg/L</p>,2025-09-15 08:00:00,氨氮,延炼12万吨/年乙苯/苯乙烯装置
0.61,ST010090,<p>mg/L</p>,2025-09-22 08:00:00,氨氮,延炼12万吨/年乙苯/苯乙烯装置
0.73,ST010090,mg/L,2025-09-22 08:00:00,硫化物,延炼12万吨/年乙苯/苯乙烯装置
0.77,ST010090,<p>mg/L</p>,2025-09-29 08:00:00,氨氮,延炼12万吨/年乙苯/苯乙烯装置
0.66,ST010090,mg/L,2025-09-29 08:00:00,硫化物,延炼12万吨/年乙苯/苯乙烯装置
0.66,ST010090,<p>mg/L</p>,2025-10-06 08:00:00,氨氮,延炼12万吨/年乙苯/苯乙烯装置
0.63,ST010090,mg/L,2025-10-06 08:00:00,硫化物,延炼12万吨/年乙苯/苯乙烯装置
0.82,ST010090,<p>mg/L</p>,2025-10-13 08:00:00,氨氮,延炼12万吨/年乙苯/苯乙烯装置
0.72,ST010090,mg/L,2025-10-13 08:00:00,硫化物,延炼12万吨/年乙苯/苯乙烯装置
1.37,ST010090,<p>mg/L</p>,2025-10-20 08:00:00,氨氮,延炼12万吨/年乙苯/苯乙烯装置
0.87,ST010090,mg/L,2025-10-20 08:00:00,硫化物,延炼12万吨/年乙苯/苯乙烯装置
1.70,ST010090,<p>mg/L</p>,2025-10-27 08:00:00,氨氮,延炼12万吨/年乙苯/苯乙烯装置
0.79,ST010090,mg/L,2025-10-27 08:00:00,硫化物,延炼12万吨/年乙苯/苯乙烯装置
0.80,ST010090,mg/L,2025-11-03 08:00:00,硫化物,延炼12万吨/年乙苯/苯乙烯装置
1.82,ST010090,<p>mg/L</p>,2025-11-03 08:00:00,氨氮,延炼12万吨/年乙苯/苯乙烯装置
0.77,ST010090,mg/L,2025-11-10 08:00:00,硫化物,延炼12万吨/年乙苯/苯乙烯装置
1.55,ST010090,<p>mg/L</p>,2025-11-10 08:00:00,氨氮,延炼12万吨/年乙苯/苯乙烯装置
1.82,ST010090,<p>mg/L</p>,2025-11-17 08:00:00,氨氮,延炼12万吨/年乙苯/苯乙烯装置
0.84,ST010090,mg/L,2025-11-17 08:00:00,硫化物,延炼12万吨/年乙苯/苯乙烯装置
1.66,ST010090,<p>mg/L</p>,2025-11-24 08:00:00,氨氮,延炼12万吨/年乙苯/苯乙烯装置
0.71,ST010090,mg/L,2025-11-24 08:00:00,硫化物,延炼12万吨/年乙苯/苯乙烯装置
0.84,ST010090,mg/L,2025-12-01 08:00:00,硫化物,延炼12万吨/年乙苯/苯乙烯装置
1.62,ST010090,<p>mg/L</p>,2025-12-01 08:00:00,氨氮,延炼12万吨/年乙苯/苯乙烯装置
1.13,ST010090,<p>mg/L</p>,2025-12-08 08:00:00,氨氮,延炼12万吨/年乙苯/苯乙烯装置
0.87,ST010090,mg/L,2025-12-08 08:00:00,硫化物,延炼12万吨/年乙苯/苯乙烯装置
1.74,ST010090,<p>mg/L</p>,2025-12-15 08:00:00,氨氮,延炼12万吨/年乙苯/苯乙烯装置
0.60,ST010090,mg/L,2025-12-15 08:00:00,硫化物,延炼12万吨/年乙苯/苯乙烯装置
1.01,ST010090,<p>mg/L</p>,2025-12-22 08:00:00,氨氮,延炼12万吨/年乙苯/苯乙烯装置
0.76,ST010090,mg/L,2025-12-22 08:00:00,硫化物,延炼12万吨/年乙苯/苯乙烯装置
0.92,ST010090,<p>mg/L</p>,2025-12-29 08:00:00,氨氮,延炼12万吨/年乙苯/苯乙烯装置
0.84,ST010090,mg/L,2025-12-29 08:00:00,硫化物,延炼12万吨/年乙苯/苯乙烯装置
0.87,ST010090,<p>mg/L</p>,2026-01-05 08:00:00,氨氮,延炼12万吨/年乙苯/苯乙烯装置
1.21,ST010090,mg/L,2026-01-05 08:00:00,硫化物,延炼12万吨/年乙苯/苯乙烯装置
0.70,ST010090,<p>mg/L</p>,2026-01-12 08:00:00,氨氮,延炼12万吨/年乙苯/苯乙烯装置
1.26,ST010090,mg/L,2026-01-12 08:00:00,硫化物,延炼12万吨/年乙苯/苯乙烯装置
1.42,ST010090,<p>mg/L</p>,2026-01-14 08:00:00,氨氮,延炼12万吨/年乙苯/苯乙烯装置
0.78,ST010090,<p>mg/L</p>,2026-01-19 08:00:00,氨氮,延炼12万吨/年乙苯/苯乙烯装置
0.97,ST010090,mg/L,2026-01-19 08:00:00,硫化物,延炼12万吨/年乙苯/苯乙烯装置
1.06,ST010090,<p>mg/L</p>,2026-01-26 08:00:00,氨氮,延炼12万吨/年乙苯/苯乙烯装置
1.13,ST010090,mg/L,2026-01-26 08:00:00,硫化物,延炼12万吨/年乙苯/苯乙烯装置
1.38,ST010090,<p>mg/L</p>,2026-02-02 08:00:00,氨氮,延炼12万吨/年乙苯/苯乙烯装置
0.81,ST010090,mg/L,2026-02-02 08:00:00,硫化物,延炼12万吨/年乙苯/苯乙烯装置
1.77,ST010090,<p>mg/L</p>,2026-02-09 08:00:00,氨氮,延炼12万吨/年乙苯/苯乙烯装置
0.76,ST010090,mg/L,2026-02-09 08:00:00,硫化物,延炼12万吨/年乙苯/苯乙烯装置
1.56,ST010090,<p>mg/L</p>,2026-02-16 08:00:00,氨氮,延炼12万吨/年乙苯/苯乙烯装置
1.05,ST010090,mg/L,2026-02-16 08:00:00,硫化物,延炼12万吨/年乙苯/苯乙烯装置
1.12,ST010090,<p>mg/L</p>,2026-02-23 08:00:00,氨氮,延炼12万吨/年乙苯/苯乙烯装置
0.85,ST010090,mg/L,2026-02-23 08:00:00,硫化物,延炼12万吨/年乙苯/苯乙烯装置
1.29,ST010090,<p>mg/L</p>,2026-03-02 08:00:00,氨氮,延炼12万吨/年乙苯/苯乙烯装置
0.71,ST010090,mg/L,2026-03-02 08:00:00,硫化物,延炼12万吨/年乙苯/苯乙烯装置
1.32,ST010090,<p>mg/L</p>,2026-03-09 08:00:00,氨氮,延炼12万吨/年乙苯/苯乙烯装置
0.77,ST010090,mg/L,2026-03-09 08:00:00,硫化物,延炼12万吨/年乙苯/苯乙烯装置
2.24,ST010090,<p>mg/L</p>,2026-03-16 08:00:00,氨氮,延炼12万吨/年乙苯/苯乙烯装置
1.46,ST010090,mg/L,2026-03-16 08:00:00,硫化物,延炼12万吨/年乙苯/苯乙烯装置
1.75,ST010090,<p>mg/L</p>,2026-03-23 08:00:00,氨氮,延炼12万吨/年乙苯/苯乙烯装置
0.80,ST010090,mg/L,2026-03-23 08:00:00,硫化物,延炼12万吨/年乙苯/苯乙烯装置
2.06,ST010090,<p>mg/L</p>,2026-03-30 08:00:00,氨氮,延炼12万吨/年乙苯/苯乙烯装置
1.17,ST010090,mg/L,2026-03-30 08:00:00,硫化物,延炼12万吨/年乙苯/苯乙烯装置
1.62,ST010090,<p>mg/L</p>,2026-04-06 08:00:00,氨氮,延炼12万吨/年乙苯/苯乙烯装置
1.48,ST010090,mg/L,2026-04-06 08:00:00,硫化物,延炼12万吨/年乙苯/苯乙烯装置
2.16,ST010090,<p>mg/L</p>,2026-04-13 08:00:00,氨氮,延炼12万吨/年乙苯/苯乙烯装置
1.40,ST010090,mg/L,2026-04-13 08:00:00,硫化物,延炼12万吨/年乙苯/苯乙烯装置
2.20,ST010090,<p>mg/L</p>,2026-04-20 08:00:00,氨氮,延炼12万吨/年乙苯/苯乙烯装置
1.30,ST010090,mg/L,2026-04-20 08:00:00,硫化物,延炼12万吨/年乙苯/苯乙烯装置
1.37,ST010090,<p>mg/L</p>,2026-04-27 08:00:00,氨氮,延炼12万吨/年乙苯/苯乙烯装置
0.72,ST010090,mg/L,2026-04-27 08:00:00,硫化物,延炼12万吨/年乙苯/苯乙烯装置
