result,sampleDotCode,unitName,sampleTime,resultName,deviceName
196.0,ST010195,℃,2025-05-01 08:00:00,初馏点温度,延炼200万吨/年催化裂化装置
219.3,ST010195,℃,2025-05-01 08:00:00,10%回收温度,延炼200万吨/年催化裂化装置
250.3,ST010195,℃,2025-05-01 08:00:00,50%回收温度,延炼200万吨/年催化裂化装置
311.4,ST010195,℃,2025-05-01 08:00:00,90%回收温度,延炼200万吨/年催化裂化装置
329.4,ST010195,℃,2025-05-01 08:00:00,95%回收温度,延炼200万吨/年催化裂化装置
1037,ST010195,mg/kg,2025-05-01 08:00:00,硫含量,延炼200万吨/年催化裂化装置
72.5,ST010195,℃,2025-05-01 08:00:00,闪点(闭口),延炼200万吨/年催化裂化装置
<-20,ST010195,℃,2025-05-01 08:00:00,凝点,延炼200万吨/年催化裂化装置
196.9,ST010195,℃,2025-05-02 08:00:00,初馏点温度,延炼200万吨/年催化裂化装置
220.3,ST010195,℃,2025-05-02 08:00:00,10%回收温度,延炼200万吨/年催化裂化装置
252.7,ST010195,℃,2025-05-02 08:00:00,50%回收温度,延炼200万吨/年催化裂化装置
313.3,ST010195,℃,2025-05-02 08:00:00,90%回收温度,延炼200万吨/年催化裂化装置
331.7,ST010195,℃,2025-05-02 08:00:00,95%回收温度,延炼200万吨/年催化裂化装置
199.0,ST010195,℃,2025-05-03 08:00:00,初馏点温度,延炼200万吨/年催化裂化装置
221.2,ST010195,℃,2025-05-03 08:00:00,10%回收温度,延炼200万吨/年催化裂化装置
254.2,ST010195,℃,2025-05-03 08:00:00,50%回收温度,延炼200万吨/年催化裂化装置
317.0,ST010195,℃,2025-05-03 08:00:00,90%回收温度,延炼200万吨/年催化裂化装置
336.5,ST010195,℃,2025-05-03 08:00:00,95%回收温度,延炼200万吨/年催化裂化装置
195.4,ST010195,℃,2025-05-04 08:00:00,初馏点温度,延炼200万吨/年催化裂化装置
219.5,ST010195,℃,2025-05-04 08:00:00,10%回收温度,延炼200万吨/年催化裂化装置
251.3,ST010195,℃,2025-05-04 08:00:00,50%回收温度,延炼200万吨/年催化裂化装置
312.4,ST010195,℃,2025-05-04 08:00:00,90%回收温度,延炼200万吨/年催化裂化装置
330.7,ST010195,℃,2025-05-04 08:00:00,95%回收温度,延炼200万吨/年催化裂化装置
197.2,ST010195,℃,2025-05-05 08:00:00,初馏点温度,延炼200万吨/年催化裂化装置
220.5,ST010195,℃,2025-05-05 08:00:00,10%回收温度,延炼200万吨/年催化裂化装置
252.3,ST010195,℃,2025-05-05 08:00:00,50%回收温度,延炼200万吨/年催化裂化装置
312.9,ST010195,℃,2025-05-05 08:00:00,90%回收温度,延炼200万吨/年催化裂化装置
331.3,ST010195,℃,2025-05-05 08:00:00,95%回收温度,延炼200万吨/年催化裂化装置
196.4,ST010195,℃,2025-05-06 08:00:00,初馏点温度,延炼200万吨/年催化裂化装置
219.6,ST010195,℃,2025-05-06 08:00:00,10%回收温度,延炼200万吨/年催化裂化装置
