result,sampleDotCode,unitName,sampleTime,resultName,deviceName
0.78,ST010168,mg/L,2025-05-05 08:00:00,硫化物,延炼200万吨/年催化裂化装置
1.33,ST010168,mg/L,2025-05-05 08:00:00,石油类,延炼200万吨/年催化裂化装置
8.10,ST010168,,2025-05-05 08:00:00,pH,延炼200万吨/年催化裂化装置
47,ST010168,<p>mg/L</p>,2025-05-05 08:00:00,COD,延炼200万吨/年催化裂化装置
2.82,ST010168,<p>mg/L</p>,2025-05-05 08:00:00,氨氮,延炼200万吨/年催化裂化装置
1.53,ST010168,mg/L,2025-05-12 08:00:00,硫化物,延炼200万吨/年催化裂化装置
4.81,ST010168,mg/L,2025-05-12 08:00:00,石油类,延炼200万吨/年催化裂化装置
8.50,ST010168,,2025-05-12 08:00:00,pH,延炼200万吨/年催化裂化装置
143,ST010168,<p>mg/L</p>,2025-05-12 08:00:00,COD,延炼200万吨/年催化裂化装置
4.19,ST010168,<p>mg/L</p>,2025-05-12 08:00:00,氨氮,延炼200万吨/年催化裂化装置
6.80,ST010168,,2025-05-19 08:00:00,pH,延炼200万吨/年催化裂化装置
1.97,ST010168,mg/L,2025-05-19 08:00:00,硫化物,延炼200万吨/年催化裂化装置
4.88,ST010168,<p>mg/L</p>,2025-05-19 08:00:00,氨氮,延炼200万吨/年催化裂化装置
3.90,ST010168,mg/L,2025-05-19 08:00:00,石油类,延炼200万吨/年催化裂化装置
84,ST010168,<p>mg/L</p>,2025-05-19 08:00:00,COD,延炼200万吨/年催化裂化装置
93,ST010168,<p>mg/L</p>,2025-05-26 08:00:00,COD,延炼200万吨/年催化裂化装置
7.30,ST010168,,2025-05-26 08:00:00,pH,延炼200万吨/年催化裂化装置
3.05,ST010168,<p>mg/L</p>,2025-05-26 08:00:00,氨氮,延炼200万吨/年催化裂化装置
10.62,ST010168,mg/L,2025-05-26 08:00:00,石油类,延炼200万吨/年催化裂化装置
2.11,ST010168,mg/L,2025-05-26 08:00:00,硫化物,延炼200万吨/年催化裂化装置
2.44,ST010168,<p>mg/L</p>,2025-06-02 08:00:00,氨氮,延炼200万吨/年催化裂化装置
1.94,ST010168,mg/L,2025-06-02 08:00:00,硫化物,延炼200万吨/年催化裂化装置
190,ST010168,<p>mg/L</p>,2025-06-02 08:00:00,COD,延炼200万吨/年催化裂化装置
7.80,ST010168,,2025-06-02 08:00:00,pH,延炼200万吨/年催化裂化装置
5.65,ST010168,mg/L,2025-06-02 08:00:00,石油类,延炼200万吨/年催化裂化装置
135,ST010168,<p>mg/L</p>,2025-06-09 08:00:00,COD,延炼200万吨/年催化裂化装置
7.70,ST010168,,2025-06-09 08:00:00,pH,延炼200万吨/年催化裂化装置
18.30,ST010168,<p>mg/L</p>,2025-06-09 08:00:00,氨氮,延炼200万吨/年催化裂化装置
2.18,ST010168,mg/L,2025-06-09 08:00:00,石油类,延炼200万吨/年催化裂化装置
0.97,ST010168,mg/L,2025-06-09 08:00:00,硫化物,延炼200万吨/年催化裂化装置
7.50,ST010168,,2025-06-16 08:00:00,pH,延炼200万吨/年催化裂化装置
54,ST010168,<p>mg/L</p>,2025-06-16 08:00:00,COD,延炼200万吨/年催化裂化装置
1.78,ST010168,mg/L,2025-06-16 08:00:00,石油类,延炼200万吨/年催化裂化装置
4.83,ST010168,<p>mg/L</p>,2025-06-16 08:00:00,氨氮,延炼200万吨/年催化裂化装置
