result,sampleDotCode,unitName,sampleTime,resultName,deviceName
5472.3,ST010197,<p>mg/L</p>,2025-05-01 08:00:00,盐含量,延炼200万吨/年催化裂化装置
4766.2,ST010197,<p>mg/L</p>,2025-05-05 08:00:00,盐含量,延炼200万吨/年催化裂化装置
4553.0,ST010197,<p>mg/L</p>,2025-05-08 08:00:00,盐含量,延炼200万吨/年催化裂化装置
3861.8,ST010197,<p>mg/L</p>,2025-05-12 08:00:00,盐含量,延炼200万吨/年催化裂化装置
7644.6,ST010197,<p>mg/L</p>,2025-05-15 08:00:00,盐含量,延炼200万吨/年催化裂化装置
3602.0,ST010197,<p>mg/L</p>,2025-05-19 08:00:00,盐含量,延炼200万吨/年催化裂化装置
7009.7,ST010197,<p>mg/L</p>,2025-05-22 08:00:00,盐含量,延炼200万吨/年催化裂化装置
3459.4,ST010197,<p>mg/L</p>,2025-05-26 08:00:00,盐含量,延炼200万吨/年催化裂化装置
3768.4,ST010197,<p>mg/L</p>,2025-05-29 08:00:00,盐含量,延炼200万吨/年催化裂化装置
5772.4,ST010197,<p>mg/L</p>,2025-06-02 08:10:00,盐含量,延炼200万吨/年催化裂化装置
4152.8,ST010197,<p>mg/L</p>,2025-06-05 08:00:00,盐含量,延炼200万吨/年催化裂化装置
6255.9,ST010197,<p>mg/L</p>,2025-06-09 08:00:00,盐含量,延炼200万吨/年催化裂化装置
5066.7,ST010197,<p>mg/L</p>,2025-06-12 08:00:00,盐含量,延炼200万吨/年催化裂化装置
4762.8,ST010197,<p>mg/L</p>,2025-06-16 08:00:00,盐含量,延炼200万吨/年催化裂化装置
2080.7,ST010197,<p>mg/L</p>,2025-06-19 08:00:00,盐含量,延炼200万吨/年催化裂化装置
4366.8,ST010197,<p>mg/L</p>,2025-06-23 08:00:00,盐含量,延炼200万吨/年催化裂化装置
5680.4,ST010197,<p>mg/L</p>,2025-06-26 08:00:00,盐含量,延炼200万吨/年催化裂化装置
2531.4,ST010197,<p>mg/L</p>,2025-06-30 08:00:00,盐含量,延炼200万吨/年催化裂化装置
5698.9,ST010197,<p>mg/L</p>,2025-07-03 08:00:00,盐含量,延炼200万吨/年催化裂化装置
4422.7,ST010197,<p>mg/L</p>,2025-07-07 08:00:00,盐含量,延炼200万吨/年催化裂化装置
4522.6,ST010197,<p>mg/L</p>,2025-07-10 08:00:00,盐含量,延炼200万吨/年催化裂化装置
7773.4,ST010197,<p>mg/L</p>,2025-07-14 08:00:00,盐含量,延炼200万吨/年催化裂化装置
5276.4,ST010197,<p>mg/L</p>,2025-07-17 08:00:00,盐含量,延炼200万吨/年催化裂化装置
6721.6,ST010197,<p>mg/L</p>,2025-07-21 08:00:00,盐含量,延炼200万吨/年催化裂化装置
7292.1,ST010197,<p>mg/L</p>,2025-07-24 08:00:00,盐含量,延炼200万吨/年催化裂化装置
6438.8,ST010197,<p>mg/L</p>,2025-07-28 08:00:00,盐含量,延炼200万吨/年催化裂化装置
4919.3,ST010197,<p>mg/L</p>,2025-07-31 08:00:00,盐含量,延炼200万吨/年催化裂化装置
4640.4,ST010197,<p>mg/L</p>,2025-08-04 08:00:00,盐含量,延炼200万吨/年催化裂化装置
5490.2,ST010197,<p>mg/L</p>,2025-08-07 08:00:00,盐含量,延炼200万吨/年催化裂化装置
8398.1,ST010197,<p>mg/L</p>,2025-08-11 08:00:00,盐含量,延炼200万吨/年催化裂化装置
6970.6,ST010197,<p>mg/L</p>,2025-08-14 08:00:00,盐含量,延炼200万吨/年催化裂化装置
6743.2,ST010197,<p>mg/L</p>,2025-08-18 08:00:00,盐含量,延炼200万吨/年催化裂化装置
5826.4,ST010197,<p>mg/L</p>,2025-08-21 08:00:00,盐含量,延炼200万吨/年催化裂化装置
7279.6,ST010197,<p>mg/L</p>,2025-08-25 08:00:00,盐含量,延炼200万吨/年催化裂化装置
5286.4,ST010197,<p>mg/L</p>,2025-08-28 08:00:00,盐含量,延炼200万吨/年催化裂化装置
6265.9,ST010197,<p>mg/L</p>,2025-09-01 08:00:00,盐含量,延炼200万吨/年催化裂化装置
4238.8,ST010197,<p>mg/L</p>,2025-09-04 08:00:00,盐含量,延炼200万吨/年催化裂化装置
4677.2,ST010197,<p>mg/L</p>,2025-09-08 08:00:00,盐含量,延炼200万吨/年催化裂化装置
5182.8,ST010197,<p>mg/L</p>,2025-09-11 08:00:00,盐含量,延炼200万吨/年催化裂化装置
5324.8,ST010197,<p>mg/L</p>,2025-09-15 08:00:00,盐含量,延炼200万吨/年催化裂化装置
6706.1,ST010197,<p>mg/L</p>,2025-09-18 08:00:00,盐含量,延炼200万吨/年催化裂化装置
5646.2,ST010197,<p>mg/L</p>,2025-09-22 08:00:00,盐含量,延炼200万吨/年催化裂化装置
5066.7,ST010197,<p>mg/L</p>,2025-09-25 08:00:00,盐含量,延炼200万吨/年催化裂化装置
6521.2,ST010197,<p>mg/L</p>,2025-09-29 08:00:00,盐含量,延炼200万吨/年催化裂化装置
5396.5,ST010197,<p>mg/L</p>,2025-10-02 08:00:00,盐含量,延炼200万吨/年催化裂化装置
7279.6,ST010197,<p>mg/L</p>,2025-10-06 08:00:00,盐含量,延炼200万吨/年催化裂化装置
5629.2,ST010197,<p>mg/L</p>,2025-10-09 08:00:00,盐含量,延炼200万吨/年催化裂化装置
6530.4,ST010197,<p>mg/L</p>,2025-10-13 08:00:00,盐含量,延炼200万吨/年催化裂化装置
4567.8,ST010197,<p>mg/L</p>,2025-10-16 08:00:00,盐含量,延炼200万吨/年催化裂化装置
5704.7,ST010197,<p>mg/L</p>,2025-10-20 08:00:00,盐含量,延炼200万吨/年催化裂化装置
6398.8,ST010197,<p>mg/L</p>,2025-10-23 08:00:00,盐含量,延炼200万吨/年催化裂化装置
5958.8,ST010197,<p>mg/L</p>,2025-10-27 08:00:00,盐含量,延炼200万吨/年催化裂化装置
6790.6,ST010197,<p>mg/L</p>,2025-10-30 08:00:00,盐含量,延炼200万吨/年催化裂化装置
3248.9,ST010197,<p>mg/L</p>,2025-11-03 08:00:00,盐含量,延炼200万吨/年催化裂化装置
4183.6,ST010197,<p>mg/L</p>,2025-11-06 08:00:00,盐含量,延炼200万吨/年催化裂化装置
5641.7,ST010197,<p>mg/L</p>,2025-11-10 08:00:00,盐含量,延炼200万吨/年催化裂化装置
5362.6,ST010197,<p>mg/L</p>,2025-11-13 08:00:00,盐含量,延炼200万吨/年催化裂化装置
4727.6,ST010197,<p>mg/L</p>,2025-11-17 08:00:00,盐含量,延炼200万吨/年催化裂化装置
5234.5,ST010197,<p>mg/L</p>,2025-11-20 08:00:00,盐含量,延炼200万吨/年催化裂化装置
5743.2,ST010197,<p>mg/L</p>,2025-11-24 08:00:00,盐含量,延炼200万吨/年催化裂化装置
5633.0,ST010197,<p>mg/L</p>,2025-11-27 08:00:00,盐含量,延炼200万吨/年催化裂化装置
5595.7,ST010197,<p>mg/L</p>,2025-12-01 08:00:00,盐含量,延炼200万吨/年催化裂化装置
5637.8,ST010197,<p>mg/L</p>,2025-12-04 08:00:00,盐含量,延炼200万吨/年催化裂化装置
6014.8,ST010197,<p>mg/L</p>,2025-12-08 08:00:00,盐含量,延炼200万吨/年催化裂化装置
6214.1,ST010197,<p>mg/L</p>,2025-12-11 08:00:00,盐含量,延炼200万吨/年催化裂化装置
6371.8,ST010197,<p>mg/L</p>,2025-12-15 08:00:00,盐含量,延炼200万吨/年催化裂化装置
5698.9,ST010197,<p>mg/L</p>,2025-12-18 08:00:00,盐含量,延炼200万吨/年催化裂化装置
6934.0,ST010197,<p>mg/L</p>,2025-12-22 08:00:00,盐含量,延炼200万吨/年催化裂化装置
6546.8,ST010197,<p>mg/L</p>,2025-12-25 08:00:00,盐含量,延炼200万吨/年催化裂化装置
6137.0,ST010197,<p>mg/L</p>,2025-12-29 08:00:00,盐含量,延炼200万吨/年催化裂化装置
5734.6,ST010197,<p>mg/L</p>,2026-01-01 08:00:00,盐含量,延炼200万吨/年催化裂化装置
6834.4,ST010197,<p>mg/L</p>,2026-01-05 08:00:00,盐含量,延炼200万吨/年催化裂化装置
6070.9,ST010197,<p>mg/L</p>,2026-01-08 08:00:00,盐含量,延炼200万吨/年催化裂化装置
7276.3,ST010197,<p>mg/L</p>,2026-01-12 08:00:00,盐含量,延炼200万吨/年催化裂化装置
6796.9,ST010197,<p>mg/L</p>,2026-01-15 08:00:00,盐含量,延炼200万吨/年催化裂化装置
4770.3,ST010197,<p>mg/L</p>,2026-01-19 08:00:00,盐含量,延炼200万吨/年催化裂化装置
5698.9,ST010197,<p>mg/L</p>,2026-01-22 08:00:00,盐含量,延炼200万吨/年催化裂化装置
6942.2,ST010197,<p>mg/L</p>,2026-01-26 08:00:00,盐含量,延炼200万吨/年催化裂化装置
6788.1,ST010197,<p>mg/L</p>,2026-01-29 08:00:00,盐含量,延炼200万吨/年催化裂化装置
4510.9,ST010197,<p>mg/L</p>,2026-02-02 08:00:00,盐含量,延炼200万吨/年催化裂化装置
4770.3,ST010197,<p>mg/L</p>,2026-02-05 08:00:00,盐含量,延炼200万吨/年催化裂化装置
5163.3,ST010197,<p>mg/L</p>,2026-02-09 08:00:00,盐含量,延炼200万吨/年催化裂化装置
4152.5,ST010197,<p>mg/L</p>,2026-02-12 08:00:00,盐含量,延炼200万吨/年催化裂化装置
4817.1,ST010197,<p>mg/L</p>,2026-02-16 08:00:00,盐含量,延炼200万吨/年催化裂化装置
7130.1,ST010197,<p>mg/L</p>,2026-02-19 08:00:00,盐含量,延炼200万吨/年催化裂化装置
9813.2,ST010197,<p>mg/L</p>,2026-02-23 08:00:00,盐含量,延炼200万吨/年催化裂化装置
5661.4,ST010197,<p>mg/L</p>,2026-02-26 08:00:00,盐含量,延炼200万吨/年催化裂化装置
6312.9,ST010197,<p>mg/L</p>,2026-03-02 08:00:00,盐含量,延炼200万吨/年催化裂化装置
3387.4,ST010197,<p>mg/L</p>,2026-03-05 08:00:00,盐含量,延炼200万吨/年催化裂化装置
6108.5,ST010197,<p>mg/L</p>,2026-03-09 08:00:00,盐含量,延炼200万吨/年催化裂化装置
4353.3,ST010197,<p>mg/L</p>,2026-03-12 08:00:00,盐含量,延炼200万吨/年催化裂化装置
5257.5,ST010197,<p>mg/L</p>,2026-03-16 08:00:00,盐含量,延炼200万吨/年催化裂化装置
9951.1,ST010197,<p>mg/L</p>,2026-03-19 08:00:00,盐含量,延炼200万吨/年催化裂化装置
3403.0,ST010197,<p>mg/L</p>,2026-03-23 08:00:00,盐含量,延炼200万吨/年催化裂化装置
6050.1,ST010197,<p>mg/L</p>,2026-03-26 08:00:00,盐含量,延炼200万吨/年催化裂化装置
4279.3,ST010197,<p>mg/L</p>,2026-03-30 08:00:00,盐含量,延炼200万吨/年催化裂化装置
4152.0,ST010197,<p>mg/L</p>,2026-04-02 08:00:00,盐含量,延炼200万吨/年催化裂化装置
5407.3,ST010197,<p>mg/L</p>,2026-04-06 08:00:00,盐含量,延炼200万吨/年催化裂化装置
6327.1,ST010197,<p>mg/L</p>,2026-04-09 08:00:00,盐含量,延炼200万吨/年催化裂化装置
5898.0,ST010197,<p>mg/L</p>,2026-04-13 08:00:00,盐含量,延炼200万吨/年催化裂化装置
3132.2,ST010197,<p>mg/L</p>,2026-04-16 08:00:00,盐含量,延炼200万吨/年催化裂化装置
4510.9,ST010197,<p>mg/L</p>,2026-04-20 08:00:00,盐含量,延炼200万吨/年催化裂化装置
3578.8,ST010197,<p>mg/L</p>,2026-04-23 08:00:00,盐含量,延炼200万吨/年催化裂化装置
4770.3,ST010197,<p>mg/L</p>,2026-04-27 08:00:00,盐含量,延炼200万吨/年催化裂化装置
3928.8,ST010197,<p>mg/L</p>,2026-04-30 08:00:00,盐含量,延炼200万吨/年催化裂化装置
