result,sampleDotCode,unitName,sampleTime,resultName,deviceName
0.0188,ST010185,<p>%(m/m)</p>,2025-05-06 08:00:00,机械杂质,延炼200万吨/年催化裂化装置
痕迹,ST010185,质量分数 %,2025-05-06 08:00:00,水分,延炼200万吨/年催化裂化装置
215.0,ST010185,℃,2025-05-06 08:00:00,闪点(TC),延炼200万吨/年催化裂化装置
42.68,ST010185,<p>mm<sup>2</sup>/s</p>,2025-05-06 08:00:00,运动黏度(40℃),延炼200万吨/年催化裂化装置
痕迹,ST010185,质量分数 %,2025-05-07 08:00:00,水分,延炼200万吨/年催化裂化装置
0.0184,ST010185,<p>%(m/m)</p>,2025-05-07 08:00:00,机械杂质,延炼200万吨/年催化裂化装置
25.28,ST010185,<p>mm<sup>2</sup>/s</p>,2025-05-07 08:00:00,运动黏度(40℃),延炼200万吨/年催化裂化装置
225.0,ST010185,℃,2025-05-07 08:00:00,闪点(TC),延炼200万吨/年催化裂化装置
痕迹,ST010185,质量分数 %,2025-05-07 08:00:00,水分,延炼200万吨/年催化裂化装置
0.0192,ST010185,<p>%(m/m)</p>,2025-05-07 08:00:00,机械杂质,延炼200万吨/年催化裂化装置
25.07,ST010185,<p>mm<sup>2</sup>/s</p>,2025-05-07 08:00:00,运动黏度(40℃),延炼200万吨/年催化裂化装置
30.46,ST010185,<p>mm<sup>2</sup>/s</p>,2025-05-07 08:00:00,运动黏度(40℃),延炼200万吨/年催化裂化装置
224.0,ST010185,℃,2025-05-07 08:00:00,闪点(TC),延炼200万吨/年催化裂化装置
痕迹,ST010185,质量分数 %,2025-05-07 08:00:00,水分,延炼200万吨/年催化裂化装置
0.0180,ST010185,<p>%(m/m)</p>,2025-05-07 08:00:00,机械杂质,延炼200万吨/年催化裂化装置
223.0,ST010185,℃,2025-05-07 08:00:00,闪点(TC),延炼200万吨/年催化裂化装置
痕迹,ST010185,质量分数 %,2025-05-07 08:00:00,水分,延炼200万吨/年催化裂化装置
0.0184,ST010185,<p>%(m/m)</p>,2025-05-07 08:00:00,机械杂质,延炼200万吨/年催化裂化装置
43.08,ST010185,<p>mm<sup>2</sup>/s</p>,2025-05-07 08:00:00,运动黏度(40℃),延炼200万吨/年催化裂化装置
225.0,ST010185,℃,2025-05-07 08:00:00,闪点(TC),延炼200万吨/年催化裂化装置
痕迹,ST010185,质量分数 %,2025-05-07 08:00:00,水分,延炼200万吨/年催化裂化装置
0.0176,ST010185,<p>%(m/m)</p>,2025-05-07 08:00:00,机械杂质,延炼200万吨/年催化裂化装置
43.64,ST010185,<p>mm<sup>2</sup>/s</p>,2025-05-07 08:00:00,运动黏度(40℃),延炼200万吨/年催化裂化装置
223.0,ST010185,℃,2025-05-07 08:00:00,闪点(TC),延炼200万吨/年催化裂化装置
24.48,ST010185,<p>mm<sup>2</sup>/s</p>,2025-05-07 08:00:00,运动黏度(40℃),延炼200万吨/年催化裂化装置
0.0188,ST010185,<p>%(m/m)</p>,2025-05-07 08:00:00,机械杂质,延炼200万吨/年催化裂化装置
223.0,ST010185,℃,2025-05-07 08:00:00,闪点(TC),延炼200万吨/年催化裂化装置
痕迹,ST010185,质量分数 %,2025-05-07 08:00:00,水分,延炼200万吨/年催化裂化装置
0.0184,ST010185,<p>%(m/m)</p>,2025-06-09 08:00:00,机械杂质,延炼200万吨/年催化裂化装置
痕迹,ST010185,质量分数 %,2025-06-09 08:00:00,水分,延炼200万吨/年催化裂化装置
220.0,ST010185,℃,2025-06-09 08:00:00,闪点(TC),延炼200万吨/年催化裂化装置
42.78,ST010185,<p>mm<sup>2</sup>/s</p>,2025-06-09 08:00:00,运动黏度(40℃),延炼200万吨/年催化裂化装置
痕迹,ST010185,质量分数 %,2025-06-11 08:00:00,水分,延炼200万吨/年催化裂化装置
0.0196,ST010185,<p>%(m/m)</p>,2025-06-11 08:00:00,机械杂质,延炼200万吨/年催化裂化装置
24.63,ST010185,<p>mm<sup>2</sup>/s</p>,2025-06-11 08:00:00,运动黏度(40℃),延炼200万吨/年催化裂化装置
220.0,ST010185,℃,2025-06-11 08:00:00,闪点(TC),延炼200万吨/年催化裂化装置
痕迹,ST010185,质量分数 %,2025-06-11 08:00:00,水分,延炼200万吨/年催化裂化装置
0.0200,ST010185,<p>%(m/m)</p>,2025-06-11 08:00:00,机械杂质,延炼200万吨/年催化裂化装置
25.80,ST010185,<p>mm<sup>2</sup>/s</p>,2025-06-11 08:00:00,运动黏度(40℃),延炼200万吨/年催化裂化装置
228.0,ST010185,℃,2025-06-11 08:00:00,闪点(TC),延炼200万吨/年催化裂化装置
痕迹,ST010185,质量分数 %,2025-06-11 08:00:00,水分,延炼200万吨/年催化裂化装置
0.0200,ST010185,<p>%(m/m)</p>,2025-06-11 08:00:00,机械杂质,延炼200万吨/年催化裂化装置
31.18,ST010185,<p>mm<sup>2</sup>/s</p>,2025-06-11 08:00:00,运动黏度(40℃),延炼200万吨/年催化裂化装置
217.0,ST010185,℃,2025-06-11 08:00:00,闪点(TC),延炼200万吨/年催化裂化装置
痕迹,ST010185,质量分数 %,2025-06-11 08:00:00,水分,延炼200万吨/年催化裂化装置
0.0200,ST010185,<p>%(m/m)</p>,2025-06-11 08:00:00,机械杂质,延炼200万吨/年催化裂化装置
43.60,ST010185,<p>mm<sup>2</sup>/s</p>,2025-06-11 08:00:00,运动黏度(40℃),延炼200万吨/年催化裂化装置
219.0,ST010185,℃,2025-06-11 08:00:00,闪点(TC),延炼200万吨/年催化裂化装置
痕迹,ST010185,质量分数 %,2025-06-11 08:00:00,水分,延炼200万吨/年催化裂化装置
0.0188,ST010185,<p>%(m/m)</p>,2025-06-11 08:00:00,机械杂质,延炼200万吨/年催化裂化装置
44.09,ST010185,<p>mm<sup>2</sup>/s</p>,2025-06-11 08:00:00,运动黏度(40℃),延炼200万吨/年催化裂化装置
230.0,ST010185,℃,2025-06-11 08:00:00,闪点(TC),延炼200万吨/年催化裂化装置
25.55,ST010185,<p>mm<sup>2</sup>/s</p>,2025-06-11 08:00:00,运动黏度(40℃),延炼200万吨/年催化裂化装置
0.0168,ST010185,<p>%(m/m)</p>,2025-06-11 08:00:00,机械杂质,延炼200万吨/年催化裂化装置
225.0,ST010185,℃,2025-06-11 08:00:00,闪点(TC),延炼200万吨/年催化裂化装置
痕迹,ST010185,质量分数 %,2025-06-11 08:00:00,水分,延炼200万吨/年催化裂化装置
0.0192,ST010185,<p>%(m/m)</p>,2025-07-07 08:00:00,机械杂质,延炼200万吨/年催化裂化装置
痕迹,ST010185,质量分数 %,2025-07-07 08:00:00,水分,延炼200万吨/年催化裂化装置
218.0,ST010185,℃,2025-07-07 08:00:00,闪点(TC),延炼200万吨/年催化裂化装置
43.21,ST010185,<p>mm<sup>2</sup>/s</p>,2025-07-07 08:00:00,运动黏度(40℃),延炼200万吨/年催化裂化装置
痕迹,ST010185,质量分数 %,2025-07-15 08:00:00,水分,延炼200万吨/年催化裂化装置
0.0156,ST010185,<p>%(m/m)</p>,2025-07-15 08:00:00,机械杂质,延炼200万吨/年催化裂化装置
24.76,ST010185,<p>mm<sup>2</sup>/s</p>,2025-07-15 08:00:00,运动黏度(40℃),延炼200万吨/年催化裂化装置
218.0,ST010185,℃,2025-07-15 08:00:00,闪点(TC),延炼200万吨/年催化裂化装置
痕迹,ST010185,质量分数 %,2025-07-15 08:00:00,水分,延炼200万吨/年催化裂化装置
0.0184,ST010185,<p>%(m/m)</p>,2025-07-15 08:00:00,机械杂质,延炼200万吨/年催化裂化装置
23.75,ST010185,<p>mm<sup>2</sup>/s</p>,2025-07-15 08:00:00,运动黏度(40℃),延炼200万吨/年催化裂化装置
226.0,ST010185,℃,2025-07-15 08:00:00,闪点(TC),延炼200万吨/年催化裂化装置
痕迹,ST010185,质量分数 %,2025-07-15 08:00:00,水分,延炼200万吨/年催化裂化装置
0.0192,ST010185,<p>%(m/m)</p>,2025-07-15 08:00:00,机械杂质,延炼200万吨/年催化裂化装置
31.10,ST010185,<p>mm<sup>2</sup>/s</p>,2025-07-15 08:00:00,运动黏度(40℃),延炼200万吨/年催化裂化装置
220.0,ST010185,℃,2025-07-15 08:00:00,闪点(TC),延炼200万吨/年催化裂化装置
痕迹,ST010185,质量分数 %,2025-07-15 08:00:00,水分,延炼200万吨/年催化裂化装置
0.0188,ST010185,<p>%(m/m)</p>,2025-07-15 08:00:00,机械杂质,延炼200万吨/年催化裂化装置
42.79,ST010185,<p>mm<sup>2</sup>/s</p>,2025-07-15 08:00:00,运动黏度(40℃),延炼200万吨/年催化裂化装置
221.0,ST010185,℃,2025-07-15 08:00:00,闪点(TC),延炼200万吨/年催化裂化装置
痕迹,ST010185,质量分数 %,2025-07-15 08:00:00,水分,延炼200万吨/年催化裂化装置
0.0200,ST010185,<p>%(m/m)</p>,2025-07-15 08:00:00,机械杂质,延炼200万吨/年催化裂化装置
43.39,ST010185,<p>mm<sup>2</sup>/s</p>,2025-07-15 08:00:00,运动黏度(40℃),延炼200万吨/年催化裂化装置
226.0,ST010185,℃,2025-07-15 08:00:00,闪点(TC),延炼200万吨/年催化裂化装置
痕迹,ST010185,质量分数 %,2025-07-15 08:00:00,水分,延炼200万吨/年催化裂化装置
