result,sampleDotCode,unitName,sampleTime,resultName,deviceName
0.0180,ST010187,<p>%(m/m)</p>,2025-05-06 08:00:00,机械杂质,延炼200万吨/年催化裂化装置
痕迹,ST010187,质量分数 %,2025-05-06 08:00:00,水分,延炼200万吨/年催化裂化装置
214.0,ST010187,℃,2025-05-06 08:00:00,闪点(TC),延炼200万吨/年催化裂化装置
29.98,ST010187,<p>mm<sup>2</sup>/s</p>,2025-05-06 08:00:00,运动黏度(40℃),延炼200万吨/年催化裂化装置
220.0,ST010187,℃,2025-06-09 08:00:00,闪点(TC),延炼200万吨/年催化裂化装置
痕迹,ST010187,质量分数 %,2025-06-09 08:00:00,水分,延炼200万吨/年催化裂化装置
0.0184,ST010187,<p>%(m/m)</p>,2025-06-09 08:00:00,机械杂质,延炼200万吨/年催化裂化装置
30.46,ST010187,<p>mm<sup>2</sup>/s</p>,2025-06-09 08:00:00,运动黏度(40℃),延炼200万吨/年催化裂化装置
219.0,ST010187,℃,2025-07-07 08:00:00,闪点(TC),延炼200万吨/年催化裂化装置
痕迹,ST010187,质量分数 %,2025-07-07 08:00:00,水分,延炼200万吨/年催化裂化装置
30.12,ST010187,<p>mm<sup>2</sup>/s</p>,2025-07-07 08:00:00,运动黏度(40℃),延炼200万吨/年催化裂化装置
0.0192,ST010187,<p>%(m/m)</p>,2025-07-07 08:00:00,机械杂质,延炼200万吨/年催化裂化装置
223.0,ST010187,℃,2025-08-04 08:00:00,闪点(TC),延炼200万吨/年催化裂化装置
痕迹,ST010187,质量分数 %,2025-08-04 08:00:00,水分,延炼200万吨/年催化裂化装置
0.0196,ST010187,<p>%(m/m)</p>,2025-08-04 08:00:00,机械杂质,延炼200万吨/年催化裂化装置
30.79,ST010187,<p>mm<sup>2</sup>/s</p>,2025-08-04 08:00:00,运动黏度(40℃),延炼200万吨/年催化裂化装置
224.0,ST010187,℃,2025-09-02 08:00:00,闪点(TC),延炼200万吨/年催化裂化装置
0.0188,ST010187,<p>%(m/m)</p>,2025-09-02 08:00:00,机械杂质,延炼200万吨/年催化裂化装置
痕迹,ST010187,质量分数 %,2025-09-02 08:00:00,水分,延炼200万吨/年催化裂化装置
30.86,ST010187,<p>mm<sup>2</sup>/s</p>,2025-09-02 08:00:00,运动黏度(40℃),延炼200万吨/年催化裂化装置
0.0195,ST010187,<p>%(m/m)</p>,2025-10-10 08:00:00,机械杂质,延炼200万吨/年催化裂化装置
痕迹,ST010187,质量分数 %,2025-10-10 08:00:00,水分,延炼200万吨/年催化裂化装置
226.0,ST010187,℃,2025-10-10 08:00:00,闪点(TC),延炼200万吨/年催化裂化装置
31.02,ST010187,<p>mm<sup>2</sup>/s</p>,2025-10-10 08:00:00,运动黏度(40℃),延炼200万吨/年催化裂化装置
0.0186,ST010187,<p>%(m/m)</p>,2025-11-03 09:12:00,机械杂质,延炼200万吨/年催化裂化装置
痕迹,ST010187,质量分数 %,2025-11-03 09:12:00,水分,延炼200万吨/年催化裂化装置
224.0,ST010187,℃,2025-11-03 09:12:00,闪点(TC),延炼200万吨/年催化裂化装置
31.29,ST010187,<p>mm<sup>2</sup>/s</p>,2025-11-03 09:12:00,运动黏度(40℃),延炼200万吨/年催化裂化装置
227.0,ST010187,℃,2025-12-08 08:00:00,闪点(TC),延炼200万吨/年催化裂化装置
痕迹,ST010187,质量分数 %,2025-12-08 08:00:00,水分,延炼200万吨/年催化裂化装置
0.0187,ST010187,<p>%(m/m)</p>,2025-12-08 08:00:00,机械杂质,延炼200万吨/年催化裂化装置
30.68,ST010187,<p>mm<sup>2</sup>/s</p>,2025-12-08 08:00:00,运动黏度(40℃),延炼200万吨/年催化裂化装置
0.0187,ST010187,<p>%(m/m)</p>,2026-01-08 08:00:00,机械杂质,延炼200万吨/年催化裂化装置
痕迹,ST010187,质量分数 %,2026-01-08 08:00:00,水分,延炼200万吨/年催化裂化装置
225.0,ST010187,℃,2026-01-08 08:00:00,闪点(TC),延炼200万吨/年催化裂化装置
31.51,ST010187,<p>mm<sup>2</sup>/s</p>,2026-01-08 08:00:00,运动黏度(40℃),延炼200万吨/年催化裂化装置
224.0,ST010187,℃,2026-02-05 08:00:00,闪点(TC),延炼200万吨/年催化裂化装置
痕迹,ST010187,质量分数 %,2026-02-05 08:00:00,水分,延炼200万吨/年催化裂化装置
0.0188,ST010187,<p>%(m/m)</p>,2026-02-05 08:00:00,机械杂质,延炼200万吨/年催化裂化装置
30.87,ST010187,<p>mm<sup>2</sup>/s</p>,2026-02-05 08:00:00,运动黏度(40℃),延炼200万吨/年催化裂化装置
224.0,ST010187,℃,2026-03-06 08:00:00,闪点(TC),延炼200万吨/年催化裂化装置
痕迹,ST010187,质量分数 %,2026-03-06 08:00:00,水分,延炼200万吨/年催化裂化装置
33.01,ST010187,<p>mm<sup>2</sup>/s</p>,2026-03-06 08:00:00,运动黏度(40℃),延炼200万吨/年催化裂化装置
0.0178,ST010187,<p>%(m/m)</p>,2026-03-06 08:00:00,机械杂质,延炼200万吨/年催化裂化装置
226.0,ST010187,℃,2026-04-07 08:00:00,闪点(TC),延炼200万吨/年催化裂化装置
0.0189,ST010187,<p>%(m/m)</p>,2026-04-07 08:00:00,机械杂质,延炼200万吨/年催化裂化装置
痕迹,ST010187,质量分数 %,2026-04-07 08:00:00,水分,延炼200万吨/年催化裂化装置
31.00,ST010187,<p>mm<sup>2</sup>/s</p>,2026-04-07 08:00:00,运动黏度(40℃),延炼200万吨/年催化裂化装置
