result,sampleDotCode,unitName,sampleTime,resultName,deviceName
19.5,ST010174,体积分数 %,2025-05-01 08:00:00,∅（＞110μm）,延炼200万吨/年催化裂化装置
60.4,ST010174,体积分数 %,2025-05-01 08:00:00,∅（45.8～110μm）,延炼200万吨/年催化裂化装置
20.1,ST010174,体积分数 %,2025-05-01 08:00:00,∅（≤45.8μm）,延炼200万吨/年催化裂化装置
62,ST010174,,2025-05-01 08:00:00,裂化活性指数,延炼200万吨/年催化裂化装置
114.0,ST010174,<p>m<sup>2</sup>/g</p>,2025-05-01 08:00:00,催化剂表面积(SBET),延炼200万吨/年催化裂化装置
0.08,ST010174,质量分数 %,2025-05-01 08:00:00,含碳量,延炼200万吨/年催化裂化装置
14.9,ST010174,体积分数 %,2025-05-05 08:00:00,∅（＞110μm）,延炼200万吨/年催化裂化装置
62.9,ST010174,体积分数 %,2025-05-05 08:00:00,∅（45.8～110μm）,延炼200万吨/年催化裂化装置
22.2,ST010174,体积分数 %,2025-05-05 08:00:00,∅（≤45.8μm）,延炼200万吨/年催化裂化装置
111.3,ST010174,<p>m<sup>2</sup>/g</p>,2025-05-05 08:00:00,催化剂表面积(SBET),延炼200万吨/年催化裂化装置
62,ST010174,,2025-05-05 08:00:00,裂化活性指数,延炼200万吨/年催化裂化装置
0.06,ST010174,质量分数 %,2025-05-05 08:00:00,含碳量,延炼200万吨/年催化裂化装置
62,ST010174,,2025-05-08 08:00:00,裂化活性指数,延炼200万吨/年催化裂化装置
118.9,ST010174,<p>m<sup>2</sup>/g</p>,2025-05-08 08:00:00,催化剂表面积(SBET),延炼200万吨/年催化裂化装置
27.0,ST010174,体积分数 %,2025-05-08 08:00:00,∅（≤45.8μm）,延炼200万吨/年催化裂化装置
61.8,ST010174,体积分数 %,2025-05-08 08:00:00,∅（45.8～110μm）,延炼200万吨/年催化裂化装置
11.2,ST010174,体积分数 %,2025-05-08 08:00:00,∅（＞110μm）,延炼200万吨/年催化裂化装置
0.06,ST010174,质量分数 %,2025-05-08 08:00:00,含碳量,延炼200万吨/年催化裂化装置
62,ST010174,,2025-05-12 08:00:00,裂化活性指数,延炼200万吨/年催化裂化装置
114.8,ST010174,<p>m<sup>2</sup>/g</p>,2025-05-12 08:00:00,催化剂表面积(SBET),延炼200万吨/年催化裂化装置
21.2,ST010174,体积分数 %,2025-05-12 08:00:00,∅（≤45.8μm）,延炼200万吨/年催化裂化装置
60.7,ST010174,体积分数 %,2025-05-12 08:00:00,∅（45.8～110μm）,延炼200万吨/年催化裂化装置
18.1,ST010174,体积分数 %,2025-05-12 08:00:00,∅（＞110μm）,延炼200万吨/年催化裂化装置
0.06,ST010174,质量分数 %,2025-05-12 08:00:00,含碳量,延炼200万吨/年催化裂化装置
112.2,ST010174,<p>m<sup>2</sup>/g</p>,2025-05-15 08:00:00,催化剂表面积(SBET),延炼200万吨/年催化裂化装置
63,ST010174,,2025-05-15 08:00:00,裂化活性指数,延炼200万吨/年催化裂化装置
24.4,ST010174,体积分数 %,2025-05-15 08:00:00,∅（≤45.8μm）,延炼200万吨/年催化裂化装置
0.08,ST010174,质量分数 %,2025-05-15 08:00:00,含碳量,延炼200万吨/年催化裂化装置
14.9,ST010174,体积分数 %,2025-05-15 08:00:00,∅（＞110μm）,延炼200万吨/年催化裂化装置
60.8,ST010174,体积分数 %,2025-05-15 08:00:00,∅（45.8～110μm）,延炼200万吨/年催化裂化装置
14.4,ST010174,体积分数 %,2025-05-19 08:00:00,∅（＞110μm）,延炼200万吨/年催化裂化装置
60.9,ST010174,体积分数 %,2025-05-19 08:00:00,∅（45.8～110μm）,延炼200万吨/年催化裂化装置
24.6,ST010174,体积分数 %,2025-05-19 08:00:00,∅（≤45.8μm）,延炼200万吨/年催化裂化装置
114.8,ST010174,<p>m<sup>2</sup>/g</p>,2025-05-19 08:00:00,催化剂表面积(SBET),延炼200万吨/年催化裂化装置
63,ST010174,,2025-05-19 08:00:00,裂化活性指数,延炼200万吨/年催化裂化装置
0.08,ST010174,质量分数 %,2025-05-19 08:00:00,含碳量,延炼200万吨/年催化裂化装置
16.9,ST010174,体积分数 %,2025-05-22 08:00:00,∅（＞110μm）,延炼200万吨/年催化裂化装置
61.9,ST010174,体积分数 %,2025-05-22 08:00:00,∅（45.8～110μm）,延炼200万吨/年催化裂化装置
21.2,ST010174,体积分数 %,2025-05-22 08:00:00,∅（≤45.8μm）,延炼200万吨/年催化裂化装置
115.7,ST010174,<p>m<sup>2</sup>/g</p>,2025-05-22 08:00:00,催化剂表面积(SBET),延炼200万吨/年催化裂化装置
62,ST010174,,2025-05-22 08:00:00,裂化活性指数,延炼200万吨/年催化裂化装置
0.06,ST010174,质量分数 %,2025-05-22 08:00:00,含碳量,延炼200万吨/年催化裂化装置
62,ST010174,,2025-05-26 08:00:00,裂化活性指数,延炼200万吨/年催化裂化装置
115.2,ST010174,<p>m<sup>2</sup>/g</p>,2025-05-26 08:00:00,催化剂表面积(SBET),延炼200万吨/年催化裂化装置
19.4,ST010174,体积分数 %,2025-05-26 08:00:00,∅（≤45.8μm）,延炼200万吨/年催化裂化装置
61.5,ST010174,体积分数 %,2025-05-26 08:00:00,∅（45.8～110μm）,延炼200万吨/年催化裂化装置
19.1,ST010174,体积分数 %,2025-05-26 08:00:00,∅（＞110μm）,延炼200万吨/年催化裂化装置
0.06,ST010174,质量分数 %,2025-05-26 08:00:00,含碳量,延炼200万吨/年催化裂化装置
18.7,ST010174,体积分数 %,2025-05-29 08:00:00,∅（≤45.8μm）,延炼200万吨/年催化裂化装置
63.4,ST010174,体积分数 %,2025-05-29 08:00:00,∅（45.8～110μm）,延炼200万吨/年催化裂化装置
63,ST010174,,2025-05-29 08:00:00,裂化活性指数,延炼200万吨/年催化裂化装置
0.08,ST010174,质量分数 %,2025-05-29 08:00:00,含碳量,延炼200万吨/年催化裂化装置
17.9,ST010174,体积分数 %,2025-05-29 08:00:00,∅（＞110μm）,延炼200万吨/年催化裂化装置
118.3,ST010174,<p>m<sup>2</sup>/g</p>,2025-05-29 08:00:00,催化剂表面积(SBET),延炼200万吨/年催化裂化装置
19.3,ST010174,体积分数 %,2025-06-02 08:00:00,∅（＞110μm）,延炼200万吨/年催化裂化装置
65.5,ST010174,体积分数 %,2025-06-02 08:00:00,∅（45.8～110μm）,延炼200万吨/年催化裂化装置
15.2,ST010174,体积分数 %,2025-06-02 08:00:00,∅（≤45.8μm）,延炼200万吨/年催化裂化装置
63,ST010174,,2025-06-02 08:00:00,裂化活性指数,延炼200万吨/年催化裂化装置
116.8,ST010174,<p>m<sup>2</sup>/g</p>,2025-06-02 08:00:00,催化剂表面积(SBET),延炼200万吨/年催化裂化装置
0.07,ST010174,质量分数 %,2025-06-02 08:00:00,含碳量,延炼200万吨/年催化裂化装置
15.4,ST010174,体积分数 %,2025-06-05 08:00:00,∅（＞110μm）,延炼200万吨/年催化裂化装置
63.8,ST010174,体积分数 %,2025-06-05 08:00:00,∅（45.8～110μm）,延炼200万吨/年催化裂化装置
20.8,ST010174,体积分数 %,2025-06-05 08:00:00,∅（≤45.8μm）,延炼200万吨/年催化裂化装置
114.6,ST010174,<p>m<sup>2</sup>/g</p>,2025-06-05 08:00:00,催化剂表面积(SBET),延炼200万吨/年催化裂化装置
63,ST010174,,2025-06-05 08:00:00,裂化活性指数,延炼200万吨/年催化裂化装置
0.06,ST010174,质量分数 %,2025-06-05 08:00:00,含碳量,延炼200万吨/年催化裂化装置
62,ST010174,,2025-06-09 08:00:00,裂化活性指数,延炼200万吨/年催化裂化装置
102.3,ST010174,<p>m<sup>2</sup>/g</p>,2025-06-09 08:00:00,催化剂表面积(SBET),延炼200万吨/年催化裂化装置
22.9,ST010174,体积分数 %,2025-06-09 08:00:00,∅（≤45.8μm）,延炼200万吨/年催化裂化装置
62.5,ST010174,体积分数 %,2025-06-09 08:00:00,∅（45.8～110μm）,延炼200万吨/年催化裂化装置
14.6,ST010174,体积分数 %,2025-06-09 08:00:00,∅（＞110μm）,延炼200万吨/年催化裂化装置
0.07,ST010174,质量分数 %,2025-06-09 08:00:00,含碳量,延炼200万吨/年催化裂化装置
63,ST010174,,2025-06-12 08:00:00,裂化活性指数,延炼200万吨/年催化裂化装置
100.6,ST010174,<p>m<sup>2</sup>/g</p>,2025-06-12 08:00:00,催化剂表面积(SBET),延炼200万吨/年催化裂化装置
22.4,ST010174,体积分数 %,2025-06-12 08:00:00,∅（≤45.8μm）,延炼200万吨/年催化裂化装置
65.4,ST010174,体积分数 %,2025-06-12 08:00:00,∅（45.8～110μm）,延炼200万吨/年催化裂化装置
12.2,ST010174,体积分数 %,2025-06-12 08:00:00,∅（＞110μm）,延炼200万吨/年催化裂化装置
0.06,ST010174,质量分数 %,2025-06-12 08:00:00,含碳量,延炼200万吨/年催化裂化装置
109.2,ST010174,<p>m<sup>2</sup>/g</p>,2025-06-16 08:00:00,催化剂表面积(SBET),延炼200万吨/年催化裂化装置
63,ST010174,,2025-06-16 08:00:00,裂化活性指数,延炼200万吨/年催化裂化装置
22.5,ST010174,体积分数 %,2025-06-16 08:00:00,∅（≤45.8μm）,延炼200万吨/年催化裂化装置
0.08,ST010174,质量分数 %,2025-06-16 08:00:00,含碳量,延炼200万吨/年催化裂化装置
15.2,ST010174,体积分数 %,2025-06-16 08:00:00,∅（＞110μm）,延炼200万吨/年催化裂化装置
62.4,ST010174,体积分数 %,2025-06-16 08:00:00,∅（45.8～110μm）,延炼200万吨/年催化裂化装置
12.8,ST010174,体积分数 %,2025-06-19 08:00:00,∅（＞110μm）,延炼200万吨/年催化裂化装置
61.0,ST010174,体积分数 %,2025-06-19 08:00:00,∅（45.8～110μm）,延炼200万吨/年催化裂化装置
26.2,ST010174,体积分数 %,2025-06-19 08:00:00,∅（≤45.8μm）,延炼200万吨/年催化裂化装置
98.8,ST010174,<p>m<sup>2</sup>/g</p>,2025-06-19 08:00:00,催化剂表面积(SBET),延炼200万吨/年催化裂化装置
63,ST010174,,2025-06-19 08:00:00,裂化活性指数,延炼200万吨/年催化裂化装置
0.08,ST010174,质量分数 %,2025-06-19 08:00:00,含碳量,延炼200万吨/年催化裂化装置
16.1,ST010174,体积分数 %,2025-06-23 08:00:00,∅（＞110μm）,延炼200万吨/年催化裂化装置
64.8,ST010174,体积分数 %,2025-06-23 08:00:00,∅（45.8～110μm）,延炼200万吨/年催化裂化装置
19.1,ST010174,体积分数 %,2025-06-23 08:00:00,∅（≤45.8μm）,延炼200万吨/年催化裂化装置
111.6,ST010174,<p>m<sup>2</sup>/g</p>,2025-06-23 08:00:00,催化剂表面积(SBET),延炼200万吨/年催化裂化装置
63,ST010174,,2025-06-23 08:00:00,裂化活性指数,延炼200万吨/年催化裂化装置
0.08,ST010174,质量分数 %,2025-06-23 08:00:00,含碳量,延炼200万吨/年催化裂化装置
62,ST010174,,2025-06-26 08:00:00,裂化活性指数,延炼200万吨/年催化裂化装置
101.9,ST010174,<p>m<sup>2</sup>/g</p>,2025-06-26 08:00:00,催化剂表面积(SBET),延炼200万吨/年催化裂化装置
23.7,ST010174,体积分数 %,2025-06-26 08:00:00,∅（≤45.8μm）,延炼200万吨/年催化裂化装置
62.1,ST010174,体积分数 %,2025-06-26 08:00:00,∅（45.8～110μm）,延炼200万吨/年催化裂化装置
14.2,ST010174,体积分数 %,2025-06-26 08:00:00,∅（＞110μm）,延炼200万吨/年催化裂化装置
0.06,ST010174,质量分数 %,2025-06-26 08:00:00,含碳量,延炼200万吨/年催化裂化装置
106.2,ST010174,<p>m<sup>2</sup>/g</p>,2025-06-30 08:00:00,催化剂表面积(SBET),延炼200万吨/年催化裂化装置
22.5,ST010174,体积分数 %,2025-06-30 08:00:00,∅（≤45.8μm）,延炼200万吨/年催化裂化装置
14.6,ST010174,体积分数 %,2025-06-30 08:00:00,∅（＞110μm）,延炼200万吨/年催化裂化装置
62.8,ST010174,体积分数 %,2025-06-30 08:00:00,∅（45.8～110μm）,延炼200万吨/年催化裂化装置
