result,sampleDotCode,unitName,sampleTime,resultName,deviceName
970.2,ST010173,<p>kg/m<sup>3</sup></p>,2025-05-13 08:00:00,密度(20℃),延炼200万吨/年催化裂化装置
7.0,ST010173,mL,2025-05-13 08:00:00,t350温度下观察到的回收体积,延炼200万吨/年催化裂化装置
1.5,ST010173,mL,2025-05-13 08:00:00,t300温度下观察到的回收体积,延炼200万吨/年催化裂化装置
/,ST010173,mL,2025-05-13 08:00:00,t200温度下观察到的回收体积,延炼200万吨/年催化裂化装置
/,ST010173,mL,2025-05-13 08:00:00,t180温度下观察到的回收体积,延炼200万吨/年催化裂化装置
/,ST010173,mL,2025-05-13 08:00:00,t100温度下观察到的回收体积,延炼200万吨/年催化裂化装置
/,ST010173,℃,2025-05-13 08:00:00,40%回收校正值(T40%),延炼200万吨/年催化裂化装置
/,ST010173,℃,2025-05-13 08:00:00,10%回收校正值(T10%),延炼200万吨/年催化裂化装置
233,ST010173,℃,2025-05-13 08:00:00,初馏点校正值(TIBP),延炼200万吨/年催化裂化装置
/,ST010173,℃,2025-05-13 08:00:00,5%回收校正值(5%),延炼200万吨/年催化裂化装置
/,ST010173,℃,2025-05-13 08:00:00,20%回收校正值(T20%),延炼200万吨/年催化裂化装置
/,ST010173,℃,2025-05-13 08:00:00,30%回收校正值(T30%),延炼200万吨/年催化裂化装置
/,ST010173,℃,2025-05-13 08:00:00,50%回收校正值(T50%),延炼200万吨/年催化裂化装置
980.1,ST010173,<p>kg/m<sup>3</sup></p>,2025-06-10 08:00:00,密度(20℃),延炼200万吨/年催化裂化装置
7.5,ST010173,mL,2025-06-10 08:00:00,t350温度下观察到的回收体积,延炼200万吨/年催化裂化装置
1.0,ST010173,mL,2025-06-10 08:00:00,t300温度下观察到的回收体积,延炼200万吨/年催化裂化装置
/,ST010173,mL,2025-06-10 08:00:00,t200温度下观察到的回收体积,延炼200万吨/年催化裂化装置
/,ST010173,mL,2025-06-10 08:00:00,t180温度下观察到的回收体积,延炼200万吨/年催化裂化装置
/,ST010173,mL,2025-06-10 08:00:00,t100温度下观察到的回收体积,延炼200万吨/年催化裂化装置
/,ST010173,℃,2025-06-10 08:00:00,40%回收校正值(T40%),延炼200万吨/年催化裂化装置
/,ST010173,℃,2025-06-10 08:00:00,10%回收校正值(T10%),延炼200万吨/年催化裂化装置
231,ST010173,℃,2025-06-10 08:00:00,初馏点校正值(TIBP),延炼200万吨/年催化裂化装置
/,ST010173,℃,2025-06-10 08:00:00,5%回收校正值(5%),延炼200万吨/年催化裂化装置
/,ST010173,℃,2025-06-10 08:00:00,20%回收校正值(T20%),延炼200万吨/年催化裂化装置
/,ST010173,℃,2025-06-10 08:00:00,30%回收校正值(T30%),延炼200万吨/年催化裂化装置
/,ST010173,℃,2025-06-10 08:00:00,50%回收校正值(T50%),延炼200万吨/年催化裂化装置
979.4,ST010173,<p>kg/m<sup>3</sup></p>,2025-07-08 08:00:00,密度(20℃),延炼200万吨/年催化裂化装置
7.5,ST010173,mL,2025-07-08 08:00:00,t350温度下观察到的回收体积,延炼200万吨/年催化裂化装置
1.0,ST010173,mL,2025-07-08 08:00:00,t300温度下观察到的回收体积,延炼200万吨/年催化裂化装置
/,ST010173,mL,2025-07-08 08:00:00,t200温度下观察到的回收体积,延炼200万吨/年催化裂化装置
/,ST010173,mL,2025-07-08 08:00:00,t180温度下观察到的回收体积,延炼200万吨/年催化裂化装置
/,ST010173,mL,2025-07-08 08:00:00,t100温度下观察到的回收体积,延炼200万吨/年催化裂化装置
