result,sampleDotCode,unitName,sampleTime,resultName,deviceName
1.35,ST010181,%（v/v) ,2025-05-01 08:00:00,氧气,延炼200万吨/年催化裂化装置
1.98,ST010181,%（v/v) ,2025-05-01 08:00:00,二氧化碳,延炼200万吨/年催化裂化装置
0.84,ST010181,%（v/v) ,2025-05-01 08:00:00,一氧化碳,延炼200万吨/年催化裂化装置
7.87,ST010181,%（v/v) ,2025-05-01 08:00:00,氢气,延炼200万吨/年催化裂化装置
15.92,ST010181,%（v/v) ,2025-05-01 08:00:00,甲烷,延炼200万吨/年催化裂化装置
9.88,ST010181,%（v/v) ,2025-05-01 08:00:00,乙烷,延炼200万吨/年催化裂化装置
7.26,ST010181,%（v/v) ,2025-05-01 08:00:00,乙烯,延炼200万吨/年催化裂化装置
7.35,ST010181,%（v/v) ,2025-05-01 08:00:00,丙烷,延炼200万吨/年催化裂化装置
31.54,ST010181,%（v/v) ,2025-05-01 08:00:00,丙烯,延炼200万吨/年催化裂化装置
0.06,ST010181,%（v/v) ,2025-05-01 08:00:00,碳五,延炼200万吨/年催化裂化装置
2.52,ST010181,%（v/v) ,2025-05-01 08:00:00,C4合计,延炼200万吨/年催化裂化装置
0.31,ST010181,%（v/v) ,2025-05-01 08:00:00,异丁烯,延炼200万吨/年催化裂化装置
0.25,ST010181,%（v/v) ,2025-05-01 08:00:00,正丁烯,延炼200万吨/年催化裂化装置
0.22,ST010181,%（v/v) ,2025-05-01 08:00:00,反丁烯,延炼200万吨/年催化裂化装置
0.13,ST010181,%（v/v) ,2025-05-01 08:00:00,顺丁烯,延炼200万吨/年催化裂化装置
0.20,ST010181,%（v/v) ,2025-05-01 08:00:00,正丁烷,延炼200万吨/年催化裂化装置
1.41,ST010181,%（v/v) ,2025-05-01 08:00:00,异丁烷,延炼200万吨/年催化裂化装置
4000.0,ST010181,<p>mg/kg</p>,2025-05-01 08:00:00,硫化氢,延炼200万吨/年催化裂化装置
13.42,ST010181,%（v/v) ,2025-05-01 08:00:00,氮气,延炼200万吨/年催化裂化装置
1.62,ST010181,%（v/v) ,2025-06-01 08:00:00,二氧化碳,延炼200万吨/年催化裂化装置
6000.0,ST010181,<p>mg/kg</p>,2025-06-01 08:00:00,硫化氢,延炼200万吨/年催化裂化装置
12.70,ST010181,%（v/v) ,2025-06-01 08:00:00,氮气,延炼200万吨/年催化裂化装置
0.72,ST010181,%（v/v) ,2025-06-01 08:00:00,一氧化碳,延炼200万吨/年催化裂化装置
6.24,ST010181,%（v/v) ,2025-06-01 08:00:00,氢气,延炼200万吨/年催化裂化装置
11.89,ST010181,%（v/v) ,2025-06-01 08:00:00,甲烷,延炼200万吨/年催化裂化装置
8.44,ST010181,%（v/v) ,2025-06-01 08:00:00,乙烷,延炼200万吨/年催化裂化装置
6.76,ST010181,%（v/v) ,2025-06-01 08:00:00,乙烯,延炼200万吨/年催化裂化装置
7.90,ST010181,%（v/v) ,2025-06-01 08:00:00,丙烷,延炼200万吨/年催化裂化装置
37.36,ST010181,%（v/v) ,2025-06-01 08:00:00,丙烯,延炼200万吨/年催化裂化装置
0.47,ST010181,%（v/v) ,2025-06-01 08:00:00,碳五,延炼200万吨/年催化裂化装置
4.35,ST010181,%（v/v) ,2025-06-01 08:00:00,C4合计,延炼200万吨/年催化裂化装置
0.56,ST010181,%（v/v) ,2025-06-01 08:00:00,异丁烯,延炼200万吨/年催化裂化装置
0.46,ST010181,%（v/v) ,2025-06-01 08:00:00,正丁烯,延炼200万吨/年催化裂化装置
0.48,ST010181,%（v/v) ,2025-06-01 08:00:00,反丁烯,延炼200万吨/年催化裂化装置
0.32,ST010181,%（v/v) ,2025-06-01 08:00:00,顺丁烯,延炼200万吨/年催化裂化装置
0.43,ST010181,%（v/v) ,2025-06-01 08:00:00,正丁烷,延炼200万吨/年催化裂化装置
2.09,ST010181,%（v/v) ,2025-06-01 08:00:00,异丁烷,延炼200万吨/年催化裂化装置
1.55,ST010181,%（v/v) ,2025-06-01 08:00:00,氧气,延炼200万吨/年催化裂化装置
1.52,ST010181,%（v/v) ,2025-07-01 08:00:00,二氧化碳,延炼200万吨/年催化裂化装置
8000.0,ST010181,<p>mg/kg</p>,2025-07-01 08:00:00,硫化氢,延炼200万吨/年催化裂化装置
11.18,ST010181,%（v/v) ,2025-07-01 08:00:00,氮气,延炼200万吨/年催化裂化装置
0.26,ST010181,%（v/v) ,2025-07-01 08:00:00,一氧化碳,延炼200万吨/年催化裂化装置
5.62,ST010181,%（v/v) ,2025-07-01 08:00:00,氢气,延炼200万吨/年催化裂化装置
11.07,ST010181,%（v/v) ,2025-07-01 08:00:00,甲烷,延炼200万吨/年催化裂化装置
9.54,ST010181,%（v/v) ,2025-07-01 08:00:00,乙烷,延炼200万吨/年催化裂化装置
7.47,ST010181,%（v/v) ,2025-07-01 08:00:00,乙烯,延炼200万吨/年催化裂化装置
8.38,ST010181,%（v/v) ,2025-07-01 08:00:00,丙烷,延炼200万吨/年催化裂化装置
37.97,ST010181,%（v/v) ,2025-07-01 08:00:00,丙烯,延炼200万吨/年催化裂化装置
0.52,ST010181,%（v/v) ,2025-07-01 08:00:00,碳五,延炼200万吨/年催化裂化装置
5.17,ST010181,%（v/v) ,2025-07-01 08:00:00,C4合计,延炼200万吨/年催化裂化装置
0.67,ST010181,%（v/v) ,2025-07-01 08:00:00,异丁烯,延炼200万吨/年催化裂化装置
0.56,ST010181,%（v/v) ,2025-07-01 08:00:00,正丁烯,延炼200万吨/年催化裂化装置
0.57,ST010181,%（v/v) ,2025-07-01 08:00:00,反丁烯,延炼200万吨/年催化裂化装置
0.38,ST010181,%（v/v) ,2025-07-01 08:00:00,顺丁烯,延炼200万吨/年催化裂化装置
0.50,ST010181,%（v/v) ,2025-07-01 08:00:00,正丁烷,延炼200万吨/年催化裂化装置
2.49,ST010181,%（v/v) ,2025-07-01 08:00:00,异丁烷,延炼200万吨/年催化裂化装置
1.29,ST010181,%（v/v) ,2025-07-01 08:00:00,氧气,延炼200万吨/年催化裂化装置
21000.0,ST010181,<p>mg/kg</p>,2025-08-01 08:00:00,硫化氢,延炼200万吨/年催化裂化装置
3.30,ST010181,%（v/v) ,2025-08-01 08:00:00,异丁烷,延炼200万吨/年催化裂化装置
2.48,ST010181,%（v/v) ,2025-08-01 08:00:00,氧气,延炼200万吨/年催化裂化装置
15.12,ST010181,%（v/v) ,2025-08-01 08:00:00,氮气,延炼200万吨/年催化裂化装置
0.91,ST010181,%（v/v) ,2025-08-01 08:00:00,一氧化碳,延炼200万吨/年催化裂化装置
8.15,ST010181,%（v/v) ,2025-08-01 08:00:00,氢气,延炼200万吨/年催化裂化装置
13.67,ST010181,%（v/v) ,2025-08-01 08:00:00,甲烷,延炼200万吨/年催化裂化装置
14.47,ST010181,%（v/v) ,2025-08-01 08:00:00,乙烷,延炼200万吨/年催化裂化装置
