result,sampleDotCode,unitName,sampleTime,resultName,deviceName
3.20,ST010179,%（v/v) ,2025-05-01 08:00:00,二氧化碳,延炼200万吨/年催化裂化装置
2.43,ST010179,%（v/v) ,2025-05-01 08:00:00,氧气,延炼200万吨/年催化裂化装置
22.94,ST010179,%（v/v) ,2025-05-01 08:00:00,氮气,延炼200万吨/年催化裂化装置
1.83,ST010179,%（v/v) ,2025-05-01 08:00:00,一氧化碳,延炼200万吨/年催化裂化装置
14.60,ST010179,%（v/v) ,2025-05-01 08:00:00,氢气,延炼200万吨/年催化裂化装置
25.74,ST010179,%（v/v) ,2025-05-01 08:00:00,甲烷,延炼200万吨/年催化裂化装置
13.81,ST010179,%（v/v) ,2025-05-01 08:00:00,乙烷,延炼200万吨/年催化裂化装置
12.35,ST010179,%（v/v) ,2025-05-01 08:00:00,乙烯,延炼200万吨/年催化裂化装置
0.62,ST010179,%（v/v) ,2025-05-01 08:00:00,丙烷,延炼200万吨/年催化裂化装置
1.70,ST010179,%（v/v) ,2025-05-01 08:00:00,丙烯,延炼200万吨/年催化裂化装置
0.04,ST010179,%（v/v) ,2025-05-01 08:00:00,碳五,延炼200万吨/年催化裂化装置
0.74,ST010179,%（v/v) ,2025-05-01 08:00:00,C4合计,延炼200万吨/年催化裂化装置
0.07,ST010179,%（v/v) ,2025-05-01 08:00:00,异丁烯,延炼200万吨/年催化裂化装置
0.06,ST010179,%（v/v) ,2025-05-01 08:00:00,正丁烯,延炼200万吨/年催化裂化装置
0.04,ST010179,%（v/v) ,2025-05-01 08:00:00,反丁烯,延炼200万吨/年催化裂化装置
0.02,ST010179,%（v/v) ,2025-05-01 08:00:00,顺丁烯,延炼200万吨/年催化裂化装置
0.06,ST010179,%（v/v) ,2025-05-01 08:00:00,正丁烷,延炼200万吨/年催化裂化装置
0.49,ST010179,%（v/v) ,2025-05-01 08:00:00,异丁烷,延炼200万吨/年催化裂化装置
5000.0,ST010179,<p>mg/kg</p>,2025-05-01 08:00:00,硫化氢,延炼200万吨/年催化裂化装置
3.14,ST010179,%（v/v) ,2025-05-08 08:00:00,二氧化碳,延炼200万吨/年催化裂化装置
