result,sampleDotCode,unitName,sampleTime,resultName,deviceName
1056.9,ST010196,<p>kg/m<sup>3</sup></p>,2025-05-01 08:00:00,密度(20℃),延炼200万吨/年催化裂化装置
2.2,ST010196,g/L,2025-05-01 08:00:00,固含量,延炼200万吨/年催化裂化装置
1061.2,ST010196,<p>kg/m<sup>3</sup></p>,2025-05-05 08:00:00,密度(20℃),延炼200万吨/年催化裂化装置
3.2,ST010196,g/L,2025-05-05 08:00:00,固含量,延炼200万吨/年催化裂化装置
1063.2,ST010196,<p>kg/m<sup>3</sup></p>,2025-05-08 08:00:00,密度(20℃),延炼200万吨/年催化裂化装置
2.0,ST010196,g/L,2025-05-08 08:00:00,固含量,延炼200万吨/年催化裂化装置
1062.7,ST010196,<p>kg/m<sup>3</sup></p>,2025-05-12 08:00:00,密度(20℃),延炼200万吨/年催化裂化装置
2.0,ST010196,g/L,2025-05-12 08:00:00,固含量,延炼200万吨/年催化裂化装置
1064.9,ST010196,<p>kg/m<sup>3</sup></p>,2025-05-15 08:00:00,密度(20℃),延炼200万吨/年催化裂化装置
2.2,ST010196,g/L,2025-05-15 08:00:00,固含量,延炼200万吨/年催化裂化装置
1062.0,ST010196,<p>kg/m<sup>3</sup></p>,2025-05-19 08:00:00,密度(20℃),延炼200万吨/年催化裂化装置
2.0,ST010196,g/L,2025-05-19 08:00:00,固含量,延炼200万吨/年催化裂化装置
1059.2,ST010196,<p>kg/m<sup>3</sup></p>,2025-05-22 08:00:00,密度(20℃),延炼200万吨/年催化裂化装置
2.2,ST010196,g/L,2025-05-22 08:00:00,固含量,延炼200万吨/年催化裂化装置
1057.4,ST010196,<p>kg/m<sup>3</sup></p>,2025-05-26 08:00:00,密度(20℃),延炼200万吨/年催化裂化装置
2.0,ST010196,g/L,2025-05-26 08:00:00,固含量,延炼200万吨/年催化裂化装置
1061.8,ST010196,<p>kg/m<sup>3</sup></p>,2025-05-29 08:00:00,密度(20℃),延炼200万吨/年催化裂化装置
2.0,ST010196,g/L,2025-05-29 08:00:00,固含量,延炼200万吨/年催化裂化装置
2.2,ST010196,g/L,2025-06-02 08:10:00,固含量,延炼200万吨/年催化裂化装置
1058.7,ST010196,<p>kg/m<sup>3</sup></p>,2025-06-02 08:10:00,密度(20℃),延炼200万吨/年催化裂化装置
1059.8,ST010196,<p>kg/m<sup>3</sup></p>,2025-06-05 08:00:00,密度(20℃),延炼200万吨/年催化裂化装置
2.0,ST010196,g/L,2025-06-05 08:00:00,固含量,延炼200万吨/年催化裂化装置
1060.2,ST010196,<p>kg/m<sup>3</sup></p>,2025-06-09 08:00:00,密度(20℃),延炼200万吨/年催化裂化装置
2.2,ST010196,g/L,2025-06-09 08:00:00,固含量,延炼200万吨/年催化裂化装置
1059.9,ST010196,<p>kg/m<sup>3</sup></p>,2025-06-12 08:00:00,密度(20℃),延炼200万吨/年催化裂化装置
2.0,ST010196,g/L,2025-06-12 08:00:00,固含量,延炼200万吨/年催化裂化装置
1069.8,ST010196,<p>kg/m<sup>3</sup></p>,2025-06-16 08:00:00,密度(20℃),延炼200万吨/年催化裂化装置
2.0,ST010196,g/L,2025-06-16 08:00:00,固含量,延炼200万吨/年催化裂化装置
1055.8,ST010196,<p>kg/m<sup>3</sup></p>,2025-06-19 08:00:00,密度(20℃),延炼200万吨/年催化裂化装置
2.0,ST010196,g/L,2025-06-19 08:00:00,固含量,延炼200万吨/年催化裂化装置
1058.2,ST010196,<p>kg/m<sup>3</sup></p>,2025-06-23 08:00:00,密度(20℃),延炼200万吨/年催化裂化装置
3.2,ST010196,g/L,2025-06-23 08:00:00,固含量,延炼200万吨/年催化裂化装置
1070.3,ST010196,<p>kg/m<sup>3</sup></p>,2025-06-26 08:00:00,密度(20℃),延炼200万吨/年催化裂化装置
2.2,ST010196,g/L,2025-06-26 08:00:00,固含量,延炼200万吨/年催化裂化装置
1064.3,ST010196,<p>kg/m<sup>3</sup></p>,2025-06-30 08:00:00,密度(20℃),延炼200万吨/年催化裂化装置
2.0,ST010196,g/L,2025-06-30 08:00:00,固含量,延炼200万吨/年催化裂化装置
