result,sampleDotCode,unitName,sampleTime,resultName,deviceName
25.3,ST010178,<p>mg/m<sup>3</sup></p>,2025-05-01 08:00:00,硫化氢,延炼200万吨/年催化裂化装置
0.00,ST010178,"<p>%(v/v)</p>
",2025-05-01 08:00:00,乙烷+乙烯,延炼200万吨/年催化裂化装置
11.50,ST010178,<p>%(v/v)</p>,2025-05-01 08:00:00,丙烷,延炼200万吨/年催化裂化装置
29.87,ST010178,<p>%(v/v)</p>,2025-05-01 08:00:00,丙烯,延炼200万吨/年催化裂化装置
22.53,ST010178,<p>%(v/v)</p>,2025-05-01 08:00:00,异丁烷,延炼200万吨/年催化裂化装置
7.18,ST010178,<p>%(v/v)</p>,2025-05-01 08:00:00,正丁烷,延炼200万吨/年催化裂化装置
13.88,ST010178,<p>%(v/v)</p>,2025-05-01 08:00:00,正丁烯+异丁烯,延炼200万吨/年催化裂化装置
8.82,ST010178,<p>%(v/v)</p>,2025-05-01 08:00:00,反丁烯,延炼200万吨/年催化裂化装置
6.22,ST010178,<p>%(v/v)</p>,2025-05-01 08:00:00,顺丁烯,延炼200万吨/年催化裂化装置
0.00,ST010178,<p>%(v/v)</p>,2025-05-01 08:00:00,碳五,延炼200万吨/年催化裂化装置
0.06,ST010178,"<p>%(v/v)</p>
",2025-05-02 08:00:00,乙烷+乙烯,延炼200万吨/年催化裂化装置
11.41,ST010178,<p>%(v/v)</p>,2025-05-02 08:00:00,丙烷,延炼200万吨/年催化裂化装置
29.12,ST010178,<p>%(v/v)</p>,2025-05-02 08:00:00,丙烯,延炼200万吨/年催化裂化装置
22.82,ST010178,<p>%(v/v)</p>,2025-05-02 08:00:00,异丁烷,延炼200万吨/年催化裂化装置
7.27,ST010178,<p>%(v/v)</p>,2025-05-02 08:00:00,正丁烷,延炼200万吨/年催化裂化装置
14.12,ST010178,<p>%(v/v)</p>,2025-05-02 08:00:00,正丁烯+异丁烯,延炼200万吨/年催化裂化装置
8.89,ST010178,<p>%(v/v)</p>,2025-05-02 08:00:00,反丁烯,延炼200万吨/年催化裂化装置
6.02,ST010178,<p>%(v/v)</p>,2025-05-02 08:00:00,顺丁烯,延炼200万吨/年催化裂化装置
0.29,ST010178,<p>%(v/v)</p>,2025-05-02 08:00:00,碳五,延炼200万吨/年催化裂化装置
0.07,ST010178,"<p>%(v/v)</p>
",2025-05-03 08:00:00,乙烷+乙烯,延炼200万吨/年催化裂化装置
12.29,ST010178,<p>%(v/v)</p>,2025-05-03 08:00:00,丙烷,延炼200万吨/年催化裂化装置
31.72,ST010178,<p>%(v/v)</p>,2025-05-03 08:00:00,丙烯,延炼200万吨/年催化裂化装置
21.98,ST010178,<p>%(v/v)</p>,2025-05-03 08:00:00,异丁烷,延炼200万吨/年催化裂化装置
6.49,ST010178,<p>%(v/v)</p>,2025-05-03 08:00:00,正丁烷,延炼200万吨/年催化裂化装置
13.15,ST010178,<p>%(v/v)</p>,2025-05-03 08:00:00,正丁烯+异丁烯,延炼200万吨/年催化裂化装置
7.99,ST010178,<p>%(v/v)</p>,2025-05-03 08:00:00,反丁烯,延炼200万吨/年催化裂化装置
5.95,ST010178,<p>%(v/v)</p>,2025-05-03 08:00:00,顺丁烯,延炼200万吨/年催化裂化装置
0.36,ST010178,<p>%(v/v)</p>,2025-05-03 08:00:00,碳五,延炼200万吨/年催化裂化装置
0.00,ST010178,"<p>%(v/v)</p>
",2025-05-04 08:00:00,乙烷+乙烯,延炼200万吨/年催化裂化装置
12.91,ST010178,<p>%(v/v)</p>,2025-05-04 08:00:00,丙烷,延炼200万吨/年催化裂化装置
33.80,ST010178,<p>%(v/v)</p>,2025-05-04 08:00:00,丙烯,延炼200万吨/年催化裂化装置
22.21,ST010178,<p>%(v/v)</p>,2025-05-04 08:00:00,异丁烷,延炼200万吨/年催化裂化装置
5.97,ST010178,<p>%(v/v)</p>,2025-05-04 08:00:00,正丁烷,延炼200万吨/年催化裂化装置
13.17,ST010178,<p>%(v/v)</p>,2025-05-04 08:00:00,正丁烯+异丁烯,延炼200万吨/年催化裂化装置
7.06,ST010178,<p>%(v/v)</p>,2025-05-04 08:00:00,反丁烯,延炼200万吨/年催化裂化装置
4.88,ST010178,<p>%(v/v)</p>,2025-05-04 08:00:00,顺丁烯,延炼200万吨/年催化裂化装置
0.00,ST010178,<p>%(v/v)</p>,2025-05-04 08:00:00,碳五,延炼200万吨/年催化裂化装置
0.00,ST010178,"<p>%(v/v)</p>
",2025-05-05 08:00:00,乙烷+乙烯,延炼200万吨/年催化裂化装置
11.99,ST010178,<p>%(v/v)</p>,2025-05-05 08:00:00,丙烷,延炼200万吨/年催化裂化装置
