result,sampleDotCode,unitName,sampleTime,resultName,deviceName
0.0196,ST010191,<p>%(m/m)</p>,2025-05-06 08:00:00,机械杂质,延炼200万吨/年催化裂化装置
痕迹,ST010191,质量分数 %,2025-05-06 08:00:00,水分,延炼200万吨/年催化裂化装置
203.0,ST010191,℃,2025-05-06 08:00:00,闪点(TC),延炼200万吨/年催化裂化装置
29.31,ST010191,<p>mm<sup>2</sup>/s</p>,2025-05-06 08:00:00,运动黏度(40℃),延炼200万吨/年催化裂化装置
0.0188,ST010191,<p>%(m/m)</p>,2025-06-09 08:00:00,机械杂质,延炼200万吨/年催化裂化装置
30.26,ST010191,<p>mm<sup>2</sup>/s</p>,2025-06-09 08:00:00,运动黏度(40℃),延炼200万吨/年催化裂化装置
201.0,ST010191,℃,2025-06-09 08:00:00,闪点(TC),延炼200万吨/年催化裂化装置
痕迹,ST010191,质量分数 %,2025-06-09 08:00:00,水分,延炼200万吨/年催化裂化装置
206.0,ST010191,℃,2025-07-07 08:00:00,闪点(TC),延炼200万吨/年催化裂化装置
痕迹,ST010191,质量分数 %,2025-07-07 08:00:00,水分,延炼200万吨/年催化裂化装置
31.04,ST010191,<p>mm<sup>2</sup>/s</p>,2025-07-07 08:00:00,运动黏度(40℃),延炼200万吨/年催化裂化装置
0.0184,ST010191,<p>%(m/m)</p>,2025-07-07 08:00:00,机械杂质,延炼200万吨/年催化裂化装置
209.0,ST010191,℃,2025-08-04 08:00:00,闪点(TC),延炼200万吨/年催化裂化装置
痕迹,ST010191,质量分数 %,2025-08-04 08:00:00,水分,延炼200万吨/年催化裂化装置
0.0192,ST010191,<p>%(m/m)</p>,2025-08-04 08:00:00,机械杂质,延炼200万吨/年催化裂化装置
31.30,ST010191,<p>mm<sup>2</sup>/s</p>,2025-08-04 08:00:00,运动黏度(40℃),延炼200万吨/年催化裂化装置
206.0,ST010191,℃,2025-09-02 08:00:00,闪点(TC),延炼200万吨/年催化裂化装置
0.0188,ST010191,<p>%(m/m)</p>,2025-09-02 08:00:00,机械杂质,延炼200万吨/年催化裂化装置
痕迹,ST010191,质量分数 %,2025-09-02 08:00:00,水分,延炼200万吨/年催化裂化装置
30.84,ST010191,<p>mm<sup>2</sup>/s</p>,2025-09-02 08:00:00,运动黏度(40℃),延炼200万吨/年催化裂化装置
0.0176,ST010191,<p>%(m/m)</p>,2025-10-10 08:00:00,机械杂质,延炼200万吨/年催化裂化装置
痕迹,ST010191,质量分数 %,2025-10-10 08:00:00,水分,延炼200万吨/年催化裂化装置
211.0,ST010191,℃,2025-10-10 08:00:00,闪点(TC),延炼200万吨/年催化裂化装置
31.80,ST010191,<p>mm<sup>2</sup>/s</p>,2025-10-10 08:00:00,运动黏度(40℃),延炼200万吨/年催化裂化装置
0.0186,ST010191,<p>%(m/m)</p>,2025-11-03 09:12:00,机械杂质,延炼200万吨/年催化裂化装置
痕迹,ST010191,质量分数 %,2025-11-03 09:12:00,水分,延炼200万吨/年催化裂化装置
219.0,ST010191,℃,2025-11-03 09:12:00,闪点(TC),延炼200万吨/年催化裂化装置
32.08,ST010191,<p>mm<sup>2</sup>/s</p>,2025-11-03 09:12:00,运动黏度(40℃),延炼200万吨/年催化裂化装置
216.0,ST010191,℃,2025-12-08 08:00:00,闪点(TC),延炼200万吨/年催化裂化装置
痕迹,ST010191,质量分数 %,2025-12-08 08:00:00,水分,延炼200万吨/年催化裂化装置
0.0186,ST010191,<p>%(m/m)</p>,2025-12-08 08:00:00,机械杂质,延炼200万吨/年催化裂化装置
32.20,ST010191,<p>mm<sup>2</sup>/s</p>,2025-12-08 08:00:00,运动黏度(40℃),延炼200万吨/年催化裂化装置
0.0190,ST010191,<p>%(m/m)</p>,2026-01-08 08:00:00,机械杂质,延炼200万吨/年催化裂化装置
痕迹,ST010191,质量分数 %,2026-01-08 08:00:00,水分,延炼200万吨/年催化裂化装置
214.0,ST010191,℃,2026-01-08 08:00:00,闪点(TC),延炼200万吨/年催化裂化装置
29.24,ST010191,<p>mm<sup>2</sup>/s</p>,2026-01-08 08:00:00,运动黏度(40℃),延炼200万吨/年催化裂化装置
213.0,ST010191,℃,2026-02-05 08:00:00,闪点(TC),延炼200万吨/年催化裂化装置
痕迹,ST010191,质量分数 %,2026-02-05 08:00:00,水分,延炼200万吨/年催化裂化装置
0.0173,ST010191,<p>%(m/m)</p>,2026-02-05 08:00:00,机械杂质,延炼200万吨/年催化裂化装置
29.52,ST010191,<p>mm<sup>2</sup>/s</p>,2026-02-05 08:00:00,运动黏度(40℃),延炼200万吨/年催化裂化装置
213.0,ST010191,℃,2026-03-06 08:00:00,闪点(TC),延炼200万吨/年催化裂化装置
痕迹,ST010191,质量分数 %,2026-03-06 08:00:00,水分,延炼200万吨/年催化裂化装置
29.46,ST010191,<p>mm<sup>2</sup>/s</p>,2026-03-06 08:00:00,运动黏度(40℃),延炼200万吨/年催化裂化装置
0.0173,ST010191,<p>%(m/m)</p>,2026-03-06 08:00:00,机械杂质,延炼200万吨/年催化裂化装置
215.0,ST010191,℃,2026-04-07 08:00:00,闪点(TC),延炼200万吨/年催化裂化装置
0.0184,ST010191,<p>%(m/m)</p>,2026-04-07 08:00:00,机械杂质,延炼200万吨/年催化裂化装置
痕迹,ST010191,质量分数 %,2026-04-07 08:00:00,水分,延炼200万吨/年催化裂化装置
30.03,ST010191,<p>mm<sup>2</sup>/s</p>,2026-04-07 08:00:00,运动黏度(40℃),延炼200万吨/年催化裂化装置
