result,sampleDotCode,unitName,sampleTime,resultName,deviceName
8.27,ST010180,%（v/v) ,2025-05-01 08:00:00,氧气,延炼200万吨/年催化裂化装置
12.09,ST010180,%（v/v) ,2025-05-01 08:00:00,二氧化碳,延炼200万吨/年催化裂化装置
6.16,ST010180,%（v/v) ,2025-05-01 08:00:00,一氧化碳,延炼200万吨/年催化裂化装置
12.81,ST010180,%（v/v) ,2025-06-01 08:00:00,二氧化碳,延炼200万吨/年催化裂化装置
6.40,ST010180,%（v/v) ,2025-06-01 08:00:00,氧气,延炼200万吨/年催化裂化装置
6.57,ST010180,%（v/v) ,2025-06-01 08:00:00,一氧化碳,延炼200万吨/年催化裂化装置
12.81,ST010180,%（v/v) ,2025-07-01 08:00:00,二氧化碳,延炼200万吨/年催化裂化装置
6.40,ST010180,%（v/v) ,2025-07-01 08:00:00,氧气,延炼200万吨/年催化裂化装置
6.57,ST010180,%（v/v) ,2025-07-01 08:00:00,一氧化碳,延炼200万吨/年催化裂化装置
10.56,ST010180,%（v/v) ,2025-08-01 08:00:00,二氧化碳,延炼200万吨/年催化裂化装置
7.26,ST010180,%（v/v) ,2025-08-01 08:00:00,氧气,延炼200万吨/年催化裂化装置
5.43,ST010180,%（v/v) ,2025-08-01 08:00:00,一氧化碳,延炼200万吨/年催化裂化装置
15.63,ST010180,%（v/v) ,2025-09-01 08:00:00,二氧化碳,延炼200万吨/年催化裂化装置
5.82,ST010180,%（v/v) ,2025-09-01 08:00:00,氧气,延炼200万吨/年催化裂化装置
2.69,ST010180,%（v/v) ,2025-09-01 08:00:00,一氧化碳,延炼200万吨/年催化裂化装置
6.83,ST010180,%（v/v) ,2025-10-01 08:00:00,氧气,延炼200万吨/年催化裂化装置
12.88,ST010180,%（v/v) ,2025-10-01 08:00:00,二氧化碳,延炼200万吨/年催化裂化装置
6.46,ST010180,%（v/v) ,2025-10-01 08:00:00,一氧化碳,延炼200万吨/年催化裂化装置
7.58,ST010180,%（v/v) ,2025-11-01 08:00:00,氧气,延炼200万吨/年催化裂化装置
12.79,ST010180,%（v/v) ,2025-11-01 08:00:00,二氧化碳,延炼200万吨/年催化裂化装置
6.07,ST010180,%（v/v) ,2025-11-01 08:00:00,一氧化碳,延炼200万吨/年催化裂化装置
13.68,ST010180,%（v/v) ,2025-12-01 08:00:00,二氧化碳,延炼200万吨/年催化裂化装置
7.52,ST010180,%（v/v) ,2025-12-01 08:00:00,氧气,延炼200万吨/年催化裂化装置
5.17,ST010180,%（v/v) ,2025-12-01 08:00:00,一氧化碳,延炼200万吨/年催化裂化装置
12.43,ST010180,%（v/v) ,2026-01-01 08:00:00,氧气,延炼200万吨/年催化裂化装置
11.79,ST010180,%（v/v) ,2026-01-01 08:00:00,二氧化碳,延炼200万吨/年催化裂化装置
5.51,ST010180,%（v/v) ,2026-01-01 08:00:00,一氧化碳,延炼200万吨/年催化裂化装置
13.35,ST010180,%（v/v) ,2026-02-01 08:00:00,二氧化碳,延炼200万吨/年催化裂化装置
6.43,ST010180,%（v/v) ,2026-02-01 08:00:00,氧气,延炼200万吨/年催化裂化装置
6.21,ST010180,%（v/v) ,2026-02-01 08:00:00,一氧化碳,延炼200万吨/年催化裂化装置
12.82,ST010180,%（v/v) ,2026-03-01 08:00:00,二氧化碳,延炼200万吨/年催化裂化装置
5.81,ST010180,%（v/v) ,2026-03-01 08:00:00,氧气,延炼200万吨/年催化裂化装置
4.69,ST010180,%（v/v) ,2026-03-01 08:00:00,一氧化碳,延炼200万吨/年催化裂化装置
11.82,ST010180,%（v/v) ,2026-04-01 08:00:00,二氧化碳,延炼200万吨/年催化裂化装置
12.53,ST010180,%（v/v) ,2026-04-01 08:00:00,氧气,延炼200万吨/年催化裂化装置
3.26,ST010180,%（v/v) ,2026-04-01 08:00:00,一氧化碳,延炼200万吨/年催化裂化装置
