result,sampleDotCode,unitName,sampleTime,resultName,deviceName
28.5,ST010192,<p>℃</p>,2025-05-01 08:00:00,初馏点,延炼200万吨/年催化裂化装置
50.0,ST010192,<p>℃</p>,2025-05-01 08:00:00,10%蒸发温度,延炼200万吨/年催化裂化装置
188.4,ST010192,<p>℃</p>,2025-05-01 08:00:00,终馏点,延炼200万吨/年催化裂化装置
164.3,ST010192,<p>℃</p>,2025-05-01 08:00:00,90%蒸发温度,延炼200万吨/年催化裂化装置
103.0,ST010192,<p>℃</p>,2025-05-01 08:00:00,50%蒸发温度,延炼200万吨/年催化裂化装置
1.0,ST010192,体积分数 %,2025-05-08 08:00:00,残馏量,延炼200万吨/年催化裂化装置
187.0,ST010192,<p>℃</p>,2025-05-08 08:00:00,终馏点,延炼200万吨/年催化裂化装置
165.5,ST010192,<p>℃</p>,2025-05-08 08:00:00,90%蒸发温度,延炼200万吨/年催化裂化装置
1.2,ST010192,体积分数 %,2025-05-08 08:00:00,校正损失,延炼200万吨/年催化裂化装置
97.8,ST010192,体积分数 %,2025-05-08 08:00:00,全馏量,延炼200万吨/年催化裂化装置
32.5,ST010192,<p>℃</p>,2025-05-08 08:00:00,初馏点,延炼200万吨/年催化裂化装置
105.5,ST010192,<p>℃</p>,2025-05-08 08:00:00,50%蒸发温度,延炼200万吨/年催化裂化装置
52.5,ST010192,<p>℃</p>,2025-05-08 08:00:00,10%蒸发温度,延炼200万吨/年催化裂化装置
105.0,ST010192,<p>℃</p>,2025-05-15 08:00:00,50%蒸发温度,延炼200万吨/年催化裂化装置
165.0,ST010192,<p>℃</p>,2025-05-15 08:00:00,90%蒸发温度,延炼200万吨/年催化裂化装置
51.5,ST010192,<p>℃</p>,2025-05-15 08:00:00,10%蒸发温度,延炼200万吨/年催化裂化装置
33.5,ST010192,<p>℃</p>,2025-05-15 08:00:00,初馏点,延炼200万吨/年催化裂化装置
187.5,ST010192,<p>℃</p>,2025-05-15 08:00:00,终馏点,延炼200万吨/年催化裂化装置
1.0,ST010192,体积分数 %,2025-05-15 08:00:00,残馏量,延炼200万吨/年催化裂化装置
1.2,ST010192,体积分数 %,2025-05-15 08:00:00,校正损失,延炼200万吨/年催化裂化装置
97.8,ST010192,体积分数 %,2025-05-15 08:00:00,全馏量,延炼200万吨/年催化裂化装置
105.5,ST010192,<p>℃</p>,2025-05-22 08:00:00,50%蒸发温度,延炼200万吨/年催化裂化装置
51.3,ST010192,<p>℃</p>,2025-05-22 08:00:00,10%蒸发温度,延炼200万吨/年催化裂化装置
29.1,ST010192,<p>℃</p>,2025-05-22 08:00:00,初馏点,延炼200万吨/年催化裂化装置
192.9,ST010192,<p>℃</p>,2025-05-22 08:00:00,终馏点,延炼200万吨/年催化裂化装置
168.7,ST010192,<p>℃</p>,2025-05-22 08:00:00,90%蒸发温度,延炼200万吨/年催化裂化装置
28.9,ST010192,<p>℃</p>,2025-05-29 08:00:00,初馏点,延炼200万吨/年催化裂化装置
51.0,ST010192,<p>℃</p>,2025-05-29 08:00:00,10%蒸发温度,延炼200万吨/年催化裂化装置
106.0,ST010192,<p>℃</p>,2025-05-29 08:00:00,50%蒸发温度,延炼200万吨/年催化裂化装置
201.7,ST010192,<p>℃</p>,2025-05-29 08:00:00,终馏点,延炼200万吨/年催化裂化装置
176.1,ST010192,<p>℃</p>,2025-05-29 08:00:00,90%蒸发温度,延炼200万吨/年催化裂化装置
105.0,ST010192,<p>℃</p>,2025-06-05 08:00:00,50%蒸发温度,延炼200万吨/年催化裂化装置
170.0,ST010192,<p>℃</p>,2025-06-05 08:00:00,90%蒸发温度,延炼200万吨/年催化裂化装置
90.3,ST010192,,2025-06-05 08:00:00,研究法辛烷值(RON),延炼200万吨/年催化裂化装置
50.0,ST010192,<p>℃</p>,2025-06-05 08:00:00,10%蒸发温度,延炼200万吨/年催化裂化装置
97.9,ST010192,体积分数 %,2025-06-05 08:00:00,全馏量,延炼200万吨/年催化裂化装置
1.3,ST010192,体积分数 %,2025-06-05 08:00:00,校正损失,延炼200万吨/年催化裂化装置
0.8,ST010192,体积分数 %,2025-06-05 08:00:00,残馏量,延炼200万吨/年催化裂化装置
196.0,ST010192,<p>℃</p>,2025-06-05 08:00:00,终馏点,延炼200万吨/年催化裂化装置
31.5,ST010192,<p>℃</p>,2025-06-05 08:00:00,初馏点,延炼200万吨/年催化裂化装置
90.9,ST010192,,2025-06-06 08:06:00,研究法辛烷值(RON),延炼200万吨/年催化裂化装置
51.0,ST010192,<p>℃</p>,2025-06-12 08:00:00,10%蒸发温度,延炼200万吨/年催化裂化装置
104.5,ST010192,<p>℃</p>,2025-06-12 08:00:00,50%蒸发温度,延炼200万吨/年催化裂化装置
170.5,ST010192,<p>℃</p>,2025-06-12 08:00:00,90%蒸发温度,延炼200万吨/年催化裂化装置
97.8,ST010192,体积分数 %,2025-06-12 08:00:00,全馏量,延炼200万吨/年催化裂化装置
33.5,ST010192,<p>℃</p>,2025-06-12 08:00:00,初馏点,延炼200万吨/年催化裂化装置
201.0,ST010192,<p>℃</p>,2025-06-12 08:00:00,终馏点,延炼200万吨/年催化裂化装置
1.0,ST010192,体积分数 %,2025-06-12 08:00:00,残馏量,延炼200万吨/年催化裂化装置
1.2,ST010192,体积分数 %,2025-06-12 08:00:00,校正损失,延炼200万吨/年催化裂化装置
29.8,ST010192,<p>℃</p>,2025-06-19 08:00:00,初馏点,延炼200万吨/年催化裂化装置
51.8,ST010192,<p>℃</p>,2025-06-19 08:00:00,10%蒸发温度,延炼200万吨/年催化裂化装置
105.7,ST010192,<p>℃</p>,2025-06-19 08:00:00,50%蒸发温度,延炼200万吨/年催化裂化装置
168.2,ST010192,<p>℃</p>,2025-06-19 08:00:00,90%蒸发温度,延炼200万吨/年催化裂化装置
192.1,ST010192,<p>℃</p>,2025-06-19 08:00:00,终馏点,延炼200万吨/年催化裂化装置
167.9,ST010192,<p>℃</p>,2025-06-26 08:00:00,90%蒸发温度,延炼200万吨/年催化裂化装置
104.3,ST010192,<p>℃</p>,2025-06-26 08:00:00,50%蒸发温度,延炼200万吨/年催化裂化装置
50.6,ST010192,<p>℃</p>,2025-06-26 08:00:00,10%蒸发温度,延炼200万吨/年催化裂化装置
29.0,ST010192,<p>℃</p>,2025-06-26 08:00:00,初馏点,延炼200万吨/年催化裂化装置
191.7,ST010192,<p>℃</p>,2025-06-26 08:00:00,终馏点,延炼200万吨/年催化裂化装置
58.0,ST010192,<p>℃</p>,2025-07-03 08:00:00,10%蒸发温度,延炼200万吨/年催化裂化装置
108.5,ST010192,<p>℃</p>,2025-07-03 08:00:00,50%蒸发温度,延炼200万吨/年催化裂化装置
167.5,ST010192,<p>℃</p>,2025-07-03 08:00:00,90%蒸发温度,延炼200万吨/年催化裂化装置
97.8,ST010192,体积分数 %,2025-07-03 08:00:00,全馏量,延炼200万吨/年催化裂化装置
1.2,ST010192,体积分数 %,2025-07-03 08:00:00,校正损失,延炼200万吨/年催化裂化装置
1.0,ST010192,体积分数 %,2025-07-03 08:00:00,残馏量,延炼200万吨/年催化裂化装置
192.0,ST010192,<p>℃</p>,2025-07-03 08:00:00,终馏点,延炼200万吨/年催化裂化装置
35.5,ST010192,<p>℃</p>,2025-07-03 08:00:00,初馏点,延炼200万吨/年催化裂化装置
29.8,ST010192,<p>℃</p>,2025-07-10 08:00:00,初馏点,延炼200万吨/年催化裂化装置
51.8,ST010192,<p>℃</p>,2025-07-10 08:00:00,10%蒸发温度,延炼200万吨/年催化裂化装置
105.8,ST010192,<p>℃</p>,2025-07-10 08:00:00,50%蒸发温度,延炼200万吨/年催化裂化装置
169.2,ST010192,<p>℃</p>,2025-07-10 08:00:00,90%蒸发温度,延炼200万吨/年催化裂化装置
193.2,ST010192,<p>℃</p>,2025-07-10 08:00:00,终馏点,延炼200万吨/年催化裂化装置
53.5,ST010192,<p>℃</p>,2025-07-17 08:00:00,10%蒸发温度,延炼200万吨/年催化裂化装置
