result,sampleDotCode,unitName,sampleTime,resultName,deviceName
0.00,ST010055,"<p>%(v/v)</p>
",2025-05-01 08:00:00,乙烷+乙烯,延炼30万吨/年气体分馏装置
33.55,ST010055,<p>%(v/v)</p>,2025-05-01 08:00:00,丙烷,延炼30万吨/年气体分馏装置
66.45,ST010055,<p>%(v/v)</p>,2025-05-01 08:00:00,丙烯,延炼30万吨/年气体分馏装置
0.00,ST010055,<p>%(v/v)</p>,2025-05-01 08:00:00,异丁烷,延炼30万吨/年气体分馏装置
0.00,ST010055,<p>%(v/v)</p>,2025-05-01 08:00:00,正丁烷,延炼30万吨/年气体分馏装置
0.00,ST010055,<p>%(v/v)</p>,2025-05-01 08:00:00,正丁烯+异丁烯,延炼30万吨/年气体分馏装置
0.00,ST010055,<p>%(v/v)</p>,2025-05-01 08:00:00,反丁烯,延炼30万吨/年气体分馏装置
0.00,ST010055,<p>%(v/v)</p>,2025-05-01 08:00:00,顺丁烯,延炼30万吨/年气体分馏装置
0.00,ST010055,<p>%(v/v)</p>,2025-05-01 08:00:00,C4合计,延炼30万吨/年气体分馏装置
0.00,ST010055,<p>%(v/v)</p>,2025-05-01 08:00:00,碳五,延炼30万吨/年气体分馏装置
0.00,ST010055,"<p>%(v/v)</p>
",2025-05-02 08:00:00,乙烷+乙烯,延炼30万吨/年气体分馏装置
33.50,ST010055,<p>%(v/v)</p>,2025-05-02 08:00:00,丙烷,延炼30万吨/年气体分馏装置
66.50,ST010055,<p>%(v/v)</p>,2025-05-02 08:00:00,丙烯,延炼30万吨/年气体分馏装置
0.00,ST010055,<p>%(v/v)</p>,2025-05-02 08:00:00,异丁烷,延炼30万吨/年气体分馏装置
0.00,ST010055,<p>%(v/v)</p>,2025-05-02 08:00:00,正丁烷,延炼30万吨/年气体分馏装置
0.00,ST010055,<p>%(v/v)</p>,2025-05-02 08:00:00,正丁烯+异丁烯,延炼30万吨/年气体分馏装置
0.00,ST010055,<p>%(v/v)</p>,2025-05-02 08:00:00,反丁烯,延炼30万吨/年气体分馏装置
0.00,ST010055,<p>%(v/v)</p>,2025-05-02 08:00:00,顺丁烯,延炼30万吨/年气体分馏装置
0.00,ST010055,<p>%(v/v)</p>,2025-05-02 08:00:00,C4合计,延炼30万吨/年气体分馏装置
0.00,ST010055,<p>%(v/v)</p>,2025-05-02 08:00:00,碳五,延炼30万吨/年气体分馏装置
0.00,ST010055,"<p>%(v/v)</p>
",2025-05-03 08:00:00,乙烷+乙烯,延炼30万吨/年气体分馏装置
33.43,ST010055,<p>%(v/v)</p>,2025-05-03 08:00:00,丙烷,延炼30万吨/年气体分馏装置
66.57,ST010055,<p>%(v/v)</p>,2025-05-03 08:00:00,丙烯,延炼30万吨/年气体分馏装置
0.00,ST010055,<p>%(v/v)</p>,2025-05-03 08:00:00,异丁烷,延炼30万吨/年气体分馏装置
0.00,ST010055,<p>%(v/v)</p>,2025-05-03 08:00:00,正丁烷,延炼30万吨/年气体分馏装置
0.00,ST010055,<p>%(v/v)</p>,2025-05-03 08:00:00,正丁烯+异丁烯,延炼30万吨/年气体分馏装置
0.00,ST010055,<p>%(v/v)</p>,2025-05-03 08:00:00,反丁烯,延炼30万吨/年气体分馏装置
0.00,ST010055,<p>%(v/v)</p>,2025-05-03 08:00:00,顺丁烯,延炼30万吨/年气体分馏装置
0.00,ST010055,<p>%(v/v)</p>,2025-05-03 08:00:00,C4合计,延炼30万吨/年气体分馏装置
0.00,ST010055,<p>%(v/v)</p>,2025-05-03 08:00:00,碳五,延炼30万吨/年气体分馏装置
0.00,ST010055,"<p>%(v/v)</p>
",2025-05-04 08:00:00,乙烷+乙烯,延炼30万吨/年气体分馏装置
33.54,ST010055,<p>%(v/v)</p>,2025-05-04 08:00:00,丙烷,延炼30万吨/年气体分馏装置
