result,sampleDotCode,unitName,sampleTime,resultName,deviceName
9.95,ST010059,<p>%(v/v)</p>,2025-05-05 08:00:00,C4合计,延炼30万吨/年气体分馏装置
2.63,ST010059,<p>%(v/v)</p>,2025-05-05 08:00:00,顺丁烯,延炼30万吨/年气体分馏装置
3.69,ST010059,<p>%(v/v)</p>,2025-05-05 08:00:00,反丁烯,延炼30万吨/年气体分馏装置
3.63,ST010059,<p>%(v/v)</p>,2025-05-05 08:00:00,正丁烯+异丁烯,延炼30万吨/年气体分馏装置
90.05,ST010059,<p>%(v/v)</p>,2025-05-05 08:00:00,碳五,延炼30万吨/年气体分馏装置
0.00,ST010059,<p>%(v/v)</p>,2025-05-05 08:00:00,异丁烷,延炼30万吨/年气体分馏装置
0.00,ST010059,<p>%(v/v)</p>,2025-05-05 08:00:00,丙烯,延炼30万吨/年气体分馏装置
0.00,ST010059,<p>%(v/v)</p>,2025-05-05 08:00:00,丙烷,延炼30万吨/年气体分馏装置
0.00,ST010059,"<p>%(v/v)</p>
",2025-05-05 08:00:00,乙烷+乙烯,延炼30万吨/年气体分馏装置
0.00,ST010059,<p>%(v/v)</p>,2025-05-05 08:00:00,正丁烷,延炼30万吨/年气体分馏装置
9.82,ST010059,<p>%(v/v)</p>,2025-05-12 08:00:00,C4合计,延炼30万吨/年气体分馏装置
2.81,ST010059,<p>%(v/v)</p>,2025-05-12 08:00:00,顺丁烯,延炼30万吨/年气体分馏装置
3.52,ST010059,<p>%(v/v)</p>,2025-05-12 08:00:00,反丁烯,延炼30万吨/年气体分馏装置
3.49,ST010059,<p>%(v/v)</p>,2025-05-12 08:00:00,正丁烯+异丁烯,延炼30万吨/年气体分馏装置
0.00,ST010059,<p>%(v/v)</p>,2025-05-12 08:00:00,正丁烷,延炼30万吨/年气体分馏装置
0.00,ST010059,<p>%(v/v)</p>,2025-05-12 08:00:00,异丁烷,延炼30万吨/年气体分馏装置
0.00,ST010059,<p>%(v/v)</p>,2025-05-12 08:00:00,丙烯,延炼30万吨/年气体分馏装置
0.00,ST010059,<p>%(v/v)</p>,2025-05-12 08:00:00,丙烷,延炼30万吨/年气体分馏装置
0.00,ST010059,"<p>%(v/v)</p>
",2025-05-12 08:00:00,乙烷+乙烯,延炼30万吨/年气体分馏装置
90.18,ST010059,<p>%(v/v)</p>,2025-05-12 08:00:00,碳五,延炼30万吨/年气体分馏装置
0.00,ST010059,"<p>%(v/v)</p>
",2025-05-19 08:00:00,乙烷+乙烯,延炼30万吨/年气体分馏装置
0.00,ST010059,<p>%(v/v)</p>,2025-05-19 08:00:00,丙烷,延炼30万吨/年气体分馏装置
90.12,ST010059,<p>%(v/v)</p>,2025-05-19 08:00:00,碳五,延炼30万吨/年气体分馏装置
9.88,ST010059,<p>%(v/v)</p>,2025-05-19 08:00:00,C4合计,延炼30万吨/年气体分馏装置
2.75,ST010059,<p>%(v/v)</p>,2025-05-19 08:00:00,顺丁烯,延炼30万吨/年气体分馏装置
3.61,ST010059,<p>%(v/v)</p>,2025-05-19 08:00:00,反丁烯,延炼30万吨/年气体分馏装置
3.52,ST010059,<p>%(v/v)</p>,2025-05-19 08:00:00,正丁烯+异丁烯,延炼30万吨/年气体分馏装置
0.00,ST010059,<p>%(v/v)</p>,2025-05-19 08:00:00,正丁烷,延炼30万吨/年气体分馏装置
0.00,ST010059,<p>%(v/v)</p>,2025-05-19 08:00:00,异丁烷,延炼30万吨/年气体分馏装置
0.00,ST010059,<p>%(v/v)</p>,2025-05-19 08:00:00,丙烯,延炼30万吨/年气体分馏装置
0.00,ST010059,"<p>%(v/v)</p>
",2025-05-26 08:00:00,乙烷+乙烯,延炼30万吨/年气体分馏装置
9.30,ST010059,<p>%(v/v)</p>,2025-05-26 08:00:00,C4合计,延炼30万吨/年气体分馏装置
2.41,ST010059,<p>%(v/v)</p>,2025-05-26 08:00:00,顺丁烯,延炼30万吨/年气体分馏装置
3.02,ST010059,<p>%(v/v)</p>,2025-05-26 08:00:00,反丁烯,延炼30万吨/年气体分馏装置
90.70,ST010059,<p>%(v/v)</p>,2025-05-26 08:00:00,碳五,延炼30万吨/年气体分馏装置
0.00,ST010059,<p>%(v/v)</p>,2025-05-26 08:00:00,正丁烷,延炼30万吨/年气体分馏装置
0.00,ST010059,<p>%(v/v)</p>,2025-05-26 08:00:00,异丁烷,延炼30万吨/年气体分馏装置
0.00,ST010059,<p>%(v/v)</p>,2025-05-26 08:00:00,丙烯,延炼30万吨/年气体分馏装置
0.00,ST010059,<p>%(v/v)</p>,2025-05-26 08:00:00,丙烷,延炼30万吨/年气体分馏装置
3.87,ST010059,<p>%(v/v)</p>,2025-05-26 08:00:00,正丁烯+异丁烯,延炼30万吨/年气体分馏装置
9.44,ST010059,<p>%(v/v)</p>,2025-06-02 08:00:00,C4合计,延炼30万吨/年气体分馏装置
2.94,ST010059,<p>%(v/v)</p>,2025-06-02 08:00:00,顺丁烯,延炼30万吨/年气体分馏装置
0.00,ST010059,<p>%(v/v)</p>,2025-06-02 08:00:00,正丁烷,延炼30万吨/年气体分馏装置
0.00,ST010059,<p>%(v/v)</p>,2025-06-02 08:00:00,异丁烷,延炼30万吨/年气体分馏装置
0.00,ST010059,<p>%(v/v)</p>,2025-06-02 08:00:00,丙烯,延炼30万吨/年气体分馏装置
0.00,ST010059,<p>%(v/v)</p>,2025-06-02 08:00:00,丙烷,延炼30万吨/年气体分馏装置
0.00,ST010059,"<p>%(v/v)</p>
",2025-06-02 08:00:00,乙烷+乙烯,延炼30万吨/年气体分馏装置
