result,sampleDotCode,unitName,sampleTime,resultName,deviceName
0.0180,ST010076,<p>%(m/m)</p>,2025-05-12 08:00:00,机械杂质,延炼30万吨/年气体分馏装置
痕迹,ST010076,质量分数 %,2025-05-12 08:00:00,水分,延炼30万吨/年气体分馏装置
223.0,ST010076,℃,2025-05-12 08:00:00,闪点(TC),延炼30万吨/年气体分馏装置
43.98,ST010076,<p>mm<sup>2</sup>/s</p>,2025-05-12 08:00:00,运动黏度(40℃),延炼30万吨/年气体分馏装置
234.0,ST010076,℃,2025-06-06 08:00:00,闪点(TC),延炼30万吨/年气体分馏装置
痕迹,ST010076,质量分数 %,2025-06-06 08:00:00,水分,延炼30万吨/年气体分馏装置
0.0168,ST010076,<p>%(m/m)</p>,2025-06-06 08:00:00,机械杂质,延炼30万吨/年气体分馏装置
43.47,ST010076,<p>mm<sup>2</sup>/s</p>,2025-06-06 08:00:00,运动黏度(40℃),延炼30万吨/年气体分馏装置
231.0,ST010076,℃,2025-07-07 08:00:00,闪点(TC),延炼30万吨/年气体分馏装置
痕迹,ST010076,质量分数 %,2025-07-07 08:00:00,水分,延炼30万吨/年气体分馏装置
44.82,ST010076,<p>mm<sup>2</sup>/s</p>,2025-07-07 08:00:00,运动黏度(40℃),延炼30万吨/年气体分馏装置
0.0188,ST010076,<p>%(m/m)</p>,2025-07-07 08:00:00,机械杂质,延炼30万吨/年气体分馏装置
221.0,ST010076,℃,2025-08-05 08:00:00,闪点(TC),延炼30万吨/年气体分馏装置
痕迹,ST010076,质量分数 %,2025-08-05 08:00:00,水分,延炼30万吨/年气体分馏装置
0.0200,ST010076,<p>%(m/m)</p>,2025-08-05 08:00:00,机械杂质,延炼30万吨/年气体分馏装置
44.13,ST010076,<p>mm<sup>2</sup>/s</p>,2025-08-05 08:00:00,运动黏度(40℃),延炼30万吨/年气体分馏装置
219.0,ST010076,℃,2025-09-09 08:00:00,闪点(TC),延炼30万吨/年气体分馏装置
0.0192,ST010076,<p>%(m/m)</p>,2025-09-09 08:00:00,机械杂质,延炼30万吨/年气体分馏装置
痕迹,ST010076,质量分数 %,2025-09-09 08:00:00,水分,延炼30万吨/年气体分馏装置
43.74,ST010076,<p>mm<sup>2</sup>/s</p>,2025-09-09 08:00:00,运动黏度(40℃),延炼30万吨/年气体分馏装置
0.0204,ST010076,<p>%(m/m)</p>,2025-10-05 08:00:00,机械杂质,延炼30万吨/年气体分馏装置
痕迹,ST010076,质量分数 %,2025-10-05 08:00:00,水分,延炼30万吨/年气体分馏装置
227.0,ST010076,℃,2025-10-05 08:00:00,闪点(TC),延炼30万吨/年气体分馏装置
45.68,ST010076,<p>mm<sup>2</sup>/s</p>,2025-10-05 08:00:00,运动黏度(40℃),延炼30万吨/年气体分馏装置
42.81,ST010076,<p>mm<sup>2</sup>/s</p>,2025-11-04 08:00:00,运动黏度(40℃),延炼30万吨/年气体分馏装置
痕迹,ST010076,质量分数 %,2025-11-04 08:00:00,水分,延炼30万吨/年气体分馏装置
215.0,ST010076,℃,2025-11-04 08:00:00,闪点(TC),延炼30万吨/年气体分馏装置
0.0194,ST010076,<p>%(m/m)</p>,2025-11-04 08:00:00,机械杂质,延炼30万吨/年气体分馏装置
0.0188,ST010076,<p>%(m/m)</p>,2025-12-15 09:15:00,机械杂质,延炼30万吨/年气体分馏装置
220.0,ST010076,℃,2025-12-15 09:15:00,闪点(TC),延炼30万吨/年气体分馏装置
痕迹,ST010076,质量分数 %,2025-12-15 09:15:00,水分,延炼30万吨/年气体分馏装置
43.84,ST010076,<p>mm<sup>2</sup>/s</p>,2025-12-15 09:15:00,运动黏度(40℃),延炼30万吨/年气体分馏装置
0.0196,ST010076,<p>%(m/m)</p>,2026-01-01 08:00:00,机械杂质,延炼30万吨/年气体分馏装置
痕迹,ST010076,质量分数 %,2026-01-01 08:00:00,水分,延炼30万吨/年气体分馏装置
231.0,ST010076,℃,2026-01-01 08:00:00,闪点(TC),延炼30万吨/年气体分馏装置
42.53,ST010076,<p>mm<sup>2</sup>/s</p>,2026-01-01 08:00:00,运动黏度(40℃),延炼30万吨/年气体分馏装置
217.0,ST010076,℃,2026-02-09 08:25:00,闪点(TC),延炼30万吨/年气体分馏装置
痕迹,ST010076,质量分数 %,2026-02-09 08:25:00,水分,延炼30万吨/年气体分馏装置
0.0148,ST010076,<p>%(m/m)</p>,2026-02-09 08:25:00,机械杂质,延炼30万吨/年气体分馏装置
42.78,ST010076,<p>mm<sup>2</sup>/s</p>,2026-02-09 08:25:00,运动黏度(40℃),延炼30万吨/年气体分馏装置
218.0,ST010076,℃,2026-03-11 10:43:00,闪点(TC),延炼30万吨/年气体分馏装置
痕迹,ST010076,质量分数 %,2026-03-11 10:43:00,水分,延炼30万吨/年气体分馏装置
49.03,ST010076,<p>mm<sup>2</sup>/s</p>,2026-03-11 10:43:00,运动黏度(40℃),延炼30万吨/年气体分馏装置
0.0179,ST010076,<p>%(m/m)</p>,2026-03-11 10:43:00,机械杂质,延炼30万吨/年气体分馏装置
216.0,ST010076,℃,2026-04-23 08:59:00,闪点(TC),延炼30万吨/年气体分馏装置
0.0198,ST010076,<p>%(m/m)</p>,2026-04-23 08:59:00,机械杂质,延炼30万吨/年气体分馏装置
痕迹,ST010076,质量分数 %,2026-04-23 08:59:00,水分,延炼30万吨/年气体分馏装置
42.97,ST010076,<p>mm<sup>2</sup>/s</p>,2026-04-23 08:59:00,运动黏度(40℃),延炼30万吨/年气体分馏装置
