result,sampleDotCode,unitName,sampleTime,resultName,deviceName
1.94,ST010074,<p>mg/L</p>,2025-05-01 08:00:00,氨氮,延炼30万吨/年气体分馏装置
1.20,ST010074,mg/L,2025-05-01 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.04,ST010074,mg/L,2025-05-02 08:00:00,硫化物,延炼30万吨/年气体分馏装置
0.94,ST010074,mg/L,2025-05-03 08:00:00,硫化物,延炼30万吨/年气体分馏装置
0.84,ST010074,mg/L,2025-05-04 08:00:00,硫化物,延炼30万吨/年气体分馏装置
0.84,ST010074,mg/L,2025-05-05 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.75,ST010074,<p>mg/L</p>,2025-05-05 08:00:00,氨氮,延炼30万吨/年气体分馏装置
1.20,ST010074,mg/L,2025-05-06 08:00:00,硫化物,延炼30万吨/年气体分馏装置
0.97,ST010074,mg/L,2025-05-07 08:00:00,硫化物,延炼30万吨/年气体分馏装置
3.64,ST010074,<p>mg/L</p>,2025-05-08 08:00:00,氨氮,延炼30万吨/年气体分馏装置
1.35,ST010074,mg/L,2025-05-08 08:00:00,硫化物,延炼30万吨/年气体分馏装置
3.90,ST010074,mg/L,2025-05-09 08:00:00,硫化物,延炼30万吨/年气体分馏装置
3.27,ST010074,mg/L,2025-05-10 08:00:00,硫化物,延炼30万吨/年气体分馏装置
3.02,ST010074,mg/L,2025-05-11 08:00:00,硫化物,延炼30万吨/年气体分馏装置
2.66,ST010074,mg/L,2025-05-12 08:00:00,硫化物,延炼30万吨/年气体分馏装置
4.09,ST010074,<p>mg/L</p>,2025-05-12 08:00:00,氨氮,延炼30万吨/年气体分馏装置
1.69,ST010074,mg/L,2025-05-13 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.24,ST010074,mg/L,2025-05-14 08:00:00,硫化物,延炼30万吨/年气体分馏装置
2.87,ST010074,<p>mg/L</p>,2025-05-15 08:00:00,氨氮,延炼30万吨/年气体分馏装置
1.11,ST010074,mg/L,2025-05-15 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.05,ST010074,mg/L,2025-05-17 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.19,ST010074,mg/L,2025-05-18 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.19,ST010074,mg/L,2025-05-19 08:00:00,硫化物,延炼30万吨/年气体分馏装置
3.60,ST010074,<p>mg/L</p>,2025-05-19 08:00:00,氨氮,延炼30万吨/年气体分馏装置
1.13,ST010074,mg/L,2025-05-20 08:00:00,硫化物,延炼30万吨/年气体分馏装置
0.98,ST010074,mg/L,2025-05-21 08:00:00,硫化物,延炼30万吨/年气体分馏装置
6.47,ST010074,<p>mg/L</p>,2025-05-22 08:00:00,氨氮,延炼30万吨/年气体分馏装置
0.92,ST010074,mg/L,2025-05-22 08:00:00,硫化物,延炼30万吨/年气体分馏装置
0.84,ST010074,mg/L,2025-05-23 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.08,ST010074,mg/L,2025-05-24 08:00:00,硫化物,延炼30万吨/年气体分馏装置
0.90,ST010074,mg/L,2025-05-25 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.14,ST010074,mg/L,2025-05-26 08:00:00,硫化物,延炼30万吨/年气体分馏装置
2.89,ST010074,<p>mg/L</p>,2025-05-26 08:00:00,氨氮,延炼30万吨/年气体分馏装置
1.18,ST010074,mg/L,2025-05-27 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.23,ST010074,mg/L,2025-05-28 08:00:00,硫化物,延炼30万吨/年气体分馏装置
3.95,ST010074,<p>mg/L</p>,2025-05-29 08:00:00,氨氮,延炼30万吨/年气体分馏装置
1.00,ST010074,mg/L,2025-05-29 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.14,ST010074,mg/L,2025-05-30 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.29,ST010074,mg/L,2025-05-31 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.21,ST010074,mg/L,2025-06-01 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.85,ST010074,mg/L,2025-06-02 08:00:00,硫化物,延炼30万吨/年气体分馏装置
3.48,ST010074,<p>mg/L</p>,2025-06-02 08:00:00,氨氮,延炼30万吨/年气体分馏装置
1.24,ST010074,mg/L,2025-06-03 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.16,ST010074,mg/L,2025-06-04 08:00:00,硫化物,延炼30万吨/年气体分馏装置
2.87,ST010074,<p>mg/L</p>,2025-06-05 08:00:00,氨氮,延炼30万吨/年气体分馏装置
1.40,ST010074,mg/L,2025-06-05 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.32,ST010074,mg/L,2025-06-06 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.14,ST010074,mg/L,2025-06-07 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.27,ST010074,mg/L,2025-06-08 08:00:00,硫化物,延炼30万吨/年气体分馏装置
0.81,ST010074,mg/L,2025-06-09 08:00:00,硫化物,延炼30万吨/年气体分馏装置
2.60,ST010074,<p>mg/L</p>,2025-06-09 08:00:00,氨氮,延炼30万吨/年气体分馏装置
1.73,ST010074,mg/L,2025-06-10 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.00,ST010074,mg/L,2025-06-11 08:00:00,硫化物,延炼30万吨/年气体分馏装置
0.90,ST010074,mg/L,2025-06-12 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.92,ST010074,<p>mg/L</p>,2025-06-12 08:00:00,氨氮,延炼30万吨/年气体分馏装置
0.87,ST010074,mg/L,2025-06-13 08:00:00,硫化物,延炼30万吨/年气体分馏装置
0.84,ST010074,mg/L,2025-06-14 08:00:00,硫化物,延炼30万吨/年气体分馏装置
0.77,ST010074,mg/L,2025-06-15 08:00:00,硫化物,延炼30万吨/年气体分馏装置
3.02,ST010074,<p>mg/L</p>,2025-06-16 08:00:00,氨氮,延炼30万吨/年气体分馏装置
1.42,ST010074,mg/L,2025-06-16 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.05,ST010074,mg/L,2025-06-17 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.40,ST010074,mg/L,2025-06-18 08:00:00,硫化物,延炼30万吨/年气体分馏装置
2.08,ST010074,mg/L,2025-06-19 08:00:00,硫化物,延炼30万吨/年气体分馏装置
4.09,ST010074,<p>mg/L</p>,2025-06-19 08:00:00,氨氮,延炼30万吨/年气体分馏装置
1.89,ST010074,mg/L,2025-06-20 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.53,ST010074,mg/L,2025-06-21 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.29,ST010074,mg/L,2025-06-22 08:00:00,硫化物,延炼30万吨/年气体分馏装置
0.97,ST010074,mg/L,2025-06-23 08:00:00,硫化物,延炼30万吨/年气体分馏装置
3.31,ST010074,<p>mg/L</p>,2025-06-23 08:00:00,氨氮,延炼30万吨/年气体分馏装置
1.00,ST010074,mg/L,2025-06-24 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.24,ST010074,mg/L,2025-06-25 08:00:00,硫化物,延炼30万吨/年气体分馏装置
0.85,ST010074,mg/L,2025-06-26 08:00:00,硫化物,延炼30万吨/年气体分馏装置
2.75,ST010074,<p>mg/L</p>,2025-06-26 08:00:00,氨氮,延炼30万吨/年气体分馏装置
1.29,ST010074,mg/L,2025-06-27 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.18,ST010074,mg/L,2025-06-28 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.02,ST010074,mg/L,2025-06-29 08:00:00,硫化物,延炼30万吨/年气体分馏装置
2.42,ST010074,<p>mg/L</p>,2025-06-30 08:00:00,氨氮,延炼30万吨/年气体分馏装置
0.96,ST010074,mg/L,2025-06-30 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.08,ST010074,mg/L,2025-07-01 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.03,ST010074,mg/L,2025-07-02 08:00:00,硫化物,延炼30万吨/年气体分馏装置
2.93,ST010074,mg/L,2025-07-03 08:00:00,硫化物,延炼30万吨/年气体分馏装置
9.78,ST010074,<p>mg/L</p>,2025-07-03 08:00:00,氨氮,延炼30万吨/年气体分馏装置
1.06,ST010074,mg/L,2025-07-04 08:00:00,硫化物,延炼30万吨/年气体分馏装置
0.81,ST010074,mg/L,2025-07-05 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.10,ST010074,mg/L,2025-07-06 08:00:00,硫化物,延炼30万吨/年气体分馏装置
6.14,ST010074,<p>mg/L</p>,2025-07-07 08:00:00,氨氮,延炼30万吨/年气体分馏装置
1.06,ST010074,mg/L,2025-07-07 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.34,ST010074,mg/L,2025-07-08 08:00:00,硫化物,延炼30万吨/年气体分馏装置
0.81,ST010074,mg/L,2025-07-09 08:00:00,硫化物,延炼30万吨/年气体分馏装置
0.50,ST010074,mg/L,2025-07-10 08:00:00,硫化物,延炼30万吨/年气体分馏装置
4.66,ST010074,<p>mg/L</p>,2025-07-10 08:00:00,氨氮,延炼30万吨/年气体分馏装置
0.63,ST010074,mg/L,2025-07-11 08:00:00,硫化物,延炼30万吨/年气体分馏装置
0.81,ST010074,mg/L,2025-07-12 08:00:00,硫化物,延炼30万吨/年气体分馏装置
0.90,ST010074,mg/L,2025-07-13 08:00:00,硫化物,延炼30万吨/年气体分馏装置
20.90,ST010074,<p>mg/L</p>,2025-07-14 08:00:00,氨氮,延炼30万吨/年气体分馏装置
2.26,ST010074,mg/L,2025-07-14 08:00:00,硫化物,延炼30万吨/年气体分馏装置
2.00,ST010074,mg/L,2025-07-15 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.79,ST010074,mg/L,2025-07-16 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.52,ST010074,mg/L,2025-07-17 08:00:00,硫化物,延炼30万吨/年气体分馏装置
7.38,ST010074,<p>mg/L</p>,2025-07-17 08:00:00,氨氮,延炼30万吨/年气体分馏装置
1.31,ST010074,mg/L,2025-07-18 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.50,ST010074,mg/L,2025-07-19 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.37,ST010074,mg/L,2025-07-20 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.42,ST010074,mg/L,2025-07-21 08:00:00,硫化物,延炼30万吨/年气体分馏装置
7.73,ST010074,<p>mg/L</p>,2025-07-21 08:00:00,氨氮,延炼30万吨/年气体分馏装置
1.61,ST010074,mg/L,2025-07-22 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.42,ST010074,mg/L,2025-07-23 08:00:00,硫化物,延炼30万吨/年气体分馏装置
8.56,ST010074,<p>mg/L</p>,2025-07-24 08:00:00,氨氮,延炼30万吨/年气体分馏装置
0.55,ST010074,mg/L,2025-07-24 08:00:00,硫化物,延炼30万吨/年气体分馏装置
0.48,ST010074,mg/L,2025-07-25 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.29,ST010074,mg/L,2025-07-26 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.68,ST010074,mg/L,2025-07-27 08:00:00,硫化物,延炼30万吨/年气体分馏装置
5.93,ST010074,<p>mg/L</p>,2025-07-28 08:00:00,氨氮,延炼30万吨/年气体分馏装置
0.97,ST010074,mg/L,2025-07-28 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.32,ST010074,mg/L,2025-07-29 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.13,ST010074,mg/L,2025-07-30 08:00:00,硫化物,延炼30万吨/年气体分馏装置
0.29,ST010074,mg/L,2025-07-31 08:00:00,硫化物,延炼30万吨/年气体分馏装置
6.73,ST010074,<p>mg/L</p>,2025-07-31 08:00:00,氨氮,延炼30万吨/年气体分馏装置
0.55,ST010074,mg/L,2025-08-01 08:00:00,硫化物,延炼30万吨/年气体分馏装置
0.73,ST010074,mg/L,2025-08-02 08:00:00,硫化物,延炼30万吨/年气体分馏装置
0.92,ST010074,mg/L,2025-08-03 08:00:00,硫化物,延炼30万吨/年气体分馏装置
9.78,ST010074,<p>mg/L</p>,2025-08-04 08:00:00,氨氮,延炼30万吨/年气体分馏装置
1.37,ST010074,mg/L,2025-08-04 08:00:00,硫化物,延炼30万吨/年气体分馏装置
0.94,ST010074,mg/L,2025-08-05 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.18,ST010074,mg/L,2025-08-06 08:00:00,硫化物,延炼30万吨/年气体分馏装置
0.53,ST010074,mg/L,2025-08-07 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.47,ST010074,<p>mg/L</p>,2025-08-07 08:00:00,氨氮,延炼30万吨/年气体分馏装置
0.84,ST010074,mg/L,2025-08-08 08:00:00,硫化物,延炼30万吨/年气体分馏装置
0.73,ST010074,mg/L,2025-08-09 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.06,ST010074,mg/L,2025-08-10 08:00:00,硫化物,延炼30万吨/年气体分馏装置
3.84,ST010074,<p>mg/L</p>,2025-08-11 08:00:00,氨氮,延炼30万吨/年气体分馏装置
1.45,ST010074,mg/L,2025-08-11 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.50,ST010074,mg/L,2025-08-12 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.47,ST010074,mg/L,2025-08-13 08:00:00,硫化物,延炼30万吨/年气体分馏装置
10.00,ST010074,<p>mg/L</p>,2025-08-14 08:00:00,氨氮,延炼30万吨/年气体分馏装置
1.71,ST010074,mg/L,2025-08-14 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.23,ST010074,mg/L,2025-08-15 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.13,ST010074,mg/L,2025-08-16 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.10,ST010074,mg/L,2025-08-17 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.66,ST010074,mg/L,2025-08-18 08:00:00,硫化物,延炼30万吨/年气体分馏装置
6.31,ST010074,<p>mg/L</p>,2025-08-18 08:00:00,氨氮,延炼30万吨/年气体分馏装置
0.76,ST010074,mg/L,2025-08-19 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.29,ST010074,mg/L,2025-08-20 08:00:00,硫化物,延炼30万吨/年气体分馏装置
4.15,ST010074,<p>mg/L</p>,2025-08-21 08:00:00,氨氮,延炼30万吨/年气体分馏装置
1.35,ST010074,mg/L,2025-08-21 08:00:00,硫化物,延炼30万吨/年气体分馏装置
0.92,ST010074,mg/L,2025-08-22 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.40,ST010074,mg/L,2025-08-23 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.34,ST010074,mg/L,2025-08-24 08:00:00,硫化物,延炼30万吨/年气体分馏装置
0.95,ST010074,mg/L,2025-08-25 08:00:00,硫化物,延炼30万吨/年气体分馏装置
3.36,ST010074,<p>mg/L</p>,2025-08-25 08:00:00,氨氮,延炼30万吨/年气体分馏装置
0.98,ST010074,mg/L,2025-08-26 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.05,ST010074,mg/L,2025-08-27 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.45,ST010074,mg/L,2025-08-28 08:00:00,硫化物,延炼30万吨/年气体分馏装置
2.80,ST010074,<p>mg/L</p>,2025-08-28 08:00:00,氨氮,延炼30万吨/年气体分馏装置
1.29,ST010074,mg/L,2025-08-29 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.13,ST010074,mg/L,2025-08-30 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.16,ST010074,mg/L,2025-08-31 08:00:00,硫化物,延炼30万吨/年气体分馏装置
2.69,ST010074,<p>mg/L</p>,2025-09-01 08:00:00,氨氮,延炼30万吨/年气体分馏装置
0.97,ST010074,mg/L,2025-09-01 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.05,ST010074,mg/L,2025-09-02 08:00:00,硫化物,延炼30万吨/年气体分馏装置
0.89,ST010074,mg/L,2025-09-03 08:00:00,硫化物,延炼30万吨/年气体分馏装置
5.17,ST010074,<p>mg/L</p>,2025-09-04 08:00:00,氨氮,延炼30万吨/年气体分馏装置
1.05,ST010074,mg/L,2025-09-04 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.24,ST010074,mg/L,2025-09-05 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.06,ST010074,mg/L,2025-09-06 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.14,ST010074,mg/L,2025-09-07 08:00:00,硫化物,延炼30万吨/年气体分馏装置
3.30,ST010074,<p>mg/L</p>,2025-09-08 08:00:00,氨氮,延炼30万吨/年气体分馏装置
0.95,ST010074,mg/L,2025-09-08 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.56,ST010074,mg/L,2025-09-09 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.26,ST010074,mg/L,2025-09-10 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.19,ST010074,mg/L,2025-09-11 08:00:00,硫化物,延炼30万吨/年气体分馏装置
2.36,ST010074,<p>mg/L</p>,2025-09-11 08:00:00,氨氮,延炼30万吨/年气体分馏装置
1.05,ST010074,mg/L,2025-09-12 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.13,ST010074,mg/L,2025-09-13 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.05,ST010074,mg/L,2025-09-14 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.16,ST010074,mg/L,2025-09-15 08:00:00,硫化物,延炼30万吨/年气体分馏装置
2.42,ST010074,<p>mg/L</p>,2025-09-15 08:00:00,氨氮,延炼30万吨/年气体分馏装置
1.21,ST010074,mg/L,2025-09-16 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.06,ST010074,mg/L,2025-09-17 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.13,ST010074,mg/L,2025-09-18 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.42,ST010074,<p>mg/L</p>,2025-09-18 08:00:00,氨氮,延炼30万吨/年气体分馏装置
1.05,ST010074,mg/L,2025-09-19 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.00,ST010074,mg/L,2025-09-20 08:00:00,硫化物,延炼30万吨/年气体分馏装置
0.98,ST010074,mg/L,2025-09-21 08:00:00,硫化物,延炼30万吨/年气体分馏装置
2.08,ST010074,mg/L,2025-09-22 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.47,ST010074,<p>mg/L</p>,2025-09-22 08:00:00,氨氮,延炼30万吨/年气体分馏装置
1.60,ST010074,mg/L,2025-09-23 08:00:00,硫化物,延炼30万吨/年气体分馏装置
2.23,ST010074,mg/L,2025-09-24 08:00:00,硫化物,延炼30万吨/年气体分馏装置
2.54,ST010074,<p>mg/L</p>,2025-09-25 08:00:00,氨氮,延炼30万吨/年气体分馏装置
1.82,ST010074,mg/L,2025-09-25 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.89,ST010074,mg/L,2025-09-26 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.84,ST010074,mg/L,2025-09-27 08:00:00,硫化物,延炼30万吨/年气体分馏装置
2.02,ST010074,mg/L,2025-09-28 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.78,ST010074,<p>mg/L</p>,2025-09-29 08:00:00,氨氮,延炼30万吨/年气体分馏装置
1.05,ST010074,mg/L,2025-09-29 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.29,ST010074,mg/L,2025-09-30 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.14,ST010074,mg/L,2025-10-01 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.91,ST010074,<p>mg/L</p>,2025-10-02 08:00:00,氨氮,延炼30万吨/年气体分馏装置
1.27,ST010074,mg/L,2025-10-02 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.05,ST010074,mg/L,2025-10-03 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.24,ST010074,mg/L,2025-10-04 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.14,ST010074,mg/L,2025-10-05 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.58,ST010074,<p>mg/L</p>,2025-10-06 08:00:00,氨氮,延炼30万吨/年气体分馏装置
1.14,ST010074,mg/L,2025-10-06 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.08,ST010074,mg/L,2025-10-07 08:00:00,硫化物,延炼30万吨/年气体分馏装置
0.92,ST010074,mg/L,2025-10-08 08:00:00,硫化物,延炼30万吨/年气体分馏装置
0.90,ST010074,<p>mg/L</p>,2025-10-09 08:00:00,氨氮,延炼30万吨/年气体分馏装置
0.84,ST010074,mg/L,2025-10-09 08:00:00,硫化物,延炼30万吨/年气体分馏装置
0.93,ST010074,mg/L,2025-10-10 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.00,ST010074,mg/L,2025-10-11 08:00:00,硫化物,延炼30万吨/年气体分馏装置
0.89,ST010074,mg/L,2025-10-12 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.13,ST010074,mg/L,2025-10-13 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.47,ST010074,<p>mg/L</p>,2025-10-13 08:00:00,氨氮,延炼30万吨/年气体分馏装置
0.93,ST010074,mg/L,2025-10-14 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.05,ST010074,mg/L,2025-10-15 08:00:00,硫化物,延炼30万吨/年气体分馏装置
2.95,ST010074,<p>mg/L</p>,2025-10-16 08:00:00,氨氮,延炼30万吨/年气体分馏装置
1.00,ST010074,mg/L,2025-10-16 08:00:00,硫化物,延炼30万吨/年气体分馏装置
0.95,ST010074,mg/L,2025-10-17 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.03,ST010074,mg/L,2025-10-18 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.00,ST010074,mg/L,2025-10-19 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.81,ST010074,<p>mg/L</p>,2025-10-20 08:00:00,氨氮,延炼30万吨/年气体分馏装置
1.05,ST010074,mg/L,2025-10-20 08:00:00,硫化物,延炼30万吨/年气体分馏装置
0.97,ST010074,mg/L,2025-10-21 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.06,ST010074,mg/L,2025-10-22 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.14,ST010074,mg/L,2025-10-23 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.31,ST010074,<p>mg/L</p>,2025-10-23 08:00:00,氨氮,延炼30万吨/年气体分馏装置
1.22,ST010074,mg/L,2025-10-24 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.37,ST010074,mg/L,2025-10-25 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.14,ST010074,mg/L,2025-10-26 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.70,ST010074,<p>mg/L</p>,2025-10-27 08:00:00,氨氮,延炼30万吨/年气体分馏装置
1.21,ST010074,mg/L,2025-10-27 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.13,ST010074,mg/L,2025-10-28 08:00:00,硫化物,延炼30万吨/年气体分馏装置
1.17,ST010074,mg/L,2025-10-29 08:00:00,硫化物,延炼30万吨/年气体分馏装置
