result,sampleDotCode,unitName,sampleTime,resultName,deviceName
222.0,ST010077,℃,2025-05-12 08:00:00,闪点(TC),延炼30万吨/年气体分馏装置
43.84,ST010077,<p>mm<sup>2</sup>/s</p>,2025-05-12 08:00:00,运动黏度(40℃),延炼30万吨/年气体分馏装置
0.0176,ST010077,<p>%(m/m)</p>,2025-05-12 08:00:00,机械杂质,延炼30万吨/年气体分馏装置
痕迹,ST010077,质量分数 %,2025-05-12 08:00:00,水分,延炼30万吨/年气体分馏装置
228.0,ST010077,℃,2025-06-06 08:00:00,闪点(TC),延炼30万吨/年气体分馏装置
痕迹,ST010077,质量分数 %,2025-06-06 08:00:00,水分,延炼30万吨/年气体分馏装置
0.0196,ST010077,<p>%(m/m)</p>,2025-06-06 08:00:00,机械杂质,延炼30万吨/年气体分馏装置
44.09,ST010077,<p>mm<sup>2</sup>/s</p>,2025-06-06 08:00:00,运动黏度(40℃),延炼30万吨/年气体分馏装置
225.0,ST010077,℃,2025-07-07 08:00:00,闪点(TC),延炼30万吨/年气体分馏装置
痕迹,ST010077,质量分数 %,2025-07-07 08:00:00,水分,延炼30万吨/年气体分馏装置
44.38,ST010077,<p>mm<sup>2</sup>/s</p>,2025-07-07 08:00:00,运动黏度(40℃),延炼30万吨/年气体分馏装置
0.0188,ST010077,<p>%(m/m)</p>,2025-07-07 08:00:00,机械杂质,延炼30万吨/年气体分馏装置
220.0,ST010077,℃,2025-08-05 08:00:00,闪点(TC),延炼30万吨/年气体分馏装置
痕迹,ST010077,质量分数 %,2025-08-05 08:00:00,水分,延炼30万吨/年气体分馏装置
0.0192,ST010077,<p>%(m/m)</p>,2025-08-05 08:00:00,机械杂质,延炼30万吨/年气体分馏装置
43.39,ST010077,<p>mm<sup>2</sup>/s</p>,2025-08-05 08:00:00,运动黏度(40℃),延炼30万吨/年气体分馏装置
218.0,ST010077,℃,2025-09-09 08:00:00,闪点(TC),延炼30万吨/年气体分馏装置
0.0168,ST010077,<p>%(m/m)</p>,2025-09-09 08:00:00,机械杂质,延炼30万吨/年气体分馏装置
痕迹,ST010077,质量分数 %,2025-09-09 08:00:00,水分,延炼30万吨/年气体分馏装置
43.83,ST010077,<p>mm<sup>2</sup>/s</p>,2025-09-09 08:00:00,运动黏度(40℃),延炼30万吨/年气体分馏装置
0.0198,ST010077,<p>%(m/m)</p>,2025-10-05 08:00:00,机械杂质,延炼30万吨/年气体分馏装置
痕迹,ST010077,质量分数 %,2025-10-05 08:00:00,水分,延炼30万吨/年气体分馏装置
226.0,ST010077,℃,2025-10-05 08:00:00,闪点(TC),延炼30万吨/年气体分馏装置
44.25,ST010077,<p>mm<sup>2</sup>/s</p>,2025-10-05 08:00:00,运动黏度(40℃),延炼30万吨/年气体分馏装置
痕迹,ST010077,质量分数 %,2025-11-04 08:48:00,水分,延炼30万吨/年气体分馏装置
222.0,ST010077,℃,2025-11-04 08:48:00,闪点(TC),延炼30万吨/年气体分馏装置
0.0177,ST010077,<p>%(m/m)</p>,2025-11-04 08:48:00,机械杂质,延炼30万吨/年气体分馏装置
41.89,ST010077,<p>mm<sup>2</sup>/s</p>,2025-11-04 08:48:00,运动黏度(40℃),延炼30万吨/年气体分馏装置
224.0,ST010077,℃,2025-12-15 09:15:00,闪点(TC),延炼30万吨/年气体分馏装置
痕迹,ST010077,质量分数 %,2025-12-15 09:15:00,水分,延炼30万吨/年气体分馏装置
40.81,ST010077,<p>mm<sup>2</sup>/s</p>,2025-12-15 09:15:00,运动黏度(40℃),延炼30万吨/年气体分馏装置
0.0169,ST010077,<p>%(m/m)</p>,2025-12-15 09:15:00,机械杂质,延炼30万吨/年气体分馏装置
0.0160,ST010077,<p>%(m/m)</p>,2026-01-01 08:00:00,机械杂质,延炼30万吨/年气体分馏装置
痕迹,ST010077,质量分数 %,2026-01-01 08:00:00,水分,延炼30万吨/年气体分馏装置
220.0,ST010077,℃,2026-01-01 08:00:00,闪点(TC),延炼30万吨/年气体分馏装置
42.63,ST010077,<p>mm<sup>2</sup>/s</p>,2026-01-01 08:00:00,运动黏度(40℃),延炼30万吨/年气体分馏装置
220.0,ST010077,℃,2026-02-09 08:25:00,闪点(TC),延炼30万吨/年气体分馏装置
痕迹,ST010077,质量分数 %,2026-02-09 08:25:00,水分,延炼30万吨/年气体分馏装置
0.0237,ST010077,<p>%(m/m)</p>,2026-02-09 08:25:00,机械杂质,延炼30万吨/年气体分馏装置
44.03,ST010077,<p>mm<sup>2</sup>/s</p>,2026-02-09 08:25:00,运动黏度(40℃),延炼30万吨/年气体分馏装置
0.0160,ST010077,<p>%(m/m)</p>,2026-03-11 10:43:00,机械杂质,延炼30万吨/年气体分馏装置
43.29,ST010077,<p>mm<sup>2</sup>/s</p>,2026-03-11 10:43:00,运动黏度(40℃),延炼30万吨/年气体分馏装置
痕迹,ST010077,质量分数 %,2026-03-11 10:43:00,水分,延炼30万吨/年气体分馏装置
216.0,ST010077,℃,2026-03-11 10:43:00,闪点(TC),延炼30万吨/年气体分馏装置
212.0,ST010077,℃,2026-04-23 08:59:00,闪点(TC),延炼30万吨/年气体分馏装置
0.0179,ST010077,<p>%(m/m)</p>,2026-04-23 08:59:00,机械杂质,延炼30万吨/年气体分馏装置
痕迹,ST010077,质量分数 %,2026-04-23 08:59:00,水分,延炼30万吨/年气体分馏装置
42.96,ST010077,<p>mm<sup>2</sup>/s</p>,2026-04-23 08:59:00,运动黏度(40℃),延炼30万吨/年气体分馏装置
