result,sampleDotCode,unitName,sampleTime,resultName,deviceName
0.0172,ST010078,<p>%(m/m)</p>,2025-05-12 08:00:00,机械杂质,延炼30万吨/年气体分馏装置
痕迹,ST010078,质量分数 %,2025-05-12 08:00:00,水分,延炼30万吨/年气体分馏装置
225.0,ST010078,℃,2025-05-12 08:00:00,闪点(TC),延炼30万吨/年气体分馏装置
44.67,ST010078,<p>mm<sup>2</sup>/s</p>,2025-05-12 08:00:00,运动黏度(40℃),延炼30万吨/年气体分馏装置
230.0,ST010078,℃,2025-06-06 08:00:00,闪点(TC),延炼30万吨/年气体分馏装置
痕迹,ST010078,质量分数 %,2025-06-06 08:00:00,水分,延炼30万吨/年气体分馏装置
0.0184,ST010078,<p>%(m/m)</p>,2025-06-06 08:00:00,机械杂质,延炼30万吨/年气体分馏装置
44.57,ST010078,<p>mm<sup>2</sup>/s</p>,2025-06-06 08:00:00,运动黏度(40℃),延炼30万吨/年气体分馏装置
223.0,ST010078,℃,2025-07-07 08:00:00,闪点(TC),延炼30万吨/年气体分馏装置
痕迹,ST010078,质量分数 %,2025-07-07 08:00:00,水分,延炼30万吨/年气体分馏装置
44.17,ST010078,<p>mm<sup>2</sup>/s</p>,2025-07-07 08:00:00,运动黏度(40℃),延炼30万吨/年气体分馏装置
0.0200,ST010078,<p>%(m/m)</p>,2025-07-07 08:00:00,机械杂质,延炼30万吨/年气体分馏装置
222.0,ST010078,℃,2025-08-05 08:00:00,闪点(TC),延炼30万吨/年气体分馏装置
痕迹,ST010078,质量分数 %,2025-08-05 08:00:00,水分,延炼30万吨/年气体分馏装置
0.0188,ST010078,<p>%(m/m)</p>,2025-08-05 08:00:00,机械杂质,延炼30万吨/年气体分馏装置
43.72,ST010078,<p>mm<sup>2</sup>/s</p>,2025-08-05 08:00:00,运动黏度(40℃),延炼30万吨/年气体分馏装置
224.0,ST010078,℃,2025-09-09 08:00:00,闪点(TC),延炼30万吨/年气体分馏装置
0.0196,ST010078,<p>%(m/m)</p>,2025-09-09 08:00:00,机械杂质,延炼30万吨/年气体分馏装置
痕迹,ST010078,质量分数 %,2025-09-09 08:00:00,水分,延炼30万吨/年气体分馏装置
44.26,ST010078,<p>mm<sup>2</sup>/s</p>,2025-09-09 08:00:00,运动黏度(40℃),延炼30万吨/年气体分馏装置
0.0206,ST010078,<p>%(m/m)</p>,2025-10-05 08:00:00,机械杂质,延炼30万吨/年气体分馏装置
痕迹,ST010078,质量分数 %,2025-10-05 08:00:00,水分,延炼30万吨/年气体分馏装置
221.0,ST010078,℃,2025-10-05 08:00:00,闪点(TC),延炼30万吨/年气体分馏装置
45.20,ST010078,<p>mm<sup>2</sup>/s</p>,2025-10-05 08:00:00,运动黏度(40℃),延炼30万吨/年气体分馏装置
痕迹,ST010078,质量分数 %,2025-11-13 08:47:00,水分,延炼30万吨/年气体分馏装置
220.0,ST010078,℃,2025-11-13 08:47:00,闪点(TC),延炼30万吨/年气体分馏装置
0.0248,ST010078,<p>%(m/m)</p>,2025-11-13 08:47:00,机械杂质,延炼30万吨/年气体分馏装置
43.15,ST010078,<p>mm<sup>2</sup>/s</p>,2025-11-13 08:47:00,运动黏度(40℃),延炼30万吨/年气体分馏装置
223.0,ST010078,℃,2025-12-15 09:15:00,闪点(TC),延炼30万吨/年气体分馏装置
痕迹,ST010078,质量分数 %,2025-12-15 09:15:00,水分,延炼30万吨/年气体分馏装置
43.56,ST010078,<p>mm<sup>2</sup>/s</p>,2025-12-15 09:15:00,运动黏度(40℃),延炼30万吨/年气体分馏装置
0.0209,ST010078,<p>%(m/m)</p>,2025-12-15 09:15:00,机械杂质,延炼30万吨/年气体分馏装置
0.0020,ST010078,<p>%(m/m)</p>,2026-01-02 08:00:00,机械杂质,延炼30万吨/年气体分馏装置
痕迹,ST010078,质量分数 %,2026-01-02 08:00:00,水分,延炼30万吨/年气体分馏装置
226.0,ST010078,℃,2026-01-02 08:00:00,闪点(TC),延炼30万吨/年气体分馏装置
41.68,ST010078,<p>mm<sup>2</sup>/s</p>,2026-01-02 08:00:00,运动黏度(40℃),延炼30万吨/年气体分馏装置
222.0,ST010078,℃,2026-02-09 08:25:00,闪点(TC),延炼30万吨/年气体分馏装置
痕迹,ST010078,质量分数 %,2026-02-09 08:25:00,水分,延炼30万吨/年气体分馏装置
0.0207,ST010078,<p>%(m/m)</p>,2026-02-09 08:25:00,机械杂质,延炼30万吨/年气体分馏装置
42.89,ST010078,<p>mm<sup>2</sup>/s</p>,2026-02-09 08:25:00,运动黏度(40℃),延炼30万吨/年气体分馏装置
42.47,ST010078,<p>mm<sup>2</sup>/s</p>,2026-03-11 10:43:00,运动黏度(40℃),延炼30万吨/年气体分馏装置
220.0,ST010078,℃,2026-03-11 10:43:00,闪点(TC),延炼30万吨/年气体分馏装置
0.0179,ST010078,<p>%(m/m)</p>,2026-03-11 10:43:00,机械杂质,延炼30万吨/年气体分馏装置
痕迹,ST010078,质量分数 %,2026-03-11 10:43:00,水分,延炼30万吨/年气体分馏装置
222.0,ST010078,℃,2026-04-23 08:59:00,闪点(TC),延炼30万吨/年气体分馏装置
0.0159,ST010078,<p>%(m/m)</p>,2026-04-23 08:59:00,机械杂质,延炼30万吨/年气体分馏装置
痕迹,ST010078,质量分数 %,2026-04-23 08:59:00,水分,延炼30万吨/年气体分馏装置
41.91,ST010078,<p>mm<sup>2</sup>/s</p>,2026-04-23 08:59:00,运动黏度(40℃),延炼30万吨/年气体分馏装置
