result,sampleDotCode,unitName,sampleTime,resultName,deviceName
784.2,ST010377,<p>kg/m<sup>3</sup></p>,2025-05-06 19:00:00,密度(20℃),延炼50万吨/年航煤装置
1.1,ST010377,体积分数 %,2025-05-06 19:00:00,残留量,延炼50万吨/年航煤装置
204.0,ST010377,<p>℃</p>,2025-05-06 19:00:00,90%回收温度,延炼50万吨/年航煤装置
219.0,ST010377,<p>℃</p>,2025-05-06 19:00:00,终馏点,延炼50万吨/年航煤装置
182.0,ST010377,<p>℃</p>,2025-05-06 19:00:00,50%回收温度,延炼50万吨/年航煤装置
171.5,ST010377,<p>℃</p>,2025-05-06 19:00:00,20%回收温度,延炼50万吨/年航煤装置
168.5,ST010377,<p>℃</p>,2025-05-06 19:00:00,10%回收温度,延炼50万吨/年航煤装置
155.5,ST010377,<p>℃</p>,2025-05-06 19:00:00,初馏点,延炼50万吨/年航煤装置
0.5,ST010377,体积分数 %,2025-05-06 19:00:00,损失量,延炼50万吨/年航煤装置
44.0,ST010377,℃,2025-05-06 19:00:00,闪点（闭口）,延炼50万吨/年航煤装置
785.4,ST010377,<p>kg/m<sup>3</sup></p>,2025-05-11 08:00:00,密度(20℃),延炼50万吨/年航煤装置
1.0,ST010377,体积分数 %,2025-05-11 08:00:00,残留量,延炼50万吨/年航煤装置
204.5,ST010377,<p>℃</p>,2025-05-11 08:00:00,90%回收温度,延炼50万吨/年航煤装置
221.0,ST010377,<p>℃</p>,2025-05-11 08:00:00,终馏点,延炼50万吨/年航煤装置
183.5,ST010377,<p>℃</p>,2025-05-11 08:00:00,50%回收温度,延炼50万吨/年航煤装置
173.5,ST010377,<p>℃</p>,2025-05-11 08:00:00,20%回收温度,延炼50万吨/年航煤装置
170.5,ST010377,<p>℃</p>,2025-05-11 08:00:00,10%回收温度,延炼50万吨/年航煤装置
158.0,ST010377,<p>℃</p>,2025-05-11 08:00:00,初馏点,延炼50万吨/年航煤装置
0.7,ST010377,体积分数 %,2025-05-11 08:00:00,损失量,延炼50万吨/年航煤装置
44.5,ST010377,℃,2025-05-11 08:00:00,闪点（闭口）,延炼50万吨/年航煤装置
44.5,ST010377,℃,2025-05-12 08:00:00,闪点（闭口）,延炼50万吨/年航煤装置
784.6,ST010377,<p>kg/m<sup>3</sup></p>,2025-05-12 08:00:00,密度(20℃),延炼50万吨/年航煤装置
1.0,ST010377,体积分数 %,2025-05-12 08:00:00,残留量,延炼50万吨/年航煤装置
206.0,ST010377,<p>℃</p>,2025-05-12 08:00:00,90%回收温度,延炼50万吨/年航煤装置
221.5,ST010377,<p>℃</p>,2025-05-12 08:00:00,终馏点,延炼50万吨/年航煤装置
184.0,ST010377,<p>℃</p>,2025-05-12 08:00:00,50%回收温度,延炼50万吨/年航煤装置
173.0,ST010377,<p>℃</p>,2025-05-12 08:00:00,20%回收温度,延炼50万吨/年航煤装置
169.5,ST010377,<p>℃</p>,2025-05-12 08:00:00,10%回收温度,延炼50万吨/年航煤装置
152.5,ST010377,<p>℃</p>,2025-05-12 08:00:00,初馏点,延炼50万吨/年航煤装置
0.7,ST010377,体积分数 %,2025-05-12 08:00:00,损失量,延炼50万吨/年航煤装置
10.1,ST010377,体积分数 %,2025-05-13 08:00:00,芳烃,延炼50万吨/年航煤装置
0.8,ST010377,体积分数 %,2025-05-13 08:00:00,烯烃,延炼50万吨/年航煤装置
44.5,ST010377,℃,2025-05-13 08:00:00,闪点（闭口）,延炼50万吨/年航煤装置
64,ST010377,ug/g,2025-05-13 08:00:00,水分,延炼50万吨/年航煤装置
2.0,ST010377,&mu;g/g,2025-05-13 08:00:00,氮含量,延炼50万吨/年航煤装置
0.8,ST010377,体积分数 %,2025-05-13 08:00:00,残留量,延炼50万吨/年航煤装置
207.0,ST010377,<p>℃</p>,2025-05-13 08:00:00,90%回收温度,延炼50万吨/年航煤装置
222.0,ST010377,<p>℃</p>,2025-05-13 08:00:00,终馏点,延炼50万吨/年航煤装置
184.0,ST010377,<p>℃</p>,2025-05-13 08:00:00,50%回收温度,延炼50万吨/年航煤装置
