result,sampleDotCode,unitName,sampleTime,resultName,deviceName
未检出,ST010383,体积分数 %,2025-05-07 20:00:00,硫化氢,延炼50万吨/年航煤装置
0.32,ST010383,"<p>%(v/v)</p>
",2025-05-07 20:00:00,氧气,延炼50万吨/年航煤装置
99.64,ST010383,"<p>%(v/v)</p>
",2025-05-07 20:00:00,氮气,延炼50万吨/年航煤装置
0.00,ST010383,"<p>%(v/v)</p>
",2025-05-07 20:00:00,一氧化碳,延炼50万吨/年航煤装置
0.00,ST010383,"<p>%(v/v)</p>
",2025-05-07 20:00:00,二氧化碳,延炼50万吨/年航煤装置
0.03,ST010383,"<p>%(v/v)</p>
",2025-05-07 20:00:00,氢气,延炼50万吨/年航煤装置
0.00,ST010383,"<p>%(v/v)</p>
",2025-05-07 20:00:00,甲烷,延炼50万吨/年航煤装置
0.00,ST010383,"<p>%(v/v)</p>
",2025-05-07 20:00:00,丙烷,延炼50万吨/年航煤装置
0.00,ST010383,"<p>%(v/v)</p>
",2025-05-07 20:00:00,丙烯,延炼50万吨/年航煤装置
0.00,ST010383,"<p>%(v/v)</p>
",2025-05-07 20:00:00,乙烯,延炼50万吨/年航煤装置
0.00,ST010383,"<p>%(v/v)</p>
",2025-05-07 20:00:00,碳四(合计),延炼50万吨/年航煤装置
0.00,ST010383,"<p>%(v/v)</p>
",2025-05-07 20:00:00,异戊烷,延炼50万吨/年航煤装置
0.00,ST010383,"<p>%(v/v)</p>
",2025-05-07 20:00:00,正戊烷,延炼50万吨/年航煤装置
0.00,ST010383,"<p>%(v/v)</p>
",2025-05-07 20:00:00,乙烷,延炼50万吨/年航煤装置
0.00,ST010383,"<p>%(v/v)</p>
",2025-05-07 20:00:00,碳五(合计),延炼50万吨/年航煤装置
0.00,ST010383,"<p>%(v/v)</p>
",2025-05-08 08:00:00,氧气,延炼50万吨/年航煤装置
99.84,ST010383,"<p>%(v/v)</p>
",2025-05-08 08:00:00,氮气,延炼50万吨/年航煤装置
0.00,ST010383,"<p>%(v/v)</p>
",2025-05-08 08:00:00,一氧化碳,延炼50万吨/年航煤装置
0.00,ST010383,"<p>%(v/v)</p>
",2025-05-08 08:00:00,二氧化碳,延炼50万吨/年航煤装置
0.16,ST010383,"<p>%(v/v)</p>
",2025-05-08 08:00:00,氢气,延炼50万吨/年航煤装置
0.00,ST010383,"<p>%(v/v)</p>
",2025-05-08 08:00:00,甲烷,延炼50万吨/年航煤装置
0.00,ST010383,"<p>%(v/v)</p>
",2025-05-08 08:00:00,丙烷,延炼50万吨/年航煤装置
