result,sampleDotCode,unitName,sampleTime,resultName,deviceName
155.0,ST010382,<p>℃</p>,2025-05-11 08:00:00,初馏点,延炼50万吨/年航煤装置
170.5,ST010382,<p>℃</p>,2025-05-11 08:00:00,10%回收温度,延炼50万吨/年航煤装置
174.5,ST010382,<p>℃</p>,2025-05-11 08:00:00,20%回收温度,延炼50万吨/年航煤装置
184.5,ST010382,<p>℃</p>,2025-05-11 08:00:00,50%回收温度,延炼50万吨/年航煤装置
0.7,ST010382,体积分数 %,2025-05-11 08:00:00,损失量,延炼50万吨/年航煤装置
205.5,ST010382,<p>℃</p>,2025-05-11 08:00:00,90%回收温度,延炼50万吨/年航煤装置
1.0,ST010382,体积分数 %,2025-05-11 08:00:00,残留量,延炼50万吨/年航煤装置
783.9,ST010382,<p>kg/m<sup>3</sup></p>,2025-05-11 08:00:00,密度(20℃),延炼50万吨/年航煤装置
81.3,ST010382,ug/g,2025-05-11 08:00:00,总硫含量,延炼50万吨/年航煤装置
220.0,ST010382,<p>℃</p>,2025-05-11 08:00:00,终馏点,延炼50万吨/年航煤装置
173.5,ST010382,<p>℃</p>,2025-05-15 08:00:00,20%回收温度,延炼50万吨/年航煤装置
183.5,ST010382,<p>℃</p>,2025-05-15 08:00:00,50%回收温度,延炼50万吨/年航煤装置
221.0,ST010382,<p>℃</p>,2025-05-15 08:00:00,终馏点,延炼50万吨/年航煤装置
205.5,ST010382,<p>℃</p>,2025-05-15 08:00:00,90%回收温度,延炼50万吨/年航煤装置
0.9,ST010382,体积分数 %,2025-05-15 08:00:00,残留量,延炼50万吨/年航煤装置
83.8,ST010382,ug/g,2025-05-15 08:00:00,总硫含量,延炼50万吨/年航煤装置
786.6,ST010382,<p>kg/m<sup>3</sup></p>,2025-05-15 08:00:00,密度(20℃),延炼50万吨/年航煤装置
0.8,ST010382,体积分数 %,2025-05-15 08:00:00,损失量,延炼50万吨/年航煤装置
153.0,ST010382,<p>℃</p>,2025-05-15 08:00:00,初馏点,延炼50万吨/年航煤装置
169.5,ST010382,<p>℃</p>,2025-05-15 08:00:00,10%回收温度,延炼50万吨/年航煤装置
1.0,ST010382,体积分数 %,2025-05-22 08:00:00,残留量,延炼50万吨/年航煤装置
207.0,ST010382,<p>℃</p>,2025-05-22 08:00:00,90%回收温度,延炼50万吨/年航煤装置
786.3,ST010382,<p>kg/m<sup>3</sup></p>,2025-05-22 08:00:00,密度(20℃),延炼50万吨/年航煤装置
91.4,ST010382,ug/g,2025-05-22 08:00:00,总硫含量,延炼50万吨/年航煤装置
0.7,ST010382,体积分数 %,2025-05-22 08:00:00,损失量,延炼50万吨/年航煤装置
158.5,ST010382,<p>℃</p>,2025-05-22 08:00:00,初馏点,延炼50万吨/年航煤装置
170.5,ST010382,<p>℃</p>,2025-05-22 08:00:00,10%回收温度,延炼50万吨/年航煤装置
173.5,ST010382,<p>℃</p>,2025-05-22 08:00:00,20%回收温度,延炼50万吨/年航煤装置
183.5,ST010382,<p>℃</p>,2025-05-22 08:00:00,50%回收温度,延炼50万吨/年航煤装置
222.0,ST010382,<p>℃</p>,2025-05-22 08:00:00,终馏点,延炼50万吨/年航煤装置
1.0,ST010382,体积分数 %,2025-05-29 08:00:00,残留量,延炼50万吨/年航煤装置
107,ST010382,ug/g,2025-05-29 08:00:00,总硫含量,延炼50万吨/年航煤装置
0.7,ST010382,体积分数 %,2025-05-29 08:00:00,损失量,延炼50万吨/年航煤装置
158.5,ST010382,<p>℃</p>,2025-05-29 08:00:00,初馏点,延炼50万吨/年航煤装置
784.8,ST010382,<p>kg/m<sup>3</sup></p>,2025-05-29 08:00:00,密度(20℃),延炼50万吨/年航煤装置
173.5,ST010382,<p>℃</p>,2025-05-29 08:00:00,20%回收温度,延炼50万吨/年航煤装置
183.5,ST010382,<p>℃</p>,2025-05-29 08:00:00,50%回收温度,延炼50万吨/年航煤装置
219.0,ST010382,<p>℃</p>,2025-05-29 08:00:00,终馏点,延炼50万吨/年航煤装置
205.0,ST010382,<p>℃</p>,2025-05-29 08:00:00,90%回收温度,延炼50万吨/年航煤装置
169.5,ST010382,<p>℃</p>,2025-05-29 08:00:00,10%回收温度,延炼50万吨/年航煤装置
0.9,ST010382,体积分数 %,2025-06-05 08:00:00,残留量,延炼50万吨/年航煤装置
207.0,ST010382,<p>℃</p>,2025-06-05 08:00:00,90%回收温度,延炼50万吨/年航煤装置
785.3,ST010382,<p>kg/m<sup>3</sup></p>,2025-06-05 08:00:00,密度(20℃),延炼50万吨/年航煤装置
151,ST010382,ug/g,2025-06-05 08:00:00,总硫含量,延炼50万吨/年航煤装置
0.8,ST010382,体积分数 %,2025-06-05 08:00:00,损失量,延炼50万吨/年航煤装置
156.5,ST010382,<p>℃</p>,2025-06-05 08:00:00,初馏点,延炼50万吨/年航煤装置
169.5,ST010382,<p>℃</p>,2025-06-05 08:00:00,10%回收温度,延炼50万吨/年航煤装置
173.5,ST010382,<p>℃</p>,2025-06-05 08:00:00,20%回收温度,延炼50万吨/年航煤装置
184.5,ST010382,<p>℃</p>,2025-06-05 08:00:00,50%回收温度,延炼50万吨/年航煤装置
221.0,ST010382,<p>℃</p>,2025-06-05 08:00:00,终馏点,延炼50万吨/年航煤装置
1.1,ST010382,体积分数 %,2025-06-12 08:00:00,残留量,延炼50万吨/年航煤装置
154.5,ST010382,<p>℃</p>,2025-06-12 08:00:00,初馏点,延炼50万吨/年航煤装置
169.5,ST010382,<p>℃</p>,2025-06-12 08:00:00,10%回收温度,延炼50万吨/年航煤装置
173.5,ST010382,<p>℃</p>,2025-06-12 08:00:00,20%回收温度,延炼50万吨/年航煤装置
0.4,ST010382,体积分数 %,2025-06-12 08:00:00,损失量,延炼50万吨/年航煤装置
144,ST010382,ug/g,2025-06-12 08:00:00,总硫含量,延炼50万吨/年航煤装置
183.5,ST010382,<p>℃</p>,2025-06-12 08:00:00,50%回收温度,延炼50万吨/年航煤装置
225.0,ST010382,<p>℃</p>,2025-06-12 08:00:00,终馏点,延炼50万吨/年航煤装置
206.0,ST010382,<p>℃</p>,2025-06-12 08:00:00,90%回收温度,延炼50万吨/年航煤装置
785.5,ST010382,<p>kg/m<sup>3</sup></p>,2025-06-12 08:00:00,密度(20℃),延炼50万吨/年航煤装置
1.0,ST010382,体积分数 %,2025-06-19 08:00:00,残留量,延炼50万吨/年航煤装置
84.4,ST010382,ug/g,2025-06-19 08:00:00,总硫含量,延炼50万吨/年航煤装置
785.1,ST010382,<p>kg/m<sup>3</sup></p>,2025-06-19 08:00:00,密度(20℃),延炼50万吨/年航煤装置
0.7,ST010382,体积分数 %,2025-06-19 08:00:00,损失量,延炼50万吨/年航煤装置
158.5,ST010382,<p>℃</p>,2025-06-19 08:00:00,初馏点,延炼50万吨/年航煤装置
170.5,ST010382,<p>℃</p>,2025-06-19 08:00:00,10%回收温度,延炼50万吨/年航煤装置
174.5,ST010382,<p>℃</p>,2025-06-19 08:00:00,20%回收温度,延炼50万吨/年航煤装置
184.0,ST010382,<p>℃</p>,2025-06-19 08:00:00,50%回收温度,延炼50万吨/年航煤装置
221.0,ST010382,<p>℃</p>,2025-06-19 08:00:00,终馏点,延炼50万吨/年航煤装置
205.0,ST010382,<p>℃</p>,2025-06-19 08:00:00,90%回收温度,延炼50万吨/年航煤装置
0.8,ST010382,体积分数 %,2025-06-26 08:00:00,残留量,延炼50万吨/年航煤装置
205.0,ST010382,<p>℃</p>,2025-06-26 08:00:00,90%回收温度,延炼50万吨/年航煤装置
0.8,ST010382,体积分数 %,2025-06-26 08:00:00,损失量,延炼50万吨/年航煤装置
221.0,ST010382,<p>℃</p>,2025-06-26 08:00:00,终馏点,延炼50万吨/年航煤装置
111,ST010382,ug/g,2025-06-26 08:00:00,总硫含量,延炼50万吨/年航煤装置
785.8,ST010382,<p>kg/m<sup>3</sup></p>,2025-06-26 08:00:00,密度(20℃),延炼50万吨/年航煤装置
157.5,ST010382,<p>℃</p>,2025-06-26 08:00:00,初馏点,延炼50万吨/年航煤装置
171.5,ST010382,<p>℃</p>,2025-06-26 08:00:00,10%回收温度,延炼50万吨/年航煤装置
174.5,ST010382,<p>℃</p>,2025-06-26 08:00:00,20%回收温度,延炼50万吨/年航煤装置
184.5,ST010382,<p>℃</p>,2025-06-26 08:00:00,50%回收温度,延炼50万吨/年航煤装置
81.6,ST010382,ug/g,2025-06-27 08:30:00,总硫含量,延炼50万吨/年航煤装置
148,ST010382,ug/g,2025-06-27 08:30:00,水分,延炼50万吨/年航煤装置
186.0,ST010382,<p>℃</p>,2025-07-03 08:00:00,50%回收温度,延炼50万吨/年航煤装置
222.0,ST010382,<p>℃</p>,2025-07-03 08:00:00,终馏点,延炼50万吨/年航煤装置
786.8,ST010382,<p>kg/m<sup>3</sup></p>,2025-07-03 08:00:00,密度(20℃),延炼50万吨/年航煤装置
81.7,ST010382,ug/g,2025-07-03 08:00:00,总硫含量,延炼50万吨/年航煤装置
0.7,ST010382,体积分数 %,2025-07-03 08:00:00,损失量,延炼50万吨/年航煤装置
155.5,ST010382,<p>℃</p>,2025-07-03 08:00:00,初馏点,延炼50万吨/年航煤装置
170.5,ST010382,<p>℃</p>,2025-07-03 08:00:00,10%回收温度,延炼50万吨/年航煤装置
174.5,ST010382,<p>℃</p>,2025-07-03 08:00:00,20%回收温度,延炼50万吨/年航煤装置
1.1,ST010382,体积分数 %,2025-07-03 08:00:00,残留量,延炼50万吨/年航煤装置
207.0,ST010382,<p>℃</p>,2025-07-03 08:00:00,90%回收温度,延炼50万吨/年航煤装置
0.7,ST010382,体积分数 %,2025-07-10 08:00:00,损失量,延炼50万吨/年航煤装置
