result,sampleDotCode,unitName,sampleTime,resultName,deviceName
786.0,ST010386,<p>kg/m<sup>3</sup></p>,2025-05-11 08:00:00,密度(20℃),延炼50万吨/年航煤装置
786.6,ST010386,<p>kg/m<sup>3</sup></p>,2025-05-15 08:00:00,密度(20℃),延炼50万吨/年航煤装置
786.0,ST010386,<p>kg/m<sup>3</sup></p>,2025-05-22 08:00:00,密度(20℃),延炼50万吨/年航煤装置
786.5,ST010386,<p>kg/m<sup>3</sup></p>,2025-05-29 08:00:00,密度(20℃),延炼50万吨/年航煤装置
786.0,ST010386,<p>kg/m<sup>3</sup></p>,2025-06-05 08:00:00,密度(20℃),延炼50万吨/年航煤装置
786.5,ST010386,<p>kg/m<sup>3</sup></p>,2025-06-12 08:00:00,密度(20℃),延炼50万吨/年航煤装置
786.1,ST010386,<p>kg/m<sup>3</sup></p>,2025-06-19 08:00:00,密度(20℃),延炼50万吨/年航煤装置
786.5,ST010386,<p>kg/m<sup>3</sup></p>,2025-06-26 08:00:00,密度(20℃),延炼50万吨/年航煤装置
9.5,ST010386,ug/g,2025-06-27 16:00:00,总硫含量,延炼50万吨/年航煤装置
54,ST010386,ug/g,2025-06-27 16:00:00,水分,延炼50万吨/年航煤装置
<0.0003,ST010386,&mu;g/g,2025-06-27 16:00:00,硫醇硫,延炼50万吨/年航煤装置
786.0,ST010386,<p>kg/m<sup>3</sup></p>,2025-07-03 08:00:00,密度(20℃),延炼50万吨/年航煤装置
785.2,ST010386,<p>kg/m<sup>3</sup></p>,2025-07-10 08:00:00,密度(20℃),延炼50万吨/年航煤装置
786.5,ST010386,<p>kg/m<sup>3</sup></p>,2025-07-17 08:00:00,密度(20℃),延炼50万吨/年航煤装置
785.6,ST010386,<p>kg/m<sup>3</sup></p>,2025-07-24 08:00:00,密度(20℃),延炼50万吨/年航煤装置
786.6,ST010386,<p>kg/m<sup>3</sup></p>,2025-07-31 08:00:00,密度(20℃),延炼50万吨/年航煤装置
788.2,ST010386,<p>kg/m<sup>3</sup></p>,2025-08-07 08:00:00,密度(20℃),延炼50万吨/年航煤装置
789.7,ST010386,<p>kg/m<sup>3</sup></p>,2025-08-14 08:00:00,密度(20℃),延炼50万吨/年航煤装置
788.9,ST010386,<p>kg/m<sup>3</sup></p>,2025-08-21 08:00:00,密度(20℃),延炼50万吨/年航煤装置
788.8,ST010386,<p>kg/m<sup>3</sup></p>,2025-08-28 08:00:00,密度(20℃),延炼50万吨/年航煤装置
788.5,ST010386,<p>kg/m<sup>3</sup></p>,2025-09-04 08:00:00,密度(20℃),延炼50万吨/年航煤装置
788.9,ST010386,<p>kg/m<sup>3</sup></p>,2025-09-11 08:00:00,密度(20℃),延炼50万吨/年航煤装置
788.9,ST010386,<p>kg/m<sup>3</sup></p>,2025-09-18 08:00:00,密度(20℃),延炼50万吨/年航煤装置
788.0,ST010386,<p>kg/m<sup>3</sup></p>,2025-09-25 08:00:00,密度(20℃),延炼50万吨/年航煤装置
789.0,ST010386,<p>kg/m<sup>3</sup></p>,2025-10-02 08:00:00,密度(20℃),延炼50万吨/年航煤装置
790.9,ST010386,<p>kg/m<sup>3</sup></p>,2025-10-09 08:00:00,密度(20℃),延炼50万吨/年航煤装置
790.6,ST010386,<p>kg/m<sup>3</sup></p>,2025-10-16 08:00:00,密度(20℃),延炼50万吨/年航煤装置
790.8,ST010386,<p>kg/m<sup>3</sup></p>,2025-10-23 08:00:00,密度(20℃),延炼50万吨/年航煤装置
790.7,ST010386,<p>kg/m<sup>3</sup></p>,2025-10-30 08:00:00,密度(20℃),延炼50万吨/年航煤装置
788.1,ST010386,<p>kg/m<sup>3</sup></p>,2025-11-06 08:00:00,密度(20℃),延炼50万吨/年航煤装置
787.6,ST010386,<p>kg/m<sup>3</sup></p>,2025-11-13 08:00:00,密度(20℃),延炼50万吨/年航煤装置
787.9,ST010386,<p>kg/m<sup>3</sup></p>,2025-11-20 08:00:00,密度(20℃),延炼50万吨/年航煤装置
787.7,ST010386,<p>kg/m<sup>3</sup></p>,2025-11-27 08:00:00,密度(20℃),延炼50万吨/年航煤装置
786.8,ST010386,<p>kg/m<sup>3</sup></p>,2025-12-04 08:00:00,密度(20℃),延炼50万吨/年航煤装置
786.4,ST010386,<p>kg/m<sup>3</sup></p>,2025-12-11 08:00:00,密度(20℃),延炼50万吨/年航煤装置
785.9,ST010386,<p>kg/m<sup>3</sup></p>,2025-12-18 08:00:00,密度(20℃),延炼50万吨/年航煤装置
784.2,ST010386,<p>kg/m<sup>3</sup></p>,2025-12-25 08:00:00,密度(20℃),延炼50万吨/年航煤装置
784.8,ST010386,<p>kg/m<sup>3</sup></p>,2026-01-01 08:00:00,密度(20℃),延炼50万吨/年航煤装置
