result,sampleDotCode,unitName,sampleTime,resultName,deviceName
1.82000,ST010385,体积分数 %,2025-05-11 08:00:00,硫化氢,延炼50万吨/年航煤装置
1.70000,ST010385,体积分数 %,2025-05-15 08:00:00,硫化氢,延炼50万吨/年航煤装置
2.05000,ST010385,体积分数 %,2025-05-22 08:00:00,硫化氢,延炼50万吨/年航煤装置
2.25000,ST010385,体积分数 %,2025-05-29 08:00:00,硫化氢,延炼50万吨/年航煤装置
3.00000,ST010385,体积分数 %,2025-06-05 08:00:00,硫化氢,延炼50万吨/年航煤装置
1.60000,ST010385,体积分数 %,2025-06-12 08:00:00,硫化氢,延炼50万吨/年航煤装置
1.50000,ST010385,体积分数 %,2025-06-19 08:00:00,硫化氢,延炼50万吨/年航煤装置
2.20000,ST010385,体积分数 %,2025-06-26 08:00:00,硫化氢,延炼50万吨/年航煤装置
2.10000,ST010385,体积分数 %,2025-06-27 08:30:00,硫化氢,延炼50万吨/年航煤装置
1.60000,ST010385,体积分数 %,2025-07-03 08:00:00,硫化氢,延炼50万吨/年航煤装置
1.50000,ST010385,体积分数 %,2025-07-10 08:00:00,硫化氢,延炼50万吨/年航煤装置
2.00000,ST010385,体积分数 %,2025-07-17 08:00:00,硫化氢,延炼50万吨/年航煤装置
2.10000,ST010385,体积分数 %,2025-07-24 08:00:00,硫化氢,延炼50万吨/年航煤装置
2.00000,ST010385,体积分数 %,2025-07-31 08:00:00,硫化氢,延炼50万吨/年航煤装置
2.00000,ST010385,体积分数 %,2025-08-07 08:00:00,硫化氢,延炼50万吨/年航煤装置
2.00000,ST010385,体积分数 %,2025-08-14 08:00:00,硫化氢,延炼50万吨/年航煤装置
1.80000,ST010385,体积分数 %,2025-08-21 08:00:00,硫化氢,延炼50万吨/年航煤装置
2.80000,ST010385,体积分数 %,2025-08-28 08:00:00,硫化氢,延炼50万吨/年航煤装置
3.30000,ST010385,体积分数 %,2025-09-04 08:00:00,硫化氢,延炼50万吨/年航煤装置
2.60000,ST010385,体积分数 %,2025-09-11 08:00:00,硫化氢,延炼50万吨/年航煤装置
2.50000,ST010385,体积分数 %,2025-09-18 08:00:00,硫化氢,延炼50万吨/年航煤装置
>4%,ST010385,体积分数 %,2025-09-25 08:00:00,硫化氢,延炼50万吨/年航煤装置
2.10000,ST010385,体积分数 %,2025-10-02 08:00:00,硫化氢,延炼50万吨/年航煤装置
2.70000,ST010385,体积分数 %,2025-10-09 08:00:00,硫化氢,延炼50万吨/年航煤装置
2.90000,ST010385,体积分数 %,2025-10-16 08:00:00,硫化氢,延炼50万吨/年航煤装置
2.10000,ST010385,体积分数 %,2025-10-23 08:00:00,硫化氢,延炼50万吨/年航煤装置
3.15000,ST010385,体积分数 %,2025-10-30 08:00:00,硫化氢,延炼50万吨/年航煤装置
3.25000,ST010385,体积分数 %,2025-11-06 08:00:00,硫化氢,延炼50万吨/年航煤装置
3.10000,ST010385,体积分数 %,2025-11-13 08:00:00,硫化氢,延炼50万吨/年航煤装置
3.25000,ST010385,体积分数 %,2025-11-20 08:00:00,硫化氢,延炼50万吨/年航煤装置
3.45000,ST010385,体积分数 %,2025-11-27 08:00:00,硫化氢,延炼50万吨/年航煤装置
4.20000,ST010385,体积分数 %,2025-12-04 08:00:00,硫化氢,延炼50万吨/年航煤装置
3.77000,ST010385,体积分数 %,2025-12-11 08:00:00,硫化氢,延炼50万吨/年航煤装置
3.97000,ST010385,体积分数 %,2025-12-18 08:00:00,硫化氢,延炼50万吨/年航煤装置
3.85000,ST010385,体积分数 %,2025-12-25 08:00:00,硫化氢,延炼50万吨/年航煤装置
3.70000,ST010385,体积分数 %,2026-01-01 08:00:00,硫化氢,延炼50万吨/年航煤装置
